,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
1805,Brochette Canari,3800500099279,,,,['France'],[],[],,,,,,,?,,341,,1427 kj(341 kcal),,"0,1",,"0,1",,81,,70,,"4,1",,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
1806,Brochette chat - Casino,3800500099767,,['Casino'],,['France'],"['BROCHETTE CHAT poids net de 55g e /narédients: sirop et de fructose', 'sucre', 'eau', 'gélatine', 'jus de citron', 'huile de citron', 'Conservateurs: sorbate de potassium ', 'E202', ""concentré de fruits et préparation d'extrait végétal "", 'carotte', 'cassis', ""blancs d'oeufs"", 'arômes', ' Acidifiants : acide lactique ', 'E270', 'acide citrique ', 'E330', "" Régulateur d'acidité: lactate de sodium 0 "", 'E325', ' Humectant: sorbitol ', 'E420', ' Colorants: curcumine ', 'E 100', 'carmins ', 'E120', 'bleu brillant FCF ', 'El 33', 'oxyde et hydroxyde de fer O ', 'E172', 'cuivre - chlorophylles et cuivre - chlorophyllines ', 'E141', 'caroténoïdes ', 'E160a', 'extrait de paprika ', 'E160c', "" Agents d'enrobage: cire d'abeille blanche et jaune "", 'E901 ', 'cire de carnauba ', 'E903', ' Peut contenir des traces de: lait CONTIENT•', ' OEUF CO']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,?,,343,,1435 kj(343 kcal),,"0,2",,"0,1",,82,,71,,"3,9",,,,,,,,,,,,,"0,1",,"0,04",,,,,,4,,,"['E428 - Gélatine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E325 - Lactate de sodium', 'E420 - Sorbitol', 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E172 - Oxyde et hydroxyde de fer', 'E140i - Chlorophylles', 'E140ii - Chlorophyllines', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E160 - Caroténoïdes', 'E160a - Carotènes mélangés', 'E160c - Extrait de paprika', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",['Œufs'],,['Casino'],,,,
1807,Feuille de vigne farcie au riz -,3800500456201,,,"['Plats préparés', 'Feuilles de vigne farcies']",['France'],[],[],5.5 g,en quantité modérée,1.06 g,en faible quantité,1 g,en faible quantité,?,,125,-14%,523 kj(125 kcal),-14%,"5,5",-26%,"1,06",+5%,"15,5",-4%,1,-15%,"2,2",0%,,,,,,,,,,1.5 g,en quantité modérée,"1,5",+19%,"0,6",+19%,7,+33%,C,+33%,,,,,,,,,,,
1808,"Barre de céréale aux cerises, noix de coco et baies de goji",3800500465029,,,,['France'],[],[],,,,,,,?,,512,,2142 kj(512 kcal),,"30,71",,"18,93",,"53,26",,"28,13",,"5,51",,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,,,
1809,Brochette licorne,3800500731049,,,,['France'],[],[],,,,,,,?,,346,,1448 kj(346 kcal),,"0,3",,"0,1",,83,,77,,3,,,,,,,,,,,,,"0,07",,"0,028",,,,,,,,,,,,,,,,
1810,Ete brochette guimauve,3800500731117,,,,['France'],[],[],,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,79,,70,,4,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
1811,Прясно мляко,3800748002420,,,,['France'],[],[],,,,,,,?,,42,,176 kj(42 kcal),,"1,5",,"0,97",,"4,1",,"4,1",,3,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
1812,Cinnamon ginger bites - Biostyle,3808884484025,,['Biostyle'],,['France'],"['dates*', 'buckwheat% almonds*', 'chia seeds*', 'ginger* 0', '5%', 'lactobacillus bulgaricus cinnamon* 0', '3%', ' *Raw inqredients from organic agriculture']","['Végétalien', 'Végétarien']",,,,,,,?,,365,,1527 kj(365 kcal),,"11,4",,"1,1",,"57,9",,"30,7",,"9,8",,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,0,,0,,,,,,,,,,,,,,,,
1813,Lychee Instant Fruit - Bolero,38023897,,['Bolero'],,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
1814,Bolero Melon Blanc - 9g,38024054,,['Bolero'],['Boissons'],"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,2,-96%,8 kj(2 kcal),-97%,0,-100%,0,-100%,"0,41",-96%,0,-100%,0,-100%,,,,,,,,9 g,['en:gluten-free'],0 g,en faible quantité,0,-100%,0,-100%,1,-87%,B,-87%,,,,,,,,,,,
