,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
1208,Marlette - Granola maison,3770002297230,,['Marlette'],,['France'],[],[],,,,,,,?,,413,,1728 kj(413 kcal),,21,,"2,6",,35,,1,,16,,,,,,,,,,['Bio'],,,"0,1",,"0,04",,,,,,,,,,,,,,,,
1209,Barre moelleuse figues & abricots,3770002297254,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Figues', 'Figues moelleuses']",['France'],[],[],6.5 g,en quantité modérée,0.7 g,en faible quantité,35 g,en quantité élevée,?,,348,+35%,1456 kj(348 kcal),+34%,"6,5",+355%,"0,7",+161%,61,+12%,35,-20%,"7,8",+142%,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,,['Bio'],0.26 g,en faible quantité,"0,26",+66%,"0,104",+66%,3,+18%,C,+18%,,,,,,,,,,,
1210,Preparation Cookies chocolat - Marlette,3770002297308,,['Marlette'],,['France'],"['Sachet de préparation g', ' : Farine de blé* ', 'sucre blond de canne* ', 'sucre de canne intégral* ', 'noisettes* ', 'poudre à lever* amidon de blé* ', 'blGiWonate de sodium', 'itartrate de potassium', ""sel de l'Ile de Ré"", ' Sachet de pépites ', '50g', ' : Pé ites de chocolat* ', 'pâte de cacao* ', 'sucre blPond de canne* beurre de cacao* ', 'émulsifiant : lécithine de tournesol', ""extrait de vanille* l'agriculture biologique"", ' Peut contenir es traces de sésame et de lait']",[],,,,,,,?,,402,,1682 kj(402 kcal),,9,,"2,7",,71,,38,,"7,5",,,,,,,,,,"['Bio', 'Bio européen', 'en:USDA Organic', 'AB Agriculture Biologique']",,,"0,18",,"0,072",,,,,,4,,,"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']","['Gluten', 'Fruits à coque']",,,,,,
1211,Préparation Bio Pour Pancakes Et Gaufres - Marlette,3770002297339,,['Marlette'],,['France'],"['Wheat flour T80*', 'speit flour*', 'blond cane sugar*', 'baking powder* ', 'Wheat starch*', 'sodium bicarbonate', 'potassium bitartrate', 'sea salt from Ile de Ré *Certified organic', ' Manufactured in a factory t at Uses nuts and sesame']",[],,,,,,,?,,360,,1506 kj(360 kcal),,"2,1",,"0,3",,"72,7",,"10,9",,"10,2",,,,,,,,,,['Bio'],,,"0,2",,"0,08",,,,,,,,['Brique'],"['E500ii - Carbonate acide de sodium', 'E336i - Tartrate monopotassique']",,,,,,,
1212,Muesli Bio Cranberry Et Choc Blanc - Marlette,3770002297384,,['Marlette'],,['France'],"['Flocons de céréales* ', 'avoine*', 'fiakes de rnaïs c07âF?T*', 'canneberge* 7 % ', 'canneberge* ', 'sucre de canne* huile de tournesol*', 'chocolat blanc* 6 % ', 'sucre de canne* ', 'beurre de cacao* i J lait entier en poudre* ', 'lécithine de extrait de vanille* ', 'vanille bro raines de tournesol* ', ""graines de fin Irun* issus de l'agriculture biologique"", 'Peut contenir des traces de sésame et de fruits à coque', ' INGREDIENTS: Cereals flakes* ', 'oat*', 'g2elt*', 'çy-', 'g*', 'whole corn fiakes*', 'crarErriesF7% tcranberries* cane sugar*', 'sunflower white chocolate* 6% ', 'blond cane sugar*', 'cocoa butter* ', 'powdered whole milk*', 'so c iecithin', 'vanilla extract* crushed vanilla* sunf', 'ower seeds*', 'brown f', 'ax seeds* ', ' *Certi ied organic May content traces of sesame and nuts']",[],,,,,,,?,,355,,1485 kj(355 kcal),,"8,6",,"2,2",,"52,7",,"9,9",,"11,3",,,,,,,,,,"['Bio', 'Pur beurre de cacao']",,,"0,2",,"0,08",,,,,,,,,['E322i - Lécithine'],['Avoine'],,,,,,
1213,3770002301043,3770002301043,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Sorbet plein fruit Framboise Litchi eau de rose - Les glaces de rosalie,3770002303412,C,['Les glaces de rosalie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la framboise']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,32 g,en quantité élevée,?,,138,+18%,577 kj(138 kcal),+17%,"0,5",+118%,"0,1",+179%,33,+21%,32,+36%,"0,7",+25%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,"['Fabrique à la ferme', 'Sorbet plein fruit']",0.01 g,en faible quantité,"0,01",-54%,"0,004",-54%,8,+69%,C,+69%,,,['Bac à glace'],,,,,"['FR 49.381.007 CE', 'Yzernay (Maine-et-Loire, France)']",,,
1215,Crème glacée rhum raisins - 460g,3770002303863,,,,['France'],[],[],,,,,,,?,,201,,841 kj(201 kcal),,"9,3",,"5,8",,24,,24,,"0,13",,,,,,,,,460 g,,,,"0,13",,"0,052",,,,,,,,,,,,,"['FR 49.381.007 CE', 'Yzernay (Maine-et-Loire, France)']",,,
1216,Eau de coco Sélection Fraîcheur - Vaïvaï - 1L,3770002316283,C,['Vaïvaï'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Jus de fruits pur jus', 'Eaux de coco']",['France'],['Eau de coco'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en faible quantité,?,,18,-5%,75 kj(18 kcal),-10%,"0,1",+16%,"0,1",+224%,"3,8",-17%,"2,4",-34%,"0,4",+251%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,"['Peu ou pas de sucre', 'Sans colorants', 'Sans conservateurs', 'Sans sucre ajouté', 'Sans additifs']",0.1 g,en faible quantité,"0,1",+53%,"0,04",+53%,-5,-303%,B,-303%,1,Eau de coco,"['Brique', 'Carton', 'Bouchon', 'Plastique']",,,"['Indonésie', 'Philippines', 'Thaïlande']",,,http://www.vai-vai.com/,['France'],
1217,Boisson à l'eau de coco et goyave - Vaivai - 1l,3770002316443,,['Vaivai'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Eau', 'eau de coco ', '35,5%', 'purée de goyave ', '12%', 'sucre de canne ', '5,2%', 'jus de citron vert ', '3%', ""jus d'aronia "", '0,5%']",[],0 g,en faible quantité,0 g,en faible quantité,7.5 g,en quantité élevée,?,,30,-65%,126 kj(30 kcal),-66%,0,-100%,0,-100%,"7,5",-62%,"7,5",-59%,0,-100%,,,,,,,,1 l,,0.03 g,en faible quantité,"0,03",-20%,"0,012",-20%,10,-16%,E,-16%,,,,,,,,,,,
1218,Huile De Coco Vierge Bio - Vaïvaï - 200ml,3770002316481,,['Vaïvaï'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",['France'],"[""Huile de coco vierge produit de l'agriculture biologique""]",[],92 g,en quantité élevée,87 g,en quantité élevée,0 g,en faible quantité,?,,828,-4%,3464 kj(828 kcal),-4%,92,-6%,87,+2%,0,-100%,0,-100%,0,-100%,,,,,,,,200 ml,"['Bio', 'Première pression à froid']",0 g,en faible quantité,0,-100%,0,-100%,20,+2%,E,+2%,,Huile de coco vierge,"['Bocal', 'Verre']",,,,,,,,
1219,Pétales de coco toastées auto four - Vaïvaï - 40g,3770002316641,,['Vaïvaï'],"['Snacks', 'Snacks sucrés']",['France'],"['Noix de coco ', '62 %', 'sucre', 'poudre de cacao ', '4 %', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",45 g,en quantité élevée,42 g,en quantité élevée,34 g,en quantité élevée,?,,582,+30%,2435 kj(582 kcal),+30%,45,+122%,42,+322%,34,-41%,34,-4%,"4,8",-20%,,,,,,,,40 g,"['Végétarien', 'en:gluten-free', 'Non frit']",0.9 g,en quantité modérée,"0,9",+136%,"0,36",+136%,20,+5%,E,+5%,3,,"['Sachet', 'Plastique']",,,['Thaïlande'],,,,['Thaïlande'],
1220,Parmentier de boeuf aux topinambours - Good Goût - 190g,3770002327067,D,['Good Goût'],"['Viandes', 'Plats préparés', 'Aliments pour bébé', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Dès 8 mois', 'Plats principaux pour bébé', 'Menus Viandes pour bébé', 'Hachis parmentier']",['France'],"['Topinambour ', '62%', 'pomme de terre ', '20%', 'viande de boeuf ', '9,5%', 'lait demi-écrémé ', '8,5%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,323,+17%,76,+13%,323 kj(76 kcal),+15%,"1,5",-32%,"0,5",-21%,"12,2",+51%,6,+235%,"3,4",+22%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,190 g,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,"0,03",-85%,"0,012",-85%,,,,,3,Aliment pour bébé,"['Carton', 'Plastique', 'Sous-vide']",,['Lait'],,['Auchan'],,,,
1221,Good goût Carotte - 120g,3770002327258,B,['Good goût'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 4 mois', 'Compotes pour bébé']",['France'],"['64 % carotte bio', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,75,-67%,18,-67%,75 kj(18 kcal),-68%,"0,1",-60%,0,-100%,"3,2",-73%,"2,4",-76%,"0,5",+14%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,120 g,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,"0,15",+643%,"0,06",+643%,,,,,1,,"['Gourde', 'Plastique', 'ni biphénol', 'ni phtalates', 'température ambiante']",,,,,,,,
1222,Potimarron - Good goût - 120g,3770002327289,B,['Good goût'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 4 mois', 'Compotes pour bébé']",['France'],"['68,5 % potimarron bio', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,72,-69%,17,-69%,72 kj(17 kcal),-69%,"0,1",-60%,,,"2,7",-77%,0,-100%,"0,7",+60%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,120 g,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE']",,,0,-100%,0,-100%,,,,,1,,"['Gourde', 'Plastique', 'ni biphénol', 'ni phtalates']",,,,,,,,
1223,Gourdes Mangue - Good Goût,3770002327302,,['Good Goût'],,['France'],[],[],,,,,,,?,,61,,255 kj(61 kcal),,"0,2",,0,,"13,7",,"11,7",,"0,5",,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'ES-ECO-019-CT', 'Agriculture UE/Non UE']",,,"0,003",,"0,001",,,,,,,,,,,,,,,,
1224,Choux-fleurs jambon pâtes parmesan bio dès 12 mois - Good gout - 220g,3770002327395,,['Good gout'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Viandes', 'Légumes et dérivés', 'Aliments pour bébé', 'Dès 12 mois', 'Aliment avec morceaux', 'Alimentation variée']",['France'],"['84% choux-fleurs bio', '8,5% jambon cuit choix bio ', '85% jambon bio', 'saumure : eau', 'sel nitrité', 'sel de Guérande', 'lactose bio', 'sucre bio', 'poivre bio', 'oignons bio', 'clous de girofle bio', '5,5% pâtes ', 'gluten', ' bio', '2% parmesan ', 'lait', ' bio']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,36,-68%,151 kj(36 kcal),-63%,"1,3",-46%,"0,7",-2%,"1,4",-89%,"1,4",-63%,"3,8",+29%,,,,,,,,220g,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,"0,23",+8%,"0,092",+8%,,,,,4,Purée pour bébé,"['Sachet', 'Plastique', 'température ambiante', 'ni biphénol', 'ni phtalates']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",,,"['FR 29.174.020 CE', 'Plonéour-Lanvern (Finistère, France)']",https://www.goodgout.fr/bebe/recette-bebe-12-mois/choux-fleurs-jambon-parmesan-24.html,['France'],
1225,Brassé pomme pruneau - Dès 6 mois - Good Goût - 90g,3770002327609,,['Good Goût'],"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts au fruit pour bébé', 'Dès 6 mois']",['France'],"['45% laits fermentés bio', '25% pruneaux bio', '15% pommes Gala bio', 'eau', '3,5% farine de quinoa bio', 'jus de citron bio concentré']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,?,,80,+36%,335 kj(80 kcal),+36%,"3,4",+792%,"1,9",+1659%,"9,4",-24%,"6,7",-38%,"2,5",+441%,,,,,,,,90 g,"['Bio', 'Bio européen', 'ES-ECO-019-CT', 'Agriculture UE', 'AB Agriculture Biologique']",,,"0,08",+326%,"0,032",+326%,,,,,1,Aliment pour bébés,"['Gourde', 'Plastique', 'Sans Bisphénol A', 'Sans Phtalates']",,['Lait'],,['Simply Market'],['ES 15.007806/T CE'],,,
1226,Brassé banane orange cannelle bio - Good Goût - 90g,3770002327647,,['Good Goût'],"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Dès 12 mois', 'Desserts lactés pour bébé']",['France'],"['56% laits fermentés bio', '17,8% bananes bio', ""14% jus d'orange bio"", 'eau', ""4,95% farine d'avoine bio "", 'gluten', '0,1% cannelle bio', 'jus de citron bio concentré']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,?,,94,+2%,393 kj(94 kcal),-1%,"3,7",+24%,"2,2",+25%,12,-12%,"7,5",-20%,"2,8",-5%,,,,,,,,90 g,"['Bio', 'Bio européen', 'ES-ECO-019-CT', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",,,"0,08",-16%,"0,032",-16%,,,,,4,,"['Gourde', 'Plastique', 'ni bisphénol', 'ni phtalates']",,"['Gluten', 'Lait']",,,['ES 15.007806/T CE'],,,
1227,Gourde Pomme Coing-Good Gout-120g - 120g,3770002327715,B,['Good Goût'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 4 mois', 'Compotes de pomme']",['France'],"['65% pommes Gala bio', '35% coings bio', 'jus de citron bio 0% autre chose']",[],,,,,,,?,,61,-20%,255 kj(61 kcal),-22%,"0,1",-82%,0,-100%,13,-4%,12,+64%,"0,5",-54%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,120 g,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'AB Agriculture Biologique']",,,0,-100%,0,-100%,,,,,,Purée pour bébé,"['Gourdes', 'Plastique', 'température ambiante', 'ni biphénol', 'ni phtalates']",,,,,,https://www.goodgout.fr/bebe/recette-bebe-6-mois/pomme-coing-47.html,['France'],
1228,Cacao Banane-Good Gouter - 190g,3770002327777,,['GOOD GOUTER'],"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Aliment pour enfant', 'Biscuit pour enfant']",['France'],"['35% bananes bio', 'boisson de riz bio ', 'eau', 'riz bio', 'de tournesol bio', 'sel main', '18% pommes bio', 'eau', 'sucre brun bio', ""3,5% farine complète d'avoine bio "", 'gluten', '2% poudre de cacao dégraissée bio', ""sirop d'agave bio"", 'jus de citron bio concentré']",[],,,,,,,?,,102,-54%,427 kj(102 kcal),-54%,"0,9",-83%,"0,3",-74%,21,-39%,16,+38%,"1,3",-76%,,,,,,,,190g,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-019-CT', 'Agriculture UE', 'Agriculture UE/Non UE']",,,"0,02",-93%,"0,008",-93%,,,,,4,,"['Sachet', 'Plastique']",,['Gluten'],,,,,,
1229,Gourde Poire Coing Vanille-Good Gouter-90g,3770002327791,B,['GOOD GOUTER'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Compotes de pomme', 'Compotes à boire', 'Compotes pommes coing', 'Compotes pour bébé']",['France'],"['49,5% poires bio', '25% coings bio', 'eau', ""4 % farine d'épeautre bio "", 'gluten', '1,5% extrait de vanille bio', 'jus de citron bio concentre ValeuRs nutpitionnelles']",[],,,,,,,?,,64,+3%,268 kj(64 kcal),+2%,0,-100%,0,-100%,14,+6%,10,-8%,"0,8",+147%,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,90g,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,0,-100%,0,-100%,,,,,4,,"['Plastique', 'Gourde']",,['Gluten'],,,,,,
1230,Good Gouter Fraises Cranberries Noisettes - Good gout - 90g,3770002327814,B,['Good gout'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes sans sucres', 'Aliment pour enfant', 'Aliment à base de fruit', 'Gourde de fruit']",['France'],"['77,5% pommes bio', 'frais bio', '4% cranberries bio', '4% poudre de noisettes bio', 'Jus de citron bio concentré', ' Sans gluten']",[],1.3 g,en faible quantité,0.11 g,en faible quantité,11 g,en quantité modérée,?,,70,-68%,293 kj(70 kcal),-68%,"1,3",-75%,"0,11",-90%,13,-62%,11,-5%,"0,6",-89%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,90g,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique', 'Agriculture UE']",0 g,en faible quantité,0,-100%,0,-100%,-4,,A,,1,,"['Gourde', 'Plastique']",,['Sans gluten'],,,,,,
1231,Goûter galette de riz choco-noisettes - Good Goût,3770002327920,,['Good Goût'],,['France'],"['vos ingrédients 55% riz bio', '45% fourragc chocolat-noiscttes bio ', 'sucre de canne bio', '19% chocolat bio ', 'pâte de cacao bio', 'sucre de canne bio', 'beurre de cacao bio', 'poudre de vanille Bourbon bio', 'graise végétale bio ', 'colza', 'poudre de lait écrémé bio beurre de cacao bio', 'poudre de cacao bio', '1 % bio', 'émulsifiant : lécithines de tournesol bio', 'poudre de vanille bourbon bio', 'sel marin']",[],,,,,,,?,,456,,1908 kj(456 kcal),,"15,3",,"4,8",,"72,4",,"27,3",,"6,2",,,,,,,,,,['Bio'],,,"0,2",,"0,08",,,,,,4,,,['E322i - Lécithine'],,,,,,,
1232,Fromage de chèvre fermier au lait cru,3770002353004,,,,['France'],[],[],,,,,,,?,,30,,126 kj(30 kcal),,50,,"0,9",,"0,6",,"0,1",,"1,2",,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,"['FR 04.205.075 CE', 'Seyne (Alpes-de-Haute-Provence, France)']",,,
1233,Oliose,3770002365014,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Rissoles de savoie - Rzules - 190g,3770002399033,,['Rzules'],,['France'],"['Epinards 41%', 'farine de blé', 'oignons', 'eau', 'pomme de terre', 'oeufs', 'Cantal 5%', 'margarine ', 'graisse de palme RSPO', 'eau', 'huile de colza', ""émulsifiant: mono - et diglycérides d'acides gras"", 'acidifiant: acide citrique', 'crème', 'huile de tournesol', 'sel', 'beurre', 'ail', 'poivre', ' Susceptible de contenir: anchois', 'soja', 'noisette']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,?,,272,,1138 kj(272 kcal),,15,,"4,72",,"25,8",,"1,8",,"7,1",,,,,,,,,190 g,,,,"1,35",,"0,54",,,,,,4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,['Huile de palme']
1235,Lait fermier - Ferme De La Brunie - 1l,3770002429020,D,['Ferme De La Brunie'],"['Produits laitiers', 'Laits']",['France'],['Lait demi-écrémé pasteurisé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.54 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,45,-32%,188 kj(45 kcal),-31%,"1,54",-25%,1,-16%,"4,56",-24%,0,-100%,"3,3",-7%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,1l,,0.043 g,en faible quantité,"0,043",-65%,"0,017",-65%,-2,-448%,A,-448%,1,,,,,,,"['FR 24.471.003 CE', 'Sainte-Nathalène (Dordogne, France)']",,,
1236,Fromage Fort à l'Ancienne - Ferme des Pampilles - 1paquet,3770002457146,D,"['Ferme des Pampilles', 'EARL des Pampilles']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",['France'],"['Fromage de chèvre', 'fromage de vache', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1 paquet,['Fabriqué en France'],,,,,,,,,,,3,,"['Frais', 'Plastique']",,['Lait'],,,"['FR 01.335.050 CE', 'Saint-André-le-Bouchoux (Ain, France)']",,['France'],
1237,Energy drink - Espry - 1L,3770002475119,,['Espry'],"['Boissons', 'Boissons énergisantes']",['France'],"['Eau', ' dioxyde de carbone', ' sucre', ' base pour boisson énergisante: taurine ', '0,025%', 'caféine', '0,02% ', 'aromatisant', 'colorant: caramel ', 'd ammonium', 'mélange de vitamines: niacine', 'acide pantothénique', 'vitamine B6', 'riboflavine', 'vitamine B12', ' acide: acide citrique', ' conservateurs: sorbate de potassium', 'benzoate de sodium', "" régulateur d'acidité: citrate de sodium"", ' édulcorant: sucralose']",[],0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,122,-18%,29,-19%,122 kj(29 kcal),-18%,0,-100%,0,-100%,7,-13%,7,-4%,0,-100%,,,,,,,,1 L,,0 g,en faible quantité,0,-100%,0,-100%,10,-7%,E,-7%,4,Boisson energisante,['Bouteille'],"['E290 - Dioxyde de carbone', 'E150 - Caramel', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E955 - Sucralose']",,,"['e.leclerc', 'Carrefour', 'Promocash', 'Casino', 'intermarché', 'super u', 'hyper u']",,,['Europe'],
1238,Bourgogne Hautes-Côtes de Beaune 2015 Vieilles vignes - EARL Philippe Jeannot - 75cl,3770002508053,B,"['EARL Philippe Jeannot', 'Valérie & Philippe Jeannot']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Bourgogne-hautes-côtes-de-beaune']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,"['Bouteille', 'Verre']",,,['France'],,,,,
1239,Yaourt Fermier Nature,3770002556023,,,,['France'],[],[],,,,,,,?,,99,,414 kj(99 kcal),,"6,5",,"4,2",,"5,3",,"5,2",,"4,9",,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
1240,Sablés cranberries pavots,3770002558010,,,,['France'],[],[],,,,,,,?,,526,,2201 kj(526 kcal),,22,,14,,76,,"29,3",,5,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,,
1241,"Delicieux sablés Framboises, pistaches - Le Collectif Des Gourmandes",3770002558041,C,['Le Collectif Des Gourmandes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],['Sans huile de palme'],24.5 g,en quantité élevée,14.5 g,en quantité élevée,22.5 g,en quantité élevée,?,,517,+9%,2163 kj(517 kcal),+9%,"24,5",+18%,"14,5",+44%,"66,2",+3%,"22,5",-24%,"5,9",-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['en:palm-oil-free'],0.025 g,en faible quantité,"0,025",-96%,"0,01",-96%,20,+1%,E,+1%,,,,,,,,,,,
1242,Le Collectif Des Gourmandes - Macaron Pure Amande,3770002558102,D,"['Macaron Pure Amande', 'Le collectif des Gourmandes']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],['Liste des ingrédienb'],[],3.7 g,en quantité modérée,3.7 g,en quantité modérée,49.8 g,en quantité élevée,?,,499,+17%,2088 kj(499 kcal),+17%,"3,7",-79%,"3,7",-18%,51,-8%,"49,8",-1%,"14,8",+73%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,"['en:gluten-free', 'Sans additifs']",0.025 g,en faible quantité,"0,025",-83%,"0,01",-83%,19,+8%,E,+8%,,,,,,,,,,,
1243,Macarons d'Antan Chocolat Intense - Le Collectif des Gourmandes - 120g,3770002558119,B,['Le Collectif des Gourmandes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aides culinaires', 'Biscuits', 'Gâteaux', 'Préparations pour desserts', 'Aides à la pâtisserie', 'Préparations pour gâteaux', 'Biscuits sans gluten']",['France'],"[""Amandes 47% sucre blanc d'œuf"", 'cacao ', 'miel ', 'arôme naturel']",['Non végétalien'],,,,,,,2033,+13%,486,+4%,2033 kj(486 kcal),+4%,"27,5",+38%,"4,4",-40%,"46,3",-28%,"43,2",+79%,"16,2",+220%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,120 g,"['en:gluten-free', 'Fabriqué en France']",,,"0,1",-79%,"0,04",-79%,,,,,4,Biscuits macarons,"['Sachet hermétique', 'Sachet']",,"['Œufs', 'Fruits à coque']","['France', 'Sud ouest']",,,,,
