,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,allergens,palm_ingredients
456,Jambon de Bayonne Frotté au Piment d'Espelette - Delpeyrat - 200g,3067162275285,D,,200 g,"['Frais', 'Plastique']",['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['IGP', 'Point Vert']",,['France'],"['Jambon frais de porc', 'sel', ""poudre de piment d'Espelette "", '0,2 %', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.2 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,2",+9%,"2,08",+9%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,['France'],,['France'],,,
457,Jambon de Bayonne frotté au piment d'Espelette - Delpeyrat,3067162276893,E,,,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,,['France'],[],,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.2 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,2",+9%,"2,08",+9%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
458,Foie gras de canard entier du Périgord - Delpeyrat,3067162280197,B,,,,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,['France'],"['Foie Gras de Canard du Périgord', 'sel épice', 'conservateur : nitrite de sodium,']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,56,+3%,24,+3%,"2,2",-8%,"0,9",-32%,"7,5",-0%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,
459,Jambon de Bayonne au piment d'Espelette - Delpeyrat,3067162280760,E,,,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,['Magasins U'],['France'],[],,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.1 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,1",+7%,"2,04",+7%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
460,Jambon de bayonne - Delpeyrat - 100g,3067162280821,E,,100 g,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['IGP'],['Magasins U'],['France'],[],,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.1 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,1",+7%,"2,04",+7%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
461,Jambon de bayonne - Delpeyrat,3067162280869,E,,,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,['Magasins U'],['France'],[],,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.1 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,1",+7%,"2,04",+7%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
462,Jambon cru/piment d'Espelette Delpeyrat,3067162281033,,,,,['Delpeyrat'],,,,['France'],[],,[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,"15,2",,"6,9",,"0,8",,"0,5",,"29,5",,"5,2",,"2,08",,,,,,,,,,,,,,,,,,
463,Jambon de Bayonne frotté au poivre - Delpeyrat - 200g,3067162281057,,,200 g,,['Delpeyrat'],,,,['France'],[],,[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,"15,2",,"6,9",,"0,8",,"0,5",,"29,5",,"2,125",,"0,85",,,,,,,,,,,,,,,,,,
464,Foie gras de canard entier du Sud-Ouest - Fauchon - 120g,3067162282238,A,,120 g,"['Verrine', 'Verre']",['Fauchon'],"['Conserves', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,['Fauchon'],['France'],"['Foie gras de canard ', '98 %', 'sel', 'nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,23.6 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,1.34 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,"23,6",-57%,"23,6",+2%,"56,1",+2218%,"0,9",-33%,"7,5",-1%,"1,34",+12%,"0,536",+12%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,"['France', 'Sud-Ouest']",,,
465,Jambon De Bayonne - Delpeyrat,3067162283006,E,,,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,,['France'],"['Jambon frais de porc', 'sel', 'poivre ', '2%', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.2 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,2",+9%,"2,08",+9%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
466,Rillettes de Canard - Delpeyrat,3067162283785,D,,,,['Delpeyrat'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['Magasins U'],['France'],[],,[],,51 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,523,+30%,2188 kj(523 kcal),+30%,51,+39%,18,+44%,"1,6",+177%,"0,5",+99%,14,-14%,"1,6",+17%,"0,64",+17%,23,+19%,E,+19%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,
467,Jambon de Bayonne - 4 fines tranches - Delpeyrat - 70g,3067162284690,D,,70 g,['Plastique'],['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['Bio', 'Bio européen', 'en:FSC', 'IGP', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],"['jambon frais de porc biologique', 'sel', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,13.9 g,en quantité modérée,,,,,,,999,-7%,239,-2%,999 kj(239 kcal),-3%,"13,9",-1%,,,"0,2",-68%,,,"28,4",-3%,,,,,,,,,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['France'],"['FR 64.010.003 CE', 'Aïcirits-Camou-Suhast (Pyrénées-Atlantiques, France)']",,
468,Jambon cru grandes tranches - Delpeyrat,3067162285055,,,,,['Delpeyrat'],,['IGP'],,['France'],[],,[],,,,,,,,,,?,,258,,1079 kj(258 kcal),,"15,2",,"6,9",,"0,8",,"0,5",,"29,5",,"5,2",,"2,08",,,,,,,,,,,,,,,,,,
469,Jambon de Bayonne - 100g,3067162286342,D,,100 g,"['Plastique', 'Sous atmosphère protectrice']","['Bayonne', 'DSAS', 'Delpeyrat']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['IGP', 'Affiné 12 mois']",['Monoprix'],['France'],"['jambon de porc', 'sel', 'sucre', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['France'],,,
470,Grande Réserve - Jambon de Bayonne - delpeyrat - 100g,3067162288667,D,jambon de bayonne,100g,['Plastique'],['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['IGP'],,['France'],"['Jambon frais de porc', 'sel', 'sucre', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15.2 g,en quantité modérée,,,,,,,1077,+1%,258,+5%,1077 kj(258 kcal),+5%,"15,2",+9%,,,"0,8",+26%,,,"29,5",+1%,,,,,,,,,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['France'],,,
471,Canard Confit aux Lentilles - Delpeyrat - 1500g,3067163603131,D,Canard aux lentilles,1500 g,"['boîte de conserve', 'Métal', 'Conserve']","['Delpeyrat', 'Pierre Delpeyrat']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Viandes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Légumineuses en conserve', 'Plats à la volaille', 'Plats préparés en conserve', 'Plats au canard', 'Canards', 'Lentilles en conserve']",['Point Vert'],['Carrefour market'],['France'],"['manchons confits de canard 40% ', 'manchons de canard', 'sel', 'poivre', 'nitrite de sodium', 'eau', 'lentilles vertes cuites 21%', 'carottes', 'oignons', 'purée de carotte', 'arôme naturel', 'graisse de canard', 'amidon modifié de maïs', 'moutarde', 'persil', ""pulpe d'ail"", 'sel', 'poivre']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']","['Non végétalien', 'Non végétarien']",4,7 g,en quantité modérée,2.4 g,en quantité modérée,0.89 g,en faible quantité,0.88 g,en quantité modérée,529,+52%,127,+49%,529 kj(127 kcal),+49%,7,+730%,"2,4",+948%,"2,4",-79%,"0,89",+41%,11,+81%,"0,88",+25%,"0,352",+25%,1,,B,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,['Moutarde'],
472,Saumon fumé extra au bois de chêne - Delpeyrat - 140g,3067163609560,D,Saumon Atlantique élevé au Royaume-Uni (Ecosse) et fumé au bois de chêne,140 g,['Carton'],['Delpeyrat'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,,['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97%', 'sel sec 3%']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,12 g,en quantité modérée,2.71 g,en quantité modérée,0.44 g,en faible quantité,2.54 g,en quantité élevée,835,+6%,200,+5%,835 kj(200 kcal),+5%,12,+8%,"2,71",+26%,"0,51",+3%,"0,44",+24%,"22,4",+1%,"2,54",-12%,"1,016",-12%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['Royaume-Uni', 'Ecosse', 'Saumon élevé au Royaume-Uni']",,['Poisson'],
473,Foie gras de canard entier du Sud-ouest - Delpeyrat - 180g,3067163609638,B,Foie gras de canard entier,180 g,"['Torchon', 'Plastique', 'Opercule aluminium', 'Papier']",['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['IGP', 'Charte qualité grand sud-ouest']",,['France'],"['Foie gras de canard du Sud-Ouest 96 %', 'gelée ', 'eau', 'Porto', 'gélatine de bœuf', 'sucre', 'sel', 'sel', 'épices', 'conservateur : nitrite de sodium']","['E428 - Gélatine', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Sud-ouest'],,['Grand Sud-ouest'],,,
474,Apéri'Saveurs - Bloc de foie gras de canard du Sud-Ouest à la fleur de sel de Guérande - Delpeyrat - 70g,3067163610108,A,,70 g,"['boîte', 'Verre', 'Conserve']",['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']","['IGP', 'Point Vert', 'Au sel de Guérande']",,['France'],"['Foie gras de canard du Sud-Ouest ', 'Origine : france', 'fleur de sel de Guérande 1,3 %', 'poivre', 'sucre', 'antioxydant : ascorbate de sodium']",['E301 - Ascorbate de sodium'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,482,-2%,2017 kj(482 kcal),-1%,50,-1%,21,-2%,"2,1",-1%,"0,9",-32%,"5,9",-4%,"1,1",-10%,"0,44",-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,"['France', 'Sud-Ouest', 'Sud-Ouest de la France']",,,
475,Delpeyrat confit de canard saucisse braisée légumes - 750g,3067163610955,E,,750 g,['Jar'],['Delpeyrat'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard', 'en:Meat and vegetables']",,,['France'],"['petits légumes 21% ', 'chou vert', 'poireau', 'céleri', 'carotte', 'hancots lingots cuits 17%', 'mancnon confit de canard 16% ', 'manchon de canard', 'sel', 'poivre', 'conservateur : nitrite de sodium', 'eau', 'saucisse de Toulouse précuitç 12% ', 'viande de porc', 'gras de porc', 'sel', 'sirop de plantes aromatiques', 'lactose', 'dextrose', 'anti0XYdeBayon11 arômes', 'boyau naturel de porc', 'dés dejamtbeounr ', 'nitratoese', 'porc', 'purée dlai ', 'poivre', 'thym', 'baies roses', 'de', 'ginge rpmarin', 'laurier', 'Mélange 4 épices ', 'musca ', 'cannelle']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,7.3 g,en quantité modérée,2.7 g,en quantité modérée,1.7 g,en faible quantité,0.6 g,en quantité modérée,527,-53%,126,-56%,527 kj(126 kcal),-55%,"7,3",-66%,"2,7",-62%,"4,7",+361%,"1,7",+542%,"9,5",-57%,"0,6",-60%,"0,24",-60%,0,-100%,B,-100%,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,,,,,"['Céleri', 'Lait']",
476,Effiloché de lapin à la moutarde - Delpeyrat - 310g,3067163611310,,,310 g,"['Carton', 'boîte', 'Plastique', 'surgelé']",['Delpeyrat'],"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au lapin ou lièvre', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Plats au lapin']","['Point Vert', 'Triman']",,['France'],"[""Sachet d'effiloché de lapin 210 g : Viande de lapin 60 %"", 'crème ', 'stabilisant : carraghénanes', 'eau', 'moutarde forte 7,3 % ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', ""moutarde à l'ancienne 1,7 % "", 'eau', ""vinaigre d'alcool"", 'graines de moutarde', 'téguments de graines de moutarde', 'sel', 'acidifiant : acide citrique', 'arômes', 'antioxydant : disulfite de potassium', 'épices', 'vin blanc', 'amidon de maïs', 'vinaigre de cidre', 'sel', 'arôme naturel', 'beurre', 'farine de blé', 'poivre', '\rSachet de garniture 100 g : Tagliatelles aux œufs précuites 97 % ', 'eau', 'semoule de blé dur', 'œufs frais 21,3 %', 'huile de tournesol', 'sel']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Non végétalien', 'Non végétarien']",4,7.2 g,en quantité modérée,2.91 g,en quantité modérée,0.4 g,en faible quantité,0.8 g,en quantité modérée,?,,148,+49%,619 kj(148 kcal),+51%,"7,2",+123%,"2,91",+155%,"9,5",+14%,"0,4",-69%,11,+59%,"0,8",-2%,"0,32",-2%,1,+900%,B,+900%,,,,,,,,,,,"['FR 79.329.014 CE', 'Thouars (Deux-Sèvres, France)']","['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",
477,Recette d'Antan - Foie gras de canard entier du Sud-Ouest - Delpeyrat - 180g,3067163614328,A,Foie gras de canard entier du Sud-Ouest au poivre frâichement moulu,180 g,"['Bocal', 'Verre']",['Delpeyrat'],"['Conserves', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['IGP', 'Canard 100\xa0% Sud-Ouest']",['Leclerc'],['France'],"['Foie gras de canard du Sud-Ouest', 'sel', 'poivre fraîchement moulu ', '0,5 %', 'conservateur : nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,56.1 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,1.28 g,en quantité modérée,2241,+2%,544,+3%,2241 kj(544 kcal),+1%,"56,1",+3%,"23,6",+2%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,28",+7%,"0,512",+7%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,"['France', 'Sud-Ouest']",,,
478,Foie gras de canard entier Classic - Delpeyrat - 175g,3067163614434,A,,175 g,"['Bocal', 'Verre']","['Delpeyrat', 'Delperyat Classic']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,['France'],"['Foie gras de canard', 'Porto', 'sel', 'Armagnac', 'poivre', 'conservateur : nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,56.1 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,1.28 g,en quantité modérée,2241,+2%,544,+3%,2241 kj(544 kcal),+1%,"56,1",+3%,"23,6",+2%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,28",+7%,"0,512",+7%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,['France'],,,
479,Bloc de Foie Gras de Canard - Delpeyrat - 330g,3067163614632,A,,330 g,"['Conserve', 'métal']",['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']","['Viande-francaise', 'Canard Français', 'Fabriqué en France']",,['France'],"['Foie gras de canard ', 'origine: France', 'eau', 'sel', 'Porto', 'Armagnac', 'poivre', 'conservateur: nitrite de sodium', 'antioxydant: ascorbate de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,482,-2%,2017 kj(482 kcal),-1%,50,-1%,21,-2%,"2,1",-1%,"0,9",-32%,"5,9",-4%,"1,1",-10%,"0,44",-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['France'],,['France'],,,
480,Delpeyrat Foie gras de canard entier du sud ouest Le bocal de - 300g (200 + 100g gratuit),3067163615110,B,,300 g (200 + 100g gratuit),,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,,['France'],"['Foie gras de canard du Sud-Ouest ', 'Origine: France', 'sel', 'poivre', 'conservateur: nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,56.1 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,"56,1",+3%,"23,6",+2%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,
481,Confit de gésiers de canard - Delpeyrat,3067163617350,,,,,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",,,['France'],[],,[],,5 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,163,-12%,682 kj(163 kcal),-12%,5,-19%,"2,1",+2%,"0,5",+97%,"0,5",+186%,29,+1%,"1,6",+10%,"0,64",+10%,11,+78%,D,+78%,,,,,,,,,,,,,
482,Jambon de Bayonne IGP DELPEYRAT 10tr.12 mois,3067163619170,E,,,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",,,['France'],"['el conservateur : nitratac potassium', ' Origine France', ' Conditionné sous atmosphère 30N DE • ambon protectrice', ' A conservera *80C maximum', ' Ouvrir la barquette 15min']",,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.2 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,2",+9%,"2,08",+9%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
483,Jambon de Bayonne - Delpeyrat - 100g,3067163619194,E,,100 g,,['Delpeyrat'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['Point Vert'],,['France'],[],,[],,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,5.1 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"5,1",+7%,"2,04",+7%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,
484,Classic - Bloc de foie gras de canard - Delpeyrat - 150g,3067163619408,B,,150 g,"['Conserve', 'Métal']","['Delpeyrat', 'Delpeyrat Classic']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,,['France'],"['Foie gras de canard', 'eau', 'sel', 'Porto', 'Armagnac', 'sucre', 'poivre', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,20.5 g,en quantité élevée,0.9 g,en faible quantité,1.12 g,en quantité modérée,1986,-2%,482,-2%,1986 kj(482 kcal),-3%,50,-1%,"20,5",-5%,"2,1",-1%,"0,9",-32%,"5,9",-4%,"1,12",-8%,"0,448",-8%,19,-7%,E,-7%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,
485,Fois gras de canard entier - Delpeyrat,3067163619446,B,,,,['Delpeyrat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",['Point Vert'],,['France'],"['Foie Gras de Canard', 'sel', 'poivre', 'sucre', 'conservateur : nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,56,+3%,24,+4%,"2,2",-9%,"0,9",-33%,"7,5",-1%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,
486,Crème de Vinaigre Balsamique au Poivre de Sichuan Spécial foie gras - Delpeyrat - 60ml,3067163619484,,,60 ml,"['Bouteille', 'Plastique']",['Delpeyrat'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre', 'Crèmes de vinaigre balsamique']",,,['France'],"['Jus de raisin', 'vinaigre balsamique 39% ', 'vinaigre de vin', 'moût de raisin cuit', 'E150d', 'amidon de mais modifié', 'vinaigre de vin blanc', 'sirop de glucose-fructose', 'sucre', 'eau', 'arôme naturel de poivre de Sichuan 0,56%']","[""E150d - Caramel au sulfite d'ammonium""]",[],4,0.1 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.04 g,en faible quantité,?,,207,+1%,866 kj(207 kcal),+2%,"0,1",+183%,"0,1",+726%,51,+3%,46,+16%,"0,7",-15%,"0,04",-48%,"0,016",-48%,12,+15%,D,+15%,,,,,,,,,,,,,
487,Foie Gras du Sud ouest - Delpeyrat,3067163619729,,,,,['Delpeyrat'],,,,['France'],[],,[],,,,,,,,,,?,,480,,2008 kj(480 kcal),,"49,5",,"21,5",,2,,"1,2",,"6,6",,"1,47",,"0,588",,,,,,,,,,,,,,,,,,
