,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
954,Hanseaten-pfeffer,4260271030045,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Chips saveur creme et oignons,3700548631199,,['France'],[],[],?,397,"13,1","15,6","45,1",,,,,,,,,,,,,,,,,1661 kj(397 kcal),"1,1","3,9","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,8888056708604,8888056708604,,['France'],[],[],?,81,"3,3","10,6","1,8",,,,,,,,,,,,,,,,,339 kj(81 kcal),"1,5","0,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,sel de guerande,3700233360106,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Saucisse de morteau,2450101038705,,['France'],[],[],?,47,30,"0,5",15,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,-85%,+9%,-9%,-11%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,197 kj(47 kcal),10,"0,5",2,"0,8",,,,,30 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,-85%,-6%,+30%,-10%,-10%,17,-22%,D,-22%,,,,,,,
959,Velouté courgette façon thaï -,3770010194330,,['France'],[],[],?,33,"0,96","2,7","0,82",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de courgettes']",,+3%,-41%,0%,+9%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,138 kj(33 kcal),"0,07","1,57","0,53","0,212",,,,,0.96 g,en faible quantité,0.07 g,en faible quantité,1.57 g,en faible quantité,0.53 g,en quantité modérée,+5%,-84%,+25%,-6%,-6%,2,+10%,B,+10%,,,,,,,
960,château la rose picot - 75cl,3760052370328,['Bouteille'],['France'],[],[],?,?,?,?,?,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins vinés']",,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Gofio Trigo Tueste Ligero - 1kg,8411285100583,,['France'],[],[],?,394,"2,1","78,3","10,7",,,,,,,,,,,,,,,,,1648 kj(394 kcal),"0,4","2,9","0,2","0,08",,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Mimolette,0239917010899,,['France'],[],[],?,322,"24,4","0,5",25,,,,,,,,,,,,,,,,,1347 kj(322 kcal),"16,7","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Petoncles farcies au beurre persillé,3500560007770,,['France'],[],[],?,470,48,"3,3","5,4",,,,,,,,,,,,,,,,,1966 kj(470 kcal),33,"0,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Merguez de boeuf,0205721018314,,['France'],[],[],?,229,17,"2,5",16,"['Bio', 'Bio européen', 'Sans colorants', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,958 kj(229 kcal),"8,1","1,1","2,25","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Hauts de cuisse de poulet - La Nouvelle Agriculture,0213323027351,,['France'],[],[],?,881,16,0,17,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,+361%,+29%,-100%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['La Nouvelle Agriculture'],3686 kj(881 kcal),"4,3",0,"0,18","0,072",,,,,16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,+360%,+28%,-100%,-76%,-76%,14,+297%,D,+297%,,,,,,,
966,Haddock fumé,2869722031222,,['France'],[],[],?,79,"0,6","0,5",18,['Sans colorants'],,,,,,,,,,,,,,,,331 kj(79 kcal),"0,5","0,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Pure mass advanced formula,0846616748086,,['France'],[],[],?,401,"1,5",80,17,,,,,,,,,,,,,,,,,1678 kj(401 kcal),0,"0,35","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Veloute de butternut au cumin,3770002981412,,['France'],[],[],?,28,"0,3","6,5","0,4",['Bio'],,,,,,,,,,,,,,,,117 kj(28 kcal),"0,06","1,3","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Miel,2090001348650,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Aceitunas negras pansidas mallorquina frasco 250 g - Caimari,8412520511447,,['France'],[],[],?,156,16,0,"1,3",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",,-19%,-13%,-100%,-2%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Caimari'],653 kj(156 kcal),3,0,"3,3","1,32",,,,,16 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,3.3 g,en quantité élevée,-18%,+8%,-100%,-6%,-6%,13,+6%,D,+6%,,,,,,,
971,Sucre en poudre blanc,3701066705249,,['France'],[],[],?,0,0,100,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Falafel - Vivera,8718300888571,,['France'],[],"['Végétalien', 'Végétarien']",?,206,"7,5","20,1","8,8","['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,['Vivera'],862 kj(206 kcal),"0,7",3,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,La Girasole,3760143820251,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Jardin Veda perte de poids,3510130470101,,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Oscar Mayer Delifresh Smoked Ham With Water Added,0044700030486,,"['France', 'États-Unis']","['Ham', 'water', 'cultured dextrose*', 'sugar', 'contains less than 2% of salt', 'vinegar', 'cultured celery juice', 'sodium phosphates', 'cherry powder', 'caramel color']","['Non végétalien', 'Non végétarien']",?,107,"2,68","1,79","19,64",,,"['Viandes', 'Charcuteries']",,-59%,-86%,+22%,+5%,,,,,,,,,448 kj(107 kcal),"0,89","1,79","2,232","0,893",,,,4,2.68 g,en faible quantité,0.89 g,en faible quantité,1.79 g,en faible quantité,2.23 g,en quantité élevée,-59%,-88%,+125%,-6%,-6%,5,-69%,C,-69%,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,Oscar Mayer Foods Corp.
976,Puree de pruneaux - 325g,3328400656014,,['France'],[],[],?,140,0,35,"0,8","['Sans sucre ajouté', 'Sans conservateurs']",,,,,,,,,,,,,,,,586 kj(140 kcal),0,"25,16",0,0,,325 g,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Miel italien d'acacia bio,3770005276805,,['France'],[],[],?,?,?,?,?,['Bio'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Tapenadine Olivade noire,2609854011095,,['France'],[],[],?,297,29,"2,8","1,3",,,,,,,,,,,,,,,,,1243 kj(297 kcal),"3,1","0,5","3,45","1,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Confiture Fraises à la vanille - Côteaux Nantais,3301595001906,,['France'],[],[],?,257,0,62,"0,5","['Bio', 'Bio européen']",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,+18%,-100%,+17%,+13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Côteaux Nantais'],1075 kj(257 kcal),0,62,0,0,,,,,0 g,en faible quantité,0 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,+18%,-100%,+22%,-100%,-100%,8,-8%,C,-8%,,,,,,,
980,Miel de châtaignier - Rayon d'Or,3301510201176,,['France'],[],[],?,?,?,?,?,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"[""Rayon d'Or""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Graines de courge chocolat noir 57%,9990000000074,,['France'],[],[],?,555,39,36,"12,5",,,,,,,,,,,,,,,,,2322 kj(555 kcal),20,33,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,fruit snack - Paskesz,0025675122123,,['France'],[],[],?,0,0,0,0,['en:gluten-free'],,,,,,,,,,,,,,,['Paskesz'],0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Salsa fresca de trufa - El Corte Ingles,8433329094771,,['France'],[],[],?,131,"9,9","5,3","4,4",,,,,,,,,,,,,,,,['El Corte Ingles'],548 kj(131 kcal),8,"2,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,72910702,72910702,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,RushPop Chocolat,8807203000323,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Nutribén 3 pro +,5600389821149,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Filete de pechuga de pavo al pimenton,2607448005222,,['France'],[],[],?,104,1,"3,2","20,6",,,,,,,,,,,,,,,,,435 kj(104 kcal),"0,4",0,"1,51","0,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Langue vinaigrette,3573400006110,,['France'],[],[],?,256,24,"1,4","7,8",,,,,,,,,,,,,,,,,1071 kj(256 kcal),"4,9","0,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Coeur de palmiers entiers - Sharon Valley - 400g,3564040047199,,['France'],[],[],?,10,0,0,2,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,-66%,-100%,-100%,-13%,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,['Sharon Valley'],42 kj(10 kcal),0,0,"0,35","0,14",,400 g,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.35 g,en quantité modérée,-65%,-100%,-100%,-54%,-54%,0,-100%,B,-100%,,,,,,,
990,Cookies,0201211014828,,['France'],[],[],?,430,19,67,"6,3",,,,,,,,,,,,,,,,,1799 kj(430 kcal),13,36,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Barquette Galette - 300g,0654479299177,,['France'],[],[],?,439,"21,4",56,"4,9",,,,,,,,,,,,,,,,,1837 kj(439 kcal),"13,7","24,4",1,"0,4",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Turron chocolate crujiente - 200g,8410538000816,,['France'],[],[],?,495,24,62,"5,1",['en:gluten-free'],,,,,,,,,,,,,,,,2071 kj(495 kcal),12,57,"0,25","0,1",,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Illy Espresso Capsules Ethiopia,8003753943732,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Escalope,0212693020474,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Confit d'oignons - La Vache qui regarde passer les Trains - 150g,4008164727968,,['France'],"['oignons* 59%', 'sucre*', 'vinaigre d\'alcool""', 'pectine', 'eau', 'baies roses*', 'sel', ' *ingrédients issus de agriculture biologique']",[],?,146,"0,1","34,3","0,7","['Bio', 'Bio européen', 'BE-BIO-01']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,-13%,-94%,-2%,-30%,,,,,,,,['La Vache qui regarde passer les Trains'],611 kj(146 kcal),0,"32,9","0,21","0,084",,150 g,,4,0.1 g,en faible quantité,0 g,en faible quantité,32.9 g,en quantité élevée,0.21 g,en faible quantité,-13%,-100%,+2%,-66%,-66%,3,-54%,C,-54%,,,['E440 - Pectines'],,,,
996,Merguez,0541409361760102401255,,['France'],[],[],?,324,28,"3,8",12,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,+23%,+30%,+80%,-16%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,1356 kj(324 kcal),13,"1,9","1,9","0,76",,,,,28 g,en quantité élevée,13 g,en quantité élevée,1.9 g,en faible quantité,1.9 g,en quantité élevée,+23%,+42%,+65%,-1%,-1%,22,+17%,E,+17%,,,,,,,
997,Crousti donuts,3178530416800,,['France'],[],['Sans huile de palme'],?,492,22,65,7,['en:palm-oil-free'],B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,+20%,-4%,+45%,+18%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,2059 kj(492 kcal),9,28,"0,86","0,344",,,,,22 g,en quantité élevée,9 g,en quantité élevée,28 g,en quantité élevée,0.86 g,en quantité modérée,+20%,-15%,+67%,-9%,-9%,23,+18%,E,+18%,,,,,,,
998,Lapin - La Nouvelle Agriculture,0253013054519,,['France'],[],[],?,110,24,0,22,,,,,,,,,,,,,,,,['La Nouvelle Agriculture'],460 kj(110 kcal),6,0,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Pizza jambon fromage -  - 180g,3283040317001,,['France'],[],[],?,233,6,31,11,,C,"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage']",,+6%,-12%,+13%,+5%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,975 kj(233 kcal),3,2,1,"0,4",,180 g,,,6 g,en quantité modérée,3 g,en quantité modérée,2 g,en faible quantité,1 g,en quantité modérée,+6%,-12%,-32%,-29%,-29%,3,-62%,C,-62%,,,,,,,
1000,Lait,3770009061049,,['France'],[],[],?,46,"1,6","4,8","3,2",,,,,,,,,,,,,,,,,192 kj(46 kcal),"0,9","4,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Nouille sèches,3683080220963,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Pâte à tartiner chocolat clémentine aux canistrelli de Corse,3339881200108,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Cominos molidos - Burriac,84139092,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,['Burriac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Croquants Angélique,3760270050231,,['France'],[],[],?,427,"8,8","80,1","5,63",,,,,,,,,,,,,,,,,1787 kj(427 kcal),1,"29,4","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Frami pickles - 360g,5601256801318,['Verre'],"['Belgique', 'France', 'Portugal', 'Suisse']","['Eau', 'chou-fleur', 'carotte', 'concombre', 'oignons nouveaux', 'poivron rouge', 'sel et vinaigre']",[],46,11,"0,4","0,1","0,6",,,['Pickles'],-90%,-91%,-96%,-96%,-53%,,,,,,,,['Frami'],46 kj(11 kcal),"0,1","0,1",4,"1,6",,360 g,,3,0.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,4 g,en quantité élevée,-91%,-94%,-90%,+39%,+39%,8,-4%,C,-4%,,,,Pickles,,,
1006,Pain rond céréales,2020000377689,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Pica tapas - 160g,3567891131703,,['France'],[],[],?,161,"8,8","0,5","20,1",,,,,,,,,,,,,,,,,674 kj(161 kcal),"1,8","0,5","1,51","0,604",,160 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Vers de farine Cèpes - 18g,0779900599036,,['France'],[],[],?,500,"29,1",5,52,,,"['Viandes', 'Insectes']",,+11%,+24%,-43%,+10%,,,,,,,,,2092 kj(500 kcal),"7,1","1,6","2,4","0,96",,18 g,,,29.1 g,en quantité élevée,7.1 g,en quantité élevée,1.6 g,en faible quantité,2.4 g,en quantité élevée,+13%,+8%,-38%,+22%,+22%,23,+62%,E,+62%,,,,,,,
1009,Côte cuite,2677648026891,,['France'],[],[],?,232,17,"0,5",20,"['Sans gluten', 'Point Vert']",,,,,,,,,,,,,,,,971 kj(232 kcal),"7,4","0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Wildfond - Lacroix,4260125367129,['Glas/Gläser'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,"['Epicerie', 'Bouillons']",,,,,,,,,,,,,['Lacroix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Magret de canard au piment d'Espelette,2249067054122,,['France'],[],[],?,314,27,"3,3",15,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,-8%,-8%,+164%,-16%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,1314 kj(314 kcal),"8,2","1,5","1,4","0,56",,,,,27 g,en quantité élevée,8.2 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,-7%,-18%,+124%,-15%,-15%,17,-8%,D,-8%,,,,,,,
1012,Melange sportif,2609943048872,,['France'],[],[],?,484,30,31,17,,,,,,,,,,,,,,,,,2025 kj(484 kcal),"2,2",30,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Rhum,3290082021315,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Pilons de poulet - La Nouvelle Agriculture,0213328023488,,['France'],[],[],?,?,?,?,?,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,
1015,Le petit breziat,0241960119382,,['France'],[],[],?,316,20,"2,7","26,1",['Sans colorants'],,,,,,,,,,,,,,,,1322 kj(316 kcal),"8,9","0,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Carré gourmand - 160g,7633035694956,,['France'],[],[],?,189,9,17,"8,5",['Sans colorants'],,,,,,,,,,,,,,,,791 kj(189 kcal),2,"3,5","0,9","0,36",,160 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Redondo de pollo asado con queso de cabra y cebolla,8436565360754,,['France'],[],[],?,166,"7,6",6,"18,3",,,,,,,,,,,,,,,,,695 kj(166 kcal),"3,1","1,1","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,White coffee,9555076300000,,['France'],[],[],?,179,"6,5","28,7","1,3",,,,,,,,,,,,,,,,,749 kj(179 kcal),"6,4",13,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Decoupe de poulet,2871651045850,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,
1020,Palette à la diable,2657317046573,,['France'],[],[],?,120,"7,7","0,7",12,,,,,,,,,,,,,,,,,502 kj(120 kcal),3,"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Sel de cuisine - 750g,3183280006171,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Filets de poulet,0219966024931,,['France'],[],[],?,?,?,?,?,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,
1023,Wrap provençal,00012362,,['France'],[],[],?,236,"9,6","26,4","8,2",,,,,,,,,,,,,,,,,987 kj(236 kcal),"4,9","2,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Terrine de Truite fumée,3760273400057,,['France'],[],[],?,204,14,"4,8",15,,,,,,,,,,,,,,,,,854 kj(204 kcal),"7,9","1,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Morteau saucisse,2606181038641,,['France'],[],[],?,323,"28,1","0,6","16,8",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,+2%,+2%,+9%,0%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,1351 kj(323 kcal),"10,5","0,6","3,6","1,44",,,,,28.1 g,en quantité élevée,10.5 g,en quantité élevée,0.6 g,en faible quantité,3.6 g,en quantité élevée,+2%,-1%,+55%,+61%,+61%,24,+10%,E,+10%,,,,,"['FR 39.198.004 CE', 'Dole (Jura, France)']",,
1026,0201547009840,0201547009840,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Préfou Ail - Paso,3760114578457,,['France'],[],[],?,338,"17,7","37,1","6,3",,,,,,,,,,,,,,,,['Paso'],1414 kj(338 kcal),"8,9","1,5","1,83","0,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Pizza de queso de cabra bacon espinacas tomate y orégano - Pizza de la Plaça,8437016621073,,['France'],[],[],?,259,"12,7",21,"14,4",,,,,,,,,,,,,,,,['Pizza de la Plaça'],1084 kj(259 kcal),"7,3","1,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Truite de mer fumé - 4 tranches,2441551077468,,['France'],[],[],?,180,"9,27","0,69","23,4",,,['Truites de mer'],,,,,,,,,,,,,,753 kj(180 kcal),"1,71",0,"3,18","1,272",,,,,9.27 g,en quantité modérée,1.71 g,en quantité modérée,0 g,en faible quantité,3.18 g,en quantité élevée,,,,,,13,,D,,,,,,,,
1030,2237284008721,2237284008721,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Bavette daloyau,2298829028994,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Sainte marguerite,3250392723644,,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,0,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Happy Start,5908234810103,,['France'],[],[],?,532,33,48,"9,4",,,,,,,,,,,,,,,,,2226 kj(532 kcal),13,26,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Lingot,3760208100045,,['France'],[],[],?,273,22,"0,7",18,,,,,,,,,,,,,,,,,1142 kj(273 kcal),17,"0,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Chorizo ibérique,2165405006472,,['France'],[],[],?,395,32,"3,1",23,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,1653 kj(395 kcal),14,"1,6","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Gouda Holland,0239920013122,,['France'],[],[],?,364,30,"0,5",23,,,,,,,,,,,,,,,,,1523 kj(364 kcal),21,"0,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Emmental de Savoie IGP au lait cru,2227174020995,,['France'],[],[],?,396,31,0,29,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals de Savoie']",,-0%,0%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,1657 kj(396 kcal),20,0,"0,3","0,12",,,,,31 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.3 g,en quantité modérée,-0%,-1%,-100%,-3%,-3%,10,0%,C,0%,,,,,,,
1038,Fruit rouge - 290g,3385635072132,,['France'],[],[],?,100,"0,6",10,"1,1",,,,,,,,,,,,,,,,,418 kj(100 kcal),"0,1",10,"0,1","0,04",,290 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Donuts chocolat,0201443009180,,['France'],[],[],?,?,?,?,?,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Terrine forestiere,2274704011749,,['France'],[],[],?,332,"29,3",7,"9,9",,,,,,,,,,,,,,,,,1389 kj(332 kcal),12,"2,6","1,32","0,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,
