,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,packaging,nova_score,generic_name,markets,additives,origin_detail,producer_info,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
34,Yogourt brebis vanille,7623700135112,['France'],[],[],?,126.2,528 kj(126 kcal),"6,4","3,7","11,9","11,8","5,1","0,1","0,04",,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",6.4 g,en quantité modérée,3.7 g,en quantité modérée,11.8 g,en quantité modérée,0.1 g,en faible quantité,,+20%,+20%,+25%,+11%,+25%,+46%,+5%,-7%,-7%,3,+16%,C,+16%,,,,,,,,,,,,,,,,,,,,,
35,Allioli - Chovi,8410422111017,['France'],[],[],?,746,3121 kj(746 kcal),82,10,0,0,"1,1",13,"5,2",['Chovi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Croissance U_TOUT_PETITS Bio - 10mois à 3ans, 6bouteilles de 1l",3256227428845,['France'],"['LAIT partiellement écrémé* ', 'origine France', ' ', 'eau', 'LACTOSE*', 'maltodextrines*', 'huiles végétales* ', 'colza', 'tournesol', 'vitamines : A', 'E', 'B1', 'B2', 'B5', 'B6', 'B8', 'B9', 'B12', 'C', 'D3', 'K1 et PP', ""substances d'apport mineral : citrate de sodium"", 'citrate de calcium', 'phosphate de calcium', 'sulfates de fer', 'de magnesium', 'de zinc', 'de cuivre et de manganèse', 'iodure et hydroxyde de potassium', 'sélénite de sodium', 'émulsifiant : lécithine de tournesol*', ""arôme naturel * ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",261,62,261 kj(62 kcal),3,"1,2","7,1","5,6","1,7",,,['U'],,"10 mois à 3 ans, 6 bouteilles de 1 l",A,"['Aliments pour bébé', 'Laits pour bébé']",,,,,,,,,-72%,-73%,-72%,-70%,-63%,-73%,-67%,-65%,,,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,"['Bio', 'Bio européen', 'Lait Français', 'Arômes naturels', 'Conditionné en France', 'Transformé en France']",['Lait'],"['BIO', 'bouteilles']",4,,['Magasins U'],['E322i - Lécithine'],,,,,,,
37,"Confiture de Fraise, Framboise et Myrtille - Albert Ménès - 230g",3234750038618,['France'],"['Fruits BIO ', ' fraises BIO 40%', 'framboises BIO 40% et myrtilles BIO 20%', ',sucre BIO', 'gélifiant: pectine de fruits']",[],943,222,943 kj(222 kcal),"0,5","0,1",53,53,"0,5","0,04","0,016",['Albert Ménès'],,230 g,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']",0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0.04 g,en faible quantité,+0%,+2%,+3%,+97%,+119%,+1%,+5%,-8%,+94%,+94%,9,-5%,C,-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,"['bocal en verre', 'capsule en métal']",4,"BIO Confiture Extra de Fraise, Framboise et Myrtille",,['E440 - Pectines'],,,,,,,
38,Aceite de oliva virgen extra bidón - Olibeas,8437001198030,['France'],[],[],?,900,3766 kj(900 kcal),100,14,0,0,0,0,0,['Olibeas'],,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
39,Carabao,8855790000042,['France'],[],[],?,57,238 kj(57 kcal),0,0,14,14,0,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Nem au poulet,3386030007194,['France'],[],[],?,193,808 kj(193 kcal),"9,6","1,5",18,"2,2","7,2","1,1","0,44",,,,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",9.6 g,en quantité modérée,1.5 g,en quantité modérée,2.2 g,en faible quantité,1.1 g,en quantité modérée,,-4%,-3%,+21%,+18%,-21%,-17%,+0%,-13%,-13%,3,-29%,C,-29%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,['Sans conservateurs'],,,,,,,,,,,,,
41,Super smoothie,7613404186336,['France'],[],[],?,54,226 kj(54 kcal),"0,5",0,11,10,"0,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Nuggets de poisson pané - 400g,26052205,['France'],[],[],?,210,879 kj(210 kcal),"9,2",1,18,"0,7",13,"0,91","0,364",,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,
43,Bonbon de sucre cuit -,3700589951089,['France'],[],[],?,437,1828 kj(437 kcal),"5,3","0,6",89,85,"3,4",0,0,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",5.3 g,en quantité modérée,0.6 g,en faible quantité,85 g,en quantité élevée,0 g,en faible quantité,,+23%,+22%,+185%,-43%,+7%,+47%,+60%,-100%,-100%,15,+4%,D,+4%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
