,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
46,Grillade de veau - Leaderprice,3263859861995,['France'],[],[],?,247,1033 kj(247 kcal),15,"6,5",15,"2,1",13,"1,1","0,44",,,['Leaderprice'],,,"['EMB 03315A', ""Villefranche-d'Allier (Allier, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bio-Saft Tomate gemüse,20252557,['France'],[],[],?,20,84 kj(20 kcal),"0,1",0,"3,3","3,3","0,8","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rosette a l’ancienne pur porc - Cora,3257986635352,['France'],[],[],?,371,1552 kj(371 kcal),"29,6","11,3","0,5","0,5","25,8","4,6","1,84",,,['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Melon,3461602234816,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Nourriture pour poisson,4008239200853,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Olive taggiasche,8019730079820,['France'],[],[],?,351,1469 kj(351 kcal),"37,4",6,"1,1",0,"1,1",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Carrefour VEGGIE tarte courgettes, poivrons, mozzarella",3276557877472,['France'],[],[],?,250,1046 kj(250 kcal),14,"5,1",21,3,"8,5","0,9","0,36",,,,,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Miel de tilleul,3760097451327,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
54,Coffe bars,4751030160061,['France'],[],[],?,488,2042 kj(488 kcal),"39,8","24,8","28,4",7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Créatine - Prozis - 300g,5600380893800,['France'],['CREATINE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,0,?,,?,,,300 g,"['Pot', 'Plastique']",['Prozis'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding']","['Végétarien', 'Végétalien', 'Creapure']",,,,1,,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,
