,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
1546,"Flans goût vanille nappés caramel Kids Leader Price - 1,2Kg (12x 100g)",3263859660314,,['Leader Price'],"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Flans gélifiés', 'Desserts lactés aux œufs', 'Flans-gout-vanille-nappes-caramel']",['Triman'],"['Franprix', 'Leader Price']",['France'],"['Lait entier 76% - sucre - caramel 5,9% ', 'eau', 'sucre', 'sirop de glucose-fructose', ' - amidons transformés de pomme de terre - épaississant : gomme xanthane - gélifiants : pectine', ""carraghénanes - arôme - colorant : bêta-carotène - correcteur d'acidité : citrates de sodium""]","[""Pourrait contenir de l'huile de palme""]",2.8 g,en faible quantité,1.6 g,en quantité modérée,16 g,en quantité élevée,0.102 g,en faible quantité,484,-23%,?,,484 kj(116 kcal),-23%,"2,8",-48%,"1,6",-48%,20,-1%,16,-11%,"2,5",-41%,"0,102",-30%,"0,041",-30%,4,-30%,C,-30%,,,,,,,,"1,2 Kg (12 x 100 g)",4,"['Carton', 'pot plastique', 'Opercule', 'Frais']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène', 'E331 - Citrates de sodium']",['Lait'],,"['FR 89.209.001 CE', 'Jouy (Yonne, France)']",,Flans goût vanille nappés caramel,,,,,
1547,"Panna cotta sur lit de fruits rouges - Leader Price - 360g, 4pots de 90g",3263859661113,B,['Leader Price'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Panna cottas au coulis de fruits', 'Panna cottas aux fruits rouges']",,"['Leade Price', 'Leader Price']",['France'],"['lait écrémé 55%', 'crème 23%', 'préparation Fruits rouges ', 'sirop de glucose - fructose', 'fruits 4', '4% ', 'fraise', 'mûre', 'myrtille', 'framboise', 'sucre', 'amidons modifié de pomme de terre', ""correcteur d'acidité "", 'citrate de sodium', 'stabilisants ', 'gomme xanthane', 'alginate de sodium', 'conservateur de fruit ', 'sorbate de potassium', 'arômes', 'colorant ', 'carmin', 'sucre', 'fécule de pomme de terre', 'épaississants ', 'carraghénanes', 'petines', 'poudr de lait écrémé', 'arôme vanille']","['Non végétalien', 'Non végétarien']",8.9 g,en quantité modérée,5.9 g,en quantité élevée,16 g,en quantité élevée,0.13 g,en faible quantité,674,,?,,674 kj(161 kcal),-7%,"8,9",-8%,"5,9",-5%,"18,1",+2%,16,+1%,"2,2",-18%,"0,13",+31%,"0,052",+31%,9,-2%,C,-2%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,"360 g, 4 pots de 90g",4,"['Frais', 'Opercule plastique et pot plastique à jeter', 'Étui carton à recycler', 'Triman']","['E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],,"['EMB 14630', 'Saint-Martin-des-Entrées (Calvados, France)', 'FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,Dessert lacté vanille sur lit de fruits rouges,,,,,
1548,Tiramisu au spéculoos - Franprix - 2x100g,3263859695118,E,['Franprix'],"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",,['Franprix'],['France'],"['eau - spéculoos 23% ', 'farine de blé - sucre candi - beurre - œufs - sirop de sucre - sel - poudre à lever: carbonates de sodium - cannelle', "" - sirop de glucose - lait écrémé en poudre - mascarpone 6,1% [crème - lait - correcteur d'acidité : acide lactique "", 'contient lait', ""] - oeufs - huile de tournesol - sucre - vin Marsala 1,2% - alcool - fibre d'agrumes - cacao en poudre 0,5% - café soluble 0,3% - épaississant: carraghénanes - émulsifiant : mono - et diglycérides d'acides gras - arômes naturels "", 'contient lait', 'oeufs', ' - extrait de café 0,04%', ' Teneur en alcool:1,2%', ' Traces de fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",11 g,en quantité modérée,4.8 g,en quantité modérée,25 g,en quantité élevée,0.4 g,en quantité modérée,?,,280,+6%,1172 kj(280 kcal),+7%,11,-8%,"4,8",-40%,38,+18%,25,+17%,"4,5",+9%,"0,4",+129%,"0,16",+129%,12,-12%,D,-12%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,2x100g,4,,"['E500 - Carbonates de sodium', 'E270 - Acide lactique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']",,['IT Q7S5F CE'],,,,,,,
1549,Fromage frais nature bio - Leader price - 400g (4 * 100g),3263859710316,,['Leader price'],,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['Leader Price'],['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"3,2",,"2,1",,"3,4",,"3,4",,"7,5",,"0,1",,"0,04",,,,,,,,,,,,,400 g (4 * 100 g),,,,,,"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",,,,,,,
1550,Faisselle fromage frais - Leader Price - 1kg,3263859711412,B,['Leader Price'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,['Leader Price'],['France'],"['Lait écrémé pasteurisé ', 'origine : France', ' - Crème pasteurisée ', 'origine : France', ' - poudre de lait écrémé ', 'origine: France', ' - ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",6 g,en quantité modérée,3.7 g,en quantité modérée,4.3 g,en faible quantité,0.2 g,en faible quantité,?,,89,+3%,372 kj(89 kcal),+4%,6,+13%,"3,7",+10%,"4,7",+7%,"4,3",+26%,"3,6",-19%,"0,2",+80%,"0,08",+80%,2,+36%,B,+36%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,1 kg,3,['Plastique'],,['Lait'],,"['FR 71.558.002 CE', 'Varennes-Saint-Sauveur (Saône-et-Loire, France)']",,,,,,,
1551,Purée de Pomme Poire - Leader price - 360g,3263859730710,B,['Leader price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']","['Peu ou pas de sucre', 'Point Vert', 'Sans sucre ajouté']","['Franprix', 'Leader Price']",['France'],"['Purée de pommes 73%', 'purée de poires 27%', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,222,-15%,?,,222 kj(53 kcal),-15%,"0,5",+53%,0,-100%,11,-20%,11,-11%,"0,5",+42%,0,-100%,0,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,360 g,1,"['Frais', 'Pot', 'Plastique']",['E300 - Acide ascorbique'],,['France'],"['EMB 26252D', 'Portes-lès-Valence (Drôme, France)']",,Purée de Pomme Poire sans sucres ajoutés,,,,,
1552,Crème d'Isigny (40% MG) - Franprix - 198g (20cl),3263859751319,C,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Frais', 'Crèmes entières', ""Crème Fraîche d'Isigny"", 'Crèmes fraîches']",['AOP'],['Franprix'],['France'],"['crème de lait de vache pasteurisée', 'ferments lactiques']",[],40 g,en quantité élevée,28.5 g,en quantité élevée,2.9 g,en faible quantité,0.08 g,en faible quantité,1570,,?,,1570 kj(375 kcal),+2%,40,+3%,"28,5",+8%,"2,9",+1%,"2,9",+1%,"2,4",+9%,"0,08",-1%,"0,032",-1%,14,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,198 g (20 cl),3,"['Bocal', 'Verre', 'Métal', 'Frais']",,['Lait'],,"['FR 14.342.001 CE', 'Isigny-sur-Mer (Calvados, France)']",,Crème fraîche d'Isigny AOP à 40% de Mat. Gr.,,,,,
1553,Pain de mie extra-moelleux nature - Leader Price - 750g,3263859760410,B,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,['Leader Price'],['France'],"[""Farine de blé - eau - huile de colza - dextrose - levure - sucre - sel - gluten de blé - émulsifiants : mono - et diglycérides d'acides gras - lécithines - esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d’acides gras - farine de fève - conservateur : propionate de calcium - épaississant : gomme xanthane"", 'agent de traitement de la farine : acide ascorbique']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4.5 g,en quantité modérée,0.5 g,en faible quantité,4.5 g,en faible quantité,1.27 g,en quantité modérée,1139,+1%,270,+2%,1139 kj(270 kcal),+2%,"4,5",+1%,"0,5",-23%,48,+5%,"4,5",-14%,8,-5%,"1,27",+11%,"0,508",+11%,4,+176%,C,+176%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,750g,4,"['Sachet', 'Plastique']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E415 - Gomme xanthane', 'E300 - Acide ascorbique']",['Gluten'],,,,,,,,,
1554,Baguette précuite - Leader Price - 250g,3263859764814,B,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains précuits']",['Point Vert'],['Leader Price'],['France'],"['Farine de blé 60 % - eau - levain ', 'contient de la farine de blé', ' - farine de blé malté - alcool éthylique']",['Sans huile de palme'],0.6 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,1.32 g,en quantité modérée,?,,249,-2%,1042 kj(249 kcal),-3%,"0,6",-76%,"0,1",-82%,"51,6",+7%,3,0%,"7,9",+3%,"1,32",+6%,"0,528",+6%,2,-9%,B,-9%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,250 g,1,"['Plastique', 'Sachet']",['E1510 - Éthanol'],['Gluten'],['EMB 59225'],"['EMB 59225', 'Feignies (Nord, France)']",,,,,,,
1555,2 Galettes de Sarrasin - Jambon Champignons et Emmental - Leader Price - 250g,3263859801618,A,['Leader Price'],"['Surgelés', 'Plats préparés', 'Crêpes et galettes', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Galettes', 'Galettes de blé noir']","['Point Vert', 'Triman']","['Franprix', 'Leader Price']",['France'],"['Pâte 40% ', 'Eau - farine de blé - farine de sarrasin 5,5% - œufs entiers en poudre -  lactose - huile de tournesol - sel - lait écrémé en poudre', ' - jambon supérieur 15% [jambon de porc 91% - eau - sel - sirop de glucose - arômes naturels ', 'arôme naturel de porc - extrait de levure', ' — conservateurs ', 'E316 - E250', '] - champignon de Paris 13% - emmental 12% - crème - eau - oignons - amidon transformé de manioc - lait entier en poudre - huile de colza - sel - ail']","['Non végétalien', 'Non végétarien']",8.9 g,en quantité modérée,5.2 g,en quantité élevée,1.6 g,en faible quantité,1.1 g,en quantité modérée,746,+0%,178,+1%,746 kj(178 kcal),+1%,"8,9",+129%,"5,2",+227%,"13,9",-49%,"1,6",+123%,"9,9",+45%,"1,1",-17%,"0,44",-17%,11,+114%,D,+114%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,250 g,4,"['Carton', 'Surgelé']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait']",['France'],"['FR 29.058.020 CE', 'Fouesnant (Finistère, France)', 'EMB 29058C', 'Fouesnant (Finistère, France)']",,"2 galettes de sarrasin au jambon, champignon et emmental surgelées.",,,,,
1556,Pizza - Leader Price - 355g,3263859815417,B,['Leader Price'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas au thon']",['Point Vert'],['Leader Price'],['France'],"['Farine de blé ', 'farine de blé - agent de traitement de la farine: acide ascorbique', "" - purée de tomates - eau - thon  à l'huile 10 % "", ' thon 8', '4% - huile de tournesol - sel', ' - huile de colza - mozzarella 7% - édam 7% -  oignons frits ', 'oignons - huile de tournesol', ' - levure - sucre -  oignons - sel - plantes aromatiques ', 'dont persil 0', '3%', '  - fromages à pâte dure - crème fraîche - ail - câpres ', 'câpres - eau - sel', ' - amidon de pois et de pomme de terre - épices - protéines de blé -   amidon de blé']","['Non végétalien', 'Non végétarien']",12.8 g,en quantité modérée,3.2 g,en quantité modérée,3.6 g,en faible quantité,1 g,en quantité modérée,?,,246,+6%,1029 kj(246 kcal),+6%,"12,8",+33%,"3,2",+9%,"22,1",-10%,"3,6",+17%,"9,7",-5%,1,-12%,"0,4",-12%,5,+2%,C,+2%,66.0%,11.0%,4.2%,7.2%,2.4%,9.2%,67,355 g,3,"['Carton', 'surgelé']",['E300 - Acide ascorbique'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",,,,,,,,,
1557,"Pommes de terre frites - Leader Price - 2,5kg",3263859873219,B,"['Leader Price', 'Clarebout Potatoes']","['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites de pommes de terre surgelées cuites en friteuse', 'Frites surgelées']",['Fabriqué en Belgique'],['Leader Price'],['France'],"['Pommes de terre 96%', 'huile de palme 4%', 'stabilisant : diphosphate disodique']","['Huile de palme', 'Végétalien', 'Végétarien']",4 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,0.1 g,en faible quantité,?,,132,-13%,552 kj(132 kcal),-14%,4,-19%,"2,2",+236%,21,-8%,"0,2",-59%,"2,1",-16%,"0,1",-65%,"0,04",-65%,1,,B,,39.9%,0.9%,13.2%,11.2%,15.6%,19.1%,86,"2,5 kg",4,"['Plastique', 'Surgelé']",['E450i - Pyrophosphate de sodium acide'],,"['Clarebout', 'France']",['EMB B-02613'],['Belgique'],"Pommes de terre frites, préfrites, surgelées",['Huile de palme'],,,,
1558,Légumes cuisinés à la méridionale - Leader Price - 900g,3263859882518,,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Plats préparés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Plats préparés surgelés']",,"['Leader Price', 'Franprix']",['France'],"['Légumes 61% ', 'haricots verts 29% - tomate 14% - poivrons 9% - oignons 9%', ' - légumes préfrits 32% ', 'aubergines 17% - courgettes 15% - huile de tournesol', '- sauce 7% ', 'courgette - eau - huile de tournesol - poivron rouge - oignon - ail - sel - extrait de levure - basilic - origan - romarin - laurier en poudre - poivre - sauge - thym - menthe - fenouil - anis étoilé - piment']","['Sans huile de palme', 'Végétalien', 'Végétarien']",5 g,en quantité modérée,0.7 g,en faible quantité,2.2 g,en faible quantité,0.24 g,en faible quantité,295,+73%,71,+54%,295 kj(71 kcal),+56%,5,+367%,"0,7",+156%,"3,5",-25%,"2,2",+4%,"1,3",-43%,"0,24",+45%,"0,096",+45%,-7,,A,,,,,,,,,900 g,3,"['Plastique', 'Surgelé']",,,['Italie'],,,"Mélange de lagumes avec sauce, surgelé",,,,,
1559,Glace rhum & raisins - Leader Price - 1L (510g),3263859900311,B,['Leader Price'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces rhum-raisin']",,['Leader Price'],['France'],"['Lait écrémé réhydraté', 'eau', 'sirop de glucose-fructose', 'préparation de raisins au rhum 9,5 % ', 'raisins secs 7,1 %', 'rhum 2,1 %', 'eau', 'gélifiant : gomme xanthane', 'sucre', 'graisse de coprah', 'lactose et protéines de lait', 'rhum 1,5 % ', 'rhum', 'gélifiant : gomme xanthane', 'arômes naturels', 'émulsifiant ', "" mono- et diglycérides d'acides gras"", 'gélifiants : farine de graines de caroube', 'gomme guar', 'colorant : caroténoïdes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",8.6 g,en quantité modérée,7.6 g,en quantité élevée,23.4 g,en quantité élevée,0.1 g,en faible quantité,788,,?,,788 kj(188 kcal),+10%,"8,6",+24%,"7,6",+66%,"25,7",+9%,"23,4",+14%,"1,8",-28%,"0,1",-11%,"0,04",-11%,14,+48%,D,+48%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,1 L (510 g),4,"['Surgelé', 'Bac', 'Plastique']","['E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E160 - Caroténoïdes']",['Lait'],['France'],"['EMB 29181', 'Plouédern (Finistère, France)']",,,,,,,
1560,Cocktail de Fruits Rouges - Leader Price - 600g,3263859929619,,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Fruits et produits dérivés', 'Aliments à base de plantes surgelés', 'Fruits', 'Fruits surgelés', 'Fruits rouges surgelés']",['Point Vert'],"['Franprix', 'Leader Price']",['France'],['Framboises 30% - groseilles 20% - myrtilles 20% - mûres 20% - cassis 10%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.3 g,en faible quantité,6.7 g,en quantité modérée,0 g,en faible quantité,240,+31%,57,+16%,240 kj(57 kcal),+22%,"0,5",+39%,"0,3",+364%,"9,6",+32%,"6,7",+3%,1,-7%,0,-100%,0,-100%,-9,,A,,,,,,,,,600 g,1,"['Sachet', 'Plastique', 'Surgelé']",,,,,,,,,,,
1561,Germagerme - 250 G - Abbaye De Sept-Fons,3264950120172,,['Abbaye de sept fons'],['Compléments alimentaires'],"['Bio', 'en:Bio']",,['France'],[],[],9.4 g,en quantité modérée,1.8 g,en quantité modérée,13 g,en quantité élevée,0.05 g,en faible quantité,?,,1617,+456%,6766 kj(1617 kcal),+459%,"9,4",+49%,"1,8",-28%,38,+99%,13,+83%,31,-9%,"0,05",-91%,"0,02",-91%,8,+22%,C,+22%,,,,,,,,250 g,,,,,,,,,,,,,
1562,Pâtes d'Alsace à l'ancienne - Valfleuri - 500g,3264963003622,,['Valfleuri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['IGP'],,['France'],"['Semoule de blé dur de qualité supérieure', ""30% d'oeufs frais de poules élevées en plein air soit 320 g par kilo de semoule""]",[],4.6 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,?,,363,+9%,1519 kj(363 kcal),+9%,"4,6",+78%,"1,2",+72%,64,+4%,3,+8%,15,+29%,"0,1",-53%,"0,04",-53%,-3,,A,,,,,,,,,500 g,1,['Sachet plastique'],,"['Œufs', 'Gluten']",['France'],,['France'],,,http://www.valfleuri.fr,,,
1563,Pat'atouille - Valfleuri - 250g,3264963011603,,['Valfleuri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,['France'],"['Semoule de blé dur de qualité supérieure', '23% de légumes déshydratés ', 'carottes', 'haricots verts', 'oignons', 'tomates', 'poivrons rouges', 'petits pois', 'betterave', ""blanc d'œuf déshydraté"", 'paprika']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.6 g,en faible quantité,0.4 g,en faible quantité,9 g,en quantité modérée,0.3 g,en quantité modérée,?,,334,+1%,1397 kj(334 kcal),+1%,"1,6",-38%,"0,4",-43%,61,-1%,9,+225%,"15,5",+34%,"0,3",+42%,"0,12",+42%,-4,,A,,,,,,,,,250 g,1,['Sachet plastique'],,"['Œufs', 'Gluten']",['France'],,,,,http://www.valfleuri.fr,,,
1564,Sirop de menthe - Maison Guiot - 70cl,3265266070267,A,['Maison Guiot'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', ""Sirops d'ananas"", 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,['France'],"['Sucre', 'eau', ' citrique', ""jus concentré d'ananas"", 'arôme', 'émulsifiants : E445', 'colorant : curcumine']",[],,,,,,,,,?,,34,-87%,142 kj(34 kcal),-87%,0,-100%,0,-100%,"8,5",-87%,"8,5",-87%,0,-100%,0,,0,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,70 cl,4,"['Verre', 'Bouteille']","['E445 - Esters glycériques de résine de bois', 'E100 - Curcumine']",,,,,,,http://www.lamaisonguiot.com/sirop_ananas.html,,,
1565,Sirop de Melon - Monin - 70cl,3265266075330,A,['Monin'],"['Boissons', 'Sirops', 'Boissons sans alcool', 'Sirops aromatisés', 'Boissons avec sucre ajouté']",,,['France'],"['Sucre', 'eau', 'jus concentrés de fruits', 'émulsifiants : E445', ""gomme d'acacia"", 'arôme', 'colorant : lutéine', ' Jus de fruits mis en oeuvre : 35% dont 19% de melon']",[],,,,,,,,,?,,315,+729%,1318 kj(315 kcal),+689%,0,-100%,0,-100%,"78,7",+810%,"77,6",+956%,"0,06",-74%,"0,03",+44%,"0,012",+44%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,70 cl,4,['bouteille en verre'],"['E445 - Esters glycériques de résine de bois', ""E414 - Gomme d'acacia"", 'E161b - Lutéine']",,['France'],,,,,,,,
1566,"Coeur de Tournesol - Lesieur - 67,5cL",3265472162008,C,['Lesieur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,,['France'],['100 % huile de tournesol origine France'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,11,+4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,"67,5 cL",2,"['Bouteille', 'Plastique']",,,,,['France'],Huile de tournesol pour assisonnement et cuisson,,,,,
1567,Huile d'olive Vierge Extra - Puget - 750ml,3265475437004,D,['Puget'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Point Vert'],,['France'],"[""Huile d'olive""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+5%,900,+5%,3700 kj(900 kcal),+3%,100,+5%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,750 ml,2,['Plastique'],,,,,['Union européenne'],,,https://www.puget.fr/les-produits/puget-classique/#debut_produit,,,
1568,Fine & Douce - Mayonnaise sans moutarde - Lesieur - 713g,3265479063001,B,['Lesieur'],"['Epicerie', 'Sauces', 'Mayonnaises']","['Plein air', 'Œufs de poules élevées en plein air', 'Origine France']",['Cora'],['France'],"['Huile de colza Origine France 69,5%', 'eau', 'vinaigres ', 'alcool', 'vin blanc', ""jaunes d'oeufs de poules élevées en plein air Origine France "", '5,5%', 'sucre', 'sel', 'amidon modifié', 'jus de citron concentré', 'arôme', 'colorants : lutéine et extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",71 g,en quantité élevée,5.4 g,en quantité élevée,1.8 g,en faible quantité,1.3 g,en quantité modérée,2685,+6%,653,+7%,2685 kj(653 kcal),+5%,71,+7%,"5,4",-13%,"2,6",-3%,"1,8",+23%,"0,7",-43%,"1,3",-2%,"0,52",-2%,16,-11%,D,-11%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,713 g,4,"['Bocal', 'Verre']","['E14XX - Amidons modifiés', 'E161b - Lutéine', 'E160c - Extrait de paprika']",['Œufs'],"['France', 'Dunkerque']",,['France'],,,,,,
1569,Petit montebourg - Campagne de France,3265776607137,,['Campagne de France'],,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,"3,6",,"2,3",,"3,5",,"3,5",,"9,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,"['FR 50.579.001 CE', 'Sottevast (Manche, France)']",,,,,,,
1570,Cancoillotte Ail et fines herbes 200g - La belle etoile - 200g,3265850000199,C,"['La belle etoile', 'Poitrey']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,,['France'],"['Lait écrémé caillé ', 'Origine : France', 'eau', 'beurre 14%', 'ail & fines herbes 2,5%', 'sel', 'sel de fonte : di', 'tri', 'polyphosphates de sodium']",['Non végétalien'],11.5 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,1.27 g,en quantité modérée,?,,163,+7%,682 kj(163 kcal),+8%,"11,5",+14%,"7,5",+13%,"0,5",-28%,"0,5",+43%,"14,5",0%,"1,275",-8%,"0,51",-8%,9,+14%,C,+14%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,200 g,4,"['Pot', 'Frais']",['E452i - Polyphosphate de sodium'],['Lait'],"['France', 'Franois']","['FR 25.258.001 CE', 'Franois (Doubs, France)']",,,,,,,
1571,Pure graisse de bœuf pour fritures - Les Pâturages des Flandres - 1kg,3265950000020,,['Les Pâturages des Flandres'],"['Matières grasses', 'Matières grasses animales', 'Gras de bœuf']",['Sans additifs'],"['Auchan', 'Magasins U']",['France'],['Pure graisse de bœuf'],[],100 g,en quantité élevée,56 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,545,-23%,2280 kj(545 kcal),-23%,100,+27%,56,+10%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,14,-34%,D,-34%,,,,,,,,1 kg,,['Carton'],,,"['Estaires', 'France']","['FR 59.212.050 CE', 'Estaires (Nord, France)']",,,,,,,
