,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
210,Lentilles noires Beluga - Jardin Bio,3456300012996,,['Jardin Bio'],,['Bio'],,['France'],[],[],,,,,,,,,?,,423,,1770 kj(423 kcal),,0,,0,,14,,0,,"8,6",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
211,Naturalia,3700036900738,,['Naturalia'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Thon persil ciboulette & Boursin - 150g,3073781134476,C,['Boursin'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,,['France'],"['poisson 49% ', 'thon Listao', ' fromage Boursin 28% ', 'lait et crème pasteurisés ', 'origine: France', 'ferments lactiques', ' huile de colza', ' oignon', "" jaune d'oeuf"", ' ciboulette 0,9%', ' persil 0,5%', ' vinaigre', ' ail', ' moutarde ', ' sucre 0,2%', ' sel', ' acidifiant ', 'acide lactique', ' extraits de légumes ', 'petit pois', 'carotte', ' conservateur ', 'sorbate de potassium', ' stabilisant ', 'gomme de guar']","['Non végétalien', 'Non végétarien']",22.5 g,en quantité élevée,8.5 g,en quantité élevée,1 g,en faible quantité,1.1 g,en quantité modérée,1132,+7%,273,+17%,1132 kj(273 kcal),+15%,"22,5",+8%,"8,5",-40%,2,-41%,1,-66%,"15,5",+85%,"1,1",-6%,"0,44",-6%,10,-17%,C,-17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,150 g,4,"['Barquette', 'Plastique']","['E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']","['Œufs', 'Poisson', 'Lait', 'Moutarde']",['Belgique'],['BE VE3037 EC'],,,,,,,
213,huile nourrissante à l'avocat - prephar - 100ml,3470320400380,,['Prephar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', ""Huiles d'avocat""]","['Ecocert', 'Fabriqué en France']",['jumbo score'],['France'],"['BRASSICA CAMPESTRIS SEED OIL', 'PERSEA GRATISSIMA ', 'AVOCADO', ' OIL', 'PARFUM ', 'FRAGRANCE', ' TOCOPHEROL', 'LINALOOL', 'LIMONENE', 'CITRONELLOL', 'HEXYL CINNAMAL', 'GERANIOL', 'BENZYL SALICYLATE 100ml/3,40 fl', 'oz 6PHQ14A1 CS50014-28233 EPERNON CEDEX MADE IN FRANCE 12 M 3 470320 400380']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 ml,,['flacon doseur'],,,['France'],['C550014-28233'],['France'],,,,,,
214,Oral b pureActiv - 75ml,8001841420356,,['Oral b'],"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75ml,,,,,,,,,,,,,
215,Pain au lait 3 x 10 pain - Pasquier - 1050g (3x 350g),3256540035072,C,['Pasquier'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,['France'],[],[],13 g,en quantité modérée,4.6 g,en quantité modérée,11 g,en quantité modérée,1.1 g,en quantité modérée,1535,+4%,365,+4%,1535 kj(365 kcal),+4%,13,+14%,"4,6",+10%,55,+4%,11,-17%,"9,3",+9%,"1,1",+8%,"0,44",+8%,9,-32%,C,-32%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,1050 g (3 x 350 g),,,,,,,,,,,,,
216,Beurre demi sel bio - Isigny Ste Mère - 200g,3254550021696,E,['Isigny Ste Mère'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",['Bio'],,['France'],[],[],80 g,en quantité élevée,58 g,en quantité élevée,5 g,en quantité modérée,2 g,en quantité élevée,?,,725,+1%,3033 kj(725 kcal),+1%,80,+1%,58,+7%,5,+572%,5,+712%,7,+931%,2,-3%,"0,8",-3%,28,+6%,E,+6%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,200 g,,['Barquette'],,,,,,,,,,,
217,Choco cereal bars,3583787738948,,,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],,,,,,,,,?,,444,,1858 kj(444 kcal),,17,,"9,2",,65,,33,,"5,8",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
218,Guisantes finos,8410092020237,,,,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,66,,276 kj(66 kcal),,"0,25",,0,,8,,"4,7",,"5,2",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,
219,Tea time - Delacre - 1kg,3116430212405,,['Delacre'],,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,510,,2134 kj(510 kcal),,"25,3",,"14,7",,"64,4",,"39,1",,"4,9",,"0,37",,"0,148",,,,,,,,,,,,,1 kg,,"['Barquette en plastique', 'Film en plastique', 'Boîte en métal', 'Barquette en plastique']",,,,,,,,,,,
