,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
962,Pas D'Quartier,3701043800554,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",97,66,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Yaourt nature sucré,3297560111421,['France'],[],[],?,81,339 kj(81 kcal),"1,4","0,9","12,1","12,1",4,"0,15","0,06",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourt nature sucré']",,-12%,-57%,+10%,+6%,59.8%,17.8%,8.5%,7.6%,4.9%,1.3%,91,,1.4 g,en faible quantité,0.9 g,en faible quantité,12.1 g,en quantité modérée,0.15 g,en faible quantité,-12%,-56%,+20%,+30%,+30%,1,-67%,B,-67%,,,,,,,,,,,,,,
964,Lemon Juice,8009490000851,['France'],[],[],?,27,113 kj(27 kcal),"0,03",0,2,2,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Caprins au vinaigre,3760300061039,['France'],[],[],?,37,155 kj(37 kcal),"0,3","0,12","6,4","4,16","2,4","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Mugi Miso,8429837003886,['France'],[],[],?,690,2887 kj(690 kcal),"5,8","0,81","12,2","7,6",12,"9,64","3,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,4009012008062,4009012008062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Pre-codek,4792109000482,['France'],[],[],?,?,,?,,?,,?,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Filet de poulet,2487390035221,['France'],[],[],?,458,1916 kj(458 kcal),"1,8","0,5",0,0,23,"0,13","0,052",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+250%,-38%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,+253%,-33%,-100%,-83%,-83%,0,,B,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
970,Miel de montagne,3770011429110,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
971,Cuisses poulets,0215057027164,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Quinoa soufflé bio,4260335838662,['France'],[],[],?,368,1540 kj(368 kcal),"4,1","0,5",71,"1,7","9,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Le sable chocolat noir70%,3770013887369,['France'],[],[],?,451,1887 kj(451 kcal),24,16,46,15,"9,5","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,7327282764004,7327282764004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,
