,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
1613,3252781058764,3252781058764,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Cars,8718800023885,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Myvitamins,5056307355225,['France'],[],[],?,34,142 kj(34 kcal),0,0,"0,1",0,"8,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Escalopes de dinde à la milanaise,2860241029912,['France'],[],[],?,124,519 kj(124 kcal),7,"0,2","6,3","2,3",23,"0,78","0,312",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+2%,+430%,+108%,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,7 g,en quantité modérée,0.2 g,en faible quantité,2.3 g,en faible quantité,0.78 g,en quantité modérée,+3%,-50%,+201%,+41%,+41%,-1,,A,,,,,,,,,,,,,,,
1617,Bifidus - Leader Price,3291330001738,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,
1618,Le Torchonay,0211371032938,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,,,
1619,Souris d'agneau au thym,2472629041333,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Viandes', ""Viandes d'agneau"", ""Souris d'agneau"", ""Souris d'agneau au thym""]",,,,,,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,,,,,,,,,,,
1620,rilletes poisson et noix de Sait Jacques,3700062045663,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Algues Wakame sauvages,3701184002329,['France'],[],[],?,233,975 kj(233 kcal),"1,9","0,4",41,"0,5",13,"19,7","7,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,Mandarines,00684101,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Miel de Corse,3760030420052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,Curry de poulet à la japonaise - Seazon,3701456313955,['France'],[],[],?,110,460 kj(110 kcal),1,0,16,2,8,1,"0,4",,,,,,,,,,,,,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Kleen Lean Protein Bar Choco Tiger,7350039932043,['France'],[],[],?,184,770 kj(184 kcal),"8,3","3,8",12,"0,7",16,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,L'escalope cordon bleu,2276738030574,['France'],[],[],?,139,582 kj(139 kcal),"3,7",2,"7,8",0,19,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1627,Camembert,3228022200070,['France'],[],[],?,325,1360 kj(325 kcal),29,22,0,0,16,13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Legumes oublies a l’abondance AOP,3760183582881,['France'],[],[],?,39,163 kj(39 kcal),1,"0,6","5,1","2,5","1,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Rouge à lèvres,3614221187418,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Nesquik All Natural,35848257,['France'],[],[],?,62,259 kj(62 kcal),"1,8","1,1","7,5","7,5","3,7","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Petit Dej Bowl minceur,3662072070236,['France'],[],[],?,369,1544 kj(369 kcal),"4,7",1,"52,9","14,4","25,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Confiserie,2600331021651,['France'],[],[],?,402,1682 kj(402 kcal),"6,9",4,"83,2","83,2","1,9","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Feuilletés aux pommes,8435201703245,['France'],[],[],?,425,1778 kj(425 kcal),20,"9,5",56,30,"3,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Pavé drakkar,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,Filets de poulet rotis,0215779029392,['France'],[],[],?,149,623 kj(149 kcal),"6,2","1,5","0,5","0,5",23,"1,2","0,48",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+14%,+115%,+4%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,6.2 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,+15%,+101%,+106%,+60%,+60%,2,,B,,,,,,,,,,,,,,,
1636,graine de tournesol,2227631019616,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Terrine de lapin aux noisettes,3760289530021,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Tartelette,3187670055114,['France'],[],[],?,297,1243 kj(297 kcal),15,"9,8",35,23,"3,4","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Bacon,0281454018500,['France'],[],[],?,119,498 kj(119 kcal),"3,4","1,4","1,5","1,4",21,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Délice Landais,3700744301759,['France'],[],[],?,309,1293 kj(309 kcal),"27,63","9,67","4,68",0,"10,4","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Pomme de terre,3770004281008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Poitrine salée,2604277032993,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Yaourt sur lit de framboise,3770016877053,['France'],[],[],?,86,360 kj(86 kcal),"3,1","2,2","11,2","11,1","3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
1644,Bonbons au miel bio,3700211181518,['France'],[],[],?,389,1628 kj(389 kcal),5,0,96,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Haşlanmış Atom Fasulye,4260377582677,['France'],[],[],?,86,360 kj(86 kcal),"0,6","0,1",12,"0,5","5,4","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Yaourt sur lit de fraises,3770016877046,['France'],[],[],?,84,351 kj(84 kcal),3,"2,2","10,9","10,9","3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
1647,Pâté,3336920008176,['France'],[],[],?,285,1192 kj(285 kcal),25,9,"0,9","0,7",14,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Mousse de foie,0206819014171,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Poivre noir moulin - Carrefour Bio,3560071261573,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,['Carrefour Bio'],,,,,,,,,,,,,,,,,,['Bio'],['Carrefour'],,,,,,,,,,,,
1650,Crêpes natures,2020002046576,['France'],[],[],?,221,925 kj(221 kcal),"6,7","4,1",34,14,"5,8","4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Guimauves Lait/ Blanc/ Noir,2609713016339,['France'],[],[],?,404,1690 kj(404 kcal),"10,6","6,5","73,7","56,7","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Parmigiano reggiano,8001868993130,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Grainé de tournesol,0260347002697,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Tormaresca Torcicoda Rosso Primitivo 2008,8026530000176,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Fish’n’chips,0072417160967,['France'],[],[],?,490,2050 kj(490 kcal),"24,4","5,4","58,2",8,"7,6","1,82","0,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Coupe dessert profiterolles,0210335018636,['France'],[],[],?,314,1314 kj(314 kcal),18,14,35,30,3,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Rilettes thazards au colombo,3575650000580,['France'],[],[],?,229,958 kj(229 kcal),"18,3","1,5","2,3",0,"13,86","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Chocolat au lait,3770004548330,['France'],[],[],?,500,2092 kj(500 kcal),"28,1",15,"55,4","50,9","6,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Galettes bretonnes,2220010082690,['France'],[],[],?,567,2372 kj(567 kcal),30,19,67,38,"5,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Giuseppe Giusti - Il Profumato - Cubica,8006911001190,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Farine,3850257015657,['France'],[],[],?,354,1481 kj(354 kcal),"1,49","0,42","75,37","2,9",0,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Biere,3760138487551,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Premier cru,3343380031354,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Sables aux pepites de chocolat et flocons d’avoine,2607997009863,['France'],[],[],?,514,2151 kj(514 kcal),28,14,56,27,"7,5","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,liqueur,20145170,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Tarte au citron lecler,0209245036083,['France'],[],[],?,330,1381 kj(330 kcal),14,"8,1",47,34,"4,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Arrosto dIGPollo,8057737591112,['France'],[],[],?,91,381 kj(91 kcal),"1,9","0,7","2,5","0,2",16,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,3770013899164,3770013899164,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Crackers,8437015921365,['France'],[],[],?,451,1887 kj(451 kcal),19,6,62,5,2,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,nappage caramel nature - vahiné - 700,2179196213940,['France'],"['Sucre', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,0,,"80,3","73,9",0,"0,03","0,012",,"['Aides culinaires', 'Aides à la pâtisserie']",,,-100%,+25%,-100%,,,,,,,,['vahiné'],0 g,en faible quantité,,,73.9 g,en quantité élevée,0.03 g,en faible quantité,,,+73%,-92%,-92%,,,,,,,,,3,700,['Plastique'],,['900927341'],,,,,
1671,Tradition Gourmande pommes caramélisées,62170512,['France'],[],[],?,107,448 kj(107 kcal),4,"2,6",15,14,"2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,Cantuccini,8004835301174,['France'],[],[],?,398,1665 kj(398 kcal),"6,9","4,4","76,8",54,"5,8","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,Pain pita bio,3770016449014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,Aceite de oliva virgen extra primera cosecha ecológico,8412498003326,['France'],[],[],?,824,3448 kj(824 kcal),92,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Beignet parfum Choco noisette,0000181013127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Black sesame cereal,4713398110102,['France'],[],[],?,470,1966 kj(470 kcal),18,"2,7","67,7","44,3",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Peperoncini,8003850289436,['France'],[],[],?,168,703 kj(168 kcal),"13,9","1,6","6,2",0,"1,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Escalope de Dinde -,0217638034318,['France'],[],[],?,109,456 kj(109 kcal),"0,5","0,1","0,1",0,26,0,0,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,-10%,-62%,-97%,+14%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,0.5 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-10%,-75%,-100%,-100%,-100%,-4,,A,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1679,10 croissants + 10 pains au chocolat,0207561022964,['France'],[],[],?,358,1498 kj(358 kcal),18,"9,3",43,"8,8","6,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Pour la defonce,54013759,['France'],[],[],?,999,4180 kj(999 kcal),50,50,16,15,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Poule fumée congelée,0255901006907,['France'],[],[],?,167,699 kj(167 kcal),8,"1,8","0,2","0,2","23,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Reduced fat milk,0022451015907,['France'],[],[],?,55.0847,230 kj(55 kcal),"2,119","1,271","5,508","5,085","3,39","0,132","0,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Couronne briochee aux fruits confits biologique,3339740013177,['France'],[],[],?,357,1494 kj(357 kcal),13,"7,8",51,24,"7,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Arôme de multifruits,8337010580867,['France'],[],[],?,82,343 kj(82 kcal),"1,4",1,"15,4","12,4","1,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Grillwürzmischung,4250072802149,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,box de brochette gyoza et riz,,['France'],[],[],?,179,749 kj(179 kcal),"5,7","1,2","20,8","2,3","11,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Camenbert de pays,22554444,['France'],[],[],?,269,1125 kj(269 kcal),21,15,1,"0,5",19,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Beurre de Baratte doux,3700613101992,['France'],[],[],?,750,3138 kj(750 kcal),82,59,"0,6","0,6","0,6",,,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,+2%,+1%,-13%,-15%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,82 g,en quantité élevée,59 g,en quantité élevée,0.6 g,en faible quantité,,,+3%,+9%,+7%,,,,,,,,,,,,,,,,,,,,
1689,Muffin double chocolat,3040123410673,['France'],[],[],?,0,0 kj(0 kcal),19,"3,7",46,26,5,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Exception pur arabica moulu,9563759971614,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Pain baltique,0208410012075,['France'],[],[],?,250,1046 kj(250 kcal),12,5,18,"0,7",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Yogurt - Danone - 125g,25028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Danone'],,,,,,,,,,,,,,,,,,,,,,,125g,['Plastic'],,,,,,,
1693,Boudin blanc nature,2274727017513,['France'],[],[],?,269,1125 kj(269 kcal),"24,2","8,6",4,3,"8,7","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,
1694,Cacahuètes,4251032605442,['France'],[],[],?,605,2531 kj(605 kcal),"49,6","6,1","11,6","5,6","24,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Alpe Pragas Marille,8027816100092,['France'],[],[],?,141,590 kj(141 kcal),"0,4","0,1",33,32,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Délice de Chartreuse,0200517020205,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Préparation pour crêpes aux legumes,8801005700061,['France'],[],[],?,359,1502 kj(359 kcal),1,0,75,0,10,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Fornarelli,8001405068208,['France'],[],[],?,409,1711 kj(409 kcal),8,"1,3",70,"1,7",12,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Orange bio,8436584191018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Jus de pomme,3760030440029,['France'],[],[],?,?,,?,,?,,?,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,Thé Oolong de Noël,033211,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,1","0,9","0,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Baguette Viennoise,3029330072201,['France'],[],[],?,305,1276 kj(305 kcal),"5,4","0,6",52,11,"9,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Confiture rhubarbe-fraise,5430002059044,['France'],[],[],?,223,933 kj(223 kcal),"0,2",0,42,39,"0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,,,,,,
1704,Huile d olive extra vierge,5205893002130,['France'],[],[],?,824,3448 kj(824 kcal),78,"1,3",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Nourriture pour lapin,3250392723323,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Veggie crisps,29124374,['France'],[],[],?,404,1690 kj(404 kcal),"20,2","2,4","47,2","36,2","4,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,Emmental tranché,3700798006037,['France'],[],[],?,373,1561 kj(373 kcal),29,20,0,0,28,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Yaourt fabriqué à la ferme,3324976125053,['France'],[],[],?,143,598 kj(143 kcal),"5,5","3,8",20,19,"3,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,6pain au chocolat,0209890010438,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Steack thon albacore,3760046828880,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Figue violette,3760124239676,['France'],[],[],?,229,958 kj(229 kcal),"0,17",0,56,"55,4","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,La confiture d'orange amère,3770011383115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Mrs Meyer*s clean day - SC Johnson - 946ml,5000204175141,['France'],"[""Contient: moins de 5% d'agents de surface anioniqus et d'agents de surface non ioniques"", ' Contient aussi: Parfum', ' Benzyl benuate Limonene', ' Geraniol', ' Alpha-isomethyl jonone', ' Citral', ' Linaloo', ' Eugent', ' 5 Benzisothiazolinone', ' Methylisothiazolinone', ' UVRAISON EN an command io UESTION']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['SC Johnson'],,,,,,,,,,,,,,,,,,,['Leclerc'],,,,946ml,['Plastique'],['France'],,['Végétale'],,,,
1714,1117106000748,1117106000748,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Baguette bio,3070240000006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
1716,Taostinette - Lidl,4056489176688,['France'],[],[],?,286,1197 kj(286 kcal),"22,4","14,8","5,8","5,8","15,4","3,68","1,472",,,,,,,,,,,,,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Tartare de tomates,3438020003317,['France'],[],[],?,103,431 kj(103 kcal),"7,9","1,1",54,"4,6",1,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Grissini con olio di riso,8054395000864,['France'],[],[],?,415,1736 kj(415 kcal),10,"2,4",69,2,10,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Pastina anellini,8017619400086,['France'],[],[],?,357,1494 kj(357 kcal),"1,2","0,3",76,"3,2","9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,Nouasser,6191519400789,['France'],[],[],?,361,1510 kj(361 kcal),2,"0,3",72,0,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Falafels umut,3701392400023,['France'],[],[],?,263,1100 kj(263 kcal),"1,4","1,3","2,1","1,7","9,1","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Poulet,2142040004322,['France'],[],[],?,170,711 kj(170 kcal),10,"3,1",0,0,20,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Sommeil et moral,3760201802298,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Unlu,8680395180574,['France'],[],[],?,376,1573 kj(376 kcal),39,"5,4",6,6,"1,5","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Biscotte complètes bio,8213452308316,['France'],[],[],?,378,1582 kj(378 kcal),5,"0,5",64,4,15,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Gran fesa di tacchino arrosto italiano,8003339001313,['France'],[],[],?,97,406 kj(97 kcal),"0,5","0,2",2,"0,6",21,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Gelée au Madère,3267450001385,['France'],[],[],?,18,75 kj(18 kcal),"0,5","0,23","0,1","0,1","4,64","1,31","0,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.482.021 CE', 'Strasbourg (Bas-Rhin, France)']",,,,,
