,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
299,Sauce Tartare - McDonald's - 750ml,B,"['Plastique', 'Flacon', 'Carton']","[""McDonald's""]","['Epicerie', 'Sauces', 'Sauces tartare']",,"['Allemagne', 'France']",['France'],"['Eau', 'huile de colza', 'cornichons', ""vinaigre d'alcool"", 'oignons', 'amidon modifié de maïs', ""jaune d'œuf"", 'sucre', 'sel', 'épaississant E415', 'farine de moutarde', 'câpres', 'conservateur ', 'E202', 'affermissant ', 'E509', 'persil séché', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,750 ml,"[""McDonald's""]","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Œufs', 'Moutarde']",4,Sauce tartare pour hamburgers,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Garlic pepper sauce - Tabasco - 148ml,,"['Verre', 'Bouteille']","['Tabasco', 'Mc. Ilhenny Co.']","['Epicerie', 'Sauces', 'Sauces pimentées']",,['USA'],['France'],"['Piment rouge', ""vinaigre d'alcool"", 'eau', 'sel', 'ail']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,148 ml,,,,3,Sauce Tabasco,,,,,,,7.62 g,en quantité élevée,,,,,,,"7,62",+69%,"3,05",+69%,,,,,"['États-Unis', 'Louisiane']",,http://www.TABASCO.com,,
301,Natto du Dragon -  - 150g,,['barquette plastique'],,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Draguignan'],['France'],['Graines de soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,166,,"1,1",,"20,19",,"18,81",,,,,,,,,150 g,,,['Soja'],,Natto,,,,,,,,,695 kj(166 kcal),,,,,,,,,,,,,,['Var'],,http://www.natto-dragon.com,,
302,(mauvais codebarre!) Japanese Ramen Noodles  - HIME BRAND - 720g,,['Sachet'],['HIME BRAND'],,,['Japon'],['France'],[],[],?,,339,,"0,893",,"71,4",,"12,5",,,,,,,,,720 g,['ACE'],,,,Nouilles japonaise,,,,,,,,,1418 kj(339 kcal),,,,,,"1,3",,"0,52",,,,,,['Japon'],,,,
303,Crackers salés Casino - 100g,B,['Plastique'],['Casino'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['en:palm-oil-free'],"['Barcelona', 'Espagne']",['France'],"['Farine de blé - huile de tournesol 21% - ', ""antioxydants : extrait riche en tocophérols - esters d'acides gras de l'acide ascorbique"", "" - extrait de malt d'orge - sucre - sirop de glucose-fructose - sel 1,1% -  poudres à lever : carbonates de sodium - carbonates d'ammonium - levure - agent de traitement de la farine : disulfite de sodium""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1940,-3%,?,,20,+1%,64,+8%,"6,6",-33%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,100 g,['Casino'],"['E306 - Extrait riche en tocophérols', 'E304 - Acide palmityle-6-L-ascorbique', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Anhydride sulfureux et sulfites']",4,Crackers salés,20 g,en quantité modérée,3.3 g,en quantité modérée,6.5 g,en quantité modérée,1.8 g,en quantité élevée,1940 kj(464 kcal),-1%,"3,3",-39%,"6,5",+66%,"1,8",-10%,"0,72",-10%,16,+4%,D,+4%,,['L74035C'],,,
304,2000000047861,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.071.001 CE', 'Commequiers (Vendée, France)']",,,
305,Farine de chanvre biologique - Lchanvre - 250g,,['boite en carton'],['Lchanvre'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-09']",['22570 Gouarec'],['France'],[],[],1735,,?,,"16,6",,"21,3",,"44,8",,,,,,,,,250 g,"[""Foire éco bio d'Alsace""]",,,,Farine chanvre biologique,,,,,,,,,1735 kj(415 kcal),,"1,7",,"2,7",,"0,12",,"0,048",,,,,,['France'],,http://www.lchanvre.com,,
306,Vitaline Muesli cacao,,['Sachet'],['Vitaline'],"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Plats préparés déshydratés', 'Repas à boire']","['Végétarien', 'en:gluten-free', 'Fabriqué en France']",,['France'],"[""Flocons d'avoine* "", 'sans gluten', 'lin jaune*', 'farine de sarrasin*', ""mélange d'huiles* en poudre "", 'tournesol oléique*', 'colza*', 'lin* ', ' support : sirop de manioc non raffiné*', ""fibres d'acacia* "", ' antioxydant : extrait naturel de romarin*', 'protéines de lait* ', 'origine : Suisse', 'sirop de manioc non raffiné*', 'cacao* 7%', 'agave*', 'lait de coco*', 'protéines de pois*', 'maca*', 'sel de Guérande', ""baies d'açaï*"", 'lithothamne', 'acérola*', 'moringa*', 'carottes*', 'roucou*', 'son de riz*', 'feuilles de curry*', 'basilic*', 'citrons*', 'épinards*', 'persil*', 'amla*', 'thé vert*', 'shitake*', 'lichens*', 'spiruline*', 'antioxydant : extrait naturel de romarin*']","['Non végétalien', 'Végétarien']",?,,88.9,-48%,3,-10%,"10,7",-59%,"4,2",-15%,,,,,,,,,,['E160b - Rocou'],['Lait'],4,,,,,,,,,,372 kj(88 kcal),-48%,"0,6",-46%,"1,7",-55%,"0,2",-92%,"0,08",-92%,,,,,,,https://vitaline.fr/collections/catalogue/products/sachet-individuel-un-repas,,
307,Baguette La Liodière - Vitaline,,['Sachet'],['Vitaline'],,"['Bio', 'Végétarien', 'en:gluten-free', 'Fabriqué en France']",['France'],['France'],"[""Flocons d'avoine* "", 'sans gluten', 'lin jaune*', 'farine de sarrasin*', 'protéines de lait* ', 'origine : Suisse', 'sirop de manioc non raffiné*', ""mélange d'huiles* en poudre "", 'tournesol oléique*', 'colza*', 'lin* ', ' support : sirop de manioc non raffiné*', ""fibres d'acacia* "", ' antioxydant : extrait naturel de romarin*', 'agave*', 'amandes complètes* 3,5%', 'lait de coco*', 'protéines de pois*', 'maca*', 'sel de Guérande', 'arôme naturel', ""baies d'açaï*"", 'lithothamne', 'acérola*', 'moringa*', 'carottes*', 'roucou*', 'son de riz*', 'feuilles de curry*', 'basilic*', 'citrons*', 'épinards*', 'persil*', 'amla*', 'thé vert*', 'shitake*', 'lichens*', 'spiruline*', 'antioxydant : extrait naturel de romarin*']","['Non végétalien', 'Végétarien']",?,,189,,"0,5",,39,,"7,2",,,,,,,,,,,['E160b - Rocou'],['Lait'],4,,,,,,,,,,791 kj(189 kcal),,"0,1",,"1,1",,"0,9",,"0,36",,,,,,,,,,
308,Cidre Le Costaud (7% vol) - Pacory - 75cl,B,"['Bouteille', 'Verre']","['Pacory', 'Ferme des Grimaux']","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres demi-secs']","['Déconseillé à certaines catégories de personnes', 'Déconseillé aux femmes enceintes']","['61350', 'Mantilly', 'Orne', 'France']",['France'],"[""Pur jus de pommes à cidre provenant d'une sélection de variétés anciennes issues de vergers haute tige"", 'calvados', ' Alcool 7% vol']",[],?,,?,,?,,?,,?,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75 cl,,,,,Cidre élevé en fût de chêne à calvados,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Orne']",,http://www.pacory.eu/index.php/nos-produits/cidre-le-costaud-nouveaute,,
309,mascarpone -  - 500g,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",,,['France'],[],[],?,,?,,?,,?,,?,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Petits Fruits Rouges - Burban - 125g,B,"['Barquette', 'Carton']","['Burban', 'Burban Producteur']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges']","['Catégorie I', 'Origine France']",['France'],['France'],"['Petits fruits rouges : mûres', 'myrtilles douces et groseilles']",[],?,,?,,?,,?,,?,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,125 g,"['Burban Producteur', 'Marché de Saint-Nazaire']",,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,http://www.lafraisedelabaule.fr/produits-fraise/les-fruits-rouges,,
311,Daunat,,,['Daunat'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,SONDEY Gaufrettes framboise - 160g,C,['Paquet'],['SONDEY'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées aux fruits']",['Indéterminé'],['Indéterminé'],['France'],"['Fourrage aux framboises ', '64,6 %', ' : sirop de glucose-fructose', 'purée de framboises et purée concentrée de framboises ', 'équivalent à 30 % de framboises', ' ', ' stabilisant : glycérol ', ' arômes', 'colorant : anthocyanes ', ' gélifiant : pectines ', "" correcteur d'acidité : citrate de sodium "", ' acidifiant : acide citrique / Biscuit ', '35,4 %', ' : farine de blé,', 'dextrose', 'farine de lupin', ""jaune d'oeufs en poudre"", 'sel', 'huile végétale ', 'tournesol', 'emulsifiant : lécithine de colza ', ' poudres à lever : carbonates de sodium', 'carbonates de magnésium']",['Non végétalien'],1549,+1%,?,,1,-77%,84,+7%,4,+5%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,160 g,['Lidl'],"['E422 - Glycérol', 'E163 - Anthocyanes', 'E440 - Pectines', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E322i - Lécithine', 'E500 - Carbonates de sodium', 'E504 - Carbonates de magnésium']","['Gluten', 'Lupin']",4,Gaufrettes fourrées aux framboises,1 g,en faible quantité,0.3 g,en faible quantité,36 g,en quantité élevée,0.38 g,en quantité modérée,1549 kj(370 kcal),-3%,"0,3",-86%,36,-10%,"0,38",+42%,"0,152",+42%,12,-8%,D,-8%,['Indéterminée'],['INDÉTERMINÉ'],https://www.lidl.fr/fr,,
313,"Poêlée de poulet, wedges façon rôtissoire - Picard - 900g",,['surgelé'],['Picard'],['Poulet pomme de terre surgelé'],,['France'],['France'],"['Pomme de terre préfrite [pomme de terre 48,8% ', 'France', 'Belgique', 'Pays-Bas', 'huile de tournesol', 'dextrose de blé]', 'filet de poulet cuit rôti traité en salaison ', 'viande de poulet 12%', 'sel', 'dextrose de blé ou de tapioca', 'amidon de pomme de terre ou de tapioca', 'extrait de poulet ', 'eau', 'os et viande de poulet', 'eau', 'oignon', 'oignon grillé', 'tomate 4%', ""gousse d'ail 2,7%"", 'graisse de poulet ', 'graisse de poulet', 'antioxydant : extrait de romarin', 'extrait de poulet ', 'eau', 'extrait de poulet', 'sel', 'huile de tournesol', 'fécule de pomme de terre', 'thym', 'sel', ""préparation d'oignon "", ""jus d'oignon concentré"", 'huile de tournesol', 'poivre']","['Non végétalien', 'Non végétarien']",?,,124,,"3,8",,15,,"6,5",,,,,,,,,900 g,['Picard'],['E392 - Extrait de romarin'],,4,"Poulet, pommes de terre",3.8 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en faible quantité,0.4 g,en quantité modérée,519 kj(124 kcal),,"0,8",,"1,5",,"0,4",,"0,16",,-3,,A,,['Union européenne'],,http://www.picard.fr/produits/poelee-de-poulet-wedges-facon-rotissoire-000000000000086034.html,,
314,"Pâtes, crevette, courgettes grillées, sauce basilic - Picard - 900g",,['surgelé'],['Picard'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes cuisinées surgelées']",,['France'],['France'],"['Pâte précuite 55,5% [eau', 'semoule de blé dur ', 'gluten', ']', 'queue de crevette crue décortiquée [crevette 16,3% ', 'crustacés', 'eau', 'sel]', 'courgette grillée 10%', 'tomate 8%', 'eau', ""huile d'olive vierge extra"", 'basilic 1,5%', 'parmesan ', 'contient lait', 'ail', 'sel', 'huile de tournesol', 'extrait de poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",571,-18%,?,,"3,4",-46%,"19,8",-5%,"5,9",-20%,,,,,,,,900 g,['Picard'],,"['Crustacés', 'Gluten', 'Lait']",4,"Pâtes, crevette, courgettes grillées, sauce basilic",3.4 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,0.39 g,en quantité modérée,571 kj(136 kcal),-23%,"0,7",-71%,1,-59%,"0,39",-57%,"0,156",-57%,-2,-154%,A,-154%,['Allemagne'],,http://www.picard.fr/produits/pates-crevettes-courgettes-grillees-sauce-au-basilic-000000000000069661.html,,
315,Capri-Sun Multivitamin - 200ml,,['Busta'],['Capri-Sun'],['Boissons'],,,"['France', 'Italie']","['Acqua', 'succo di frutta da concentrato 12% ', 'limone 4', '1%', 'arancia 4%', 'mela 1', '8%', 'pompelmo 0', '7%', 'ananas 0', '6%', 'banana 0', '4%', 'kiwi 0', '2%', 'frutto della passione 0', '1%', 'lime', 'zucchero', 'vitamine ', 'C,B3', 'E', 'B6', 'B1', 'Biotina', 'B12', 'aromi naturali', 'antiossidanti ', 'acido ascorbico']",[],?,,39,-30%,0,-100%,"9,5",-16%,0,-100%,,,,,,,,200 ml,,['E300 - Acide ascorbique'],,4,Bevanda alla frutta multivitaminica,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,163 kj(39 kcal),-32%,0,-100%,"9,5",+1%,0,-100%,0,-100%,13,+70%,E,+70%,,,,,
316,Biscuits de Campagne Salés/Céréales - Sans marque - 200g,D,"['Carton', 'Boîte', 'Plastique', 'Sachet']",['Sans marque'],"['Snacks', 'Snacks salés', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['Point Vert'],,['France'],"['Farine de blé', 'huile de palme', 'sucre', 'mélange de céréales 6,8% ', 'soit 13,6% dans les biscuits céréales', ' ', 'seigle', 'épeautre', 'orge', 'avoine', 'maïs', 'riz', 'dextrose', 'sucre roux', 'sel', 'son de blé et de seigle', 'lactose', 'extrait de malt', 'arômes naturels', 'agent de traitement de la farine : L-cystéine anhydre', 'antioxygène : tocophérols naturels']","['Huile de palme', 'Non végétalien']",?,,?,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,"['RCIR', 'Armée de Terre']","['E920 - L-Cystéine et ses chlorhydrates', 'E307c - Tocophérol']","['Gluten', 'Lait', 'Avoine']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],
317,Joie - Le Très Petit Jardin - 25g,B,"['Sachet', 'Papier', 'Plastique']",['Le Très Petit Jardin'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Boissons sans sucre ajouté']","['Bio', 'Nature & Progrès']",['France'],['France'],"['Noisetier', 'Achillée', 'Sauge', 'Romarin', 'Vigne rouge', '0rtie']",[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,25 g,['Casier Judiciaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,http://www.letrespetitjardin.net/,,
318,"Gnocchi jambon, épinards, sauce emmental -  - 900g",,,,,"['Viande-francaise', 'Viande Porcine Française']",,['France'],"['Gnocchi 41% ', 'semoule de blé dur', 'purée de pomme de terre 33% ', 'eau', 'pomme de terre déshydratée', 'eau', 'sel', 'jambon cuit supérieur 12% ', 'jambon de porc ', 'origine France', 'sel', 'sirop de glucose', 'dextrose', 'arômes naturels', 'conservateurs : ascorbate de sodium - nitrite de sodium', 'crème fraîche 10%', 'épinard 9%', 'tomate 8%', 'emmental 6%', 'eau', 'lait demi écrémé', 'amidon transformé', 'sel', 'huile de tournesol', 'épaississants : gomme xanthane - gomme guar - glucose', 'extrait de poivre']","['Non végétalien', 'Non végétarien']",698,,?,,"7,4",,17,,"7,3",,,,,,,,,900 g,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",['Lait'],4,"Gnocchi jambon, épinards, sauce emmental",,,,,,,,,698 kj(167 kcal),,"4,4",,"5,5",,"0,85",,"0,34",,,,,,,,"https://www.thiriet.com/produits/plats_cuisines/plats_a_partager/poelees_cuisinees/gnocchi_jambon_epinards_sauce_emmental,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1TU0ZBTTEtMDktMDQtMDUmcHJvZHVpdF9pZD04Nzk3Mw%3D%3D",,
319,"Poulet, semoule et légumes façon tajine - Thiriet - 600g",D,,['Thiriet'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à base de semoule', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",,,['France'],"['Semoule préparée 15,5% ', 'semoule de blé dur', 'eau', ""huile d'olive vierge extra"", 'sel', 'poulet cuit traité en salaison 15% ', 'viande de poulet origine France 98%', 'sel', 'sucre', 'jus de citron', 'oignons 14,5%', 'courgette grillée 13,5%', 'eau', 'carotte 12%', 'pois chiche 5%', 'raisins secs 4% ', 'raisins secs', 'huile de tournesol', 'conservateur : anhydride sulfureux', ""jus d'orange"", 'amidon transformé', ""huile d'olive"", 'jus de citron à base de concentré', 'sel', 'concentre de tomates', 'ail', 'épices et aromates', 'cumin', 'coriandre', 'fond de volaille ', 'jus et graisse de volaille', 'carottes', 'sel', 'plantes aromatiques', 'vinaigre de Xérès', 'sucre', 'gingembre', 'piment ', 'purée de piments', 'sel', ""correcteur d'acidite : acide acétique"", 'cannelle', 'curcuma', 'poivre']","['Non végétalien', 'Non végétarien']",424,-15%,?,,2,-56%,"13,1",-5%,"6,6",-8%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,600 g,['Thiriet'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E260 - Acide acétique']",,4,"Poulet, semoule et légumes façon tajine",2 g,en faible quantité,0.4 g,en faible quantité,5.8 g,en quantité modérée,0.705 g,en quantité modérée,424 kj(101 kcal),-22%,"0,4",-78%,"5,8",+222%,"0,705",-9%,"0,282",-9%,-1,-173%,A,-173%,,,"https://www.thiriet.com/produits/offres_du_mois/poulet_semoule_et_legumes_facon_tajine,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9vZmZyZT0xJnByb2R1aXRfaWQ9ODc5ODA%3D",,
320,Couscous royal - Toupargel,,,['Toupargel'],"['Plats préparés', 'Plats à base de semoule', 'Couscous préparés']",,,['France'],"['Viandes et légumes dans leur jus ', '72%', ' : eau', 'pilons de poulet ', '22,3%', 'légumes en proportions variables ', '24,3%', ' ', 'navets en cubes', 'carottes en cubes', 'courgettes en cubes', 'poivrons rouges et verts en lanières', 'céleri-branche en morceaux', 'merguez précuite ', '9,7%', ' ', 'viande de boeuf ', '84%', 'viande de mouton', 'gras de mouton', 'épices', 'sel', 'dextrose de blé', 'lactose', 'colorant : rouge de betterave', 'conservateurs : érythorbate de sodium - nitrite de sodium', 'arômes naturels', ""viande d'agneau cuite traitée en salaison "", '5', '8%', ' ', ""viande d'agneau "", '94%', 'sel', 'fécule de pommes de terre', 'lactose', 'acidifiant : citrates de sodium', 'boulettes à base de boeuf et de mouton précuites braisées ', '5,5%', ' ', 'viande de boeuf ', '44%', ""blancs d'oeufs"", 'viande de mouton ', '15%', 'chapelure ', 'farine de blé', 'sel', 'ail en poudre', 'sel', 'oignons en poudre', 'menthe', ""extrait d'épices et aromates"", 'poivre blanc', 'pois chiches ', '2,3%', 'double concentré de tomates', 'amidon transformé de tapioca', 'oignons déshydratés', 'sel', 'épices ', '0,2%', 'arôme naturel ', 'contient blé', 'poivre', ' ', 'Pourcentages exprimés sur les viandes et légumes dans leur jus', '\rSemoule de blé cuisinée ', '28%', ' : semoule de blé dur ', '51', '7%', 'eau', 'huile végétale de colza non hydrogénée', 'raisins secs ', '1', '9%', ' ', 'raisins secs ', '99', '5%', 'huile végétale de colza ou coton non hydrogénée', 'sel', 'beurre ', '1%', ' ', 'Pourcentages exprimés sur la semoule de blé cuisinée', ""\rSachet d'épices : Piment doux"", 'poivre', 'carvi', 'ail', 'coriandre']","['Non végétalien', 'Non végétarien']",557,-4%,?,,"5,1",+18%,13,-26%,"7,8",+5%,,,,,,,,,,"['E162 - Rouge de betterave', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait']",4,,5.1 g,en quantité modérée,2 g,en quantité modérée,1.9 g,en faible quantité,0.93 g,en quantité modérée,557 kj(133 kcal),-13%,2,+69%,"1,9",-11%,"0,93",+22%,"0,372",+22%,1,+1673%,B,+1673%,,,https://www.toupargel.fr/237-couscous-royal-1-5-kg.html,,
321,Poêlée thaï au poulet - Toupargel,,,['Toupargel'],,,,['France'],"['Pâtes au curcuma précuites ', '27%', ' ', 'eau', 'semoule de blé dur ', '43%', 'curcuma ', '0,1%', 'filets de poulet traités en salaison cuits', 'rôtis ', '14%', ' ', 'filets de poulet ', 'origine : UE', ' ', '80%', 'eau', 'dextrose de tapioca ou de blé ou de maïs', 'amidon de tapioca ou de pommes de terre', 'sel', 'lactose', 'poivrons rouges ', '10%', 'carottes ', '9%', 'carottes jaunes ', '9%', 'épinards ', '7%', 'tomates ', '5%', 'pois gourmands ', '4,9%', 'eau', 'petits pois ', '4%', 'fond de sauce ', 'piment vert', 'échalotes', 'galanga', 'sauce de poisson ', 'eau', 'anchois', 'sel', 'sucre', 'feuilles de citrons verts', 'huile végétale de tournesol', 'coriandre', 'ail', 'citronnelle', 'eau', ""épices et extraits d'épices"", 'concentré de citron', 'sel', 'huile végétale de tournesol', 'pâte de curry ', '0,8%', ' ', 'huile végétale de colza', 'épices', 'sel', ""vinaigre d'alcool"", 'tomates', 'aromates', 'sucre', 'acidifiant : acide citrique', 'extrait de tamarin', 'miel', 'graisse de poulet purifiée ', 'graisse de poulet', 'antioxydant : extraits de romarin', 'préparation à base de lait de noix de coco en poudre ', 'lait de noix de coco', 'maltodextrines de maïs ou de tapioca', 'caséinates de sodium', 'antiagglomérant : tricalcium phosphate', 'extrait de poulet ', 'eau', 'os et viande de poulet', 'sel', 'amidon transformé de riz ou de maïs', 'coriandre', 'cumin', 'préparation déshydratée ', 'épaississants : gomme xanthane - gomme guar', 'glucose de blé et/ou de maïs et/ou de pommes de terre', 'jus concentré de carottes', 'oignons grillés en poudre']","['Non végétalien', 'Non végétarien']",414,,?,,"2,3",,10,,"7,3",,,,,,,,,,,"['E330 - Acide citrique', 'E392 - Extrait de romarin', 'E341iii - Phosphate tricalcique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Poisson', 'Lait']",4,,,,,,,,,,414 kj(99 kcal),,"1,1",,"2,1",,"0,53",,"0,212",,,,,,,,https://www.toupargel.fr/3415-poelee-thai-au-poulet-600-g.html,,
322,Poêlée thaï au poulet et aux légumes - Monoprix - 900g,,,['Monoprix'],,,,['France'],"['Mélange de légumes 49% ', 'poivrons rouges', 'carottes', 'épinards', 'tomates', 'pois mange-tout', 'petits pois', 'spaghetti précuits 27% ', 'eau', 'semoule de blé dur', 'curcuma 0,002%', 'émincés de poulet rôti traités en salaison 14% [filet de poulet ', 'origine : UE', 'eau', 'sel', 'dextrose', 'lactose', 'amidon]', 'eau', 'fond de sauce [piment vert', 'échalote', 'galangal', 'plantes aromatiques ', 'citronnelle', 'feuille de citron', 'sauce de poisson ', 'eau', 'anchois', 'sel', 'sucre', 'purée de feuilles de citron', 'huile de tournesol', 'racine de coriandre', ""purée d'ail"", 'eau', 'jus de citron concentré', 'épices', 'sel', 'pâte de curry ', 'huile de colza', 'sel', 'coriandre', 'cumin', 'curcuma', 'eau', 'purée de tomates', 'piment', 'gingembre', 'ail', 'amidon de maïs', 'tamarin', 'épices ', 'dont moutarde', 'conservateur : acide acétique', 'acidifiants : acide lactique et acide citrique', 'sucre]', 'huile de tournesol', 'miel', 'lait de coco en poudre [lait de noix de coco', 'maltodextrines de tapioca', 'caséinates de sodium ', 'lait', ']', 'graisse de poulet purifiée ', 'graisse de poulet', 'antioxydant : extrait de romarin', 'fond de poulet réduit ', 'os et viande de poulet', 'eau', 'oignon', 'carotte', 'sel', 'amidon transformé de riz ou de maïs', 'coriandre', 'cumin moulu', 'épaississants : gomme xanthane et gomme de guar']","['Non végétalien', 'Non végétarien']",449,,?,,"2,3",,10,,"9,4",,,,,,,,,900 g,['Monoprix'],"['E260 - Acide acétique', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E392 - Extrait de romarin', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Poisson', 'Lait']",4,,,,,,,,,,449 kj(107 kcal),,"1,1",,"2,1",,"0,54",,"0,216",,,,,,,,https://www.monoprix.fr/poelee-thai-au-poulet-et-aux-legumes-monoprix-2217175-p,,
