,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
1756,Huile d'olive extra vierge -,8437015747279,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700,+5%,900,+5%,3700 kj(900 kcal),+3%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
1757,Baies De Goji Déshydratées - 150g,3364699339368,,150 g,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Tapenade aux olives noires -,3760053000385,C,,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,['France'],[],[],30.3 g,en quantité élevée,4.1 g,en quantité modérée,0.1 g,en faible quantité,2.86 g,en quantité élevée,?,,285,+4%,1192 kj(285 kcal),+4%,"30,3",+13%,"4,1",+17%,"0,3",-90%,"0,1",-79%,"0,7",-60%,"2,86",-9%,"1,144",-9%,17,+15%,D,+15%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,"['EMB 84044', 'Entrechaux (Vaucluse, France)']",,,,,
1759,Lieu noir des iles feroe,3261080778419,,,,,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,"0,9",,"0,1",,"0,4",,0,,17,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,
1760,Penne rigate  n 28 - Rummo - 500g,8008343700283,B,500 g,['Sec'],['Rummo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes sèches au blé complet', 'Pâtes de blé dur complet', 'Penne', 'Penne rigate']","['Bio', 'Bio européen', 'Riche en fibres', 'Tréfilage au bronze', 'Produit italien']",['France'],['Semoule complète de blé dur de qualité supérieure de production biologique'],[],1.9 g,en faible quantité,0.8 g,en faible quantité,2.8 g,en faible quantité,0 g,en faible quantité,?,,348,-1%,1456 kj(348 kcal),-2%,"1,9",-12%,"0,8",+92%,"65,8",-1%,"2,8",-15%,14,+9%,0,-100%,0,-100%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,['Gluten'],,Pâtes alimentaires de semoule de blé dur complet bio,,,,['Italie'],https://www.pastarummo.it/fr/produits/les-bio-integrali/mezze-penne-rigate-bio-integrali-28/,,
1761,Sriracha Carrot - Lantana,0855432004801,B,,,['Lantana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['en:gluten-free'],['France'],[],[],10 g,en quantité modérée,1.33 g,en faible quantité,6.67 g,en quantité modérée,1.33 g,en quantité modérée,?,,200,-24%,837 kj(200 kcal),-24%,10,-50%,"1,333",-46%,"23,333",+120%,"6,667",+398%,"6,667",+3%,"1,333",+28%,"0,533",+28%,5,+0%,C,+0%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,,,
1762,Fantomes fourrés à la crème de noisette - Grand frais - 200g,3580280745756,C,200g,,['Grand frais'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",,['France'],[],[],26 g,en quantité élevée,8.6 g,en quantité élevée,55.5 g,en quantité élevée,0.81 g,en quantité modérée,?,,505,+7%,2113 kj(505 kcal),+7%,26,+35%,"8,6",+1%,"57,5",-14%,"55,5",+68%,8,+38%,"0,81",+46%,"0,324",+46%,27,+36%,E,+36%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
1763,Confiture extra fraises - Beyer - 444g,3299341159448,D,444 g,,['Beyer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],"['Fraises', 'Sucre', 'Jus de Citrons concentré', 'gélifiant pectine de fruits']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,,,?,,245,+13%,1025 kj(245 kcal),+12%,"0,5",+107%,"0,1",+122%,60,+13%,60,+18%,"0,5",+13%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,3,,,,,,,,
1764,Confit foie de volaille - Netto - 180g,3250391435548,,180 g,,['Netto'],"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,['France'],"['Foie de volaille 45%', 'viande de porc*', 'gras de porc', 'graisse de canard', 'sel', 'armagnac ', '1,2%', 'sucre et épices', ' *Origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",30.8 g,en quantité élevée,11.6 g,en quantité élevée,0.8 g,en faible quantité,1.5 g,en quantité modérée,1362,+120%,336,+101%,1362 kj(336 kcal),+102%,"30,8",+264%,"11,6",+259%,"0,8",-42%,"0,8",+10%,"13,8",-26%,"1,5",-21%,"0,6",-21%,20,+109%,E,+109%,,,,,,,,,,,3,,,,['Netto'],,,,
1765,Mezze maniche rigate n° - De Cecco,8001250121363,,,,['De Cecco'],,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,"1,5",,"0,3",,69,,34,,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1766,Pulped' olives vertes - 100g,3700662731256,,100 g,,,,,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,"51,6",,"7,62",,6,,"1,1",,"1,9",,"1,78",,"0,712",,,,,,,,,,,,,,,,,,,"['FR 13.092.003 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",,,,,
1767,Choco choco,5410266403203,,,,,,,['France'],[],[],,,,,,,,,?,,63,,264 kj(63 kcal),,"0,5",,"0,33",,"10,9",,"10,8",,"3,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,
1768,Skyr Icelandic Style Framboise - Milfina,28003519,D,,,['Milfina'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité modérée,0.08 g,en faible quantité,?,,90,+32%,377 kj(90 kcal),+32%,0,-100%,0,-100%,"12,5",+93%,"11,6",+98%,"9,4",+1%,"0,08",-25%,"0,032",-25%,-2,,A,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
1769,Sal de hierbas - Rapunzel,4006040272632,B,,,['Rapunzel'],"['Epicerie', 'Condiments', 'Sels']",,['France'],[],[],14.4 g,en quantité modérée,2.9 g,en quantité modérée,2.3 g,en faible quantité,1.2 g,en quantité modérée,?,,174,+4250%,728 kj(174 kcal),+3944%,"14,4",+6188%,"2,9",+3647%,"5,4",+578%,"2,3",+1111%,4,+1393%,"1,2",-98%,"0,48",-98%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,
1770,Varola Nature 6 x 50 cl promo - Carola,3268650602020,,6 x 50 cl,,['Carola'],,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1771,Pizza coi fiocchi,8002213007885,,,,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,"1,3",,"0,3",,"68,2",,"1,8",,"13,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,
1772,Poulet cuit fumé -,2209620006067,D,,"['Barquette', 'Film en plastique']",,"['Viandes', 'Volailles', 'Poulets']",['Point Vert'],['France'],[],[],12 g,en quantité modérée,3.4 g,en quantité modérée,0.7 g,en faible quantité,1.5 g,en quantité modérée,?,,191,+26%,799 kj(191 kcal),+27%,12,+106%,"3,4",+127%,"0,7",-65%,"0,7",+59%,30,+47%,"1,5",+75%,"0,6",+75%,11,+680%,D,+680%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1773,Tristan Foods 4 flours,0778964041093,,,,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,5,,"1,25",,"72,5",,15,,10,,"2,312",,"0,925",,,,,,,,,,,,,,,,,,,,,,,,
1774,Zwell soda - Leader Price,3289097652003,,,,['Leader Price'],,,['France'],[],[],,,,,,,,,?,,51,,213 kj(51 kcal),,0,,0,,13,,13,,0,,0,,0,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,
1775,Confiture abricot - Carrefour - 340g,5400101238763,B,340 g,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,38 g,en quantité élevée,0 g,en faible quantité,?,,160,-27%,669 kj(160 kcal),-27%,0,-100%,0,-100%,38,-29%,38,-25%,0,-100%,0,-100%,0,-100%,8,-11%,C,-11%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,['Carrefour'],,,,
1776,Effiloches de boeuf,3348580067523,,,['Film en plastique'],,,,['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,12,,4,,1,,1,,25,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,"['EMB 56140A', 'Moréac (Morbihan, France)']",,,,,
1777,Pain 100% grains entiers et anciens avec quinoa,0068721712619,,,,,,,['France'],"['farine de ble entier intégrale', 'eaumélange de céreales anciennes ', 'graines de lin', 'millet', ""flocons d'épeautre"", 'flocons de blé kamuto', ""flocons d'orge"", 'graines de pavot', 'amarante', 'quinoa entier', 'levure""', 'sucre/glucose-fructose', 'flocons de seigle', 'gluten de ble', 'sirop de raisins secs soluble ', 'extrait sec de raisins secs', 'eau', 'sel', 'huile végétale ', 'canola ou soya', 'vinaigre', 'propionate de calcium', 'monoglycérides végétaux', 'esters tartriques des mộno et diglycérides acétylés', 'stéaroyl-2-lactylate de sodium', 'acide sorbique""', 'lécithine de soya', ' ""les ingrédients peuvent varier', ' peut contenir des graines de sésame', 'tatière de becyclage varie à travers le canada']",[],,,,,,,,,?,,300,,1255 kj(300 kcal),,"4,5",,"1,2",,51,,3,,12,,"0,45",,"0,18",,,,,,,,,,,,,,,,4,,,,,,,,
1778,Livarot - Domaine d'Antignac - 500g,3023260027072,D,500g,['Frais'],"[""Domaine d'Antignac""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Livarot']",,['France'],"['alit pasteurisé de vache', 'ferments lactiques ', 'lait', "" et d'affinage"", 'sel', 'chlorure de calcium', 'présure', 'colorant de croute : rocou ', 'E1608']",['Non végétalien'],22 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,294,+1%,1230 kj(294 kcal),+2%,22,+1%,14,-1%,0,-100%,0,-100%,24,+1%,"1,6",-2%,"0,64",-2%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['E160b - Rocou'],,"['Lait', 'Alit']",4,,,"['FR 14.478.001 CE', 'Orbec (Calvados, France)']",,,,,
1779,Galleta Con Arandanos Y Sesamo Laureri - Frollini,8015565030531,,,,['Frollini'],,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Crème de Pruneaux - Maison Guinguet,3760052690952,,,,['Maison Guinguet'],,,['France'],[],[],,,,,,,,,?,,187,,782 kj(187 kcal),,"0,5",,0,,"46,5",,"37,3",,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1781,Comte - Reflets de France,0219747025782,D,,,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,23,+6%,1,+116%,0,-100%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)', 'EMB 25039', 'Avoudrey (Doubs, France)']",,,,,
1782,Fèves de Lupin,3662790002861,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,"2,6",,"0,3",,"5,7",,0,,"9,5",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,
1783,Yoplait Low Fat Yogurt Original Strawberry,0070470004303,,,"['pp-tub', 'pp-lid']",['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts allégés en matière grasse']","['en:gluten-free', 'Arômes naturels']","['France', 'États-Unis']","['Pasteurized grade a low fat milk', 'sugar', 'modified corn starch', ' contains 1% or less of: kosher gelatin', 'citric acid', 'natural flavor', 'potassium sorbate added to maintain freshness', 'colored with carmine', 'yogurt cultures ', 'l', ' bulgaricus', 's', ' thermophilus', 'l', ' acidophilus', 'vitamin a acetate', 'vitamin d3']","['Non végétalien', 'Non végétarien']",0.59 g,en faible quantité,0.29 g,en faible quantité,12.9 g,en quantité élevée,0.11 g,en faible quantité,?,,88,+42%,368 kj(88 kcal),+52%,"0,59",+8%,"0,29",-5%,"18,24",+133%,"12,94",+80%,"2,94",-36%,"0,11",-25%,"0,044",-25%,2,,B,,,,,,,,,"['E428 - Gélatine', 'E330 - Acide citrique']",,,4,,,,,,,,GENERAL MILLS SALES INC.
1784,Moambe - guinea - 800g,5412093130017,,800g,['Conserve'],['Guinea'],['Sauce noix de palme'],,['France'],"['base de noix de palme ', '58%', 'eau', 'sel', 'épices']",[],21 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0.33 g,en quantité modérée,?,,199,,833 kj(199 kcal),,21,,10,,0,,0,,"0,9",,"0,33",,"0,132",,12,,D,,,,,,,,,,,,3,,,,,,,,
1785,Munchy Choc Chip Cookies,9421904320208,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",,"['France', 'Suisse']","['Farine de blé', 'beurre [crème', 'sel]', 'Pépites de chocolat 17%[sucre pâte de cacao', 'beurre de cacao', 'matière grasse du lait', 'émulsifiant ', 'lécithine de soja', 'arôme naturel]', 'sucre non raffiné', 'avoine', 'purée de dattes 4%', 'agent levant ', 'bicarbonate de soude']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",31 g,en quantité élevée,18.2 g,en quantité élevée,27.2 g,en quantité élevée,0.632 g,en quantité modérée,2233,+6%,534,+8%,2233 kj(534 kcal),+8%,31,+23%,"18,2",+47%,"56,4",-5%,"27,2",-14%,"6,1",-2%,"0,632",-7%,"0,253",-7%,24,+6%,E,+6%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,"['Gluten', 'Lait', 'Avoine', 'Soja']",4,,,,,,,,
1786,Fraise et Miel  Délice de fruits & miel - Granny's Secret,8606018021222,,,,"[""Granny's Secret""]",,,['France'],[],[],,,,,,,,,?,,163,,682 kj(163 kcal),,"0,2",,0,,39,,33,,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1787,Confiture de clémentines de Corse,3602805650816,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine', 'Confitures à la clémentine de Corse']",,['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,?,,252,+7%,1054 kj(252 kcal),+7%,"0,1",-68%,0,-100%,60,+4%,60,+11%,"0,4",-15%,0,-100%,0,-100%,8,-24%,C,-24%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
1788,"Boudin noir, purée de pommes de terre et pommes caramélisées -",3366760040548,,,,,"['Plats préparés', 'Plats à base de pommes de terre']",,['France'],"['Boudin noir aux oignons ', '35%', ' ', 'sang de porc', 'oignons ', '12%', 'gras de porc', 'couenne', 'sel', 'sucre', 'épices', 'plantes aromatiques', 'boyau naturel de porc', 'purée de pommes de terre ', '24%', 'pommes ', '17%', ' ', 'pommes', 'antioxydants : acide ascorbique - acide citrique', 'eau', 'crème fraîche ', '3%', 'beurre ', '2%', 'caramel ', '1%', ' ', 'sucre', 'eau', 'sirop de glucose-fructose de blé et/ou maïs', 'lactose et protéines de lait en poudre', 'amidon de maïs', 'crème en poudre', 'amidon modifié de pommes de terre', 'sel', 'colorant : caramel ordinaire', 'poivre', ' Contient : lait', "" Les allergènes à déclaration obligatoire sont soulignés dans la liste d'ingrédients""]","['Non végétalien', 'Non végétarien']",13 g,en quantité modérée,6.1 g,en quantité élevée,6.4 g,en quantité modérée,0.76 g,en quantité modérée,?,,185,+25%,774 kj(185 kcal),+26%,13,+30%,"6,1",+430%,11,+27%,"6,4",+600%,"5,7",+34%,"0,76",-22%,"0,304",-22%,12,+273%,D,+273%,,,,,,,,"['E300 - Acide ascorbique', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a']",,['Lait'],4,,,,,,,,
1789,Paprika Crunch,8436551952031,,,,,,"['Bio', 'en:EG-Öko-Verordnung', 'Sans sucre ajouté', 'Sans additifs']",['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,"7,5",,"1,8",,"56,5",,"52,8",,"16,3",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,
1790,Oatmeal chocolate chip - Prozis,5600380894555,,,['Carton'],['Prozis'],,,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,"7,6",,"1,5",,56,,"1,7",,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1791,Œufs de truite,3440432017318,,,,,"['en:Trout eggs', 'Oeufs de truite']",,['France'],[],[],8.56 g,en quantité modérée,1.6 g,en quantité modérée,0.3 g,en faible quantité,2.7 g,en quantité élevée,?,,193,+5%,808 kj(193 kcal),+5%,"8,56",+8%,"1,6",+21%,3,+32%,"0,3",-7%,26,-3%,"2,7",-1%,"1,08",-1%,13,+2%,D,+2%,,,,,,,,,,,,,,,,,,,
1792,Coffret snacks - Casino - 100g,3222477002333,,100 g,,['Casino'],,,['France'],"['Soufflés salés: pomme de terre déshydratée ', 'contient sulfites', ' - semoule de maïs - huile de tournesol - arôme ', 'contient blé', ' - sel 2% - exhausteurs de goût : e621', 'e627', 'e631 - colorant : e100', 'soufflés goût oignon : semoule de maïs - huile de tournesol - farine de blé - oignon en poudre 6% - son de blé - poudre de lait écrémé - sel - arômes naturels - lactosérum en poudre - sucre - persil - colorant : e100', 'soufflés à la tomate : semoule de maïs - cacahuètes grillées moulues - huile de tournesol - tomate en poudre 13', '5% - sel - arômes naturels - dextrose - colorant : e160c', 'soufflés à la cacahuète : semoule de maïs - cacahuètes grillées moulues 33% - huile de tournesol - sel - dextrose - poivre', 'pourcentages exprimés sur chacun des soufflés']",['Non végétalien'],,,,,,,,,1949,,465,,1949 kj(465 kcal),,20,,"2,3",,59,,"3,8",,10,,"1,9",,"0,76",,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E100 - Curcumine', 'E160c - Extrait de paprika']",,"['Gluten', 'Lait', 'Arachides', 'Anhydride sulfureux et sulfites']",4,"Assortiment de 4 variétés de produits soufflés salés, goût oignon, à la tomate et à la cacahuète",,,['Casino'],,,,
1793,Brandade de morue -,3067163606880,E,,,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",,['France'],[],[],8.2 g,en quantité modérée,5.1 g,en quantité élevée,2.1 g,en faible quantité,1.75 g,en quantité élevée,?,,104,-29%,435 kj(104 kcal),-28%,"8,2",-4%,"5,1",+207%,"8,7",-9%,"2,1",+132%,"7,1",+5%,"1,75",+113%,"0,7",+113%,13,+643%,D,+643%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,,
1794,Rillettes Pur Porc Rochambeau,3439495020380,D,,['Bocal en verre'],['Rochambeau'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",['Fabriqué en France'],['France'],[],[],40.1 g,en quantité élevée,17.6 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,421,+7%,1761 kj(421 kcal),+7%,"40,1",+9%,"17,6",+25%,"0,5",-1%,"0,5",+47%,"14,6",-8%,"1,1",-14%,"0,44",-14%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,['Metro'],,,,
1795,"Citron Primofiori, 4 fruits calibre 4/5 catégorie 2 - U - 4unités",3256226088576,,4 unités,['Sachet'],"['U', 'U Bio']",,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,"['Magasins U', 'Super U']",['Espagne'],,,
1796,Chorizo sarta doux,8413107000866,,,,,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,17,,"6,9",,"1,7",,"1,7",,22,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,
1797,Oatmeal whey - Prozis,5600380894456,,,['Sachet'],['Prozis'],,,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"7,7",,2,,42,,"1,8",,31,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
1798,Munster,3418914901257,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Munsters']",,['France'],[],[],27 g,en quantité élevée,18.8 g,en quantité élevée,0.5 g,en faible quantité,1.81 g,en quantité élevée,?,,322,-2%,1347 kj(322 kcal),-1%,27,-0%,"18,8",+1%,"0,5",-17%,"0,5",-4%,"19,3",-3%,"1,81",+1%,"0,724",+1%,17,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,"['FR 68.175.039 CE', 'Lapoutroie (Haut-Rhin, France)', 'FR 68.175.003 CE', 'Lapoutroie (Haut-Rhin, France)']",,,,,
1799,Happy monkey smoothie,5060162210230,,,,,,,['France'],[],[],,,,,,,,,?,,49,,205 kj(49 kcal),,0,,0,,"10,9",,"10,6",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1800,Soja saveur vanille - Netto - 4x 100g,3250392697129,B,4 x 100 g,"['Pot', 'Frais']",['Netto'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",['Fabriqué en France'],['France'],"['Jus de soja** 86,3% ', 'eau', 'graines de soja** ', 'France', ' 7,6%', 'sucre', 'amidon modifié de mais', 'phosphates de calcium', 'arôme naturel', 'sel', 'épaississant : carraghénanes', "" **Soja issu d'une filière contrôlée sans OGM""]",[],1.8 g,en quantité modérée,0.4 g,en faible quantité,9.3 g,en quantité élevée,0.12 g,en faible quantité,?,,84,+68%,351 kj(84 kcal),+66%,"1,8",-7%,"0,4",+11%,"13,2",+177%,"9,3",+130%,"3,5",+6%,"0,12",+36%,"0,048",+36%,1,,B,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,['Soja'],4,,,"['EMB 17028', 'Aytré (Charente-Maritime, France)']",['Netto'],,,,
1801,Grissini,8032697230202,,,,,,,['France'],[],[],,,,,,,,,?,,430,,1799 kj(430 kcal),,"8,5",,"1,2",,76,,"2,9",,12,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,
1802,A'rom Moulin Festif - 240g,3700389705141,A,240 g,"['MOULIN', 'VERRE', 'BOUTEILLE']","[""A'ROM""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Sels']",,"['Danemark', 'France', 'Pays-Bas', 'Pologne', 'Royaume-Uni']","['Sel gros de mer ', '83%', 'antiagglomérant ', 'E535', 'mélange 5 baies ', '17%', ' ', 'poivre noir', 'poivre blanc', 'piment de Jamaïque', 'baies roses', 'poivre vert déshydraté', ' ail semoule', 'échalote semoule', 'thym']",[],,,,,,,,,1100,,45,,,,"1,23",,,,"9,2",,,,"2,62",,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['E535 - Ferrocyanure de sodium'],,['NON RENSEIGNE'],2,Moulin long au Sel mélange Festif,['FRANCE'],"['EMB 13119B', 'Carnoux-en-Provence (Bouches-du-Rhône, France)']","['DU BRUIT DANS LA CUISINE', 'PINE APPLE', 'OTHERWINE', 'CABESTO', 'TJX']","['France', 'Brésil', 'Chine', 'Inde', 'Jamaïque', 'Pologne', 'Viêt Nam']",,,
