,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
848,Saumon rouge du pacifique,4260046743439,E,,"['Produits de la mer', 'Poissons', 'Saumons']",,,['France'],[],[],?,,123,-33%,"3,3",-69%,"0,2",-61%,23,+6%,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,515 kj(123 kcal),"0,8","0,1","3,3","1,32",,3.3 g,en quantité modérée,0.8 g,en faible quantité,0.1 g,en faible quantité,3.3 g,en quantité élevée,-33%,-61%,-69%,+36%,+36%,11,0%,D,0%,,,,,,,['Pacifique'],,,,
849,Mélange Vitalité,2600292028607,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mélange du boulanger - Hé ! Bio - 250g,3701080000535,,['Hé ! Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,528,+74%,"41,8",+522%,"7,6",-81%,"20,7",+72%,,,,,,,,2209 kj(528 kcal),"7,4",1,"0,05","0,02",,41.8 g,en quantité élevée,7.4 g,en quantité élevée,1 g,en faible quantité,0.05 g,en faible quantité,+75%,+751%,-23%,-80%,-80%,8,,C,,250g,,,,,,,,,,
851,Tomator - starlux,8410086953336,,['Starlux'],['es:Tomate triturado'],['en:gluten-free'],,"['France', 'Espagne']",[],[],?,,24,,"0,5",,"4,6",,"1,2",,,,,,,,,100 kj(24 kcal),"0,1",0,"0,6","0,24",,0.5 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,,,,,,2,,B,,,,,,,,,,,,
852,Green olives with chili - Hellenic grocery - 250g,5213004742585,B,['Hellenic grocery'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives entières', 'Olives vertes entières']",,,['France'],"['INGREDΙΕNTS: GREEN OLIVES', 'BRINE', 'CHILI ', '2%', 'SUNFLOWER OIL']",[],?,,118,-27%,"12,4",-22%,"0,5",-66%,"1,2",+3%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,494 kj(118 kcal),"2,1","0,1","4,2","1,68",,12.4 g,en quantité modérée,2.1 g,en quantité modérée,0.1 g,en faible quantité,4.2 g,en quantité élevée,-26%,-15%,-45%,+10%,+10%,9,-21%,C,-21%,250 g,['Sachet'],,,,3,,,,,
853,MOELLEUX aux pépites de chocolat - Louvat,3308960011515,,['Louvat'],,,,['France'],[],[],?,,446,,"25,6",,"44,44",,"10,15",,,,,,,,,1866 kj(446 kcal),"10,6","37,51",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Suppengewürz - 22g,4027900592158,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 g,['Glas'],,,,,,,,,
855,Filet de poulet fermier jaune Bio,0208949084888,C,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Bio', 'Bio européen', 'FR-BIO-09']",,['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Pur jus ananas victoria - Atelier Patrick Font,3760131161007,D,['Atelier Patrick Font'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas"", 'Jus de fruits pur jus', ""Jus d'ananas pur jus""]",,,['France'],[],[],?,,54,+8%,0,-100%,13,+11%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,226 kj(54 kcal),0,11,0,0,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,+9%,-100%,-4%,-100%,-100%,6,+15%,D,+15%,,,,,,,,,,,
857,Donut Chocolat,2020000859246,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,['France'],[],[],?,,440,+8%,27,+18%,41,-8%,"6,8",+15%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,1841 kj(440 kcal),13,14,1,"0,4",,27 g,en quantité élevée,13 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,+8%,+23%,-17%,+5%,+5%,22,+13%,E,+13%,,,,,,,,,,,
858,Muskatnuss - 35g,4007354608827,,,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 g,['Dose'],,,,,,,,,
859,Boudin blanc,2204307016735,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,['France'],[],[],?,,193,-21%,16,-21%,"2,6",-40%,"9,6",-7%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,808 kj(193 kcal),"6,4","1,4","1,9","0,76",,16 g,en quantité modérée,6.4 g,en quantité élevée,1.4 g,en faible quantité,1.9 g,en quantité élevée,-21%,-18%,-29%,+28%,+28%,16,0%,D,0%,,,,,,,,,,,
860,Rosette de Lyon - Despi,2228546014963,D,['Despi'],"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['Viande-francaise', 'Viande-porcine-francaise']","['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",['France'],[],[],?,,?,,?,,?,,?,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Mousse forestière à l ancienne,3346650217410,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],?,,288,,"23,7",,"7,8",,11,,,,,,,,,1205 kj(288 kcal),"8,8","2,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Prototoast tomate,8023331042138,,,,,,['France'],[],[],?,,292,,10,,8,,20,,,,,,,,,1222 kj(292 kcal),3,"0,08","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,dos de saumon fjords u - super U - 326g,0207384057662,E,['super U'],"['Produits de la mer', 'Poissons', 'Saumons', ""Saumons d'élevage""]",,,['France'],['SALMO SALAR ELEVE EN NORVEGE'],[],?,,?,,?,,?,,?,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,326 g,"['sous vide', 'plastique']",,,,,,,,,
864,Yaourt à boire bio de la ferme myrtille,3770005418120,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,0,,?,,?,,?,,,,,,,,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Bière Tête Noire - Auvergne autrement - 33cl,3700232419331,C,['Auvergne autrement'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales']",['Sans conservateurs'],,['France'],"[""TETE NOIRE Brassée par BS 42720 BIERE AUX CEPES D'AUVERGNE Biere cuivrée à base d'orges d'Auvergne dorges caramel et de cèpes"", ' Les cepes apportent une touche legèrement salee qui relève des aróômes sous-bois', ' NON FILTREE-NON PASTEURISÉE - SANS CONSERVATEUR Angrédients: Esu', ""Malts d'Orge"", 'Houblons', ""Cepes d'Auvergne Levure"", ' Contient du gluten', ' Aic Sh vol', ' 3 700232 4 19331']",[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,33 cl,,,,['Gluten'],,,,,,
866,Chocolat,0838948011938,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Pousse de bambou,3379147507428,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",,,['France'],[],[],?,,10,-63%,0,-100%,"1,8",-26%,"0,9",-39%,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,42 kj(10 kcal),0,"0,9","0,853","0,341",,0 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,0.853 g,en quantité modérée,-61%,-100%,+125%,+218%,+218%,3,+669%,C,+669%,,,,,,,,,,,
868,Salami Spianata Romana,20147822,,,,,,['France'],[],[],?,,369,,29,,"0,1",,27,,,,,,,,,1544 kj(369 kcal),"9,7","0,1","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Blanc fermier des Hautes Vosges - La ferme du Bennevise,0205050032678,D,['La ferme du Bennevise'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France']",['en:Raw milk'],"['FR 88.408.002 CE', 'Rupt-sur-Moselle (Vosges, France)']",['France'],[],[],?,,?,,?,,?,,?,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],,,,,,,Fromage au lait cru,,
870,Panais - Pommette - 2x 120g,3250392745011,,['Pommette'],,"['Bio', 'en:gluten-free']",,['France'],[],[],?,,30,,"0,5",,"5,5",,"0,7",,,,,,,,,126 kj(30 kcal),"0,2","2,9","0,02","0,008",,,,,,,,,,,,,,,,,,,2 x 120 g,,,,,,,,,,
871,Chocolat Churchill's,5020000199103,,,,,,['France'],[],[],?,,442,,"12,2",,"82,1",,"1,1",,,,,,,,,1849 kj(442 kcal),"9,8","63,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Sauce tomate au basilic,3337730002422,,,,,,['France'],[],[],?,,61,,"2,9",,"6,1",,"1,5",,,,,,,,,255 kj(61 kcal),"0,5","5,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Faisselle de brebis - 110g,3578840003651,,,,['Bio'],,['France'],[],[],?,,103,,7,,"4,5",,"5,6",,,,,,,,,431 kj(103 kcal),"4,8","4,5","0,1","0,04",,,,,,,,,,,,,,,,,,,110 g,,,,,,,,,,
874,Sunny Delight Ice Tea,3661138600868,,,,,,['France'],[],[],?,,29,,0,,7,,"0,1",,,,,,,,,121 kj(29 kcal),0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Cru bourgeois,3251091615223,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Julienne,0328069007014,,,,,,['France'],[],[],?,,34,,"0,3",,"5,3",,"1,3",,,,,,,,,142 kj(34 kcal),"0,1","1,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Pain d'epautre - 0.350kg,2020001497461,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350 kg,,,,,,,,,,
878,La piadina Loriana light,8003840001321,,,,,,['France'],[],[],?,,331,,"7,9",,"54,1",,"8,9",,,,,,,,,1385 kj(331 kcal),"0,7","1,4","1,59","0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Crème basis sensitiv - lavera - 150ml,10417111,C,['Lavera'],"['Produits laitiers', 'Crèmes', 'Hydratante']","['Bio', 'Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,['bio coop'],,,,,,,,,,,,,,,,,,150 ml,['boîte fer'],['Allemagne'],,,,['République démocratique allemande'],,,,
880,Gaspacho - REWE,4388860079272,B,['REWE'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,60,+46%,"3,9",+59%,"4,3",+28%,"1,1",+40%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,251 kj(60 kcal),"0,1","3,9","0,78","0,312",,3.9 g,en quantité modérée,0.1 g,en faible quantité,3.9 g,en faible quantité,0.78 g,en quantité modérée,+45%,-74%,+53%,+17%,+17%,3,+152%,C,+152%,,,,,,,,,,,
881,Eclair Chocolat,0200840012793,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",,,['France'],[],[],?,,277,+8%,15,+22%,31,-2%,"3,5",-20%,,,,,,,,1159 kj(277 kcal),"4,3",19,"0,46","0,184",,15 g,en quantité modérée,4.3 g,en quantité modérée,19 g,en quantité élevée,0.46 g,en quantité modérée,+8%,-26%,-6%,+20%,+20%,13,+1%,D,+1%,,,,,,,,,,,
882,Boudin blanc forestier,2238081019095,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['Sans colorants'],,['France'],[],[],?,,255,+5%,22,+9%,"2,3",-47%,12,+17%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,1067 kj(255 kcal),"8,6","1,6","1,4","0,56",,22 g,en quantité élevée,8.6 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,+5%,+10%,-19%,-6%,-6%,17,+6%,D,+6%,,,,,,,,,,,
883,Chips de sarrasin -  - 100g,3566100009291,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de sarrasin', 'Chips de sarrazin']",['Sans conservateurs'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
884,Pâté de foie,3329260205558,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",['Sans colorants'],,['France'],[],[],?,,328,-8%,29,-11%,"6,9",+238%,"9,9",-13%,,,,,,,,1372 kj(328 kcal),"11,6","3,9","2,1","0,84",,29 g,en quantité élevée,11.6 g,en quantité élevée,3.9 g,en faible quantité,2.1 g,en quantité élevée,-7%,-6%,+382%,+29%,+29%,23,+14%,E,+14%,,,,,,,,,,,
885,Pizza chocolat,4002084913890,,,,,,['France'],[],[],?,,367,,17,,45,,"6,2",,,,,,,,,1536 kj(367 kcal),"6,1",20,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Crème épaisse 30% MG,3420629305053,,,,,,['France'],[],[],?,,293,,30,,"3,3",,"2,3",,,,,,,,,1226 kj(293 kcal),"21,3","3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Aigre doux dupont,3549750037005,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Seleccion especial,8413111001026,,,,,,['France'],[],[],?,,363,,5,,67,,9,,,,,,,,,1519 kj(363 kcal),1,1,"0,087","0,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Pain croustillant Lin,0200247006951,,,,"['en:gluten-free', ""Fabriqué dans l'UE""]",,['France'],[],[],?,,446,,17,,54,,14,,,,,,,,,1866 kj(446 kcal),"2,3","0,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Arbequina,8437009466322,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,PINK POWER,3700569008246,,,,,,['France'],[],[],?,,12,,"0,1",,"2,6",,"0,2",,,,,,,,,50 kj(12 kcal),0,"2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Psycho DDH IPA - Naparbier - 440ml,8437012444911,C,['Naparbier'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,440 ml,,,,,,,,,,
893,Criollitas,79214902,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Matsot Tradition,3226985149009,,,,['Fabriqué en France'],,['France'],[],[],?,,375,,"1,2",,"78,2",,11,,,,,,,,,1569 kj(375 kcal),"0,28","2,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Cidre de Normandie - Netto,3250392280314,D,['Netto'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,['France'],[],[],?,,?,,?,,?,,?,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Vanilla Caramel Almond - Häagen-Dazs,3415580701006,B,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés']",,,"['France', 'Espagne']",[],[],?,,331,+24%,"18,1",+53%,"35,9",-2%,"5,5",+87%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,1385 kj(331 kcal),"10,4","24,9","0,39","0,156",,18.1 g,en quantité modérée,10.4 g,en quantité élevée,24.9 g,en quantité élevée,0.39 g,en quantité modérée,+24%,+17%,-6%,+155%,+155%,20,+27%,E,+27%,,,,,,,,,,,
897,Jambon à l'ancienne salé à la veine - 0.128kg,2232410019749,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,"['EMB 23004', 'Anzême (Creuse, France)']",['France'],[],[],?,,161,+6%,"7,9",+28%,"0,1",-80%,22,-1%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,674 kj(161 kcal),"2,9","0,1","1,9","0,76",,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.1 g,en faible quantité,1.9 g,en quantité élevée,+6%,+20%,-79%,-3%,-3%,12,+23%,D,+23%,0.128 kg,,,,,,,,,,
898,Jack'Carot,3120470015032,,,,,,['France'],[],[],?,,545,,32,,57,,"6,1",,,,,,,,,2280 kj(545 kcal),20,56,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Cotes du Rhone,3021891810476,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
900,Cotes du Rhone,3021891810476,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
901,100% pure whey - BiotechUSA,5999076227259,,['BiotechUSA'],,"['en:gluten-free', 'en:palm-oil-free']",,['France'],[],['Sans huile de palme'],?,,385,,"5,5",,5,,78,,,,,,,,,1611 kj(385 kcal),"3,9","3,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Andouille de guemene,0253012031221,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,['France'],[],[],?,,?,,?,,?,,?,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,"Pâte en croûte ""Cocktail Drômois""",2608313036273,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Falafel - Blini,3292070001453,B,['Blini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels']",,,['France'],[],[],?,,273,+13%,"19,6",+80%,"15,8",-29%,"5,6",-38%,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,1142 kj(273 kcal),"1,6","2,7","1,84","0,736",,19.6 g,en quantité modérée,1.6 g,en quantité modérée,2.7 g,en faible quantité,1.84 g,en quantité élevée,+12%,+11%,+7%,+47%,+47%,12,+417%,D,+417%,,,,,,,,,,,
905,RED,3700569008208,,,,,,['France'],[],[],?,,15,,"0,1",,"3,3",,"0,3",,,,,,,,,63 kj(15 kcal),0,"3,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Poulet fermier Loué - Les Fermiers de Loué,0217247046382,,['Les Fermiers de Loué'],,['IGP'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Tomme noire des Pyrénées,2281797025652,,,,,,['France'],[],[],?,,346,,28,,"1,5",,22,,,,,,,,,1448 kj(346 kcal),20,"0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Choux rouge -,26080628,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Choux cabus', 'Légumes frais', 'Chou rouge', 'Choux rouges frais']",,,['France'],[],[],?,,?,,?,,?,,?,,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Limes biologiques braquette 3 fruits,3700353615810,,,,['Bio'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Mentos Gum Blister Breeze Strawberry X12,80768920,,['Mentos'],,,,['France'],[],[],?,,176,,"0,2",,68,,0,,,,,,,,,736 kj(176 kcal),"0,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Showa Hot Cake Mix Vanilla,4901760432154,,,,,,['France'],[],[],?,,347,,"1,8",,"74,5",,"8,1",,,,,,,,,1452 kj(347 kcal),"1,5","72,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Mentos chewing gum,80957331,,['Mentos'],,,,['France'],[],[],?,,176,,"0,2",,71,,0,,,,,,,,,736 kj(176 kcal),"0,2",0,"0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Tipi tip,4792135020232,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Galettes de blé noir - Franprix - 360g,3263858876112,B,['Franprix'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,,['France'],[],[],?,,164,-7%,"1,8",-54%,"29,6",+8%,"6,1",-11%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,686 kj(164 kcal),"0,3","0,5","0,74","0,296",['Franprix'],1.8 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.74 g,en quantité modérée,-7%,-81%,-30%,-44%,-44%,2,-61%,B,-61%,360 g,,,,,,,,,,
915,Mouchoirs - Lindt,4058172048494,,['Lindt'],,,,['France'],[],[],?,,0,,41,,39,,"6,8",,,,,,,,,0 kj(0 kcal),0,36,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,6 Oeufs bio moyen PICOTI -,3760064270029,C,,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs frais', 'en:Organic eggs']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Contrex,18844212,,['Contrex'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Ail et persil,26099958,,,,,,['France'],[],[],?,,413,,15,,64,,"4,5",,,,,,,,,1728 kj(413 kcal),10,"6,8","8,8","3,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,5055261552350,5055261552350,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Beer,57089188,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Dulce de membrillo,8411410040012,,,,,,['France'],[],[],?,,246,,0,,"59,3",,"0,3",,,,,,,,,1029 kj(246 kcal),0,57,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Infusion - 80g,3259920042714,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,
923,Haribo,3103220041635,,['Haribo'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Puree de poire bio,3700388100060,,,,"['Bio', 'Sans sucre ajouté']","['EMB 13089H', 'Saint-Andiol (Bouches-du-Rhône, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Piment Cayenne L.O. - Épice d'Or - 50g,3760197941391,,"[""Épice d'Or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,,
926,Banana toquer,0211236012662,,,,"['Commerce équitable', 'Max Havelaar']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,2250364056948,2250364056948,,,,['Sans colorants'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
