,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
1500,original porridge - 40g,5099801005074,,,['France'],[],[],,,,,,,,,?,,153,,640 kj(153 kcal),,2,,"0,4",,29,,"2,1",,"5,2",,"0,02",,"0,008",,,,,,,,,,,,,['Agriculture UE'],40 g,,,,,,,,,,,,,
1501,Escalope hachée,2887150027815,,,['France'],[],[],,,,,,,,,?,,710,,2971 kj(710 kcal),,11,,11,,"4,8",,"0,5",,19,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Praana Chai 20 Bags,7059330071191,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Yogi Tea: Organic Ancient Herbal Bedtime Tea - 17 Bags,4012824402485,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Yogi Tea'],['carton'],,,,,,,,,,,
1504,Aceite de oliva virgen extra,8422767001397,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
1505,Le charolais,0211383032803,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,"['FR 10.362.003 CE', 'Sainte-Savine (Aube, France)']",,,,,,,
1506,My aloe,8809125064551,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['France', 'États-Unis']","['Purified water', 'aloe vera gel', 'sugar', 'pomegranate concentrate', 'citric acid', 'calcium lactate', 'artificial pomegranate flavor', 'sodium citrate', 'vitamin c', 'gellan gum', 'cochineal extract', 'caramel extract']","['Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,9.17 g,en quantité élevée,0.0525 g,en faible quantité,?,,38,-5%,159 kj(38 kcal),-5%,0,-100%,0,-100%,"9,58",+14%,"9,17",+23%,0,-100%,"0,052",+115%,"0,021",+115%,13,+120%,E,+120%,,,,,,,,,,,,,,4,,,,,,"['E330 - Acide citrique', 'E327 - Lactate de calcium', 'E331 - Citrates de sodium', 'E418 - Gomme gellane']",Regime Entertainment,
1507,Gorgonzola,2480394026639,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,26,,"16,6",,"0,3",,"0,3",,"18,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Confiture pêche du Béarn,3306749000071,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,"0,5",,"0,1",,46,,46,,"0,4",,"0,01",,"0,004",,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,
1509,Pizza prosciutto - Sodebo,00000038,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],4.7 g,en quantité modérée,2.9 g,en quantité modérée,2.1 g,en faible quantité,1.5 g,en quantité modérée,?,,197,-14%,824 kj(197 kcal),-14%,"4,7",-44%,"2,9",-26%,25,-7%,"2,1",-29%,11,+7%,"1,5",+20%,"0,6",+20%,5,-36%,C,-36%,,,,,,,,"['Nutriscore', 'Nutriscore A']",,['Sodebo'],,,,,,,,,,,,
1510,Eau minerale naturelle - Ogeu,13161741,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Eau minérale naturelle non gazeuse']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.0022 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,002",-95%,"0,001",-95%,0,-100%,A,-100%,,,,,,,,,,['Ogeu'],,,,,,,,,,,,
1511,Graines de chanvre décortiquées - 150g,8594183380063,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,644,,2694 kj(644 kcal),,48,,5,,"3,1",,"2,6",,34,,0,,0,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",150 g,,,,,,,,,,,,,
1512,Vin rose,3760143140120,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,,
1513,Bibou - Lindt,3411112264667,,,['France'],[],[],,,,,,,,,?,,592,,2477 kj(592 kcal),,55,,30,,14,,7,,10,,"0,03",,"0,012",,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,
1514,Moutarde aux noisettes,3000000002087,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,
1515,Banane cavendish eco+ - €co+,2860194007708,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['€co+'],,,,,,,,,,,,
1516,Fresubin dessert fruit pomme peche - Fresenius Kabi - 4x 125g,1188477,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,"6,2",,"0,5",,"18,4",,15,,7,,"0,15",,"0,06",,,,,,,,,,,,,,4 x 125 g,"['Fresenius Kabi', 'Fresubin']",,,,,,,,,,,,
1517,Jambon Auch Superieur,0201083019150,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Huile d'olive,3760141251705,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,lr -,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Nesfruta lemonade - Nestlé,05587902,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,
1521,Terrine grand-père,0212244012927,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,,,
1522,Cris'peas,13346336,,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,12,,"1,9",,56,,"2,8",,19,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Palette fumee sans os,2403086065204,,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,"3,7",,"1,4",,"0,6",,"0,6",,"18,3",,"1,99",,"0,796",,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,340 G-aceitunas Sin Hueso - Spar,8480013190059,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,18,,3,,0,,0,,1,,4,,"1,6",,,,,,,,,,,,,,,['Spar'],,,,,,,,,,,,
1525,Confiserie aux champs,3770009591072,,,['France'],[],[],,,,,,,,,?,,392,,1640 kj(392 kcal),,"0,1",,0,,"97,8",,"66,2",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Ciboulette,3700457101042,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Hyper drink bio saveur vanille - Nutrisens - 200ml,3701052000693,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,5,,"0,5",,17,,"6,1",,9,,"0,11",,"0,044",,,,,,,,,,,,,"['Bio', 'Sans lactose']",200 ml,['Nutrisens'],,,,,,,,,,,,
1528,Filets de poulet rôtis,0211791019359,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,?,,141,-3%,590 kj(141 kcal),-3%,"5,5",+2%,"1,4",+3%,"0,6",+4%,"0,6",+39%,"22,3",-6%,"1,26",-6%,"0,504",-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,
1529,Banane,2620014009714,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Éclair café,0202001013120,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",['France'],[],[],7.2 g,en quantité modérée,4.4 g,en quantité modérée,29 g,en quantité élevée,0.41 g,en quantité modérée,?,,247,-1%,1033 kj(247 kcal),-1%,"7,2",-35%,"4,4",-23%,42,+31%,29,+46%,"3,3",-19%,"0,41",+6%,"0,164",+6%,14,+9%,D,+9%,,,,,,,,,,,,,,,,,,,,,,
1531,Canistrelli Au Miel,3374811904633,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Breizh cookies pepite de chocolat,3760105822118,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",['France'],[],[],21 g,en quantité élevée,13 g,en quantité élevée,37 g,en quantité élevée,0.07 g,en faible quantité,?,,455,-8%,1904 kj(455 kcal),-8%,21,-17%,13,+5%,60,+1%,37,+17%,"5,8",-7%,"0,07",-90%,"0,028",-90%,23,+2%,E,+2%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,
1533,Mélange de fruits séchés sucrés et d'amandes,7617014172642,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,13,,1,,63,,52,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Salsa Brava allioli picant,8429424151150,,,['France'],[],[],,,,,,,,,?,,660,,2761 kj(660 kcal),,69,,39,,7,,5,,2,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Morceaux de thon au naturel - 600g,3117751051339,,,['France'],[],[],,,,,,,,,?,,99,,414 kj(99 kcal),,"0,8",,"0,3",,"0,5",,"0,5",,23,,"0,75",,"0,3",,,,,,,,,,,,,,600 g,,,,,,,,,,,,,
1536,Saucisson,8420941209102,,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,35,,13,,5,,4,,27,,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Mikropopcorn - Pirkka - 3x 100g,6410405212887,B,"['Snacks', 'Popcorn']","['Finlande', 'France']",[],[],17 g,en quantité modérée,5 g,en quantité modérée,1.2 g,en faible quantité,2.4 g,en quantité élevée,1697,-8%,405,-8%,1697 kj(405 kcal),-8%,17,+6%,5,+7%,51,-19%,"1,2",-94%,"8,5",+28%,"2,4",+163%,"0,96",+163%,14,+1%,D,+1%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,3 x 100 g,['Pirkka'],,,,,,,,,,,,
1538,Bruschetta à la raclette,0210138019021,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,16,,"7,8",,"6,2",,"0,9",,10,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Palette a la diable,2657317073869,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"7,7",,3,,7,,"0,5",,12,,"1,7",,"0,68",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",,,,,,,,,,,,,,
1540,Cons.ventresca Diamir De Atun Claro 110G - 110g,8436033874158,,,['France'],[],[],,,,,,,,,?,,217,,908 kj(217 kcal),,13,,2,,"0,4",,"0,1",,25,,1,,"0,4",,,,,,,,,,,,,,110 g,['Diamir'],,,,,,,,,,,,
1541,Noci Sguciate Bio,13419509,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
1542,Tortilla chips fajitas,14109768,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],26.2 g,en quantité élevée,3 g,en quantité modérée,1.5 g,en faible quantité,0.41 g,en quantité modérée,?,,498,+3%,2084 kj(498 kcal),+3%,"26,2",+15%,3,+2%,"56,8",-6%,"1,5",-21%,"6,3",-2%,"0,41",-65%,"0,164",-65%,6,-38%,C,-38%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['en:gluten-free'],,,,,,,,,,,,,,
1543,Maïs doux - U - 300g,3256222114156,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Graines', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en grains', 'Maïs', 'Céréales en conserve', 'Maïs doux', 'Maïs en conserve', 'Maïs doux en conserve']",['France'],[],[],1.3 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.53 g,en quantité modérée,?,,118,+27%,494 kj(118 kcal),+27%,"1,3",-20%,"0,1",-65%,22,+48%,"3,5",-22%,3,+7%,"0,53",+26%,"0,212",+26%,-3,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,,300 g,['U'],,,,,,,,,,,,
1544,Cuisse de poulet - La Nouvelle Agriculture,0213323018243,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,?,,212,+11%,887 kj(212 kcal),+11%,16,+29%,"4,3",+28%,0,-100%,0,-100%,17,-8%,"0,18",-76%,"0,072",-76%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['La Nouvelle Agriculture'],,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,
1545,mini cheeseburger,3422827090359,E,"['Sandwichs', 'Cheeseburgers']",['France'],[],[],11 g,en quantité modérée,5.2 g,en quantité élevée,7.2 g,en quantité modérée,1.4 g,en quantité modérée,?,,257,-2%,1075 kj(257 kcal),-1%,11,-11%,"5,2",-1%,26,+12%,"7,2",+66%,14,+5%,"1,4",+7%,"0,56",+7%,15,+18%,D,+18%,92.4%,3.5%,1.0%,0.9%,0.5%,1.8%,15,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,
1546,Chamooooooo,3760038141317,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Smoothie frutos rojos manzana - Zü,8410171012047,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies', 'Smoothies aux fruits']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité élevée,0 g,en faible quantité,?,,43,-27%,180 kj(43 kcal),-27%,0,-100%,0,-100%,10,-18%,"9,9",-7%,"0,5",-24%,0,-100%,0,-100%,13,+19%,E,+19%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,,['Zü'],,,,,,,,,,,,
1548,Pop's barbecue - Lidl - 100g,20802394,,,['France'],"['60% potato flour', 'rice flour', 'potato starch', 'salt', '13% high oleic sunflower oil', '7% barbecue flavour seasoning ', 'sugar', 'dextrose', 'salt', 'dried onion', 'dried garlic', 'dried buttermlk', 'smoked salt', 'dried tomato', 'yeast extracts', 'flavouring', 'acid: citric acid', 'colour: paprika extract', ',']",[],,,,,,,,,?,,441,,1845 kj(441 kcal),,15,,2,,68,,"4,5",,"6,1",,"1,62",,"0,648",,,,,,,,,,,,,,100 g,['Lidl'],,,,4,,,,,,"['E330 - Acide citrique', 'E160c - Extrait de paprika']",,
1549,Pro Bcaa 20 Servings Pêche Et Mangue - Optimum nutrition,5060245605557,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Optimum nutrition'],,,,,,,,,,,,
1550,Poulet fermier,2456030045203,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,,,
1551,Radi,2868380008720,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Chocolats - Lindt - 345g,3046920126632,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",['France'],[],[],34 g,en quantité élevée,17 g,en quantité élevée,53 g,en quantité élevée,0.05 g,en faible quantité,?,,550,+2%,2301 kj(550 kcal),+2%,34,+1%,17,-3%,55,+7%,53,+13%,"5,1",-16%,"0,05",-65%,"0,02",-65%,26,+4%,E,+4%,,,,,,,,,345 g,['Lindt'],,,,,,,,,,,,
1553,pistaches -,8435024403599,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées']","['France', 'Espagne']",[],[],56 g,en quantité élevée,6.1 g,en quantité élevée,4.3 g,en faible quantité,0.34 g,en quantité modérée,?,,642,+5%,2686 kj(642 kcal),+5%,56,+14%,"6,1",-5%,"7,4",-51%,"4,3",-37%,23,+2%,"0,34",-72%,"0,136",-72%,5,-20%,C,-20%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,['Sans gluten'],,,,,,,,,,,,,,
1554,Entrecote - Charal,2494558048153,E,"['Viandes', 'Bœuf', 'Entrecôte de boeuf']",['France'],[],[],14.2 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,205,-2%,858 kj(205 kcal),-2%,"14,2",-4%,"5,6",-15%,0,-100%,0,-100%,"19,6",+2%,0,-100%,0,-100%,2,-35%,B,-35%,97.6%,0.4%,0.8%,0.7%,0.4%,0.3%,3,"['Viande Française', 'Viande-bovine-francaise']",,['Charal'],,,,,,,,,,,,
1555,Parmesan,4337185176319,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['stück', 'stück']",,,,,,,,,,,
1556,Wiener Würstchen - 550g,73748661137578,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,550 g,,['Glas'],,,,,,,,,,,
1557,Croquant du littoral à la fleur de sel - 150g,3760178791359,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,424,,1774 kj(424 kcal),,11,,"0,9",,75,,64,,"5,2",,"0,6",,"0,24",,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",150 g,,,,,,,,,,,,,
1558,Confiture griotte miel - Le Bois Jumel,3176630004422,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Le Bois Jumel'],,,,,,,,,,,,
1559,Viande bovine à griller (bavette de flanchet),0206266053594,,"['Viandes', 'Bœuf']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Donuts,0203174017052,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],28 g,en quantité élevée,13 g,en quantité élevée,16 g,en quantité élevée,1.6 g,en quantité élevée,?,,441,+8%,1845 kj(441 kcal),+8%,28,+23%,13,+23%,41,-8%,16,-5%,"6,7",+13%,"1,6",+68%,"0,64",+68%,25,+28%,E,+28%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,
1561,L'essentiel muesli gourmand - Chabrior,17320145,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"8,3",,1,,"57,5",,6,,"12,4",,"0,05",,"0,02",,,,,,,,,,,,,,,['Chabrior'],,,,,,,,,,,,
1562,Pormoniers,2309643004245,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,23,,"9,7",,0,,0,,12,,2,,"0,8",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,
1563,Yo Yo - 5x 20g,5060139434485,,,['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,0,,0,,63,,42,,"1,9",,0,,0,,,,,,,,,,,,,['Sans sucre ajouté'],5 x 20 g,,,,,,,,,,,,,
1564,Pane Carasau Guttiau,8032246000164,,,['France'],[],[],,,,,,,,,?,,408,,1707 kj(408 kcal),,"7,4",,"1,1",,"72,1",,"0,3",,"12,1",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Noix de Cajou Grillées Salées - Auchan,3596710428915,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],50.1 g,en quantité élevée,10.8 g,en quantité élevée,5.2 g,en quantité modérée,0.9 g,en quantité modérée,?,,621,+4%,2598 kj(621 kcal),+4%,"50,1",+9%,"10,8",+27%,"19,9",-22%,"5,2",-20%,"16,6",-11%,"0,9",+44%,"0,36",+44%,11,+45%,D,+45%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,['Auchan'],,,,,,,,,,,,
1566,Chipolatas nature,2264709041926,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],16 g,en quantité modérée,6.2 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,216,-10%,904 kj(216 kcal),-10%,16,-15%,"6,2",-14%,1,-15%,"0,5",-21%,17,+10%,"1,9",+6%,"0,76",+6%,16,-4%,D,-4%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,
1567,Madeleines géantes,3760074872220,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Chocolate Brownie Mine Bites - 235g,821008429380039900280,,,['France'],[],[],,,,,,,,,?,,450,,1883 kj(450 kcal),,24,,"14,5",,"51,6",,39,,"5,6",,"0,35",,"0,14",,,,,,,,,,,,,,235 g,,,,,,,,,,,,,
1569,Compal,5600205111904,,,['France'],[],[],,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,0,,0,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Betteraves - Bio Village,3564707087285,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,"['Bio Village', 'Marque Repère']",,,['Leclerc'],,,,,,,,,
1571,0297444861889,0297444861889,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Morbier aop -,0222814129290,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'AOP']",,,,,,,,,,,,,,
1573,Piemontaise jambon superieur,2253048011028,,,['France'],[],[],,,,,,,,,?,,177,,741 kj(177 kcal),,14,,"1,3",,14,,"0,8",,"4,1",,"1,1",,"0,44",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,
1574,Suure Moscht - Ramseier,7610057012258,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,5",,0,,"4,5",,4,,"0,5",,0,,0,,,,,,,,,,,,,,,['Ramseier'],,,,,,,,,,,,
1575,Ecrase de pomme de terre,10000311,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Silber zitrone,4104760032403,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Jambon traditionnel fumé hêtre - Saint Alby,2205882002977,,,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"4,5",,"1,5",,1,,"0,5",,20,,"1,9",,"0,76",,,,,,,,,,,,,['Bio'],,['Saint Alby'],['Barquette'],,,,"['FR 56.033.008 CE', 'Carentoir (Morbihan, France)']",,,,,,,
1578,SALMA,2403050180063,,,['France'],[],[],,,,,,,,,?,,209,,874 kj(209 kcal),,"13,6",,"2,6",,0,,0,,"20,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Vimto - 330ml,5010438016332,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,"0,5",,"0,5",,0,,"0,02",,"0,008",,,,,,,,,,,,,,330 ml,,,,,,,,,,,,,
1580,Gâteau de lune au sésame noir - 4x 180g,3364691365129,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,"6,2",,"2,5",,71,,19,,"5,1",,0,,0,,,,,,,,,,,,,['Point Vert'],4 x 180 g,,,,,,,,,,,,,
