,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
806,Mozzarella bio - Leader Price - 125g,3263859401214,,125g,,['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']","['Bio', 'Bio européen', 'IT-BIO-007', 'AB Agriculture Biologique']",,,['Leader Price'],['France'],[],,[],,17 g,en quantité modérée,12 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,?,,225,-13%,941 kj(225 kcal),-13%,17,-18%,12,-14%,1,-3%,1,+33%,17,+1%,"0,4",-41%,"0,16",-41%,8,-22%,C,-22%,C,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
807,Mascarpone (41% MG) - 250 g - Leader Price,3263859404017,"Fromage italien, à pâte fraîche, triple crème, au lait pasteurisé de vache",250 g,"['Frais', 'Pot', 'Couvercle', 'Plastique']",['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages italiens', 'Fromages pasteurisés', 'Fromages à la crème', 'Mascarpone', 'Fromages triple-crèmes']","['Point Vert', 'Eco-Emballages']","[""Consorzio Latterie Sociali Mantovane Virgilio Societa' Agricola Cooperativa - Via della Favorita 19"", '46100 Mantova', 'Mantoue', 'Lombardie', 'Italie']",['IT 03 131 CE'],['Leader Price'],['France'],"['crème pasteurisée', ""correcteur d'acidité : acide citrique""]",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,40.6 g,en quantité élevée,28.7 g,en quantité élevée,2.1 g,en faible quantité,0.33 g,en quantité modérée,1638,+6%,?,,1638 kj(391 kcal),+3%,"40,6",+4%,"28,7",+6%,"2,1",-33%,"2,1",-31%,"5,9",+19%,"0,33",+252%,"0,132",+252%,12,+1%,D,+1%,D,['E330 - Acide citrique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['46100 Mantova', 'Consorzio Latterie Virgilio S.A.C.', 'Elaboré en Italie', 'Lombardie', 'Mantoue', 'Par']",,,
808,Mozzarella - Leader Price - 400g e,3263859406615,,400 g e,"['Sachet', 'Plstique', 'Frais']",['Leader Price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['Point Vert'],['Italie'],['IT 09 12 CE'],['Leader Price'],['France'],"[""Lait pasteurisé de vache - ferments lactiques - sel - correcteur d'acidité : acide citrique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,18 g,en quantité modérée,13 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,235,-10%,983 kj(235 kcal),-9%,18,-13%,13,-7%,"0,2",-81%,~ 0,-100%,18,+7%,"1,4",+108%,"0,56",+108%,13,+27%,D,+27%,D,['E330 - Acide citrique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
809,Mozzarella - Le Prix Gagnant ! - 125g e,3263859406813,,125 g e,"['Frais', 'Sachet', 'Plastique']",['Le Prix Gagnant !'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages pasteurisés']",,,,,['France'],"['Lait pasteurisé de vache', 'sel', 'coagulant', ""correcteur d'acidité : acide citrique""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,17 g,en quantité modérée,12 g,en quantité élevée,0.8 g,en faible quantité,0.4 g,en quantité modérée,?,,226,-13%,946 kj(226 kcal),-12%,17,-18%,12,-14%,"0,8",-22%,"0,8",+6%,"17,5",+4%,"0,4",-41%,"0,16",-41%,8,-22%,C,-22%,D,['E330 - Acide citrique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
810,Mozzarella di Bufala Campana Tressée à la Main - Marché Franprix - 450g e (250g égoutté),3263859407018,Fromage au lait pasteurisé de bufflonne,450 g e (250 g égoutté),"['Frais', 'Plastique', 'boîte']","['Marché Franprix', 'Franprix']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Fromages pasteurisés', 'Mozzarella de bufflonne']",['AOP'],['Italie'],['IT 45 045 CE'],['Franprix'],['France'],"['Lait pasteurisé de bufﬂonne', 'Iactosérum de bufﬂonne', 'présure', ' sel']",['Lait'],[],3,22 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0.64 g,en quantité modérée,1061,-6%,?,,1061 kj(254 kcal),-5%,22,-5%,15,-5%,"0,5",-33%,0,-100%,14,-3%,"0,64",+5%,"0,256",+5%,10,-2%,C,-2%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
811,"Billes de Chèvre, Tapenade et Tomates Confites - Franprix - 75g",3263859407216,Billes de fromage de chèvre farcies à la tapenade ou aux tomates confites,75 g,"['Barquette', 'Plastique', 'Frais']",['Franprix'],"['Snacks', 'Produits laitiers', 'Produits fermentés', 'Snacks salés', 'Apéritif', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",['Point Vert'],,"['FR 16.292.066 CE', 'Ruffec (Charente, France)', 'EMB 16292C', 'Ruffec (Charente, France)']",['Franprix'],['France'],"['Fromage de chèvre frais ou congelé au lait pasteurisé 83 %', 'préparation à base de tomates confites 8 % ', 'tomates semi-déshydratées 5 %', 'concentré de tomates', 'fécule de pomme de terre', 'huile végétale de tournesol', 'origan', 'sel', ""huile d'olive"", 'ail', 'sucre', 'tapenade 8 % ', 'olives noires', 'anchois', ""huile d'olive"", 'câpres', 'sel', 'épices : ail', 'origan et herbes de Provence', 'jus de citron concentré', 'antioxydant : E300', 'sel']","['Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",3,19.9 g,en quantité modérée,11.4 g,en quantité élevée,2.1 g,en faible quantité,1.3 g,en quantité modérée,1085,-2%,?,,1085 kj(259 kcal),-8%,"19,9",-13%,"11,4",-29%,"5,6",+235%,"2,1",+117%,"14,9",-14%,"1,3",-4%,"0,52",-4%,13,-2%,D,-2%,E,['E300 - Acide ascorbique'],91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,
812,Mini Brochettes Aneth et Saumon Fumé - Franprix - 90g,3263859407513,Mini Brochettes de chèvre à l'aneth et au saumon fumé,90 g,"['Barquette', 'Plastique', 'Frais', 'Conditionné sous atmosphère protectrice']",['Franprix'],"['Snacks', 'Produits laitiers', 'Produits fermentés', 'Snacks salés', 'Apéritif', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",['Point Vert'],['France'],"['FR 16.292.066 CE', 'Ruffec (Charente, France)', 'EMB 16292C', 'Ruffec (Charente, France)']",['Franprix'],['France'],"['Fromage de chèvre frais ou congelé au lait pasteurisé 58,1 %', 'saumon fumé Atlantique 39,6 % ', 'saumon ', 'Salmo salar', 'sel', 'aneth 1,8 %', 'sel']","['Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",3,16.9 g,en quantité modérée,10.4 g,en quantité élevée,0.6 g,en faible quantité,1.4 g,en quantité modérée,942,-15%,?,,942 kj(225 kcal),-20%,"16,9",-26%,"10,4",-35%,"0,6",-64%,"0,6",-38%,18,+4%,"1,4",+4%,"0,56",+4%,13,-2%,D,-2%,E,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,
813,Mozzarella mini billes - Franprix - 210g (125g égoutté),3263859409913,Billes de fromage à pâte filée en saumure au lait pasteurisé de vache,210 g (125 g égoutté),"['Barquette', 'Plastique', 'Frais']",['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,['Italie'],['IT 09 10 CE'],['Franprix'],['France'],"[""Lait pasteurisé de vache - sel - correcteur d'acidité : acide citrique - coagulant""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,17 g,en quantité modérée,12 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,952,-10%,?,,952 kj(228 kcal),-12%,17,-18%,12,-14%,1,-3%,1,+33%,18,+7%,"0,4",-41%,"0,16",-41%,8,-22%,C,-22%,D,['E330 - Acide citrique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
814,PETIT REBLOCHON LAITIER - FRANPRIX,3263859410919,,,,['FRANPRIX'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Bio'],,,['Franprix'],['France'],"[""LAIT cru de vache sel ferments LACTIQUES et d'affinage""]",['Lait'],[],,25.8 g,en quantité élevée,18.4 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,319,-2%,1335 kj(319 kcal),-1%,"25,8",-4%,"18,4",-2%,"2,5",+579%,0,-100%,"19,1",-4%,"1,4",+4%,"0,56",+4%,14,-2%,D,-2%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
815,Cantal au lait cru de vaches Salers - Franprix - 200g,3263859411213,,200 g,,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal']",['AOP'],,"['FR 42.232.001 CE', 'Saint-Haon-le-Châtel (Loire, France)']",['Franprix'],['France'],"[""LAIT cru de vache - sel - ferments lactiques et d'affinage""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,28.2 g,en quantité élevée,18.1 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,382,+4%,1598 kj(382 kcal),+4%,"28,2",-4%,"18,1",-12%,"3,6",+167%,~ 0,-100%,"28,5",+16%,"1,2",-39%,"0,48",-39%,14,-18%,D,-18%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
816,Brie de Meaux - Franprix,3263859411312,,,,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,['Franprix'],['France'],"[""LAIT cru de vache - LACTIQUES et d'affinage""]",['Lait'],['Non végétalien'],3,23.9 g,en quantité élevée,17.8 g,en quantité élevée,0.01 g,en faible quantité,1.7 g,en quantité élevée,?,,301,+8%,1259 kj(301 kcal),+8%,"23,9",+10%,"17,8",+16%,"0,01",-98%,"0,01",-96%,"21,2",+2%,"1,7",-5%,"0,68",-5%,15,-1%,D,-1%,D,['E270 - Acide lactique'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
817,Beaufort - Franprix - 200g,3263859411510,,200 g,,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['AOP'],,"['FR 42.232.001 CE', 'Saint-Haon-le-Châtel (Loire, France)']",['Franprix'],['France'],"[""LAIT cru de vache - sel - ferments LACTIQUES et d'affinage""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,31.9 g,en quantité élevée,20.4 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,402,0%,1682 kj(402 kcal),+0%,"31,9",-1%,"20,4",-1%,"2,2",+139%,~ 0,-100%,"26,5",0%,"1,1",-4%,"0,44",-4%,14,+1%,D,+1%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
818,Ovale cendrée - Franprix - 150g,3263859414917,,150 g,['Frais'],['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages pasteurisés']",,,"['FR 42.232.001 CE', 'Saint-Haon-le-Châtel (Loire, France)']",['Franprix'],['France'],"['LAIT pasteurisé de chèvre', 'sel', ""cendre végétale ferments LACTIQUES et l'affinage""]",['Lait'],['Non végétalien'],3,21.7 g,en quantité élevée,17.7 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,282,-1%,1180 kj(282 kcal),0%,"21,7",-5%,"17,7",+11%,"4,5",+169%,0,-100%,"17,2",-1%,"1,4",+4%,"0,56",+4%,14,+5%,D,+5%,C,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"['France', 'Lait origine France']",,,
819,"Saint Nectaire Fermier (30,4% MG) - Franprix - 200g",3263859415419,,200 g,,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,"['FR 42.232.001 CE', 'Saint-Haon-le-Châtel (Loire, France)']",['Franprix'],['France'],"[""LAIT cru de vache - sel - ferments LACTIQUES et d'affinage""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,30.4 g,en quantité élevée,22.7 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,1512,+7%,?,,1512 kj(361 kcal),+6%,"30,4",+10%,"22,7",+20%,"2,1",+106%,~ 0,-100%,"20,7",-5%,"1,4",-6%,"0,56",-6%,15,0%,D,0%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,
820,Spécialité laitière UHT 18% MG 20 cl LPG - Leader Price,3263859430313,,,,['Leader Price'],,,,,['Leader Price'],['France'],"['crème de lait ', 'origine : France', ' 48%', 'eau', 'perméat de lait', 'lactose', 'amidon tansformé de maïs', 'stabilisant : carraghénanes', ' CONSERVATIONS : avant ouverture : peut se conserver à température ambiante ', 'de préfé - rence < 180C']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,189,,791 kj(189 kcal),,18,,12,,"5,8",,5,,1,,"0,09",,"0,036",,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,
821,Oeufs de lompe - Leader Price - 100g,3263859430801,,100 g,,['Leader Price'],"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump']",,,,['Leader Price'],['France'],"['œufs de lompe ', 'Cyclopterus lumpus', ' pêché en Atlantique Nord Ouest - eau ? sel ? stabilisants : E422', 'E415 - conservateur : E211 ? colorants : E160a', 'El 20', ' Conditions de conservation : à conserver entre OC et +40C']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,4 g,en quantité élevée,?,,80,-6%,335 kj(80 kcal),-5%,"3,5",-8%,"1,3",+43%,"0,7",-39%,0,-100%,11,+11%,4,-8%,"1,6",-8%,11,+37%,D,+37%,,"['E422 - Glycérol', 'E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",,,,,,,,,,,
822,Filets de Harengs - Leader Price,3263859431488,,,,['Leader Price'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés', 'Filets de harengs']",,,,['Leader Price'],['France'],[],,[],,10.5 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,3.9 g,en quantité élevée,?,,149,-19%,623 kj(149 kcal),-18%,"10,5",-14%,"2,3",-23%,0,-100%,0,-100%,"13,4",-21%,"3,9",+6%,"1,56",+6%,13,-6%,D,-6%,B,,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,,,,
823,Franprix carpaccio de saumon fumé mariné épices & - 100g,3263859431815,saumon,100 g,['Plastique'],['Franprix'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Carpaccio de saumon', 'Saumons fumés de dégustation']",,,"['FR 29.232.500 CE', 'Quimper (Finistère, France)', 'EMB 29340']",['Franprix'],['France'],"['Saumon 87', ""3%\rHuile d'olive vierge extra 6"", '2%\rmélange pour marinade 3', '8%']",['Poisson'],[],,16.7 g,en quantité modérée,2.6 g,en quantité modérée,1.5 g,en faible quantité,2.9 g,en quantité élevée,?,,244,+2%,1021 kj(244 kcal),+6%,"16,7",-2%,"2,6",+2%,"2,3",+189%,"1,5",+231%,"21,2",+8%,"2,9",+95%,"1,16",+95%,15,+102%,D,+102%,D,,96.4%,0.0%,1.4%,1.4%,0.7%,0.2%,24,['Norvège'],,,
824,Saumon fumé au bois de hêtre élevé en Ecosse - Leader Price - 150g,3263859435615,,150 g,"['Plastique', 'Carton', 'Sous-vide', 'Frais']",['Leader Price'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,['France'],"['FR 29.232.500 CE', 'Quimper (Finistère, France)', 'EMB 29340']","['Franprix', 'Leader Price']",['France'],"['Saumon Atlantique ', 'Salmo salar', ' 97%', 'sel 3%']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,10.9 g,en quantité modérée,2.7 g,en quantité modérée,0.5 g,en faible quantité,3.3 g,en quantité élevée,806,+2%,?,,806 kj(193 kcal),+2%,"10,9",-2%,"2,7",+26%,"0,6",+21%,"0,5",+40%,"23,1",+5%,"3,302",+14%,"1,321",+14%,14,+4%,D,+4%,E,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Ecosse'],,,
825,Lonzu de Corse - Franprix - 100g,3263859442217,Lonzu fumé de Corse,100 g,"['Barquette', 'Plastique', 'Frais', 'Atmosphère protectrice']",['Franprix'],"['Viandes', 'Charcuteries', 'Porc', 'Charcuteries corses']","['Viande-francaise', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', 'Origine France']","['France', 'Corse']","['EMB 20332A', 'Urtaca (Corse, France)', 'FR 2B.332.001 CE']",['Franprix'],['France'],['Carré de porc - sel - poivre - conservateur : nitrite de sodium'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,9.4 g,en quantité modérée,3.8 g,en quantité modérée,0.4 g,en faible quantité,3.9 g,en quantité élevée,933,+21%,?,,933 kj(223 kcal),+18%,"9,4",-16%,"3,8",-12%,"0,8",-10%,"0,4",-35%,"33,7",+70%,"3,9",+104%,"1,56",+104%,15,+35%,D,+35%,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,['France'],,,
826,Jambon Supérieur sans Couenne - Leader Price,3263859445416,,,,['Leader Price'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,"['EMB 95280', ""Goussainville (Val-d'Oise, France)""]",['Leader Price'],['France'],[],,[],,3.11 g,en quantité modérée,1.56 g,en quantité modérée,1.11 g,en faible quantité,0.8 g,en quantité modérée,?,,113,-14%,473 kj(113 kcal),-14%,"3,11",-35%,"1,56",-15%,"1,11",+66%,"1,11",+87%,20,-5%,"0,8",-57%,"0,32",-57%,0,-100%,B,-100%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,
827,Saucisson Milano - Leader Price - 16tranches,3263859446819,,16 tranches,,['Leader Price'],,,,,['Leader Price'],['France'],[],,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,"30,2",,11,,1,,1,,"25,7",,"4,23",,"1,692",,,,,,,,,,,,,,,,,,
828,Viande des Grisons - Marché Franprix - 80g,3263859448516,Viande des Grisons,80 g,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']",['Marché Franprix'],"['Viandes', 'Charcuteries', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']","['Point Vert', 'IGP Suisse']",['Suisse'],"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",['Franprix'],['France'],"['Viande de bœuf', 'sel', 'dextrose', 'épices et aromates', 'conservateur : nitrate de potassium', 'antioxydant : ascorbate de sodium', 'ferments']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.4 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,4.4 g,en quantité élevée,806,-3%,?,,806 kj(193 kcal),-2%,"3,4",-12%,"1,4",-9%,"0,5",-39%,"0,5",-17%,"39,5",+1%,"4,4",-7%,"1,76",-7%,13,+2%,D,+2%,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,,,,"['Union européenne', 'Suisse']",,,
829,Saucisses cocktails - Leader Price - 375g,3263859454500,Saucisses de Strasbourg,375 g,"['Plastique', 'Frais']",['Leader Price'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['Fumé au bois de hêtre'],,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)', 'EMB 29247', 'Saint-Évarzec (Finistère, France)']",['Leader Price'],['France'],"['viande de porc 61%', 'eau', 'viande gros grain de porc', 'plasma de porc', 'sel', 'dextrose', 'stabilisants : diphosphates et triphosphates', 'lactose', 'arômes', 'antioxydant : ascorbate de sodium', 'colorants : extrait de paprika et carmin de cochenille', 'conservateur : nitrite de sodium', ' Fumé au bois de hêtre']",['Lait'],"['Non végétalien', 'Non végétarien']",4,27.8 g,en quantité élevée,10.8 g,en quantité élevée,1.8 g,en faible quantité,2.8 g,en quantité élevée,1255,+11%,?,,1255 kj(300 kcal),+9%,"27,8",+15%,"10,8",+17%,"1,8",+26%,"1,8",+59%,"11,5",-9%,"2,8",+44%,"1,12",+44%,23,+20%,E,+20%,E,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E160c - Extrait de paprika', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,
830,Lardons nature - Leader Price,3263859456139,,,,['Leader Price'],,,,,['Leader Price'],['France'],[],,[],,,,,,,,,,?,,243,,1017 kj(243 kcal),,"19,1",,"7,1",,0,,0,,"17,4",,"3,2",,"1,28",,,,,,,,,,,,,,,,,,
831,Rôti de Porc - Leader Price - 140g,3263859457211,Rôti de Porc Cuit - Qualité Supérieure - Traité et bruni en salaison,140 g,"['Barquette', 'Plastique', 'Frais']",['Leader Price'],"['Viandes', 'Porc', 'Rôtis de porc']","['Point Vert', 'Qualité supérieure']","['France', 'Bretagne', 'Morbihan']","['FR 56.091.002 CE', 'Josselin (Morbihan, France)', 'EMB 56091B', 'Josselin (Morbihan, France)']","['Franprix', 'Leader Price']",['France'],"['Filet de porc ', '90 %', 'eau', 'sel', 'arômes', 'dextrose', 'antioxydant : érythorbate de sodium', 'ail', 'conservateur : nitrite de sodium', 'colorant : caramel ordinaire']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,7 g,en quantité modérée,2.5 g,en quantité modérée,0.4 g,en faible quantité,2.3 g,en quantité élevée,639,+18%,?,,639 kj(153 kcal),+7%,7,+39%,"2,5",+20%,"0,4",-51%,"0,4",-36%,22,-2%,"2,3",+34%,"0,92",+34%,13,+82%,D,+82%,E,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,['Union européenne'],,,
832,"Fines Tranches de Chorizo Espagnol - Charcupac Les Provinces - 0,120kg",3263859458010,Fines Tranches de Chorizo Espagnol,"0,120 kg","['Barquette', 'Plastique', 'Frais', 'Atmosphère protectrice']",['Charcupac Les Provinces'],"['Viandes', 'Charcuteries', 'Saucissons', 'Porc', 'Chorizo']",['Point Vert'],['France'],"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",['Franprix'],['France'],"['Viande de porc - gras de porc - sel - piment - maltodextrine - lactose - lait en poudre - protéine de lait - dextrose - ail - antioxvdant : érythorbate de sodium - conservateurs : nitrite de sodium et nitrate de potassium - noix de muscade - origan', '  135g de viande de porc mis en œuvre pour 100g de produit fini']","['Lait', 'Lait en poudre']","['Non végétalien', 'Non végétarien']",4,31.8 g,en quantité élevée,10.9 g,en quantité élevée,1.3 g,en faible quantité,3.6 g,en quantité élevée,1620,-7%,?,,1620 kj(387 kcal),-5%,"31,8",-6%,"10,9",-16%,"3,4",+16%,"1,3",-27%,22,-4%,"3,6",-4%,"1,44",-4%,24,+1%,E,+1%,D,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,"['Espagne', 'Viande de porc origine Espagne.']",,,
833,Terrine de campagne - Leader Price - 200g (2x 100g),3263859458416,Terrine de campagne,200 g (2 x 100 g),"['Barquette', 'Plastique', 'Frais']",['Leader Price'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,"['FR 56.091.002 CE', 'Josselin (Morbihan, France)', 'EMB 56091B', 'Josselin (Morbihan, France)']","['Franprix', 'Leader Price']",['France'],"['Foie de porc 38,2 %', 'gras de porc 33,6 %', 'viande de porc 16 %', 'eau', 'conjonctif de porc 3,1 %', 'oignons', 'farine de blé', 'sel nitrité ', 'sel', 'conservateur : nitrite de sodium', 'dextrose', 'épices', 'ail', 'arôme naturel', ""extrait d'épices"", 'antioxydant : érythorbate de sodium', 'sang de porc']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,26.9 g,en quantité élevée,9.7 g,en quantité élevée,1.8 g,en faible quantité,1.86 g,en quantité élevée,1318,+2%,?,,1318 kj(315 kcal),-2%,"26,9",-5%,"9,7",-10%,"3,2",+40%,"1,8",+107%,"15,8",+13%,"1,86",+16%,"0,744",+16%,20,+3%,E,+3%,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,,,,,,,['Union européenne'],,,
