,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
1921,Queues de langoustine - Gineys,3267180361308,,,,['Gineys'],,,,,,['France'],"['800g de queues de langoustines', 'un litre de court-bouillon', 'deux tomates fraîches', ""une gousse d'ail"", 'un bouquet de persil', ' Plongez les queues de langoustines surgelées dans un court-bouillon chaud et laissez cuire environ une dizaine de minutes', "" Pendant ce temps coupez les tomates e petits cubes et écrasez la gousse d'ail"", ' Sortez les langoustines et enlevez la carapace', ' Réservez', "" Faites chauffer dans une poêle anti-adhésive de l'huile d'olive"", ' Ajoute les queues de langoustines décortiquées', ""l'ail et la tomate concassées"", ' Laissez cuire six minutes environ', ' Servez accompagné de quelques tagliatelles au beurre']",,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,6",,"0,24",,"0,4",,"0,3",,"16,8",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,
1922,Crevettes sauvages - Gineys,3267180361599,,,,['Gineys'],,,,,,['France'],[],,[],,,,,,,,,,?,,74,,310 kj(74 kcal),,0,,0,,"0,6",,0,,18,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1923,Petites Seiches Entieres Nettoyées - Gineys - 800g,3267180362008,,800 g,,['Gineys'],,,,,,['France'],[],,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,?,,"0,3",,?,,"0,2",,"9,2",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
1924,Lamelles d'encornet géant - Gineys,3267180362084,,,,['Gineys'],['Encornet géant'],,,,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,58,,243 kj(58 kcal),,"0,5",,"0,1",,"0,5",,"0,5",,13,,"0,7",,"0,28",,-2,,A,,,,,,,,,,,,,,
1925,Panache de la mer aux St Jacques GINEY'S,3267180362299,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,80,,335 kj(80 kcal),,"0,94",,"0,36",,"2,6",,"0,32",,"15,67",,"1,02",,"0,408",,,,,,,,,,,,,,,,,,
1926,Filets de saumon rose du pacifique - Guneys,3267180364125,,,,['Guneys'],,['Point Vert'],,,,['France'],"['do saumon rose du Pacifique', 'sans peau Oncorhynchus gorbuscha', 'pêché à la senne dans l’océan pacifique Fao 61']",,[],,,,,,,,,,?,,145,,607 kj(145 kcal),,5,,1,,0,,0,,25,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,
1927,Rabas de calamars geants panés - 400g,3267180364750,,400 g,,,,,,,,['France'],[],,[],,,,,,,,,,?,,184,,770 kj(184 kcal),,"10,3",,"1,2",,"13,2",,3,,"8,9",,1,,"0,4",,,,,,,,,,,,,,,,,,
1928,10 crèpes jambon emmental - Gineys,3267180369113,,,,['Gineys'],"['Plats préparés', 'Crêpes au fromage', 'Crêpes au jambon']",,,,,['France'],[],,[],,5.7 g,en quantité modérée,1.1 g,en faible quantité,4.3 g,en faible quantité,1.1 g,en quantité modérée,?,,154,-10%,644 kj(154 kcal),-9%,"5,7",-16%,"1,1",-55%,"20,1",+12%,"4,3",+33%,"5,1",-32%,"1,1",+15%,"0,44",+15%,3,-20%,C,-20%,B,,57.1%,15.7%,5.5%,6.6%,3.2%,11.9%,79,,,,
1929,Crêpes géantes - Gineys,3267180369151,,,,['Gineys'],,,,,,['France'],[],,[],,,,,,,,,,?,,154,,644 kj(154 kcal),,"5,7",,"1,1",,"20,1",,"4,3",,"5,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
1930,Crêpes géantes,3267180369175,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"6,7",,"1,9",,"21,4",,"4,9",,"5,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,
1931,Crêpes géantes surgelées Fruits de Mer (6+1 gratuite) - Gineys - 7 * 150g (1050g),3267180369212,,7 * 150 g (1050 g),"['Carton', 'Surgelé']",['Gineys'],"['Surgelés', 'Plats préparés', 'Plats préparés surgelés']",,,"['FR 86.160.002 CE', 'Mirebeau (Vienne, France)', 'EMB 86160A', 'Mirebeau (Vienne, France)']",,['France'],[],,[],,5.2 g,en quantité modérée,0.8 g,en faible quantité,3.8 g,en faible quantité,1.2 g,en quantité modérée,?,,155,+4%,649 kj(155 kcal),+4%,"5,2",-26%,"0,8",-69%,"19,7",+50%,"3,8",+82%,"6,5",-4%,"1,2",+57%,"0,48",+57%,1,-59%,B,-59%,,,,,,,,,,,,,
1932,Sauce barbecue,3267180375053,,,,,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,2.5 g,en quantité élevée,?,,138,-12%,577 kj(138 kcal),-12%,0,-100%,0,-100%,34,+9%,28,+7%,"0,5",-44%,"2,5",+24%,1,+24%,17,+17%,D,+17%,B,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,
1933,3267180390445,3267180390445,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
