,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
492,Miel Eucalipto Bio 470GR Muria,8431523107044,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
493,Pure Fresh - Mentos,8935001723578,['France'],[],[],?,180,753 kj(180 kcal),0,0,"72,6","70,9",0,8,"3,2",,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Snack salé pico,3277440000700,['France'],[],[],?,500,2092 kj(500 kcal),"23,4","9,96","69,1","0,67","3,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 97411E', 'Saint-Denis (La Réunion, France)']",,,,,,,,,,
495,Grande sélection - Foie gras de canard entier du Sud-Ouest - Maison Montfort - 210g,3104544070080,['France'],"['Foie gras de canard ', 'origine France', 'Sauternes 1,8%', 'sel', 'poivres ', 'dont poivre de Timut 0,04%', 'sucre', 'curcuma', 'gingembre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', ' Bouillon de cuisson eau', 'fond de volaille ', 'carcasses de volailles', 'eau', 'carotte', 'oignon', 'poivre noir', 'girofle', 'thym', 'sel', 'purée de tomate', ""extrait d'oignon"", 'extrait de carotte', 'thym']","['Non végétalien', 'Non végétarien']",?,503,2105 kj(503 kcal),51,22,3,1,"7,6","1,2","0,48",210 g,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",,B,51 g,en quantité élevée,22 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,,-5%,-5%,-6%,-5%,+24%,-26%,+1%,0%,0%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,3,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,Foie gras de canard entier du Sud-Ouest cuit au torchon,,,
496,KOKINS - Gâreaux aux noisettes,3760123980067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Jubiläums Jagdwurst - 700g,4313882143212,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,700 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dosen'],,,,,,,,,,,,
498,Ace orange-carotte,4001325069754,['France'],[],[],?,28,117 kj(28 kcal),"0,5","0,1","6,2","6,2","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Cake au saumon - Auchan - 260g,3596710462124,['France'],[],[],?,263,1100 kj(263 kcal),17,"3,9",15,"1,5",12,"1,2","0,48",260 g,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,
500,Filet de poulet - La Nouvelle Agriculture,0213311050057,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,D,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Bleu Blanc Cœur'],,,,,,,,,,,
501,Miel,3661075047818,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Boule de coco,8414088171767,['France'],[],[],?,451,1887 kj(451 kcal),27,25,"45,2","40,4","4,65","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Pavés de Truite - Casino Terre & Saveurs - 240g,3222472851561,['France'],"['2 pavés de truite arc-en-ciel ', 'Oncorhynchus mykiss']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,240 g,"['Casino Terre & Saveurs', 'Casino']","['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",['France'],D,,,,,,,,,,,,,,,,,,,,,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,"['Barquette', 'Plastique']",['Aquaculture de nos régions'],"['FR 40.075.002 CE', 'Castets (Landes, France)', 'EMB 40075C', 'Castets (Landes, France)']",['France'],['Casino'],1,,,['Poisson'],,,,
504,Chewable Vitamin C,5000167078169,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Eau minérale naturelle,3263855000008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Gurma chips,8436546052463,['France'],[],[],?,447,1870 kj(447 kcal),17,8,5,"4,1","5,8","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
