,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
1749,Choco fairy cake - Montes Lara,8410387021000,['France'],[],[],?,398,1665 kj(398 kcal),16,"2,3",59,33,"3,7","0,66","0,264",,['Montes Lara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Reibekuchen - 300g,28265313,"['France', 'Allemagne']",[],[],?,570,2385 kj(570 kcal),32,1,60,3,8,4,"1,6",300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['stück', 'stück', 'stück', 'stück', 'stück', 'stück', 'stück', 'stück']",['Fabriqué en Allemagne'],,,,,,,,,,,
1751,Effiloche de poulet,3477000017180,['France'],[],[],?,183,766 kj(183 kcal),12,"3,2","1,8",1,17,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Hofer Mlecni Kruhki - 480g,4099200010724,"['France', 'Allemagne', 'Italie']",[],[],?,336,1406 kj(336 kcal),"9,2","1,4",54,14,"8,9","1,2","0,48",480g,['Hofer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,
1753,Tuna tayba,4260131413896,['France'],[],[],?,254,1063 kj(254 kcal),"18,7","2,6","0,1","0,1","21,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Sucre de canne complet,3700414061051,['France'],[],[],?,373,1561 kj(373 kcal),"0,1","0,1","95,5",95,"0,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Bleu d’auvergne - Comptoir des affineurs,0270008013849,['France'],[],[],?,?,,?,,?,,?,,,,['Comptoir des affineurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Yaourt des  hautes alpes - Fromagerie Ebrard,3276644666903,['France'],[],[],?,88,368 kj(88 kcal),"2,87","1,98",13,"11,8","2,04","0,07","0,028",,['Fromagerie Ebrard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,"Graves AOP, rouge",3760084161888,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,Assaisonnment Goma Assaisonnement Ssame,4904131844662,['France'],[],[],?,303,1268 kj(303 kcal),"21,3","2,2","23,8","21,5","4,2","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Mimolette jeune,2488041015098,['France'],[],[],?,324,1356 kj(324 kcal),"23,9","16,6",1,1,"26,2","2,6","1,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,D,23.9 g,en quantité élevée,16.6 g,en quantité élevée,1 g,en faible quantité,2.6 g,en quantité élevée,,+1%,+1%,-1%,+1%,+212%,+218%,+2%,+2%,+2%,19,+3%,E,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,,
1760,Emprésuré chocolat intense - Malo,35933465,['France'],[],[],?,123,515 kj(123 kcal),"2,1","1,3",19,18,"7,1","0,29","0,116",,['Malo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Le Pain Grillé Pelletier,2004089009877,['France'],[],[],?,444,1858 kj(444 kcal),14,6,65,"9,5",13,"1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Fourme d'Ambert - Nos Régions ont du Talent,2860084016339,['France'],[],[],?,341,1427 kj(341 kcal),29,18,0,0,20,2,"0,8",,['Nos Régions ont du Talent'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,D,29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-0%,-0%,+2%,-9%,-100%,-100%,-1%,-10%,-10%,17,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
1763,Pasta Sauce,00161671,['France'],[],[],?,556,2326 kj(556 kcal),"10,7","5,9","5,1","0,5","4,1","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,PG Tips Tea Bags,8712100824326,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,Gala apples - Kroger,0011110918253,['France'],[],[],?,?,,?,,?,,?,,,,"['Kroger', 'The Kroger Co.']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",,B,,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,
1766,Gros oeufs extra frais,3275094000251,['France'],[],[],?,?,,?,,?,,?,,,,,"[""Produits d'élevages"", 'Œufs']",,D,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,
1767,Kara vanessa n°50,3585810060897,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,Chocolat en poudre - Poulain,3664346646154,['France'],"['Sucre', 'cacao maigre ', '11 % de beurre de cacao', ' en poudre', 'arôme', ' Cacao : 32 % minirsum', ' Peut contenir lait et soja', ' Fabriqué en France']",[],?,375,1569 kj(375 kcal),"3,9","2,4",71,67,"7,5","0,03","0,012",,['Poulain'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['France'],D,,,,,,,,,,+13%,+10%,-9%,-6%,+12%,+19%,+18%,-86%,-86%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,['Fabriqué en France'],,,,4,,,,,,,
1769,Burger aux legumes,5414152000279,['France'],[],[],?,245,1025 kj(245 kcal),"16,1","2,3","13,1","2,1","10,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Raisin secs golden choice,3700056711697,['France'],[],[],?,337,1410 kj(337 kcal),"0,4","0,14","85,6","63,6","3,2","0,08","0,032",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",,D,0.4 g,en faible quantité,0.14 g,en faible quantité,63.6 g,en quantité élevée,0.08 g,en faible quantité,,+7%,+7%,-31%,0%,+18%,+2%,+13%,+48%,+48%,8,+42%,C,+42%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,,,,,,,
1771,Müller - 113g,42304548,"['France', 'Allemagne']",[],[],?,187,782 kj(187 kcal),"9,3","4,9",20,"19,7",5,"0,18","0,072",113g,['Müller'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,9.3 g,en quantité modérée,4.9 g,en quantité modérée,19.7 g,en quantité élevée,0.18 g,en faible quantité,,+103%,+104%,+184%,+139%,+82%,+95%,+33%,+57%,+57%,7,+129%,C,+129%,,,,,,,,['Plastik'],['Fabriqué en Allemagne'],,,,,,,,,,,
1772,Confit de porc basque -,3332870023214,['France'],"['Longe de porc Basque', 'graisse de porc Basque', 'sel', 'ail', 'poivre', ' Porc: origine: France']","['Non végétalien', 'Non végétarien']",?,267,1117 kj(267 kcal),17,"3,5","0,5","0,5",28,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Filets anchois -,6111058005580,['France'],"['anchois 50%', 'huile de tournesol', '46%', 'sauce orientale ', 'piment rouge fort', 'carottes', 'citrons confits', 'coriandre ', ' 4%', 'vinaigre,sel', 'acidifiant E330']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,B,,,,,,,,,,,,,,,,,,,,,,,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,3,['E330 - Acide citrique'],,['Poisson'],,,,
1774,Grands sablés pur beurre -  - 260g,3255651050066,['France'],[],[],?,?,,?,,?,,?,,,260 g,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,C,,,,,,,,,,,,,,,,,,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,
1775,Zitronen-Graspaste - Bamboo Garden,4023900541585,"['France', 'Allemagne']","['Zitronengraspaste Zutaten: Zitronengras 53 %', 'Wasser', 'Rapsöl', 'Speisesalz', 'modifizierte Stärke', 'Säuerungsmittel Citronensäure', 'Säureregulator Ascorbinsäure', ' Kann Spuren von Weizen', 'Ei', 'Soja', 'Milch', 'Sellerie', 'Senf und Sesam enthalten']",[],940,228,940 kj(228 kcal),"11,7","1,5","10,3","2,3","4,6","8,5","3,4",,['Bamboo Garden'],"['Epicerie', 'Condiments']",,,11.7 g,en quantité modérée,1.5 g,en quantité modérée,2.3 g,en faible quantité,8.5 g,en quantité élevée,+27%,+63%,+57%,+97%,+136%,-21%,-66%,+9%,+52%,+52%,13,+29%,D,+29%,,,,,,,,['Glas'],,,,,,,,['Soja'],,,,
1776,Muesli  fruit & nut,26097176,['France'],[],[],?,392,1640 kj(392 kcal),"11,7","2,2","54,3","14,5","11,8","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Fruits Secs - Les Plantes de l Apothicaire - 50g,3701229000471,['France'],"[""Baies de Goji issues de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,50 g,['Les Plantes de l Apothicaire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",['CAPONA Les Sables D Olonne 85100'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['sachet papier'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Fabriqué en France', 'AB Agriculture Biologique']",,['Agriculture biologique'],['Pharmacie'],1,,,,,,,
1778,Biscottes De Riz Complet 150G -,4000430004872,['France'],[],[],?,429,1795 kj(429 kcal),"14,4","6,4","66,2","2,6","5,8","1,7","0,68",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'en:wholemeal-rusk', 'en:zwieback']",,B,14.4 g,en quantité modérée,6.4 g,en quantité élevée,2.6 g,en faible quantité,1.7 g,en quantité élevée,,+11%,+11%,+130%,+527%,+2%,-41%,-56%,+34%,+34%,18,+305%,D,+305%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,"['Bio', 'en:gluten-free']",,,,,,,,,,,
1779,Griotte Bio - Parole Gourmande - 370g,3574311740841,['France'],[],[],?,?,,?,,?,,?,,,370 g,['Parole Gourmande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,C,,,,,,,,,,,,,,,,,,,,,,,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,,,
1780,Smoothie,2200236576708,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,,,,
1781,Colin dans une panure croustillante,0281369115455,['France'],[],[],?,103,431 kj(103 kcal),"1,4","0,4","9,4","1,7",13,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Amandes en Poudre,3569880000052,['France'],[],[],?,619,2590 kj(619 kcal),"53,55","4,3","10,42","3,62","21,83","0,004","0,001",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,53.5 g,en quantité élevée,4.3 g,en quantité modérée,3.62 g,en faible quantité,0.00372 g,en faible quantité,,-1%,-0%,+0%,+2%,+20%,-14%,-6%,-86%,-86%,11,+97%,D,+97%,,,,,,,,,,,,,,,,,,,,
1783,Biere Bio,3272460123682,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans gluten']",,,,,,,,,,,
1784,British medium cheddar,20225056,['France'],[],[],?,417,1745 kj(417 kcal),"34,9","21,7","0,1","0,1","25,4","1,8","0,72",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,D,34.9 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,,+5%,+5%,+5%,+3%,-93%,-80%,+8%,+2%,+2%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['en:Assured Food Standards'],,,,,,,,,,,
1785,Sauce Soja salé,0020717162136,['France'],[],[],?,120,502 kj(120 kcal),"0,4",0,"20,5","9,4","3,7","13,6","5,44",,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja salées']",,B,0.4 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité modérée,13.6 g,en quantité élevée,,+50%,+54%,+277%,-100%,+166%,+203%,-47%,+3%,+3%,13,+56%,D,+56%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,['Sans conservateurs'],,,,,,,,,,,
1786,Complexe N°9 Relaxation Anti-stress Bio - 20 ML - Biofloral,3760029841493,['France'],"['Cognac bio* Demeter*', ""préparation d'eau de source aux Fleurs de Boch biot selon laméthode originale "", 'White Chestnut /Aesculus hippocasta - num', 'Larch /Larix decidua', 'Pine/Pinus sylvestris', 'Mimulus /Mimulus guttatus', 'Rock Rose/Helianthemum nummularium', ' 1/240e', ' ""Ingrédients issus de l\'Agriculture Biologique et **Biodynamique', "" Demeter est la marque de l'Agriculture Birodynamique certifiée Nepas dépasser la dose recommandée"", ' Ne se substitue pas à un régime alimentaire varié et équilibré ni à un mode de vie sain', ' Tenir hors de la portée des jeunes enfants']",[],?,?,,?,,?,,?,,,,['Biofloral'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1787,Tiramisu Spéculoos,8003938007389,['France'],[],[],?,266,1113 kj(266 kcal),10,"4,4",36,24,"4,3","0,33","0,132",,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",,E,10 g,en quantité modérée,4.4 g,en quantité modérée,24 g,en quantité élevée,0.33 g,en quantité modérée,,+1%,+1%,-16%,-45%,+12%,+13%,+4%,+89%,+89%,13,-5%,D,-5%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,['Fabriqué en Italie'],,,,,,,,,,,
1788,Nestlé Fitness Yoghurt 425 g,5900020020956,['France'],[],[],?,393,1644 kj(393 kcal),"6,1","4,6","72,4","17,5","8,7","0,85","0,34",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Blueberry wafers - Kiddylicious,5060040254431,['France'],"['Galette de riz au jasmin', 'amidon de tapioca', 'myrtille en poudre', 'jus concentré de carrote violette', 'arome naturel de myrtille', 'vitamine E', 'Vitamine B1']",[],?,397,1661 kj(397 kcal),"0,8","0,3","91,5","10,2","5,5",0,0,,['Kiddylicious'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', ""Aliments d'orgine végétals""]",,B,0.8 g,en faible quantité,0.3 g,en faible quantité,10.2 g,en quantité modérée,0 g,en faible quantité,,-8%,-8%,-93%,-95%,+29%,-20%,-25%,-100%,-100%,3,-64%,C,-64%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['Plastique'],['en:gluten-free'],,,,4,,,,galette de riz au myrtille,,,
1790,Sauce bearnaise -,5420058012995,['France'],[],[],?,498,2084 kj(498 kcal),53,"4,1","3,8","3,4","1,3","1,77","0,708",,,"['Epicerie', 'Sauces', 'Sauces béarnaises']",,D,53 g,en quantité élevée,4.1 g,en quantité modérée,3.4 g,en faible quantité,1.77 g,en quantité élevée,,+13%,+16%,+20%,-27%,-21%,+42%,+11%,+9%,+9%,17,+4%,D,+4%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,,,,,,,,,
1791,Farine grise bio - Aveve,5411866958056,['France'],[],[],?,334,1397 kj(334 kcal),"2,2","0,6",65,"0,5","10,7",0,0,,['Aveve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1792,Améliorant biologique - Aveve,5411866958063,['France'],[],[],?,305,1276 kj(305 kcal),"1,4","0,5","60,7","4,2","10,2","0,6","0,24",,['Aveve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,
1793,Coucous et boulettes aux légumes - D'Aucy,3017800235577,['France'],[],[],?,97,406 kj(97 kcal),"2,4","0,3",11,"1,5","6,5","0,67","0,268",,"[""D'Aucy""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Poivron 3 couleurs,8425402274934,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Steinofen Aufbackbrötchen,4012263022343,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['tüte(n)'],,,,,,,,,,,,
1796,crème de datte et chocolat bio - nature et découverte - 180g,61167400,['France'],[],[],?,?,,?,,?,,?,,,180g,['nature et découverte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'Agriculture non UE']",,,,,,,,,,,
1797,Hauts de cuisse de poulet - La Nouvelle Agriculture,0213323024015,['France'],[],[],?,212,887 kj(212 kcal),16,"4,3",0,0,17,"0,18","0,072",,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,D,16 g,en quantité modérée,4.3 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+11%,+11%,+29%,+28%,-100%,-100%,-8%,-76%,-76%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1798,Edulcorante clásico - Hermesetas,8470002344273,['France'],[],[],?,?,,?,,?,,?,,,,['Hermesetas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,payot - 400ml,3390150556913,['France'],[],[],?,?,,?,,?,,?,,,400 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,,,,,,,,
1800,Coquille Saint Jacques,3700009267509,['France'],[],[],?,169,707 kj(169 kcal),"9,4",6,13,"1,5","7,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Confiture de figue bio VERFEUILLE - 360g,3527860001642,['France'],[],[],?,249,1042 kj(249 kcal),"0,5","0,2","60,7","59,3","0,6","0,04","0,016",360 g,['Verfeuille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,D,0.5 g,en faible quantité,0.2 g,en faible quantité,59.3 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+7%,+9%,+200%,+10%,+12%,-18%,+115%,+115%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Bio'],,,,,,,,,,,
1802,Gratin de macaroni et allumettes de jambon - Comme j'aime - 285g,3112940827672,['France'],[],[],?,124,519 kj(124 kcal),"3,9","1,6",13,"0,6","8,2","0,68","0,272",285 g,"[""Comme j'aime""]","['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Gratins', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés à réchauffer au micro-ondes', 'Gratins de pâtes']",['France'],C,3.9 g,en quantité modérée,1.6 g,en quantité modérée,0.6 g,en faible quantité,0.68 g,en quantité modérée,,-22%,-21%,-47%,-62%,-11%,-67%,+11%,-12%,-12%,0,-100%,B,-100%,64.7%,21.7%,4.5%,4.8%,2.5%,1.8%,69,"['Carton', 'Plastique', 'Barquette']","['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,"[""Comme j'aime""]",,,,,,,,
1803,Pomme gala -,3346390000754,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",,B,,,,,,,,,,,,,,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,"['EMB 49281C', 'Saint-Georges-des-Gardes (Maine-et-Loire, France)']",,,,,,,,,,
1804,ja! Sahne-Kefir mild Pfirsich Maracuja - REWE - 250g,4388844118973,"['France', 'Allemagne', 'Suisse']",[],[],?,?,,?,,?,,?,,,250 g,['REWE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,ja! Sahne Kefir mild Erdbeere - REWE - 250g,4388844118539,"['France', 'Allemagne', 'Suisse']",[],[],?,?,,?,,?,,?,,,250 g,['REWE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Softlan Weichspüler - 1g,8718951217980,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,,
1807,Hafergrütze - 500g,4010155060787,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['karton(s)'],,,,,,,,,,,,
1808,Confit de figues,3760094107074,['France'],[],[],?,221,925 kj(221 kcal),0,0,53,53,"0,7","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Le carré normand caramel au beurre salé,3226219012086,['France'],[],[],?,507,2121 kj(507 kcal),26,16,62,29,"5,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,"Cornichons aigres-doux Recette Paysanne - Kûhne - 670g net ℮, 360g égoutté",40122274,['France'],"['Cornichons', 'eau', ""vinaigre d'alcool"", 'sirop de glucose-fructose', 'sel', 'sucre', 'aneth', 'oignon', 'poivron rouge', 'graines de moutarde', 'arôme,']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,30,126 kj(30 kcal),"0,2","0,1","4,9","4,7","0,9","1,6","0,64","670 g net ℮, 360 g égoutté",['Kûhne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons aigres-doux']",['Carl Kühne 22761 Hambourg Allemagne'],,0.2 g,en faible quantité,0.1 g,en faible quantité,4.7 g,en faible quantité,1.6 g,en quantité élevée,,-14%,-7%,-35%,+101%,-5%,+5%,-4%,+15%,+15%,3,+210%,C,+210%,,,,,,,,"['Bocal', 'Verre', 'Bocal en verre transparente', 'Couvercle en métal', 'Triman', 'Point vert', 'Bocal', 'Bocal en verre', 'Capsule en métal']","['Sans conservateurs', 'Sans sulfites']",,,"['Casino', 'Magasins U']",4,,http://www.kuhne.fr,['Moutarde'],Cornichons pasteurisés aigres-doux,,,
1811,Chausson aux pommes auchan,2030500262354,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,B,,,,,,,,,,,,,,,,,,,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,['Auchan'],,,,,,,,
1812,Resch & Frisch Körnereck - 80g,9006366011781,"['Autriche', 'France']",[],[],?,?,,?,,?,,?,,,80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Bisc. pavesini GR200X2 # .,8013355500127,['France'],[],[],?,389,1628 kj(389 kcal),"2,5","0,8","83,4",50,7,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
