,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
35,Mini meringues pralinées,3760034367117,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Barreau au roquefort,2678261036861,,['France'],[],[],?,442,1849 kj(442 kcal),36,14,"1,5","0,9",28,"4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pastilles au miel,3760204930042,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Point Vert', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Amandes entières,3375801947074,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Thé oolong caramel,3760002257655,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0203937020534,0203937020534,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Huile de coco,5412158029508,,['France'],[],[],?,346,1448 kj(346 kcal),"9,2","8,4",0,0,0,0,0,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Brioche des rois nature,3173310022813,,['France'],[],[],?,388,1623 kj(388 kcal),"16,2","11,7","50,3","15,5","9,3","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Risotto aux St Jacques,2606499022967,,['France'],[],[],?,154,644 kj(154 kcal),"9,2","4,5","13,3","2,2","3,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Matcha Hakuma Makesfriends,9120075270014,,['France'],[],[],?,32,134 kj(32 kcal),"0,1","0,1","7,8","7,5","0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kombucha sans sucre -,3760198250539,,['France'],[],[],?,57,238 kj(57 kcal),0,0,"0,4",0,"0,2",0,0,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']",['Bio'],,,,,,,,,,+217%,+217%,-100%,-100%,-90%,-100%,+175%,-100%,-100%,8,+40%,D,+40%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
46,pain kamut bio et graines de sesame,3760243070891,,['France'],[],[],?,437,1828 kj(437 kcal),10,"1,6",68,"4,2","16,3","2,5",1,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-006']",10 g,en quantité modérée,1.6 g,en quantité modérée,4.2 g,en faible quantité,2.5 g,en quantité élevée,,+33%,+32%,+63%,+37%,+24%,+7%,+71%,+95%,+95%,16,+214%,D,+214%,,,,,,,,,,,,,,,,,,,,
47,Chips smotana s cibuľou,8586009036865,,['France'],[],[],?,543,2272 kj(543 kcal),35,"3,2",48,"2,8","5,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cake au samon - Leader Price,3263858787517,['Leader Price'],['France'],[],[],?,333,1393 kj(333 kcal),"24,9","4,3","13,3","2,3","12,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,
49,Leerdammer le moelleux,0201174034505,['Leerdammer'],['France'],[],[],?,375,1569 kj(375 kcal),31,21,0,0,24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Turron de cacatuete refinado,8410771410069,,['France'],[],[],?,260,1088 kj(260 kcal),12,"1,5",32,28,6,1,"0,4",,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",['en:gluten-free'],12 g,en quantité modérée,1.5 g,en quantité modérée,28 g,en quantité élevée,1 g,en quantité modérée,,-50%,-50%,-62%,-72%,-29%,-27%,-50%,+1455%,+1455%,14,-15%,D,-15%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
51,Mayonnaise - Lesieur,3265472243004,['Lesieur'],['France'],[],[],?,660,2761 kj(660 kcal),1,1,2,"0,1",1,"0,1","0,04",,D,"['Epicerie', 'Sauces', 'Mayonnaises']",,1 g,en faible quantité,1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,,+8%,+8%,-98%,-84%,-26%,-93%,-19%,-92%,-92%,8,-55%,C,-55%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,
52,30173392,30173392,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Terrine à la bière d'Alsace - Produits de la Cigogne,3527480180390,['Produits de la Cigogne'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",,,,,,,,,,,
54,Terrine de volaille et confit d’oignon - Despi - 200grammes,2274706023160,['Despi'],['France'],[],[],?,?,,?,,?,,?,,,200 grammes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
