,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
1430,Spheres Lait Noir Blanc,3760258880768,,['France'],[],[],?,579,2423 kj(579 kcal),39,"28,7","51,5","50,5","4,3","0,13","0,052",,,,"['Agriculture durable', 'Fabriqué en France', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Croustillant chocolat au lait - Le Coq Noir,3269710600079,['Le Coq Noir'],['France'],[],[],?,579,2423 kj(579 kcal),39,25,49,40,"6,2","0,3","0,12",,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Saucisse à l'ancienne x4 coupées au couteaux - Charcuterie du Blavet - 489g,2654209035097,['Charcuterie du Blavet'],['France'],"['Viande de porc Française ', '92', '6%', ' eau', 'sel de Guérande ', 'IGP', ' epices', ' antioxydant : erythorbate de sodium', ' boyau naturel de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,212,887 kj(212 kcal),16,6,"0,7",0,16,2,"0,8",489 g,,"['Viandes', 'Charcuteries', 'Saucisses']","['Viande Française', 'Viande Porcine Française']",16 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-17%,-17%,-23%,-24%,-51%,-100%,+6%,+2%,+2%,15,-14%,D,-14%,,,,,,,,['Super U'],"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,3,,['Barquette'],['E316 - Érythorbate de sodium'],,['Kervignac'],,['France'],,
1433,Cioccopandoro,20823436,,['France'],[],[],?,401,1678 kj(401 kcal),19,"11,6","49,2","26,2","6,8","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,Chocolate stars,8715937017251,,['France'],[],[],?,478,2000 kj(478 kcal),18,"10,8","73,9","64,5","4,2","0,1","0,04",,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,FenuGrec - Barco,3760083887680,['Barco'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,Thé noir Bio à la framboise,7290000529738,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,Grain de Chocolat,4043651152212,,['France'],[],[],?,523,2188 kj(523 kcal),"29,5",18,"55,5","54,4","6,8",7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,L'angélys Maître Artisan Glacier,3760039986160,"[""L'Angélys""]",['France'],[],[],?,242,1013 kj(242 kcal),11,"7,6",33,25,"2,6","0,12","0,048",,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,Chocolat caramel au beurre salé,3760201870365,,['France'],[],[],?,548,2293 kj(548 kcal),32,21,59,48,"5,54","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,4006822312570,4006822312570,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,Bûche glacée fruits exotiques - Toupargel,3274664103552,['Toupargel'],['France'],[],[],?,163,682 kj(163 kcal),"3,4","2,4",32,29,"0,9","0,09","0,036",,D,"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,3.4 g,en quantité modérée,2.4 g,en quantité modérée,29 g,en quantité élevée,0.09 g,en faible quantité,,-18%,-18%,-58%,-56%,+12%,+17%,-61%,-27%,-27%,10,-12%,C,-12%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,,,,,,,,,
1442,Le patatine sarde classique crocchias,8023219101018,,['France'],[],['Sans huile de palme'],?,505,2113 kj(505 kcal),"25,2","5,57","60,38","0,8","7,08","0,5","0,2",,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Toast Nature,39240071,,['France'],[],[],?,294,1230 kj(294 kcal),"5,9","0,5","50,8","0,5","8,6","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,Abricot sec,2600110031161,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,,,,,,,,,,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,
1445,Mini cookie tout chocolat,3395659000103,,['France'],[],[],?,512,2142 kj(512 kcal),"26,2","11,2","62,8","31,6","6,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,Chocolate Christmas bells,8715937017237,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Terrine campagnarde aux oignons frits -,3760043720354,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']","['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Pâtes de fruits,3389750005082,,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
1449,Prosciutto cotto,8002980000645,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Spécialité de Bloc de Foie gras de canard aux pépites de figue - Pouce - 480g e,3596710466160,"['Pouce', 'Auchan']",['France'],"['Foie gras de canard ', 'origine France', 'eau', 'morceaux de figues séchées 8 % ', 'figues 6,4 %', 'dextrose', 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2079,?,2079 kj(497 kcal),51,22,6,4,"5,7",1,"0,4",480 g e,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']","['Fabriqué en France', 'Nutriscore', 'Nutriscore E']",51 g,en quantité élevée,22 g,en quantité élevée,4 g,en faible quantité,1 g,en quantité modérée,-2%,,-3%,-4%,-2%,+158%,+196%,-18%,-17%,-17%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Auchan'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)', 'EMB 40261A', 'Saint-Geours-de-Maremne (Landes, France)']",,4,,"['Barquette', 'Plastique']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,['France'],,['France'],,
1451,Pâte Porc Avec Couenne Phu Quoc 500G,3760019011059,,['France'],[],[],?,2,8 kj(2 kcal),"24,8","9,61","1,68","0,55","13,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,"Impact Whey , Natural Banana - MyProtein",5055534320204,['MyProtein'],['France'],[],[],?,390,1632 kj(390 kcal),"7,4","3,9","6,3","6,3",74,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2404972023759,2404972023759,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Panettone,0203130065271,,['France'],[],[],?,385,1611 kj(385 kcal),15,"8,8",54,26,"7,3","0,42","0,168",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,15 g,en quantité modérée,8.8 g,en quantité élevée,26 g,en quantité élevée,0.42 g,en quantité modérée,,+3%,+3%,0%,-2%,+5%,+0%,+7%,-5%,-5%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
1455,Filet tranché de poulet,2449376023295,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1456,Pain d épice aux figues et miel,3517471214111,,['France'],[],[],?,346,1448 kj(346 kcal),"2,6","0,4","75,5","39,8","5,2","0,76","0,304",,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,2.6 g,en faible quantité,0.4 g,en faible quantité,39.8 g,en quantité élevée,0.76 g,en quantité modérée,,+3%,+2%,-26%,-68%,+7%,-2%,+20%,+74%,+74%,15,+6%,D,+6%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,,,,
1457,Chorizo fort,3700068145770,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Boudin blanc de porc aux cepes,0211840010504,,['France'],[],[],?,270,1130 kj(270 kcal),"23,79","9,4","5,1","2,2","8,9","1,44","0,576",,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']","['Viande Française', 'Viande Porcine Française']",23.8 g,en quantité élevée,9.4 g,en quantité élevée,2.2 g,en faible quantité,1.44 g,en quantité modérée,,+11%,+11%,+18%,+20%,+19%,+12%,-14%,-3%,-3%,18,+12%,D,+12%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,,,,,,,
1459,13 cades gourmandes - Agidra - 900g,3580281299838,['Agidra'],['France'],[],[],?,?,,?,,?,,?,,,900 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Aspic écrevisses - Pierre Schmidt,3234510209005,['Pierre Schmidt'],['France'],[],[],?,61,255 kj(61 kcal),"2,5","0,7","1,6","0,8","8,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.529.001 CE', 'Weyersheim (Bas-Rhin, France)']",,,,,,,,,,,
1461,tartelette chocolat,,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Tartes', 'Tartelettes', 'Tartelette au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,
1462,Magret fourré au foie gras de canard - La Cuisine de Babeth,3760057800240,['La Cuisine de Babeth'],['France'],[],[],?,?,,?,,?,,?,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Chocolat Vietnam noir - Antton,3514962711036,['Antton'],['France'],[],[],?,581,2431 kj(581 kcal),43,27,36,26,"8,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Mâche - Bonduelle,11995708,['Bonduelle'],['France'],[],[],?,?,,?,,?,,?,,,,,,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Rillettes de tourteau,3368952496508,,['France'],[],[],?,199,833 kj(199 kcal),16,"2,9","2,2","1,7",10,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Bresaoma,3760242810009,,['France'],[],[],?,?,,?,,?,,?,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Gran furtido de almendra,8413040005331,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,mon panier de rousquilles,3274643180710,,['France'],[],[],?,425,1778 kj(425 kcal),14,"1,4",68,39,"5,6","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Marrons glacés,3331380001095,,['France'],[],[],?,313,1310 kj(313 kcal),"1,2","0,2",73,48,"0,9","0,05","0,02",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,1.2 g,en faible quantité,0.2 g,en faible quantité,48 g,en quantité élevée,0.05 g,en faible quantité,,-1%,-2%,+34%,+28%,-2%,-5%,-12%,+34%,+34%,13,+10%,D,+10%,,,,,,,,,,,,,,,,,,,,
1470,Nougat noir tendre,3565300002460,,['France'],[],[],?,511,2138 kj(511 kcal),"28,5","2,4","51,7","41,8","9,3","0,065","0,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Mimollette extra vielle,0200122038572,,['France'],[],[],?,95,397 kj(95 kcal),"2,77","0,01","0,02","0,012","9,8","5,63","2,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Organic milk - Arla,5711953084959,['Arla'],['France'],[],[],?,47,197 kj(47 kcal),"1,5",1,"4,8","4,8","3,6","0,11","0,044",,C,"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits de vache']","['Bio', 'Bio européen']",1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,,-6%,-6%,-24%,-19%,+0%,+1%,+12%,+6%,+6%,-1,-426%,A,-426%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
1473,Graisse de friture - Solo,5410003030280,['Solo'],"['Belgique', 'France']",[],[],?,900,3766 kj(900 kcal),100,58,"0,5","0,5","0,5","0,013","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,
1474,Napolitains Mélissa - François Pralus,3760085324084,['François Pralus'],['France'],[],[],?,589,2464 kj(589 kcal),43,27,36,27,"9,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,Chocolat noir pistaches - Bovetti,3501940138008,['Bovetti'],['France'],"['chocolat noir ', 'masse de cacao', 'sucre', 'beurre de cacao', 'extrait de vanille', ""PISTACHES 8% Peut contenir des traces d'autres fruits à coque"", 'de lait et de soja']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,561,2347 kj(561 kcal),42,24,30,24,"9,6","0,02","0,008",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux pistaches', 'Chocolats aux pistaches']",,42 g,en quantité élevée,24 g,en quantité élevée,24 g,en quantité élevée,0.02 g,en faible quantité,,+1%,+2%,+14%,+24%,-27%,-35%,+28%,-86%,-86%,22,+3%,E,+3%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['Fruits à coque'],3,,,,,,,,,
1476,Huile vierge de Tournesol Biologique -,3452010001732,,['France'],[],[],?,?,,?,31,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['Bio'],,,31 g,en quantité élevée,,,,,,,,,+192%,,,,,,,,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,,
1477,Boeuf Wagyu,2478603074458,,['France'],[],[],?,128,536 kj(128 kcal),"4,5",2,"0,6","0,6",21,"2,09","0,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,,,,,,,,
1478,Marrons glacés - Sabaton,3101740030290,['Sabaton'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Aceitunas manzanilla verde deshuesada,8410862003101,,['France'],[],[],?,134,561 kj(134 kcal),"13,6","2,4","0,5","0,5",1,"1,7","0,68",,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Camomille']",,13.6 g,en quantité élevée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+26%,+27%,+18%,+3%,+178%,+608%,+30%,-13%,-13%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
1480,Tablette Blanche Fêtes - Comptoir du Cacao,3760078998148,['Comptoir du Cacao'],['France'],"['Sucre', 'beurre', 'de cacao', 'poudre de lait entier', 'lait maigre en poudre', 'amande miel', 'sirop de glucose', 'groseille séchée', 'fécule de pomme de terre', 'farine de riz', 'huile de riz', 'lecithine de soja', 'vanilline', 'colorants alimentaires pour décors ', 'E120', 'E100', ' Peut contenir des traces de: oeufs', 'gluten', 'noix', 'arachides']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",,,,,,,,,,,,,,,,,,,,,,,,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,"['Lait', 'Soja']",4,,,"['E322i - Lécithine', 'E120 - Acide carminique', 'E100 - Curcumine']",,,,,,
1481,Coffret prestige,3760194211411,,['France'],[],[],?,100,418 kj(100 kcal),0,0,27,0,1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Comte AOP 6 mois,2480255029267,,['France'],[],[],?,417,1745 kj(417 kcal),34,20,"0,5","0,5",28,"0,8","0,32",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,34 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,+5%,+6%,+4%,-8%,+8%,+80%,+11%,-18%,-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1483,Comté Excellance,0202603039108,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
1484,Bonbons au miel tranches orange-citron,3263622766618,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
1485,Confit De Canard (andelår) - Jean Larnaudie,3113010132641,"['Jean Larnaudie', 'Larnaudie']",['France'],[],[],?,250,1046 kj(250 kcal),18,"5,1",0,0,22,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,250g,0033604922942,,['France'],[],[],?,?,,?,,?,,?,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Porc,3333313123508,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,
1488,Infusion en gelée à l allé vera - 510g,4332338935935,,['France'],[],[],?,242,1013 kj(242 kcal),0,0,"55,2","51,46",2,"0,085","0,034",510 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Crème De Cassis,3263858505012,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,"['EMB 38130', 'Côte-Saint-André (Isère, France)']",,,,,,,,,,,
1490,Christmas Whole Milk Chocolate Lollies,9002859081590,,['France'],[],[],?,536,2243 kj(536 kcal),30,20,58,56,"6,8","0,38","0,152",,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,"Savane Originale Chocolat, 2 Fois 300 Grammes, Marque Brossard - 300g",3660140842303,['Brossard'],['France'],"['Farine de blé 26,5%', 'sucre', 'oeufs frais', 'huile de colza', 'chocolat 5,7% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""jaune d'?ufs"", 'sirop de glucose-fructose', 'poudres à lever : diphosphates - carbonates de sodium', 'cacao en poudre', 'sel', 'amidon de maïs', 'farine de blé malté', 'arôme', ' Présence possible de : arachide', 'fruits à coque', 'lait']",['Non végétalien'],?,448,1874 kj(448 kcal),25,"3,5",49,28,6,"0,66","0,264",300 g,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Gâteaux marbrés']",,25 g,en quantité élevée,3.5 g,en quantité modérée,28 g,en quantité élevée,0.66 g,en quantité modérée,,+3%,+4%,+8%,-30%,-2%,+1%,+5%,-1%,-1%,16,-4%,D,-4%,81.2%,10.7%,3.9%,2.1%,2.1%,0.0%,55,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,,,"['E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",,,,,,
1492,Civet de canard,3348800030306,,['France'],[],[],?,134,561 kj(134 kcal),"5,55","2,51","2,28","0,28","15,46","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Tartare d algue,3770011698110,,['France'],[],[],?,1000,4184 kj(1000 kcal),"38,9","4,4","4,62","1,81","2,74","0,56","0,224",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Épice Tajine conditionné en France 80g,3102870040180,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Terrine de porc - 185g,3770003077114,,['France'],[],[],?,?,,?,,?,,?,,,185 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Cuneese al rum,0701197271258,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Perle chocolat lait - 150g,3478920021943,,['France'],[],[],?,535,2238 kj(535 kcal),"30,03","0,05","52,08","6,63","7,38","0,28","0,112",150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Chocolats noirs aux fruits,3370077581571,,['France'],[],[],?,511,2138 kj(511 kcal),"33,6","21,3","41,9","36,6","6,7","0,025","0,01",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']","['Bio', 'Bio européen', 'Fabriqué en France']",33.6 g,en quantité élevée,21.3 g,en quantité élevée,36.6 g,en quantité élevée,0.025 g,en faible quantité,,-3%,-3%,+5%,+22%,-20%,-23%,+14%,-84%,-84%,24,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,
1499,Triangle,8411724000672,,['France'],[],[],?,478,2000 kj(478 kcal),20,13,65,46,"6,7","0,26","0,104",,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Sandwich salami sauce tartare - Delhaize - 218g,5425022721521,['Delhaize'],['France'],[],[],?,?,,?,,?,,?,,,218 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Whey informed - Bulk Powders,5055950611030,['Bulk Powders'],['France'],[],[],?,380,1590 kj(380 kcal),4,3,"4,5","4,5",81,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Pack escargot blanc,3555500431382,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,MOCHI ROLL,4713072174932,,['France'],[],[],?,363,1519 kj(363 kcal),"3,3","3,3","75,9","29,7","3,3","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Huiles De Colza Bio,3155700003893,,['France'],[],[],?,828,3464 kj(828 kcal),92,"6,9",0,0,0,0,0,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",['Bio'],92 g,en quantité élevée,6.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-5%,-5%,-5%,-3%,-100%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,,,
