,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
1933,THON LAIT DE COCO RIZ BASMATI,3106220035628,['France'],[],[],?,139,582 kj(139 kcal),"5,5","3,6",11,"0,5",11,"0,82","0,328",,"['FR 29.269.020 CE', 'Saint-Thurien (Finistère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Sirop de sucre de canne -,853270190156864,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Filets de maqueraux NIXE - 175g,,['France'],[],[],?,?,,?,,?,,?,,,"['Omega-3', 'Riche en Oméga-3']",['PT C.241.1P CE'],C,175 g,['Conserve'],['NIXE'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates']",['Paul Paulet SAS 29100 DOUARNENEZ'],http://www.lidl.fr/ poissons,['LIDL'],,,,,,,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,,,,,,,,,,,,,,,,Filets de maqueraux vin blanc et aromates NIXE,,,,,
1936,grillon vendéen - mes recettes artisanales - Vincent - 190g,3100200400543,['France'],"['maigre et panne de porc', 'oignons frais', 'Sel de Noirmoutier 1,5%', "" Toutes nos viandes sont issues de l'Élevage français"", ' SANS GLUTEN SANS COLORANT NI CONSERVATEUR']",[],?,?,,?,,?,,?,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']","['FR 85.048.005 CE', 'Chambretaud (Vendée, France)']",,190 g,['Verre'],['mes recettes artisanales - Vincent'],,['chambreteau 85'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Chocolat noir Equateur 85% - J.D. Gross,20716653,['France'],[],[],?,638,2669 kj(638 kcal),"55,3",34,"20,6","15,8",9,"0,01","0,004",,,E,,,"['J.D. Gross', 'Lidl']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,+15%,+40%,-47%,+17%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,55.3 g,en quantité élevée,34 g,en quantité élevée,15.8 g,en quantité élevée,0.01 g,en faible quantité,+15%,+47%,-50%,-79%,-79%,20,-6%,E,-6%,,,,,,,
1938,Wiko,6943279422354,['France'],[],[],?,?,,?,,?,,?,,,,,,,,['Wiko'],['Mobile'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,Garden,376001978015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,['Garden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,Champignon de paris,8713021003777,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,Heavenly Houmous - Ramona’s,5060228323263,['France'],[],[],?,263,1100 kj(263 kcal),"20,5","1,7","10,5","1,3",6,1,"0,4",,,,,,['Ramona’s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,Aiguillettes de dinde,3701017901690,['France'],[],[],?,?,,?,,?,,?,,,,,D,,,,"['Viandes', 'Volailles', 'Dindes']",,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,
1943,Nestlé,6010503018123,['France'],['presentation CIRU FUZZ Nestle AVEC JUS DE FRUITS AVEC ARÔMES NATURELS x6 E58 ml/58 g'],[],?,43,180 kj(43 kcal),0,0,10,10,0,0,0,['Aucun'],['12028880'],A,,['carton et papier'],['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', ""Glaces à l'eau""]",['France Bretagne 29800 plouedern'],http://www.fronieri.fr,['Intermarché Montauban de Bretagne'],,,-53%,-100%,-48%,-100%,45.8%,21.9%,8.3%,10.5%,8.6%,4.9%,91,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,-51%,-100%,-43%,-100%,-100%,2,-49%,B,-49%,,,,['Inconnue'],,,
