,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
33,Nescafé,3033710039586,E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",['France'],[],[],,,,,,,,,?,,1,-99%,4 kj(1 kcal),-99%,0,-100%,0,-100%,"0,3",-99%,0,-100%,"0,2",-96%,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,['Nescafe'],,,,['en:gluten-free'],,,,,,,,,,
34,Bouillon de Pot au feu -,3033710046997,,,,['France'],[],[],,,,,,,,,?,,285,,1192 kj(285 kcal),,16,,10,,31,,4,,3,,45,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chiffonnade jambon sec de Savoie nature - Peguet - 100g,3034910604062,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",['France'],"['Jambon de porc VPF', 'sel', 'sucre', 'conservateur : nitrate de potassium Traces éventuelles de LACTOSE']",[],13 g,en quantité modérée,5.5 g,en quantité élevée,0.1 g,en faible quantité,5.7 g,en quantité élevée,?,,229,-2%,958 kj(229 kcal),-3%,13,+2%,"5,5",+13%,"0,1",-83%,"0,1",-73%,28,-3%,"5,7",+14%,"2,28",+14%,17,+2%,D,+2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Peguet'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],3,"['Viande Française', 'Viande Porcine Française']",,,100 g,,,"['EMB 11262N', 'Narbonne (Aude, France)', 'FR 12.063.028 CE', 'Cavalerie (Aveyron, France)', 'FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,
36,Tomates à la provençale - Royco,3036812030222,,,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",['France'],[],[],,,,,,,,,?,,66,-51%,276 kj(66 kcal),-52%,"3,1",+25%,"1,9",+106%,"8,6",-61%,"1,4",-62%,"0,8",-79%,"0,6",-80%,"0,24",-80%,,,,,,,,,,,,['Royco'],,,,,,,,,,,,,,
37,Mini farfalle - Panzani,3038351299900,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,2,,"0,35",,72,,"3,7",,12,,"0,013",,"0,005",,,,,,,,,,,,,['Panzani'],,,,,,,,,,,,,,
38,Fusilli - Panzani,3038359002137,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,2,,"0,35",,72,,"3,7",,12,,0,,0,,,,,,,,,,,,,['Panzani'],,,,,,,,,,,,,,
39,Panzani spaghetti bio qualite superieure 3kg - 3000g,3038359006159,,['Enveloppe'],,['France'],"[""100% semoule de BLE dur de qualité supérieure issue de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,0,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,['Panzani +'],,['Gluten'],,"['Bio', 'Bio européen', 'IT-BIO-009', 'AB Agriculture Biologique']",,Pâtes alimentaires de qualité supérieure,3000 g,,,,,,,
40,Ultra savoureux - Auchan - 350g,3039050332639,D,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",['France'],"['Viande de porc ', 'Origine France', 'sel', 'saccharose', 'dextrose', 'poivre', 'ferments', 'conservateur : nitrite de sodium ', ' boyau naturel de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",15 g,en quantité modérée,7 g,en quantité élevée,0.5 g,en faible quantité,0.87 g,en quantité modérée,1342,,205,-35%,1342 kj(205 kcal),+1%,15,-45%,7,-34%,"2,3",+317%,"0,5",+30%,14,-17%,"0,87",-61%,"0,348",-61%,13,-40%,D,-40%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,['Auchan'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,"['IGP', 'Viande-francaise', 'Viande-porcine-francaise']",['Auchan'],,350 g,,,,,['France'],,
41,Palets Citron - Biscuiterie moderne,3040280001011,,,,['France'],"['farine de blé', 'sucre de canne', 'oeufs', 'beurre concentré 15%', 'écorces de citron 11% ', 'fruits', 'sucre', 'sucre inverti', 'arôme naturel de citron', 'poudre levante ', ""bicarbonate d'ammonium""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,426,,1782 kj(426 kcal),,"16,7",,"9,3",,"64,3",,"30,1",,"4,2",,"0,1",,"0,04",,,,,,,,,,,,,['Biscuiterie moderne'],"[""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Lait']",4,,['Magasins U'],,,,,"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
42,Mellin Crema Riso 200G CT 7,3041091146311,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]","['France', 'Italie']","['Farina di riso 59%', 'farina di riso idrolizzata 40%', 'antiossidante: acido ascorbico', 'vitamina B1', ' Può contenere tracce di latte e soia']",[],1 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,0.03 g,en faible quantité,?,,388,+34%,1623 kj(388 kcal),+36%,1,-91%,"0,2",-90%,87,+162%,"1,5",-85%,"7,5",+33%,"0,03",-93%,"0,012",-93%,0,-100%,B,-100%,,,,,,,,['Mellin'],['E300 - Acide ascorbique'],,1,"['Sans arômes ajoutés', 'Sans conservateurs']",,,200g,,,,,,,
43,Nursie - bledina - 400g,3041093553988,,,,"['Algérie', 'France']",[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,"23,3",,"10,3",,"61,1",,"52,7",,"9,7",,0,,0,,,,,,,,,,,,,['Bledina'],,,,,,,400g,,,,,,,
44,Escargots - Romanzini,3043030517213,C,,"['Viandes', 'Escargots']",['France'],"['Poids net consommable—bb Chairs escargots cuites - P Omatia origine Europe de IEst', ' minimum 45%', ' Farce ', ' beurro ', 'IAI', ' 40%', 'para ail,scl ,poivre']",[],34.7 g,en quantité élevée,24.8 g,en quantité élevée,0.5 g,en faible quantité,1.17 g,en quantité modérée,?,,377,+33%,1577 kj(377 kcal),+34%,"34,7",+48%,"24,8",+60%,"7,4",+63%,"0,5",-41%,"8,7",-16%,"1,17",-8%,"0,468",-8%,19,+33%,E,+33%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,['Romanzini'],,,,,,,,,,"['EMB 25493', 'Rivière-Drugeon (Doubs, France)']",,,,
45,1-3 - France Lait - 400g,3043931361113,,"['boîte', 'métal', 'Plastique']","['Boissons', 'Produits laitiers', 'Aliments pour bébé', 'Produits déshydratés', 'Laits', 'Laits pour bébé', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits en poudre']",['France'],[],[],,,,,,,,,?,,459,+43%,1920 kj(459 kcal),+38%,21,+162%,"8,5",+85%,50,+32%,36,+0%,15,-38%,"0,3",-57%,"0,12",-57%,,,,,,,,,,,,['France Lait'],,,,['Fabriqué en France'],,,400 g,,['France'],,,,,
46,Bte 1 / 2 Mais Doux Legal - A. Legal - 340g (285g net égoutté),3047200013130,B,"['Conserve', 'Métal 56g']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Céréales et dérivés', 'Légumes et dérivés', 'Légumes en conserve', 'Céréales en conserve', 'Maïs en conserve']",['France'],"['Maïs doux en grains', 'eau', 'sucre', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.3 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0 g,en faible quantité,?,,118,+34%,494 kj(118 kcal),+33%,"1,3",-19%,"0,1",-68%,22,+56%,"3,5",-28%,3,+9%,0,-100%,0,-100%,-8,,A,,46.7%,26.8%,12.8%,6.4%,3.5%,3.8%,81,['A. Legal'],,,3,,['Le Samba'],Maïs doux en grains sous vide,340 g (285 g net égoutté),,['UE'],,,,,
47,Pain complet,3047482006233,,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,2,,1,,1,,1,,1,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Les bêtises à Toulouse - Afchain,3048461820154,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,78 g,en quantité élevée,0.1 g,en faible quantité,?,,385,+8%,1611 kj(385 kcal),+7%,"0,5",-73%,"0,1",-91%,"96,2",+15%,78,+34%,"0,5",-76%,"0,1",-17%,"0,04",-17%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Afchain'],,,,,,,,,,,,,,
49,Bouchées de sauce de raifort - Baltic,3052420110125,B,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Harengs', 'Harengs marinés', 'Filets de harengs']",['France'],"['Ingrüents: filets de haren marinés coupés en morceaux 586 ', ""Clupea harenqus pédié en Atlantique Nord-Est ' cème alcool jaune poudre"", 'graines de moutarde moulues', 'épices', 'épaississants : gommes de quar et xanthane conservateurs : sorbate de poüsstum et benzoate de sodium', 'acidftnt:adde']",[],28.3 g,en quantité élevée,4.6 g,en quantité modérée,5.7 g,en quantité modérée,3.1 g,en quantité élevée,?,,314,+78%,1314 kj(314 kcal),+84%,"28,3",+146%,"4,6",+83%,"6,4",+125%,"5,7",+293%,"8,9",-26%,"3,1",+26%,"1,24",+26%,18,+50%,D,+50%,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,['Baltic'],,,4,,,,,,,,,,,
50,Bubble Gum - Monin,3052910041052,,,"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'arôme', 'émulsifiants', "" gomme d'acacia"", 'E445', 'colorant : El29']",[],0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.03 g,en faible quantité,?,,325,+282%,1360 kj(325 kcal),+268%,0,-100%,0,-100%,"80,1",+305%,80,+337%,0,-100%,"0,03",-20%,"0,012",-20%,20,+68%,E,+68%,,,,,,,,['Monin'],"[""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois']",,4,,,,,,,,,,,
51,Sirop Saveur Speculoos - Monin,3052910041236,,,"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'arôme', 'colorant: E150d', "" Contient de l'extrait de cannelle""]",[],0 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0 g,en faible quantité,?,,336,+295%,1406 kj(336 kcal),+280%,0,-100%,0,-100%,82,+314%,82,+348%,0,-100%,0,-100%,0,-100%,20,+68%,E,+68%,,,,,,,,['Monin'],"[""E150d - Caramel au sulfite d'ammonium""]",,4,,,,,,,,,,,
52,Le sirop de monin,3052910052362,,,,['France'],[],[],,,,,,,,,?,,335,,1402 kj(335 kcal),,0,,0,,"82,5",,"81,3",,0,,"0,03",,"0,012",,,,,,,,,,,,,['Monin'],,,,,,,,,,,,,,
53,Sirop Grenadine - Monin,3052910052881,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'acidifiant : acide citrique', 'arôme', 'colorant : E129', ' Contient des extraits de vanille et de fruit rouge']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,299,+27%,1251 kj(299 kcal),+16%,0,-100%,0,-100%,"73,8",+22%,"73,8",+26%,0,-100%,"0,03",+23%,"0,012",+23%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Monin'],"['E330 - Acide citrique', 'E129 - Rouge allura AC']",,4,,,,,,,,,,,
54,Ginger sirup Monin,3052910055240,,,"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'arôme naturel de avec autres arômes naturels', 'acidifiant : acide citrique Sugar', 'water', ""natural ginger flavouring With Other acide' citric acide Best before end: see bottle"", ' D Zlitaten: Wasser', 'natürliches Ingweraroma und andere natürliche Sirgsmittel: Zitronensâure', "" Mindestens haltbar bis Elide: siehe natuurlijke aroma's"", 'voedingszuur: citroenzuur', ' Ten Illinste koudbcarioteillde: cie halsfles']",[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0 g,en faible quantité,?,,285,+235%,1192 kj(285 kcal),+222%,0,-100%,0,-100%,70,+254%,70,+283%,0,-100%,0,-100%,0,-100%,20,+68%,E,+68%,,,,,,,,['Monin'],['E330 - Acide citrique'],,4,,,,,,,,,,,
55,"Monin Myrtille Heidelbeer-sirup 0,7 l",3052910055318,,,"['Boissons', 'Boissons sans alcool', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'arôme', 'jus concentréde citon', ' Jus de fruits : 30% minimum', 'dont 16% dejusde mytille']",[],0 g,en faible quantité,0 g,en faible quantité,81.9 g,en quantité élevée,0 g,en faible quantité,?,,333,+776%,1393 kj(333 kcal),+734%,0,-100%,0,-100%,82,+848%,"81,9",+1014%,0,-100%,0,-100%,0,-100%,20,+184%,E,+184%,,,,,,,,['Monin'],,,4,,,,,,,,,,,
56,Blackberry Syrup - Monin,3052910056346,B,,"['Boissons', 'Sirops', 'Sirops aromatisés']",['France'],[],[],,,,,,,,,?,,355,+43%,1485 kj(355 kcal),+39%,0,-100%,0,-100%,"86,1",+35%,"85,7",+40%,0,-100%,"0,03",+1%,"0,012",+1%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Monin'],,,,,,,,,,,,,,
57,Sirop de monin - 70cl,3052911169441,A,['bouteille en verre'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Boissons avec sucre ajouté']",['France'],"['Sucre', 'eau', 'jus concentré de pêche blanche', 'acidifiant: acide citrique', 'arôme', ""émulsifiant: gomme d'acacia E445"", 'colorants : E120', 'E163', 'jus de pêche blanche: 15%']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,334,+34%,1397 kj(334 kcal),+31%,0,-100%,0,-100%,"82,5",+29%,"82,5",+35%,0,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Monin'],"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E120 - Acide carminique', 'E163 - Anthocyanes']",,4,,,,70 cl,,"['18000 Bourges', 'France']",,http://www monin.com,,,
58,Volvic Rote Früchte,3057640348938,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']","['France', 'Allemagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,2.3 g,en faible quantité,0 g,en faible quantité,?,,10,,42 kj(10 kcal),,0,,0,,"2,3",+236282%,"2,3",+47520561%,0,-100%,0,-100%,0,-100%,4,+1344%,A,+1344%,,,,,,,,['Volvic'],,,,,,,,,,,,,,
59,"Volvic Tee, Grüntee-extrakt & Granatapfelgesch. ..",3057640461378,,,['Boissons'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,3.9 g,en quantité modérée,0 g,en faible quantité,?,,16,-71%,67 kj(16 kcal),-72%,0,-100%,0,-100%,"3,9",-65%,"3,9",-59%,0,-100%,0,-100%,0,-100%,6,-22%,D,-22%,,,,,,,,['Volvic'],,,,,,,,,,,,,,
60,Emmental - Vert bosquet,3060921349838,,,,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,28,,19,,1,,"0,5",,28,,"0,6",,"0,24",,,,,,,,,,,,,['Vert bosquet'],,,,,,,,,,,,,,
61,Monster AOP - Cora,3060921455218,,['Film en plastique'],,['France'],"['LBIT pasteurise de vache ', 'origing:Fran set,ferments LHCTI?UES,presure', 'Rffine par Blamont 68650 LBPOUTROIE', 'Vateurs']",[],,,,,,,,,?,,329,,1377 kj(329 kcal),,27,,19,,"0,5",,"0,5",,21,,"1,5",,"0,6",,,,,,,,,,,,,['Cora'],,,,,['Cora'],,,,,,,,,
62,Emmental - Carrefour,3060921459148,,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,30,,21,,"0,5",,"0,5",,27,,"0,625",,"0,25",,,,,,,,,,,,,['Carrefour'],,,,,['Carrefour'],,,,,,,,,
63,Mimolette jeune - Carrefour,3060921459209,C,['Film en plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",['France'],"['LaIT pasteurise de vache ', 'origina france', 'sel', 'ferments lactique', ' colorant:E160b', ' croute non consommabLe']",['Non végétalien'],25 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,?,,327,+2%,1368 kj(327 kcal),+2%,25,+4%,18,+10%,"0,5",+56%,"0,5",+59%,25,-3%,"2,5",-2%,1,-2%,19,+3%,E,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Carrefour'],['E160b - Rocou'],['Lait'],4,,['Carrefour'],,,,,,,,,
64,Fromage pour raclette moutarde (25% MG) - Le Centurion - 200g,3060921460366,D,"['Barquette', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés', 'Raclettes']",['France'],"['Lait de vache pasteurisé', 'sel', 'graines de moutarde entières ', '0', '8%}', 'enzymes coagulantes', 'ferments lactiques', ""conservateurs: lysozyme d'œuf"", 'colorant: rocou', 'conservateur de croûte: natamycine']","['Non végétalien', 'Non végétarien']",25 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,326,-6%,1364 kj(326 kcal),-5%,25,-9%,18,-3%,"1,2",+63%,"0,5",+17%,24,+1%,"1,8",+7%,"0,72",+7%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Le Centurion'],"['E1105 - Lysozyme', 'E160b - Rocou', 'E235 - Natamycine']",['Lait'],4,,['Auchan'],Fromage pour raclette,200 g,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,
65,Cheddar - Mc Cambell - 160g,3060921461585,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'enzyme coagulante', 'colorant : E160b']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34.9 g,en quantité élevée,21.7 g,en quantité élevée,1 g,en faible quantité,1.7 g,en quantité élevée,?,,416,+5%,1741 kj(416 kcal),+5%,"34,9",+5%,"21,7",+3%,1,-28%,1,+99%,"25,4",+8%,"1,7",-4%,"0,68",-4%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Mc Cambell', 'Centurion Fromagers']",['E160b - Rocou'],['Lait'],4,"['Kascher', 'en:Orthodox Union Kosher']",,,160g,,,,,,,
66,Moelleux fourré fraise - Gusto DeBrio - 30g,3061435002066,,,,['France'],"['Sucre', 'farine de blé', 'sirop de,glucose', 'œufs huile de ', 'sorbitols', 'glycérol', 'purée de fraise 5%/ émulsifiants : et diglycérides ', 'origine végétale', 'poudres lever ', 'diphosphotest carbonates de sodium', 'sel pectines de fruits', ""correcteurs d'acidité "", 'acide citrique', 'citrate de ten _', 'pgqe', ' lait', 'fruits à coque et soio']",['Non végétalien'],,,,,,,,,?,,387,,1619 kj(387 kcal),,12,,"1,3",,64,,37,,"4,9",,"1,11",,"0,444",,,,,,,,,,,,,['Gusto DeBrio'],"['E420 - Sorbitol', 'E422 - Glycérol', 'E330 - Acide citrique']","['Gluten', 'Lait', 'Fruits à coque']",4,,,,30 g,,,,,,,
67,Nids N°10 - Grand Mere,3065620011031,,,,['France'],[],[],,,,,,,,,?,,367,,1536 kj(367 kcal),,5,,"1,3",,64,,"2,6",,15,,"0,1",,"0,04",,,,,,,,,,,,,['Grand Mere'],,,,,,,,,,,,,,
68,Delpeyrat foie fras de canard entier du Perigord,3067162278347,,,,['France'],"['Foie Gras de Canard du frer$e épices', 'conservateur : nitrite de sodium', ' Sortir le bocal du réfrigérateur 20 min avant desenir', "" GI'??IE A consener au réfrigérateur entre "", 'FC et +$C', ' 17 A consommer rapidement après otJ}Üture', ' Conditionné sous atmosp,lère protectrice', ' ', 'Sel é9QiÌ Numérodelot:lûirsurlefonddubocal']",[],,,,,,,,,?,,544,,2276 kj(544 kcal),,56,,23,,2,,1,,"7,5",,"1,25",,"0,5",,,,,,,,,,,,,['Delpeyrat'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
69,Delpeyrat classic bloc de foie gras de canard de France - 200g,3067163614601,B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['Foie Gras de Canard', 'eau', 'sel', 'Porto', 'Armagnac', 'sucre', 'poivre', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",50 g,en quantité élevée,20.5 g,en quantité élevée,0.9 g,en faible quantité,1.12 g,en quantité modérée,?,,482,-2%,2017 kj(482 kcal),-1%,50,-1%,"20,5",-5%,"2,1",-1%,"0,9",-32%,"5,9",-4%,"1,125",-8%,"0,45",-8%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['Delpeyrat', 'Delpeyrat Classic']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,3,,,,200 g,,,,,,,
70,Saumon fumé sauvage - Delpeyrat - 220g (180g + 40g gratuit),3067163626659,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",['France'],[],[],2.3 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,3 g,en quantité élevée,?,,123,-8%,515 kj(123 kcal),-7%,"2,3",-38%,"0,6",-25%,"0,5",+1%,0,-100%,26,+9%,3,+2%,"1,2",+2%,10,-10%,C,-10%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Delpeyrat'],,,,,,,220 g (180g + 40g gratuit),,,,,,,
71,Jambon bayonne - Delpeyrat,3067163634999,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['France'],[],[],6.1 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,4.7 g,en quantité élevée,?,,184,-25%,770 kj(184 kcal),-25%,"6,1",-56%,"2,3",-61%,"0,7",+10%,"0,5",+8%,"31,2",+6%,"4,7",-2%,"1,88",-2%,14,-22%,D,-22%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,['Delpeyrat'],,,,,,,,,,,,,,
72,Le saumon Islande - Delpeyrat,3067163635996,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],11.4 g,en quantité modérée,1.57 g,en quantité modérée,0.2 g,en faible quantité,3.5 g,en quantité élevée,?,,195,+5%,816 kj(195 kcal),+6%,"11,4",+9%,"1,57",-24%,"0,2",-60%,"0,2",-40%,"23,1",+5%,"3,5",+24%,"1,4",+24%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Delpeyrat'],,,,,,,,,,,,,,
73,"Farine Complète Type 45, 1 Kilo, Marque Francine",3068111301239,,,,['France'],[],[],,,,,,,,,?,,315,,1318 kj(315 kcal),,"2,5",,"0,58",,"59,5",,3,,"13,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amandes éffilées - 500g,3068235502178,,,,['France'],[],[],,,,,,,,,?,,661,,2766 kj(661 kcal),,54,,"4,3",,14,,4,,24,,0,,0,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,
75,Erstein sucre gel lot - 3x 1kg (3000g),3071901100004,,['Film en plastique'],,['France'],"['98,3 % Sucre', '1% Pectine', '0', '7% Acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,1700,,400,,1700 kj(400 kcal),,0,,0,,100,,96,,0,,0,,0,,,,,,,,,,,,,['Erstein'],,,,,,Sucre gélifiant,3 x 1 kg (3000 g),,,,,,,
