,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
1437,Chocolat noir Sao tomé noir 70% - Daniel Stoffel,3367270009247,,['France'],[],[],?,564,2360 kj(564 kcal),42,25,32,29,"7,9","0,01","0,004",['Daniel Stoffel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,Poulet fermier,0227645023229,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,
1439,Mandarines,8436563335037,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,Oeufs de cabillaud fumés,2429629051237,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de cabillaud']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,
1441,Multifrui,5038580010763,,['France'],[],[],?,25,105 kj(25 kcal),5,4,5,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,Boudin antillais - 500g,3762147700713,500 g,['France'],[],[],?,144,602 kj(144 kcal),13,"1,2",12,"0,5","5,6","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,Choucroute Crue Bio - 220g,546587877894,220 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
1444,Salade multi feuille,3301071494505,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Escalopes de dinde,0217438018433,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
1446,Crousti' touch,3387270091004,,['France'],[],[],?,411,1720 kj(411 kcal),23,12,41,"2,7",6,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Pizza royale,0260500038709,,['France'],[],[],?,168,703 kj(168 kcal),"5,4","2,6",20,"1,5","9,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Natural Cashew Nuts,00076371,,['France'],[],[],?,604,2527 kj(604 kcal),"47,5","7,3","20,5","4,4","21,8","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,Flame grilled steak - Ridge cut crisps,00805612,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1450,Terrine traditionnelle au piment d'Espelette,3432770020181,,['France'],[],[],?,315,1318 kj(315 kcal),27,"9,4",3,0,15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,Volaille fermière bio,2444012032600,,['France'],[],[],?,139,582 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
1452,Frangipane poire chocolat,3999999810011,,['France'],[],[],?,419,1753 kj(419 kcal),25,15,41,15,"6,2","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,Ravioli à la viande - 400g,3261055930873,400 g,['France'],[],[],?,91,381 kj(91 kcal),"2,3","0,8",13,"1,4","3,8","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,Pizza 4 fromages,0260501038708,,['France'],[],[],?,225,941 kj(225 kcal),11,"6,7",19,"1,4",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,Gelée de groseilles rouges,3286462500631,,['France'],[],[],?,?,,?,,?,,?,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de groseilles']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
1456,Crush proteine bar - BiotechUSA,5999076228812,,['France'],[],[],?,1482,6201 kj(1482 kcal),16,10,24,"0,8",31,"0,73","0,292",['BiotechUSA'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,Rekorderlig Apple Cider - 4.5%,7311100318104,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,
1458,Banane,2184435001875,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,
1459,Edam jeune,2860010014330,,['France'],[],[],?,1313,5494 kj(1313 kcal),24,17,"0,5","0,5",25,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Fromage tomme cerronnée,2090507023358,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Chanflor,3289091509006,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Epicerie / Spécialités Végétaliennes / Patés Végétaux,3770000506310,,['France'],[],[],?,0,0 kj(0 kcal),12,"1,3","10,4","1,2","3,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,Buche de chevre,2488844018760,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Succoso,8001620017746,,['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,1","5,1","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Silicium - 1 L - Catalyons Laboratoire,3760166800155,,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Sans conservateurs']",,,,,,,,
1466,Pur jus de pomme bio - Emmanuelle Baillard,3760125984483,,['France'],[],[],?,47,197 kj(47 kcal),"0,5","0,1","11,7",11,"0,5","0,01","0,004",['Emmanuelle Baillard'],B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+3%,+178%,+197%,+6%,+6%,+128%,-20%,-20%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,
1467,Poelee verte - 250g,3570250024653,250 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Vin sans alcool,3500610120015,,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,01",5,5,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Filet de Bacon Fumé,2293164017580,,['France'],[],[],?,508,2125 kj(508 kcal),"2,8",1,"0,5","0,5",23,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,,,,,
1470,Taboulé Verde,2217175032219,,['France'],[],[],?,102.48,429 kj(102 kcal),"6,26","0,75","8,53","1,97","1,93","0,6","0,24",,B,"['Plats préparés', 'Taboulés']",,,,,6.26 g,en quantité modérée,0.75 g,en faible quantité,1.97 g,en faible quantité,0.6 g,en quantité modérée,,-39%,-39%,-3%,+5%,-60%,-40%,-56%,-36%,-36%,2,-26%,B,-26%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,
1471,5 saucisses de volaille aux herbes - Le Picoreur,2444021038570,,['France'],[],[],?,661,2766 kj(661 kcal),"9,3","2,7","0,4","0,3",18,"1,7","0,68",['Le Picoreur'],E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,,,,9.3 g,en quantité modérée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,+267%,+263%,-21%,-26%,-68%,-42%,+9%,-4%,-4%,17,+73%,D,+73%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,['Bio'],,,,,,,,
1472,Tarama au naturel,3200741040137,,['France'],[],[],?,624,2611 kj(624 kcal),68,"5,1","2,1","1,6","0,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Filet de poulet,2227365066054,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Fabriqué en France'],"['FR 26.144.011 CE', 'Grane (Drôme, France)']",,,,,,,
1474,Jambon à l'ancienne - Tallec,2264752034319,,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",['Tallec'],,"['Viandes', 'Charcuteries', 'Jambons']",,,,,7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-5%,-4%,+3%,-0%,-24%,-6%,-6%,-34%,-34%,12,+13%,D,+13%,,,,,,,,"['Viande Française', 'Viande Porcine Française']","['EMB 29004', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)', 'EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,
1475,Thé blanc de Noël - Baronny's,3700496324433,,['France'],[],[],?,?,,?,,?,,?,0,0,"[""Baronny's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Miel de tilleul -,3770010624134,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1477,Poulet basquaise - Bixente Ibarra,3482970008298,,['France'],[],[],?,524,2192 kj(524 kcal),"7,2","1,7","4,4","2,2","10,3","0,26","0,104",['Bixente Ibarra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Poulet,2233148058185,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,
1479,Riz long blanc indica - 5kg,023327665001211515210904,5 kg,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,Jus de poire Comice,3458420151418,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de poire']",,,,,,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
1481,Fenouil bio,3760074471379,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fenouils']",,,,,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,65.5%,0.0%,0.0%,19.2%,12.1%,3.2%,95,['Bio'],,,,,,,,
1482,Pain au chocolat pur beurre,2061387019021,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Gros Manseng Sauvignon,3272591540402,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IGP'],,,,,,,,
1484,Vin bordeau,3198129248797,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,filet de poulet,0213400038836,,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
1486,Ultra Savoureux - Socopa,3039050352354,,['France'],[],[],?,254,1063 kj(254 kcal),20,"8,5","3,3",1,14,"0,75","0,3",['Socopa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,PANDORO di VERONA,8002540067057,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,Empanado de pollo,8433329076623,,['France'],[],[],?,235,983 kj(235 kcal),"9,4","1,6",22,"2,1",15,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Wild mushroom soup - Lidl - 400g,20515911,400 g,['France'],[],[],?,65,272 kj(65 kcal),5,"3,1","3,1","2,1","1,3","0,8","0,32",['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Snack mix,8690787901090,,['France'],[],[],?,528,2209 kj(528 kcal),"32,7","4,7","36,1","4,3",18,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Fromage de vache Bio fermiers - 6x 100g,3770003731108,6 x 100 g,['France'],[],[],?,?,,?,,?,,?,0,0,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,
1492,Rillettes de canard rôti au piment d'Espelette,3432770052380,,['France'],[],[],?,1348,5640 kj(1348 kcal),30,"8,8",0,0,14,"0,8","0,32",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,30 g,en quantité élevée,8.8 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,,+236%,+236%,-18%,-30%,-100%,-100%,-14%,-42%,-42%,21,+9%,E,+9%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,
1493,Vegan burger soy - Prozis - 2x 80g,5600499586617,2 x 80 g,['France'],[],"['Végétalien', 'Végétarien']",?,217,908 kj(217 kcal),"9,4","1,3",15,"2,5",15,"0,94","0,376",['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
1494,Seitan Tranche Sauce Soja 650G - Arche Naturküche - 330g,4020943134323,330g,"['France', 'Allemagne']",[],[],?,120,502 kj(120 kcal),"1,5","0,4","6,4","0,5",19,"1,4","0,56",['Arche Naturküche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Galette des Rois - Leader Price,3260759084813,,['France'],[],[],?,458,1916 kj(458 kcal),26,16,48,13,"7,4","0,97","0,388",['Leader Price'],D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['Leader Price'],,,,26 g,en quantité élevée,16 g,en quantité élevée,13 g,en quantité élevée,0.97 g,en quantité modérée,,+9%,+9%,-2%,+8%,+24%,+1%,+17%,+39%,+39%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
1496,Preparado para tarta de chocolate estilo francés -,4047008012464,,['France'],[],[],?,464,1941 kj(464 kcal),28,16,43,34,"7,4","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Fraise Des Bois Marie Brizard 18%,3041312530707,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,Goossens Lard Mixed 500G,5413791000107,,['France'],[],[],?,364,1523 kj(364 kcal),9,"7,8","68,1","58,9","2,65",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Magret de canard du Sud Ouest - La Truffe,2858968033589,,['France'],[],[],?,?,,?,,?,,?,0,0,['La Truffe'],E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,
1500,CHOCAPIC,5365032779566,,['France'],[],[],?,385,1611 kj(385 kcal),"4,6","1,3",73,25,"8,5","0,33","0,132",['Chocapic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Esma Poultry Sausage 6X800G,4040328041589,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE NI-11790 EG'],,,,,,,
1502,Lemon ginger herbal tea,0060383206321,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Snack size wafer bars candy bag,0034000224449,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Fwiyapen La - 300g,3485649871254,300 g,['France'],[],[],?,91,381 kj(91 kcal),"1,1","0,3",17,"0,6","0,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1505,Petite grape snacking tomatoes,0011110911919,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Major grey's chutney,0051500286203,,['France'],[],[],?,250,1046 kj(250 kcal),0,0,60,60,0,"2,125","0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Extra Virgin Olive Oil,0708271510173,,"['France', 'États-Unis']",[],[],?,800,3347 kj(800 kcal),"93,33","13,33",0,0,0,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-7%,-7%,-2%,-5%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,ZOE,,,
1508,Natural Spring Water,0073430445673,,"['France', 'États-Unis']","['Spring water', 'co2', 'natural flavors']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Boissons', 'Eaux']",,,,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,Nestle Waters North America Inc.,,,
1509,Extra Large Organic Eggs,0815652001349,,"['France', 'États-Unis']",[],[],?,143,598 kj(143 kcal),"8,93","3,57",0,0,"12,5","0,358","0,143",,D,"[""Produits d'élevages"", 'Œufs']",,,,,8.93 g,en quantité modérée,3.57 g,en quantité modérée,0 g,en faible quantité,0.357 g,en quantité modérée,,+8%,+7%,-5%,+49%,-100%,-100%,+2%,+36%,+36%,0,,B,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Bio'],,,,,Pete and Gerry's Organics,,,
1510,4 Blinis Frais Bio,3438330141167,,['France'],[],[],?,170,711 kj(170 kcal),"3,5","0,5","27,6","5,9","6,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['EMB 91286G', 'Grigny (Essonne, France)']",,,,,,,
1511,Balsamic vinegar of modena - 250ml,8005786000994,250 ml,['France'],[],[],?,15,63 kj(15 kcal),0,0,"2,88","2,88","0,16","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Peach fruit juice,0025000049484,,"['France', 'États-Unis']","['Contains pure filtered water', 'high fructose corn syrup', 'apple and peach juices from concentrate', 'less than 0', '5% of: natural flavors', 'citric acid ', 'provides tartness', 'vegetable and fruit juices ', 'for color']",[],?,50,209 kj(50 kcal),0,0,"12,92","12,5",0,"0,015","0,006",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",,['E330 - Acide citrique'],,4,0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité élevée,0.015 g,en faible quantité,,+25%,+24%,-100%,-100%,+54%,+68%,-100%,-39%,-39%,16,+171%,E,+171%,,,,,,,,,,,,,The Minute Maid Company,,,
1513,Baratte d'or - 250g,3199241011931,250 g,['France'],[],[],?,738,3088 kj(738 kcal),82,56,"0,5","0,5","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Infusion en gelée à l'Aloe Vera - Sante Nat,15588159,,['France'],[],[],?,174,728 kj(174 kcal),0,0,"43,4","43,3","0,1","0,043","0,017",['Sante Nat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Chocolat noir grand cru matagalpa 70%,0209168012607,,['France'],[],[],?,528,2209 kj(528 kcal),36,12,38,30,"7,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Geflügel Mortadella - Hofmaier - 200g,11628149,200 g,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Hofmaier'],E,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Mortadelle']",,,,,,,,,,,,,,,,,,,,,,,,,,,73.5%,18.1%,3.9%,1.2%,0.7%,2.6%,24,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture""]",,,['pack.'],,,,,
1517,Mignon de porc en croûte,2600416043424,,['France'],[],[],?,229,958 kj(229 kcal),"12,3","5,4",19,"1,2",13,"1,85","0,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,1kg,5400501134801,1 kg,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Geflügel-Wiener - Hofmaier - 2x 200g,4316268462402,2 x 200 g,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Hofmaier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture""]",,,['Glas'],,,,,
1520,0202001015414,0202001015414,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Muffins nature - 250g,3036856940914,250 g,['France'],[],[],?,223,933 kj(223 kcal),"1,4","0,2",41,"6,5","10,4","0,9","0,36",,,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 75109Z', 'Paris 9e  Arrondissement (Paris, France)']",,,,,,,
1522,Foyesse chocolat,0210651029859,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,Miel de Printemps - 250g,3760296600700,250 g,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1524,Cacao maigre 100% - 250g,3477739445544,250 g,['France'],[],[],?,335,1402 kj(335 kcal),11,7,19,1,25,"0,047","0,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans additifs']",,,,,,,,
