,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
1817,Bifstecks Charal,0292472039293,,,['Charal'],,['France'],[],[],,,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,
1818,Piperade basquaise - Sakari,3281230000160,,,['Sakari'],,['France'],[],[],,,,,,,,,,?,,50,,209 kj(50 kcal),,1,,"0,5",,8,,7,,1,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
1819,Pâté au piment,3760148500417,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Clever Batterien AA,9010158010005,,,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
1821,Frites acidulées,0249505004322,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
1822,Softis Box,8004260450638,,,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Tempo light Box,7322540789430,,,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
1824,Staubsaugerduft - 22g,8715342018911,,22 g,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
1825,Billa feuchtes Toilettenpapier - 60g,9002233058682,,60 g,,,"['Autriche', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Stück'],,,,,,,,,
1826,Mon cordon -,2208633047951,,,,,['France'],"['Viande de dinde 53%', 'jambon de dinde cuit standard 10% ', 'Cuisse de dinde 9%', 'eau', 'dextrose', 'sel', 'arômes', 'arômes de fumée', 'poudre de jus de blette', 'carotte déshydratée', 'ferments', 'FROMAGE fondu 10% ', 'FROMAGES 6%', 'eau', 'poudre de LAIT écrémé', 'protéines de LAIT', 'sel de fonte', 'BEURRE', 'eau', 'farine de BLE', 'flocons de maïs', 'sirop de glucose', 'sel', 'vinaigre', 'Levure', 'épices', ""extrait d'épices arômes naturels"", 'amidon de BLE']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,578,,137,,578 kj(137 kcal),,"1,6",,"0,7",,"8,7",,"1,5",,20,,"1,2",,"0,48",,,,,,,,,,,,,,"['Gluten', 'Lait']",,,['Nutriscore'],,,,,,,
1827,Suppengemüse - REWE Beste Wahl - 450g,4388844080409,,450 g,['REWE Beste Wahl'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['REWE'],,,,,,
1828,Kartoffelbrei Instant,1342,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Escalope de poulet,2447040032017,D,,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
