,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
1516,Frollini Classici - Penny,8024370018702,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans huile de palme'],['France'],[],[],20 g,en quantité modérée,4.5 g,en quantité modérée,19 g,en quantité élevée,0.8 g,en quantité modérée,?,,482,+2%,2017 kj(482 kcal),+1%,20,-4%,"4,5",-55%,67,+5%,19,-36%,"7,6",+17%,"0,8",+36%,"0,32",+36%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,['Penny'],,,,,,,,17,-14%,D,-14%,,,,,,
1517,Choucroute,3471870000419,C,"['Plats préparés', 'Choucroutes']",,['France'],[],[],2.6 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en faible quantité,0.82 g,en quantité modérée,?,,38,-60%,159 kj(38 kcal),-59%,"2,6",-61%,"0,7",-72%,"2,7",+18%,"0,6",-14%,"0,7",-84%,"0,82",-37%,"0,328",-37%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,"['EMB 67248G', 'Krautergersheim (Bas-Rhin, France)']",,,,,3,-36%,C,-36%,,,,,,
1518,Sel de Guérande,3183811060306,B,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,['France'],,,,,,,,,,,,,,,,
1519,Plaisir myrtilles - Biscuiterie du Quercy - 35g,3281580032446,,,['Sans colorants'],['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,"1,1",,"0,02",,"95,3",,"84,1",,"3,3",,0,,0,,,,,,,,,35 g,,['Biscuiterie du Quercy'],,,,,,,,,,,,,,,,,
1520,Dutch Oasis Camel Milk,7435135410425,,,,['France'],[],[],,,,,,,,,?,,53,,222 kj(53 kcal),,"4,2",,"1,8",,"4,3",,"4,3",,"3,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Cookies exquis,3770015732025,,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,508,,2125 kj(508 kcal),,"26,2",,"16,5",,"61,8",,"21,7",,"6,2",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Curry,3565306000101,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",['Bio'],['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,,,,,,,,,,,,,,,,,,,
1523,Rillettes de cailles aux raisins,3760195250303,,,,['France'],[],[],,,,,,,,,?,,518,,2167 kj(518 kcal),,"50,7",,"21,7",,"0,6",,"0,6",,"14,9",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Agrumes,3422150002135,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions en sachets']",,['France'],"['Agrumes 73,7% ', 'dont citron fruit et écorce 30%', 'orange sanguine 20%', 'orange écorce', 'bergamote', 'citron vert', 'citronnelle 18%', 'hibiscus fleur', 'stévia feuille']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",4,,,,,,,,,,
1525,Pain suisse,3199215821238,,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,16,,11,,45,,16,,"5,4",,"2,25",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
