,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
1083,Confiture Extra Clémentine - Désir de Corse - 800g,3760036848546,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",,['France'],[],[],0.7 g,en faible quantité,0.1 g,en faible quantité,48.3 g,en quantité élevée,0 g,en faible quantité,?,,248,+5%,1038 kj(248 kcal),+5%,"0,7",+121%,"0,1",+59%,54,-6%,"48,3",-11%,"0,5",+7%,0,-100%,0,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,800 g,,['Désir de Corse'],,,,,,,,12,+14%,D,+14%,,,,,,
1084,Girolles,3580282260615,,,,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,7",,"0,2",,"0,5",,"0,5",,"1,3",,"0,81",,"0,324",,,,,,,,,,['Girolles'],,,,,,,,,,,,,,,,,,
1085,Velouté de carottes & langoustines - U Saveurs - 490g,3368953108592,,"['Plats préparés', 'Soupes']",['Transformé en France'],"['France', 'Polynésie française']","['Eau', 'carottes 30%', 'têtes et pattes de langoustines 5%', 'oignons', 'creme fraîche 5%', 'amidon transformé de maïs', 'vin blanc', 'lait en poudre', 'sel', 'épaississants : gomme xanthane et gomme guar', 'ail', 'poivre', 'plantes aromatiques', ' contient des sulfites']",['Non végétalien'],2 g,en faible quantité,1.3 g,en faible quantité,1.7 g,en faible quantité,0.83 g,en quantité modérée,168,-23%,40,-30%,168 kj(40 kcal),-29%,2,+3%,"1,3",+115%,"4,2",-27%,"1,7",-2%,"1,1",-50%,"0,83",-4%,"0,332",-4%,,,,,,,,490 g,,"['U Saveurs', 'U']",,,,,['Magasins U'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']",4,4,+144%,C,+144%,,,"['Crustacés', 'Lait', 'Anhydride sulfureux et sulfites']",,,
1086,Lipton Calendrier de l'Avent Noël Assortiment de 48 Thés et Infusions 48 Sachets - 83g,8710604729710,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']","['Point Vert', 'Rainforest Alliance']","['Belgique', 'France']","['Thé noir*', 'arôme', 'fraise ', '0', '9%', ' framboise ', '0', '6%', 'groseille ', '0', '6%', 'mûre ', '0', '3%', ' cerise ', '0', '3%', ' LEMON - Thé noir aromatisé citron', ' Ingrédients : thé noir*', 'arôme', 'écorces de citron ', '2', '6%', ' TROPICAL FRUIT - Thé noir aromatisé fruits exotiques', ' Ingrédients : thé noir*', 'arôme', 'ananas', 'écorces de pamplemousse ', '2', '3%', ' Mûre Myrtille - Thé noir aromatisé mûre myrtille', ' Ingrédients : thé noir*', 'arômes', ' mûre ', '0', '9%', 'cassis ', '0', '9%', 'myrtille ', '0', '6%', 'framboise ', '0', '6%', ' Pêche Mangue - Thé noir aromatisé pêche mangue', ' Ingrédients : thé noir*', 'arôme', 'pêche ', '1', '5%', 'mangue ', '1', '4%', 'abricot', ' AGRUMES - Thé noir aromatisé agrumes', ' Ingrédients : thé noir*', 'arôme', 'écorces de pamplemousse ', '1', '4%', 'écorces de citron ', '1,4%', ""écorces d'orange "", '1', '4%', 'écorces de citron vert ', '1', '4%', ' VANILLE CARAMEL - Thé noir aromatisé vanille caramel', ' Ingrédients : thé noir*', 'arôme', 'caramel ', '3', '4%', 'amidon', 'sucre', 'vanille ', '0,4%', ' ORANGE JAIPUR - Thé noir aromatisé orange', ' Ingrédients : thé noir*', 'arôme', ' CERISE GRIOTTE - Thé noir aromatisé cerise griotte', ' Ingrédients thé noir*', 'arôme', 'cerise griotte ', '2', '4%', ' THÉ OR - Thé noir aromatisé', ' Ingrédients : thé noir de Ceylan*', ' arôme', ' RUSSIAN EARL GREY - Thé noir aromatisé bergamote', ' Ingrédients : thé noir*', 'arôme', ' NATURE Thé vert - Ingrédient : thé vert** ', '100%', ' MANDARINE ORANGE - Thé vert aromatisé mandarine orange', ' Ingrédients : thé vert**', ""arôme naturel d'orange avec autres arômes naturels"", ""écorces d'orange "", '2', '9%', 'écorces de mandarine ', '2', '9%', ' LEMON MELISSA - Thé vert aromatisé citron mélisse', ' Ingrédients : thé vert**', 'mélisse ', '14%', 'écorces de citron ', '5', '6%', 'arôme', ' GOJI BLUEBERRY - Thé vert aromatisé goji myrtille', ' Ingrédients : thé vert**', 'arômes', 'baie de goji ', '2%', 'myrtille ', '296', 'maltodextrine', ' MENTHE INTENSE - Thé vert aromatisé à la menthe', ' Ingrédients : thé vert**', 'menthe ', '27%', 'arôme naturel de menthe', ' PÉTALES DE JASMIN - Thé vert aromatisé jasmin', ' Ingrédients : thé vert**', 'arôme', ' MAROC - Préparation aromatisée pour infusion', ' Ingrédients : cannelle ', '27%', 'chicorée', 'églantier', 'réglisse ', '18%', ""écorces d'orange"", 'arôme', 'menthe ', '2', '5%', ' Contient de la réglisse', "" Les personnes souffrant d'hypertension doivent éviter toute consommation excessive"", ""Composé et conditionné en Europe à partir d'ingrédients d'autres origines"", ' EGLANTIER - Plantes à infusion', ' Ingrédients : églantier ', '60%', 'hibiscus', ' CAMOMILE - Plante à infusion', ' Ingrédient : camomille ', '100%', ' TILLEUL - Plante à infusion', ' Ingrédient : tilleul ', '100%', ' POMME CANNELLE - Préparation aromatisée pour infusion', "" Ingrédients : feuilles d'oranger "", '29%', 'cannelle ', '18%', 'arôme', 'églantier', 'pomme ', '11%', 'hibiscus', 'tilleul', 'chicorée', ' ROOIBOS - Préparation aromatisée pour infusion', ' Ingrédients : rooibos*** ', '93%', 'arôme', 'hibiscus ', '1%', 'canneberge', ' DÉSIR GINGEMBRE - Préparation aromatisée pour infusion', ' Ingrédients : gingembre ', '49%', 'pomme', 'Arôme', 'églantier ', '8', '3%', 'chicorée', ' cannelle', 'réglisse', ""écorces d'orange"", 'écorces de citron ', '1', '8%']",[],,,,,,,,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,83 g,"['Boite', 'wrapper', 'Film']",['Lipton'],,,,,,,4,,,,,Unilever,,,,,
1087,Croissants con mantequilla rellenos de cacao - El Corte Ingles,8433329096614,,,,['France'],[],[],,,,,,,,,?,,420,,1757 kj(420 kcal),,22,,"9,6",,52,,23,,"6,3",,"0,98",,"0,392",,,,,,,,,,,['El Corte Ingles'],,,,,,,,,,,,,,,,,
1088,Bêtises De Cambrai - Afchain,3048460001851,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons français', 'Bêtises de Cambrai']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,['Afchain'],,,,,,,,,,,,,,,,,
1089,Calendrier de l’avent Miraculous,8435477902939,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,61 g,en quantité élevée,,,?,,543,+7%,2272 kj(543 kcal),+6%,30,+2%,19,+9%,62,+10%,61,+18%,6,+1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Baguette - 250g,3760173296897,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,['France'],[],[],3.2 g,en quantité modérée,0.4 g,en faible quantité,3.6 g,en faible quantité,1.5 g,en quantité modérée,?,,280,+9%,1172 kj(280 kcal),+9%,"3,2",+37%,"0,4",-11%,52,+7%,"3,6",+60%,"9,2",+11%,"1,5",+23%,"0,6",+23%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,250 g,,,,,,,,,,4,+31%,C,+31%,,,,,,
1091,Pilau Rice,5020379140461,,,,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"1,9",,"0,3",,28,,1,,3,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Joghurt Vanillekipferl - 150g,4002971037807,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,150 g,['Becher'],,,,,,,,,,,,,,,,,,
1093,Cabillaud au lait de coco,3368953516199,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"2,8",,"1,1",,13,,"1,4",,"5,4",,"0,69",,"0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Onion rings -,5054070479803,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Aliments à base de plantes surgelés', ""Mélanges d'aliments à base de plantes surgelés"", ""Rondelles d'oignon panées""]",['Sans colorants artificiels'],"['France', 'Royaume-Uni']","['Diced Onion ', '53%', 'Breadcrumbs [Wheat Flour', 'Yeast', 'Colours ', 'Curcumin', 'Paprika Extract', ']', 'Wheat Flour', 'Sunflower Oil ', '10%', ' Salt', 'Sugar', 'Gelling Agent ', 'Sodium Alginate']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",11 g,en quantité modérée,1.1 g,en faible quantité,4.5 g,en faible quantité,0.58 g,en quantité modérée,?,,267,+271%,1117 kj(267 kcal),+271%,11,+362%,"1,1",+111%,36,+374%,"4,5",+81%,"4,3",+90%,"0,58",+104%,"0,232",+104%,,,,,,,,,['Bag'],,,,,,['Asda'],"['E100 - Curcumine', 'E160c - Extrait de paprika', 'E401 - Alginate de sodium']",4,3,,C,,,,['Gluten'],,,
1095,Crumble pommes fruits rouges - U Saveurs - 2x 90g,3368953577671,,['Desserts'],,['France'],"['Pommes 58,1%', 'mélange de fruits rouges 15,8% ', 'fraise 2', '6%', 'framboise', 'griotte 2', '6%', 'groseille 2', '6%', 'mûre 2', '6%', 'myrtille sauvage 2', '6%', 'sucre', 'farine de BLE', 'BEURRE', 'huile de tournesol', 'jus de citron concentré', 'épaississant : pectines', 'sel', 'poudres à lever : diphosphates et carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4.2 g,en quantité modérée,2.1 g,en quantité modérée,29 g,en quantité élevée,0.15 g,en faible quantité,802,+9%,190,+7%,802 kj(190 kcal),+9%,"4,2",-38%,"2,1",-42%,36,+52%,29,+58%,"1,1",-65%,"0,15",+13%,"0,06",+13%,,,,,,,,2 x 90 g,['Frais'],"['U Saveurs', 'U']",,,,,['Magasins U'],"['E440 - Pectines', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",4,6,-11%,C,-11%,,,"['Gluten', 'Lait']",,,
1096,Aceite De Oliva Maduro 5L Plastico,8437003890406,,,"['Bio', 'Bio européen', 'ES-ECO-025-NA']",['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,13,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Champignon Blanc 100G,3379140103214,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons blancs']",,['France'],[],[],2.57 g,en faible quantité,0.83 g,en faible quantité,0.2 g,en faible quantité,0.075 g,en faible quantité,?,,209,+410%,874 kj(209 kcal),+450%,"2,57",+229%,"0,83",+416%,"67,7",+3354%,"0,2",-62%,8,+196%,"0,075",-86%,"0,03",-86%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,-7,,A,,,,,,,
1098,Jus de Pruneaux BIO - Auchan Bio - 1L,3596710473090,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pruneaux']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans sucre ajouté', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",['France'],['Jus de pruneau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,?,,81,+12%,339 kj(81 kcal),+12%,"< 0,5",+196%,"< 0,1",+234%,19,+9%,14,+4%,"0,6",+41%,"< 0,01",+14%,"0,004",+14%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,"['Bouteille', 'Verre']",['Auchan Bio'],,,,,,,1,9,+7%,D,+7%,,,,,,
1099,Pâtes M'hammes 2 L'epi D'or,6194003310021,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,9,,0,,25,,1,,25,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Yogur natural de leche de oveja - Coladilla,8437003152306,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,['Coladilla'],,,,,,,,,,,,,,,,,
1101,Foie gras de canard entier à la fleur de sel de Guerande - Le Hameau des Saveurs,3760082244491,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,['France'],[],[],59 g,en quantité élevée,26 g,en quantité élevée,2.5 g,en faible quantité,1.3 g,en quantité modérée,?,,573,+8%,2397 kj(573 kcal),+8%,59,+9%,26,+12%,"3,5",+47%,"2,5",+89%,7,-7%,"1,3",+8%,"0,52",+8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,['Le Hameau des Saveurs'],,,"['FR 46.109.003 CE', 'Fontanes (Lot, France)']",,,,,22,+6%,E,+6%,,,,,,
1102,Lychees in syrup,2200031087034,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Calendrier de l'Avent,8435477903011,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,61 g,en quantité élevée,0.1 g,en faible quantité,?,,542,+7%,2268 kj(542 kcal),+5%,30,+2%,19,+9%,62,+10%,61,+18%,6,+1%,"0,1",-48%,"0,04",-48%,,,,,,,,,,,,,,,,,,26,+4%,E,+4%,,,,,,
1104,Knorr 123 Aide à Rotir Déshydraté - 1kg (1000g),3011360040251,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre']",,['France'],"['Sel', 'sirop de glucose', 'épices et aromates 11% ', 'paprika', 'ail', 'origan', 'romarin', 'oignon', 'graines de CÉLERI', 'laurier', 'clou de girofle', 'exhausteur de goût : glutamate de sodium', 'extrait de levure', 'acidifiant : acide malique', 'poivron rouge', 'huile de tournesol', ""extraits d'épices"", 'maltodextrine', 'colorant : extrait de paprika', 'champignons', 'Peut contenir : gluten', 'lait', 'œuf', 'moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,160,+13%,669 kj(160 kcal),+12%,"3,4",+25%,"1,1",+21%,22,-1%,"3,2",-48%,7,+84%,4,-81%,"1,6",-81%,,,,,,,,1 kg (1000 g),['Wrapper'],['Knorr'],,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique', 'E160c - Extrait de paprika']",4,,,,,Assaisonnement déshydraté pour viandes blanches et volailles,,['Céleri'],,,
1105,Formaggio grattugiato lait thermisé 100% italien 30%MG - U - 100g,3256228101181,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages râpés']",,['France'],"['LAIT thermisé de vache ', 'température inférieure à la pasteurisation', 'sel', 'présure']",[],30 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,1620,+4%,390,+4%,1620 kj(390 kcal),+4%,30,+4%,21,+8%,0,-100%,0,-100%,30,+9%,"1,4",+40%,"0,56",+40%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,100 g,['Frais'],['U'],,,,,['Magasins U'],,3,15,+16%,D,+16%,,,['Lait'],,,
1106,Jambon cuit Supérieur avec couenne,3493600002968,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon avec couenne', 'Jambon cuit avec couenne', 'Jambon supérieur avec couenne']",,['France'],[],[],5.3 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,134,+2%,561 kj(134 kcal),+3%,"5,3",+10%,"2,1",+14%,"0,5",-25%,"0,5",-16%,22,+4%,"1,7",-9%,"0,68",-9%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,5,-29%,C,-29%,,,,,,
1107,Biftek CHARAL,0292471022173,,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,['Charal'],,,"['FR 19.073.002 CE', 'Égletons (Corrèze, France)', 'FR 72.264.005 CE', 'Sablé-sur-Sarthe (Sarthe, France)', 'FR 60.245.003 CE', 'Formerie (Oise, France)', 'FR 48.099.002 CE', 'Monastier-Pin-Moriès (Lozère, France)', 'FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,,,,,,
1108,Infusion Moment calme - Belle France - 32g,3258561050386,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Infusions en sachets', 'Infusions Bonne Nuit']",,['France'],"['tilleul ', '44%', 'verveine ', '37%', 'orange ', '7%', 'camomille matricaire ', '7%', 'mélisse ', '4%', 'lavandin ', '3%']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,32 g,"['Sachet en plastique', 'Etui en carton']",['Belle France'],,,,,,,1,,,,,"Préparation aromatisée pour infusion ""bonne nuit""",,,,,
1109,Piñonate casero - Curro Jimenez,8411128000056,,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"21,73",,"2,47",,"43,96",,"29,36",,"9,54",,"1,5",,"0,6",,,,,,,,,,,['Curro Jimenez'],,,,,,,,,,,,,,,,,
1110,Pruneaux au chocolat - Maison Guinguet,3760052691119,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Pruneau recouvert de chocolat']",,['France'],[],[],10.7 g,en quantité modérée,6.47 g,en quantité élevée,43.3 g,en quantité élevée,0.024 g,en faible quantité,?,,342,+2%,1431 kj(342 kcal),+2%,"10,7",-8%,"6,47",-6%,"55,6",+9%,"43,3",+14%,"2,98",-12%,"0,024",-11%,"0,01",-11%,,,,,,,,,,['Maison Guinguet'],,,,,,,,19,+10%,E,+10%,,,,,,
1111,Sauce poivre,3760257870647,,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,"59,3",,"3,5",,"1,5",,"0,4",,"1,4",,"3,6",,"1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Pâte de fruit bio - U - 240g,3256227742859,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Transformé en France']",['France'],"[""Pâte de fruits à l'abricot : Pulpes de fruits 70% "", 'abricot* 60%', 'pomme* 14%', 'fraise* 5', '7%', 'sucre de canne blanc*', 'sirop de glucose*', 'gélifiant: pectine', 'arôme naturel de citron*', ""arôme naturel d'abricot"", ' Pâte de fruits à la poire: Pulpes de fruits 70% ', 'poire* 37%', 'pomme* 23%', 'abricot* 20%', 'sucre de canne blanc*', 'sirop de glucose*', 'gélifiant: pectine', 'arôme naturel de citron*', 'arôme naturel de poire', ' Pâte de fruits à la fraise: Pulpes de fruits 70% ', 'fraise* 28', '5%', 'abricot* 28', '5%', 'pomme* 22', '8%', 'sucre de canne blanc*', 'sirop de glucose*', 'gélifiant: pectine', 'arôme naturel de citron*', 'arôme naturel de fraise', ' Pâte de fruits à la framboise : Pulpes de fruits 70% ', 'framboise* 34%', 'pomme* 22', '8%', 'abricot* 22', '8%', 'sucre de canne blanc*', 'sirop de glucose*', 'gélifiant: pectine', 'arôme naturel de citron*', 'arôme naturel de framboise', "" * Ingrédients issus de l'agriculture biologique""]",[],0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0.08 g,en faible quantité,1423,+8%,355,+13%,1423 kj(355 kcal),+8%,0,-100%,0,-100%,82,+8%,75,+13%,0,-100%,"0,08",-33%,"0,032",-33%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,240 g,,['U'],,,,,['Magasins U'],['E440 - Pectines'],4,8,-3%,C,-3%,,,,,,
1113,Golden vegetable rice - Morrisons,5010251823469,,,,"['France', 'Royaume-Uni']","['cooked long grain rice ', '82%', ' ', 'water', 'long grain rice', 'red pepper ', '5%', 'carrot ', '4%', 'sweetcorn ', '3%', 'peas ', '2%', 'vegetable oils ', 'ounflower', 'rapeseed', 'yeast extract', 'onion powder', 'sugar', 'colour ', 'curcumin', 'flavouring', 'stabiliser ', 'guar gum', 'salt', 'maltodextrin', 'garlic powder', 'carrot powder', 'spices', ' nutrition per 100g per 1/2 pack ', '125g', ' 619kj typical values as consumed 773kj']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,['Morrisons'],,,,,,"['E100 - Curcumine', 'E412 - Gomme de guar']",4,,,,,,,,,,
1114,Light sweet chilli sauce - Asda,5054781952381,,,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,102,,427 kj(102 kcal),,65,,0,,24,,20,,"0,5",,"0,95",,"0,38",,,,,,,,,,['Bottle'],['Asda'],,,,,,,,,,,,,,,,,
1115,Chorizo chiffonade -  - 100g,8436543751369,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo', 'Chorizo en tranches']",,['France'],[],[],28 g,en quantité élevée,8 g,en quantité élevée,5 g,en quantité modérée,4.5 g,en quantité élevée,?,,349,+6%,1460 kj(349 kcal),+6%,28,+8%,8,-18%,5,+85%,5,+146%,22,-1%,"4,5",+22%,"1,8",+22%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,100 g,,,,,,,,,,22,-1%,E,-1%,,,,,,
1116,"galette de blé noir garnie préparation jambon, champignons. et emmental - auchan - 300g",3254563838403,,"['Snacks', 'Snacks salés']","['Nutriscore', 'Nutriscore C']",['France'],[],[],6.8 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,187,-60%,782 kj(187 kcal),-59%,"6,8",-72%,"3,8",-10%,21,-56%,"0,5",-85%,"9,4",+10%,"1,5",-3%,"0,6",-3%,,,,,,,,300g,"['Barquette', 'Film en plastique']",['Auchan'],['France'],['France'],['56.231.B1'],,['Auchan'],,,11,-10%,D,-10%,,,,,,
1117,Mantecado De Hojaldre,8426446000015,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,26,,10,,44,,42,,7,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Roast beef - Deluxe - 90g,20769895,,"['Viandes', 'Charcuteries', 'Bœuf']",,['France'],"['Rindfleisch', 'Speisesalz', '1% Pfeffer schwarz', 'Dextrose', 'Gewürzextrakte', 'Antioxidationsmittel: Natriumascorbat', ' Konservierungsstoff: Natriumnitrit']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,501,-35%,119,-34%,501 kj(119 kcal),-33%,3,-69%,"1,2",-70%,"1,2",+13%,"0,5",+15%,"21,5",+7%,"2,1",+89%,"0,84",+89%,,,,,,,,90 g,['Kunststoff'],['Deluxe'],,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,11,+110%,D,+110%,,,,,,
1119,Chicken burger,5902767602112,,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"12,1",,"1,7",,"13,5",,"1,1",,11,,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Bloc de foie gras de canard origine france spécial apéritif - Monoprix - 100g,3350033304048,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,['France'],"['foie gras de canard ', 'origine France', ' - eau - Armagnac - sel - sucre - poivre - antioxydant: ascorbate de sodium - conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",51 g,en quantité élevée,19 g,en quantité élevée,0.8 g,en faible quantité,1.2 g,en quantité modérée,2021,-0%,491,+0%,2021 kj(491 kcal),-1%,51,+1%,19,-12%,"1,7",-20%,"0,8",-40%,"6,2",+1%,"1,2",-2%,"0,48",-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,100 g,,['Monoprix'],,,"['EMB 24520F', 'Sarlat-la-Canéda (Dordogne, France)', 'FR 24.520.002 CE', 'Sarlat-la-Canéda (Dordogne, France)']",,['Monoprix'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,21,+3%,E,+3%,,,,,,
1121,Bonito del Norte  Mi-cuit - Ortiz,8411320284902,,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,"6,9",,"1,8",,"0,9",,0,,"26,1",,"1,2",,"0,48",,,,,,,,,,,['Ortiz'],,,,,,,,,,,,,,,,,
1122,Sirop de pêche,20250355,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"0,5",,"0,1",,"80,5",,"77,8",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Miel de Mauka actif,3664492000657,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de manuka']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
