,name,bar_code,eco_score,brand,categories,ingredients_origins,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,markets,allergens,traceability_code,palm_ingredients,manufacturing,generic_name,link,brand_owner
1029,Cordon bleu,2887876026574,D,,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,
1030,Escalopes de veau - 186g,2299049029198,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,186 g,,,,,,,,,,
1031,Viennoiseries,0209501020993,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,steak Agriers Charollais - 220g,2298849027298,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,220 g,,,,,,,,,,
1033,Oeuf au chocolat avec surprise,8436534499348,,,"['Aliments de Pâques', 'Œufs de Pâques']",,['France'],[],,[],,31 g,en quantité élevée,19 g,en quantité élevée,59 g,en quantité élevée,0.2 g,en faible quantité,?,,540,-2%,2259 kj(540 kcal),-2%,31,-8%,19,-5%,60,+12%,59,+13%,5,-25%,"0,2",-1%,"0,08",-1%,26,-0%,E,-0%,,,,,,,,,,,,,,,,,,
1034,boudin blanc aux morilles fraîches,0219059018694,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,
1035,Rognons - 740g,2299761014502,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,740 g,,,,,,,,,,
1036,Boudins blancs aux pommes caramélisées,3445420006404,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,
1037,Badoit,3068320125008,,"['Badoit', 'Evian']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Assortiment de fruits secs et deshydratés,3325350855283,,,,,['France'],[],,[],,,,,,,,,,?,,363,,1519 kj(363 kcal),,"3,87",,"3,09",,"80,5",,"64,3",,"1,1",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,
