,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
536,Fine ratatouille 5 baies & cranberries - Jean Martin,3271511124098,['Jean Martin'],['France'],[],[],?,98,410 kj(98 kcal),"7,5","0,9","5,2",5,"1,3","0,86","0,344",,B,,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,7.5 g,en quantité modérée,0.9 g,en faible quantité,5 g,en quantité modérée,0.86 g,en quantité modérée,,+44%,+47%,+100%,+67%,+1%,+29%,+10%,+21%,+21%,5,+411%,C,+411%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,,,,,,
537,YAG GO ! - Savencia,3451790012532,"['Savencia', 'yag Go!', 'Elle & Vire']",['France'],[],[],?,111,464 kj(111 kcal),"3,3",2,17,"14,5","3,3","0,1","0,04",,,,"['Boissons', 'Produits laitiers', 'Boissons lactées']",,,3.3 g,en quantité modérée,2 g,en quantité modérée,14.5 g,en quantité élevée,0.1 g,en faible quantité,,+61%,+58%,+105%,+104%,+63%,+49%,+14%,-10%,-10%,21,+44%,E,+44%,,,,,,,,,,,['Sans conservateurs'],,,,,,,,
538,Beurvegan demi-sel,3770012292072,,['France'],[],[],?,666,2787 kj(666 kcal),"73,4","54,9","1,4",0,"0,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,
539,Ananas au jus - Boni,5400141128611,['Boni'],['France'],[],[],?,57,238 kj(57 kcal),"0,5",0,13,12,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Colruyt'],,,,,,,,,,,
540,1 dès la naissance - Picot,3551101545343,['Picot'],['France'],[],['Sans huile de palme'],?,511,2138 kj(511 kcal),"26,6","9,8","57,5","42,7","10,4","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,
541,Thé mixte aromatisé fleurs de cerisier - Comptoir français du Thé,3700472530254,['Comptoir français du Thé'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Blaubeer Sirup Kanada / Sirop de myrtille - Mcennedy - 250ml,20771478,['Mcennedy'],"['France', 'Allemagne', 'Slovénie']",[],[],?,346,1448 kj(346 kcal),0,0,"86,5","83,8",0,"0,04","0,016",250 ml,B,"['Glas', 'Steklo']","['Boissons', 'Sirops', 'Sirops aromatisés']",,['Kanada'],,,,,,,,,,+39%,+35%,-100%,-100%,+36%,+37%,-100%,+34%,+34%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Lidl'],,,,,,,,,,,
543,Gae capsule aux essences - Naturactive,3700027699313,['Naturactive'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Natural Energy Drink - Veroni active - 400ml,5906441350276,['Veroni active'],['France'],[],[],?,45,188 kj(45 kcal),"0,5","0,1",11,11,"0,5","0,01","0,004",400 ml,,['bouteille 40 ml'],,,['Pologne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Action'],,,,,,,,,,,
545,Yaourt aux fruits - Carrefour,5400101256088,['Carrefour'],['France'],[],[],?,89,372 kj(89 kcal),"0,8","0,5",17,16,"3,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,
546,Cakes marbrés - Jacquet,3660140888950,['Jacquet'],['France'],[],[],?,426,1782 kj(426 kcal),22,"3,1",51,26,"5,4","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,QUINOA TRICOLORE SEEDS,8719325060362,,['France'],[],"['Végétalien', 'Végétarien']",?,374,1565 kj(374 kcal),"6,1","0,7",64,"3,7","14,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
548,Amaro Montenegro,8000330014458,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Red Lentil pasta - Pedon - 250g,8008703010700,['Pedon'],['France'],['Farine de lentilles rouges'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1410,333,1410 kj(333 kcal),"1,7","0,4","51,6","1,2","24,8","0,002","0,001",250 g,,"['Boîte', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,1.7 g,en faible quantité,0.4 g,en faible quantité,1.2 g,en faible quantité,0.002 g,en faible quantité,+1%,+0%,+1%,-34%,-43%,-17%,-57%,+114%,-99%,-99%,-6,,A,,,,,,,,,,,1,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,
550,Romarin Bio - France - Jardin Bio,3307139936826,['Jardin Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,
551,Cake in the box vanilla,4047008011160,,['France'],[],[],?,335,1402 kj(335 kcal),11,"3,2",51,32,7,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Huile d'olive vierge - Gallo,5601252115938,['Gallo'],['France'],[],[],?,819,3427 kj(819 kcal),91,15,0,0,0,0,0,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges""]",,,91 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-5%,-4%,-5%,+7%,,,,-100%,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,"['Bio', 'Bio européen', 'PT-BIO-02']",,,,,,,,
553,Fromage Frais Strawberry Apricot Raspberry - Tesco,5057545877777,['Tesco'],['France'],[],[],?,78,326 kj(78 kcal),"1,6","1,1","9,5","7,4","6,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
