,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
1646,Grainé de sarrasin,4742824010860,,,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'EE-ÖKO-02']",,,,['France'],[],,[],,?,,338,,"1,9",,"66,3",,"14,1",,,,,,,,,,,,,,,,,,1414 kj(338 kcal),,"0,3",,"0,9",,0,,0,,,,,,,,,,,
1647,Chocolat noir Amandes des Pouilles - Ikalia - 100g,3370077580710,E,,100 g,,['Ikalia'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']","['Végétarien', 'Végétalien', 'en:palm-oil-free']",,,,['France'],[],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,579,+4%,46,+20%,"24,9",-39%,"10,4",+24%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,46 g,en quantité élevée,22.1 g,en quantité élevée,21.4 g,en quantité élevée,0.02 g,en faible quantité,2423 kj(579 kcal),+4%,"22,1",+13%,"21,4",-39%,"0,02",-68%,"0,008",-68%,16,-25%,D,-25%,,,,,,
1648,Pain artisanal aux 5 grains bio et sans gluten,3760296550012,,,,,,,"['Bio', 'Sans gluten']",,,,['France'],[],,[],,?,,284,,"7,5",,"47,4",,0,,,,,,,,,,,,,,,,,,1188 kj(284 kcal),,0,,0,,"3,8",,"1,52",,,,,,,,,,,
1649,Canelones de carne,8433329087957,,,,,,,,,,,['France'],[],,[],,?,,126,,"4,3",,13,,"8,5",,,,,,,,,,,,,,,,,,527 kj(126 kcal),,"1,9",,"2,7",,"0,7",,"0,28",,,,,,,,,,,
1650,Haché de dinde,3760177214705,,,,,,,,,,,['France'],[],,[],,?,,92,,"1,5",,"0,9",,"18,9",,,,,,,,,,,,,,,,,,385 kj(92 kcal),,"0,5",,0,,"1,33",,"0,532",,,,,,,,,,,
1651,Vinaigre De Vin Blanc Noix - Martin Pouret,3165351525071,B,,,,['Martin Pouret'],"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",['Sans conservateurs'],,,,['France'],[],,[],,?,,4,-76%,"0,1",+16%,"0,9",+19%,"0,1",-39%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,0.1 g,en faible quantité,0 g,en faible quantité,0.9 g,en faible quantité,0.01 g,en faible quantité,17 kj(4 kcal),-76%,0,-100%,"0,9",+112%,"0,01",-75%,"0,004",-75%,,,,,,,,,,
1652,Macarons coeur framboise,3368953221475,D,,,,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,['France'],[],,[],,?,,357,-16%,17,-4%,40,-28%,"7,4",-14%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,17 g,en quantité modérée,5.1 g,en quantité élevée,37 g,en quantité élevée,0.11 g,en faible quantité,1494 kj(357 kcal),-16%,"5,1",+13%,37,-26%,"0,11",-23%,"0,044",-23%,17,-3%,D,-3%,,,,,,
1653,Yakitori -  - 175g,3760197637409,E,"Brochettes de poulet mariné et grillé au barbecue, surgelées.",175 g,,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Préparations de viande', 'Volailles', 'Brochettes', 'Poulets', 'Brochettes de viande', 'Plats à la volaille', 'Préparations au poulet', 'Brochettes de volailles', 'Brochettes de poulet', 'Brochettes de poulet Yakitori']",,,,,['France'],"['56% filet de poulet', 'eau', 'sucre', 'sauce soja ', 'eau', 'graine de soja', 'blé', 'sel', 'sirop de glucose', 'sauce mirin ', 'sirop de glucose', 'eau', 'riz gluant', 'alcool', 'riz malté', 'amidon ', 'tapioca', 'pomme de terre', 'amidon modifié de tapioca', 'xylose', 'vinaigre de riz', 'sel', 'fibre de pomme de terre', 'extrait de levure', 'colorant : caramel ammoniacal', 'piment', ' Traces éventuelles de céleri', 'crustacés', 'œufs', 'poissons', 'lait', 'moutarde', 'arachides', 'graines de sésame']","['Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,?,,143,-8%,2,-57%,15,+44%,16,-5%,76.9%,15.4%,4.2%,1.9%,0.9%,0.7%,32,,2 g,en faible quantité,0.7 g,en faible quantité,6.9 g,en quantité modérée,1 g,en quantité modérée,598 kj(143 kcal),-8%,"0,7",-49%,"6,9",+2%,1,-22%,"0,4",-22%,1,-80%,B,-80%,"['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,
1654,Cucumber tonic water,5029212209204,,,,,,,['Arômes naturels'],,,,['France'],"['von spring Tonic Water Concombre :Devon Sprin ater LUSCOMBE ""hew/agland dient Acid Eau de source de Devon', 'sucre de canne cu', 'acide tartrique', 'extrait de concombre', 'arôme naturel ', 'quinine naturel', 'dioxyde de carbone rer T00IIII vuuriuonai ormatioIn 139kJ ']",,[],,?,,33,,"0,2",,"7,8",,0,,,,,,,,,,,,,,,,,,138 kj(33 kcal),,"0,1",,"7,8",,"0,1",,"0,04",,,,,,,,,,,
1655,Light et free - Danone - 4x 120g,3033491557842,,,4 x 120 g,,['Danone'],,,,,,['France'],[],,[],,?,,63,,"1,2",,9,,"3,9",,,,,,,,,,,,,,,,,,264 kj(63 kcal),,"0,8",,8,,"0,14",,"0,056",,,,,,,,,,,
