,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
1636,Miel de fleur,3368049911235,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1637,Brownies caramel,8435201703108,,,['France'],[],[],,,,,,,,,?,,428,,1791 kj(428 kcal),,24,,"2,3",,48,,37,,"4,7",,"0,52",,"0,208",,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Saucisson ail rouge,2641114023882,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['France'],[],[],24.6 g,en quantité élevée,9.4 g,en quantité élevée,1 g,en faible quantité,2.2 g,en quantité élevée,?,,276,+1%,1155 kj(276 kcal),+0%,"24,6",+10%,"9,4",+10%,"1,6",+45%,1,+40%,"11,9",-26%,"2,2",+4%,"0,88",+4%,21,+9%,E,+9%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,"[""Saucisson à l'ail""]",,,,,,,,,,,,,
1639,Gingembre citron - Yogi Tea,59516347,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Yogi Tea'],,,,,,,,,,
1640,Wilhelmina,8710559939356,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1641,Paris brest,0208131036084,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",['France'],[],[],39 g,en quantité élevée,20 g,en quantité élevée,24 g,en quantité élevée,0.38 g,en quantité modérée,?,,520,+49%,2176 kj(520 kcal),+49%,39,+55%,20,+53%,38,+46%,24,+52%,"4,2",-25%,"0,38",+9%,"0,152",+9%,22,+24%,E,+24%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,,,
1642,Amande,2600112024802,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Tuna et sweetcoorn - Marks & Spencer,822290505500055000300,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,"29,2",,"3,7",,"7,8",,0,,0,,"1,95",,"0,78",,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,
1644,Puree De Citron (220 GR),8018699018345,,,['France'],[],[],,,,,,,,,?,,154,,644 kj(154 kcal),,"0,5",,"0,1",,36,,28,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Orange Pressée 100% Fruits,0208723012991,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
