,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
1089,Tarte au citron - Serebis - 300g,3254950009553,,,['France'],[],[],,,,,,,,,?,,430,,1799 kj(430 kcal),,23,,3,,50,,26,,4,,"0,78",,"0,312",,,,,,,,,,,,,,300 g,,['Serebis'],,,,,,,,,,
1090,Roquefort Papillon,2201559020862,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['France'],[],[],32 g,en quantité élevée,,,,,0 g,en faible quantité,?,,?,,,,32,+0%,,,?,,,,?,,0,-100%,0,-100%,,,,,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,['Fabriqué en France'],,,,,,,,,,,,,
1091,Fortt's Original Bath Oliver Biscuits - Jacob's,5000168179780,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,"13,8",,"7,7",,"66,2",,"2,2",,"9,2",,"1,2",,"0,48",,,,,,,,,,,,,,,,"[""Jacob's""]",,,,,,,,,,
1092,Comté,2619022019853,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.86 g,en quantité modérée,?,,418,-0%,1749 kj(418 kcal),-0%,35,+1%,23,+1%,"0,5",+8%,"0,5",+87%,27,+0%,"0,86",+3%,"0,344",+3%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1093,Pan de raisins,2993490001009,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Bemalt - 900g,2190029495531,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,900 g,['Beutel'],,,,,,,,,,,
1095,Morbier aop,0202752028404,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1096,Olivenöl - 250ml,4044628800396,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,250 ml,['Flasche'],,,,,,,,,,,
1097,Ananas,6009173214218,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,11.5 g,en quantité modérée,,,?,,51,-47%,213 kj(51 kcal),-45%,"0,1",-30%,"0,1",+312%,"11,5",-42%,"11,5",-33%,"0,4",-3%,,,,,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,,,,,,,,
1098,Cheddar vintage reserve - Waitrose,5000169525159,,,['France'],[],[],,,,,,,,,?,,416,,1741 kj(416 kcal),,"34,9",,"21,7",,"0,5",,"0,5",,"25,4",,"1,8",,"0,72",,,,,,,,,,,,,,,,['Waitrose'],,,,,['Waitrose'],,,,,
1099,Domaine des Pasquers,3760115020030,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,"Apéritif fruité, fleur de sureau",3435569916221,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Grandes escalopes de dinde - La Nouvelle Agriculture,0213566027484,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],1.2 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,?,,111,-8%,464 kj(111 kcal),-8%,"1,2",-9%,"0,3",-26%,0,-100%,0,-100%,25,+9%,"0,18",-68%,"0,072",-68%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,['La Nouvelle Agriculture'],,,,,,,,,,
1102,BBQ KRAUT - Hengstenberg,0038274545750,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,0,,0,,"11,5",,"9,2",,"1,53",,"1,69",,"0,676",,,,,,,,,,,,,,,,['Hengstenberg'],,,,,,,,,,
1103,SPIRULINA Spirulina Platensis/Source Institute Pasteur - NATURIS CAUSA - 100g,3760216140026,,['en:Herbes'],['France'],['100% Spirulina Platensis'],[],1.3 g,en faible quantité,,,0 g,en faible quantité,,,"1327,1",,314.06,,"1327,1 kj(314 kcal)",,"1,3",,,,0,,0,,"58,8",,?,,?,,,,,,,,,,,,,"['Ecocert', 'en:BOTANICERT', 'en:No OGM']",100 g,['aluminum paper envelope'],['NATURIS CAUSA'],"['ACL: 4110599', 'LOT: L06061072']",,,,['Bio store'],,['France'],['Grasse FRANCE'],http://www.naturiscausa.com,Spiruline naturelle
1104,Calabaza cacahuete,8425328005599,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,CURCUMA - Naturalia,3700036906631,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"13,333",,0,,0,,0,,40,,"0,833",,"0,333",,,,,,,,,,,,,['Bio'],,,['Naturalia'],,,,,,,,,,
1106,Amande effilées - Dr. Oetker,5701073065075,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes effilées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,['Dr. Oetker'],,,,,,,,,,
1107,Poudre de noix de coco,8410564027085,,,['France'],[],[],,,,,,,,,?,,670,,2803 kj(670 kcal),,0,,0,,1,,0,,0,,0,,0,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
1108,Fromage de chèvre - 50g,3303320001564,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,24,,8,,"1,8",,"0,5",,21,,"1,5",,"0,6",,,,,,,,,,,,,,50 g,,,,,,,,,,,,
1109,Peperoncino tritato,8032475001086,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Chocolate bar - Plus,080005341015001,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,12,,4,,34,,23,,25,,"0,85",,"0,34",,,,,,,,,,,,,,,,['Plus'],,,,,,,,,,
1111,"Beer Erdinger Weissbier Dunkel, Dark, 5,3%,",4002103248507,,,['France'],[],[],,,,,,,,,?,,37.3,,156 kj(37 kcal),,0,,0,,"1,6",,"1,6",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Faisselle au lait cru de brebis,3770010932222,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Bananes,2805379005971,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Löslicher Kakao ohne Zucker - 0.2000000029802322g,7613032625177,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,0.2000000029802322 g,['Beutel'],,,,,,,,,,,
1115,Fromage de brebis bio fermier,2036421445883,,,['France'],[],[],,,,,,,,,?,,276,,1155 kj(276 kcal),,"23,2",,17,,0,,0,,"16,56",,"1,69",,"0,676",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1116,Sirop d'érable (Maple syrup),0852537052201,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,88 g,en quantité élevée,17 g,en quantité élevée,?,,350,+28%,1464 kj(350 kcal),+28%,0,-100%,0,-100%,88,+29%,88,+44%,0,-100%,17,+10939%,"6,8",+10939%,24,+82%,E,+82%,,,,,,,,,,,,,,,,,,,,,
1117,Boci epertorta - Nestlé,7613036104999,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,"31,9",,"17,4",,"60,3",,"0,9",,"4,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,
1118,Hoja de parra,5285001400799,,,['France'],[],[],,,,,,,,,?,,83,,347 kj(83 kcal),,2,,0,,"11,8",,"6,3",,"4,2",,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Pommés,0206165026897,,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,13,,"8,8",,31,,16,,"2,7",,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Vinaigre de cidre façon balsamique - Mas Daussan,3700723800679,B,"['Vinaigres', 'Vinaigres de cidre']",['France'],[],[],0.6 g,en faible quantité,0.01 g,en faible quantité,15.1 g,en quantité élevée,,,?,,86,+473%,360 kj(86 kcal),+500%,"0,6",+471%,"0,01",-61%,"15,1",+907%,"15,1",+1911%,"0,5",+240%,,,,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,"['Bio', 'Bio-dynamie', 'Demeter']",,,['Mas Daussan'],,,,,,,,,,
1121,The Italian style one - Marks & Spencer - 320g,29074600,,,['France'],[],[],,,,,,,,,?,,136,,569 kj(136 kcal),,"7,7",,"2,8",,"10,3",,2,,"5,4",,"1,08",,"0,432",,,,,,,,,,,,,,320 g,,['Marks & Spencer'],,,,,,,,,,
1122,Boci túrógombóc,7613036105293,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Sauge,3326251111171,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Sauge']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,,,,,,,,
1124,Pain au chocolat ×5,2011000018979,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,HSUEH HWA NIANG - 16oz,4710012331554,,,['France'],[],[],,,,,,,,,?,,159,,665 kj(159 kcal),,0,,0,,"35,5",,"28,2",,"3,6",,0,,0,,,,,,,,,,,,,['Sans conservateurs'],16 oz,,,,,,,,,,,,
1126,Seitan Thaï,0776239012274,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,6,,"0,6",,14,,"5,3",,"14,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Terrine de pintade au gamay et aux baies roses,3382562810028,,,['France'],[],[],,,,,,,,,?,,298,,1247 kj(298 kcal),,26,,"9,3",,"1,4",,"0,4",,15,,"1,7",,"0,68",,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
1128,Terrine de canard à la syrah et aux figues,3382562860054,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],29 g,en quantité élevée,11 g,en quantité élevée,1.3 g,en faible quantité,1.4 g,en quantité modérée,?,,321,+5%,1343 kj(321 kcal),+5%,29,+10%,11,+16%,"1,6",-7%,"1,3",+110%,13,-8%,"1,4",-8%,"0,56",-8%,20,+12%,E,+12%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
1129,Café cubain,8500000071052,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Aiguillettes de poulet,0212550031162,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Barquette'],,,,,,,,,,,
1131,Frauen - 2g,4250382203551,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,2 g,,,,,,,,,,,,
1132,Escalope de dinde,2614126030902,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Nutriscore'],,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,
1133,"Vin jaune comté, beaufort, gruyère - La Chambre aux Confitures",3700910200428,,,['France'],[],[],,,,,,,,,?,,186,,778 kj(186 kcal),,"0,5",,"0,1",,35,,32,,"0,5",,,,,,,,,,,,,,,,,,,,['La Chambre aux Confitures'],,,,,,,,,,
1134,Orange a jus - Auchan,3254566009749,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,['Auchan'],,,,,
1135,Miel de provence a la truffe noire - 40g,3700662759298,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,,,
1136,4674030000007509,4674030000007509,,,['France'],[],[],,,,,,,,,1521,,359,,1521 kj(359 kcal),,"1,4",,"0,2",,78,,"0,4",,"7,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Cacao pain d'epices - Quai Sud,3662051004047,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,
1138,Pizza Dr Oetker Tomate Mozza,4001724015871,,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,13,,"4,6",,24,,"2,8",,10,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
1139,liqueur de mandarine villa massa - 500ml,8033413430067,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,,,,
1140,Confiture extra - fabrication maison Mirabelle,3760245670310,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Caramels beurre salé,3760088810096,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Bugnes briochées - 250g,3303662001079,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
1143,Vanilla Latte - Starbucks,0762111980205,,,['France'],[],[],,,,,,,,,?,,415,,1736 kj(415 kcal),,"11,2",,"6,2",,67,,61,,13,,"0,5",,"0,2",,,,,,,,,,,,,,,,['Starbucks'],,,,,,,,,,
1144,Filets de poulet - Leader Price,2255977018895,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Volaille-francaise']",,"['Barquette en plastique', 'Film en plastique']",['Leader Price'],,,,,['Leader Price'],,,,,
1145,Pastels de nata,0202180026171,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,GranCacao 100% -  - 100g,8055687130122,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],50.6 g,en quantité élevée,32.3 g,en quantité élevée,2.73 g,en faible quantité,0.03 g,en faible quantité,?,,602,+8%,2519 kj(602 kcal),+9%,"50,6",+28%,"32,3",+40%,"14,9",-61%,"2,73",-91%,"14,1",+84%,"0,03",-36%,"0,012",-36%,12,-43%,D,-43%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,100 g,,,,,,,,,,,,
1147,Pâte à sucre,3700392489090,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,"6,1",,"3,2",,"82,6",,"76,7",,0,,0,,0,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,
1148,Lucques du languedoc,17734,,,['France'],[],[],,,,,,,,,?,,134,,561 kj(134 kcal),,13,,"2,5",,"0,5",,"0,2",,"1,2",,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Aloe Vera Queen,8935270805463,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,10,,"9,5",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Miel pur,6091115000478,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,Terrabusi Alfajor,04213772,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Sanaflor infusiones de tomillo,8412170029439,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Végémilk,8428532192062,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,
1154,Linguacce Alle Olive - 200g,8033300960905,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,200 g,['Plastikbeutel'],,,,,,,,,,,
1155,Stangenspargel,4334011213460,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,,
1156,Lasagnes Casino 500g,07691560,,"['Plats préparés', 'Plats à base de pâtes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,['Casino'],,,,,
1157,Vinho Do Porto Intermares Tinto,5601292171222,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Thé vert,9700110003250,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Olives à la romaine,2609876021195,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,18,,"3,2",,"1,8",,"0,6",,"1,4",,"4,4",,"1,76",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
1160,Saucisses de lapin aux herbes de Provence,2259364042777,,,['France'],[],[],,,,,,,,,?,,156,,653 kj(156 kcal),,"8,3",,"2,7",,"1,4",,"0,7",,19,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Poivre blanc moulu,3560070472512,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres moulus', 'Poivres blancs', 'Poivre blanc moulu']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,
1162,Hering in Pfeffer-Creme,4020500966268,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Konserve'],,,,,,,,,,,
1163,ANASSA exceptional hellenic products - 0.53OZ,5200122780025,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']","['France', 'Grèce', 'Monaco', 'Royaume-Uni']",['Feuilles de verveine citronnelle'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'en:USDA Organic', 'en:GR-BIO-13 GREECE', 'en:ORGANIC CERTIFICATION']",0.53 OZ,['tin box'],['ANASSA exceptional hellenic products'],['011704006'],,,,"['Super U', 'Athens airport GREECE']",,['Grèce'],['GREECE'],http://www.anassaorganics.com,
1164,Café en capsules 02,8437013660013,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,SKYR,3264380079927,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
1166,Kichererbsen,4334011202150,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,
1167,Pur jus de pomme du Roussillon,3760014900143,,,['France'],[],[],,,,,,,,,?,,67,,280 kj(67 kcal),,"0,1",,"0,1",,"16,6",,"16,5",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Graines de tournesol grillé,8697420101954,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,,,,,,,,,
1169,Dekorzucker Stars Gold - 130g,7613295125179,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,130 g,,,,,,,,,,,,
1170,Sauce mox for lamb curry,0833091700067,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,AdiproX advanced - 25g,8032472014799,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,25 g,,,,,,,,,,,,
1172,Miel de france - 500g,3770010372028,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500 g,,,,,,,,,,,,
1173,Ricoré latte - Frico,04363931,,,['France'],[],[],,,,,,,,,?,,26,,109 kj(26 kcal),,"1,3",,"0,8",,"3,1",,"2,3",,"0,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,['Frico'],,,,,,,,,,
1174,Bâtard mais graines de tournesol,3661455100133,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Olive oil spray,00562614,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Ciboulette,3183811058945,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Sel minéral,3273120029535,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
1178,Miel doyon,0068391000078,,,"['Canada', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['flacon plastique'],,,,,,,,,,,
1179,"Brandy Croft 36°,",8410005309060,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Amandes,2600112067373,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",['France'],[],[],49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,,,?,,645,+4%,2699 kj(645 kcal),+4%,"49,9",-4%,"3,8",-9%,"21,5",+79%,"4,2",+1%,"21,1",-5%,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,
1181,ALLGANICS - 330ml,9417566081090,,"['Boissons', 'Thés glacés']",['France'],"['Eau', 'jus de pêche à base de concentré ', '8,6%', 'jus de pomme à base de concentré ', '6,5%', 'sucre de canne', 'thé noir', 'acide citrique ', 'E330', 'vitamine C', 'arôme naturels de pêche']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1 g,en faible quantité,1 g,en quantité modérée,8.9 g,en quantité élevée,0.0025 g,en faible quantité,152,+62%,?,,152 kj(36 kcal),+65%,1,+614%,1,+3688%,9,+71%,"8,9",+77%,1,+580%,"0,002",-91%,"0,001",-91%,12,+64%,E,+64%,,,,,,,,,330 ml,['Verre'],['ALLGANICS'],,['E330 - Acide citrique'],,4,['Carrefour'],,,['Nouvelle Zélande'],,
1182,Extrait d’érable,06648024,,,"['Canada', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Anis etoilé,0623157070100,,,"['Canada', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,
1184,Feuille de riz,0856990000212,,,"['Canada', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
