,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,labels,origin_detail,ingredients_origins,producer_info,allergens,link,palm_ingredients,brand_owner
22,Lardons nature - Produits Blancs - 200g,3560070536610,E,200 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']",['Produits Blancs'],"['Viandes', 'Charcuteries', 'Frais', 'Charcuteries diverses', 'Porc', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc natures', 'Poitrine de porc', 'Charcuteries à cuire']","[""Société Aubret (Filiale Groupe d'aucy) - ZI Route de Maumusson - 44540 Saint-Mars-la-Jaille"", 'Loire-Atlantique', 'Pays de la Loire', 'France']","['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Poitrine de porc 87,5%', 'eau', 'sel', 'conservateurs : lactate de sodium et nitrite de sodium', 'dextrose', 'antioxydant : érythorbate de sodium']","['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,10 g,en quantité élevée,1.1 g,en faible quantité,2.6 g,en quantité élevée,1242,+16%,300,+20%,1242 kj(300 kcal),+16%,26,+24%,10,+29%,"1,4",+61%,"1,1",+50%,14,-12%,"2,6",+4%,"1,04",+4%,22,+12%,E,+12%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,Lardons nature,"['Point Vert', 'Fabriqué en France', 'Eco-Emballages', 'Qualité contrôlée']",,"['Union européenne', 'Viande de porc']",,,,,
23,Crème caramel Sur lit de caramel - Carrefour - 800g (8x 100g[KG],3560070543182,,800 g (8 x 100 g[KG],"['Pot', 'Opercule', 'Etui', 'Carton']",['Carrefour'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert caramel']",,"['FR 47.185.001 CE', 'Montayral (Lot-et-Garonne, France)', 'EMB 47185', 'Montayral (Lot-et-Garonne, France)']",['Carrefour'],['France'],"['Lait entier 63,2%', 'oeufs extra-frais 15,7%', 'sucre', 'caramel 7,6% ', 'sucre', 'eau', 'amidon modifié de pomme de terre', 'épaississants : pectines et gomme xanthane', 'poudre de lait écrémé', 'amidon modifié de pomme de terre', 'arôme', 'épaississant : gomme xanthane', 'Peut contenir des traces de gluten']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E415 - Gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,3.3 g,en quantité modérée,2 g,en quantité modérée,18 g,en quantité élevée,0.15 g,en faible quantité,560,+1%,133,-1%,560 kj(133 kcal),-1%,"3,3",-29%,2,-30%,21,+9%,18,+12%,"4,3",+34%,"0,15",-20%,"0,06",-20%,2,-62%,B,-62%,,,,,,,,Crème caramel.,['Fabriqué en France'],"Cette crème caramel est fabriquée dans le Lot et Garonne (47) avec du lait entier et du lait écrémé en poudre origine France, des œufs extra-frais d'origine Union Européenne et du caramel de diverses origines.",,Fabriqué en France par EMB 47185 pour Interdis.,"['Œufs', 'Lait']",,,
24,Agneau Aux Flageolets - Carrefour - 300,3560070558667,,300,['Barquette'],['Carrefour'],['Agneau aux flageolets'],['France'],['56251'],['Carrefour'],['France'],"['Eau', 'flageolets 31 ,5%', ""viande d'agneau saumurée précuite 25% "", ""viande d'agneau [équivalent viande crue mise en oeuvre : 21 eau"", 'sel', 'stabilisant : triphosphates', 'gélifiant : carraghénanes', 'carottes', 'moutarde ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : sulfite acide de sodium', 'amidon modifié de maïs', 'concentré de tomates', 'vin blanc', 'sel', 'huile de tournesol', 'arômes naturels ', 'contient lait', 'romarin', 'affermissant : chlorure de calcium', "" Viande d'agneau : Origine Union Européenne"", 'Australie et']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']","['Non végétalien', 'Non végétarien']",4,2.4 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en faible quantité,2.49 g,en quantité élevée,?,,91,,381 kj(91 kcal),,"2,4",,"0,8",,"7,6",,"0,7",,"7,9",,"2,489",,"0,996",,7,,C,,,,,,,,,,,,['Union européenne'],,"['Lait', 'Moutarde']",,,
25,Boeuf bourguignon aux pommes de terre - Carrefour - 400g,3560070558759,E,400 g,['Conserve'],['Carrefour'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Plats préparés en conserve', 'Bœufs bourguignons']",['France'],"['EMB 56251E', 'Theix (Morbihan, France)', 'FR 29.269.020 CE', 'Saint-Thurien (Finistère, France)']",['Carrefour'],['France'],"['Pommes de terre 20%', 'viande de boeuf saumurée précuite 20% ', 'viande de boeuf [équivalent viande crue mise en oeuvre : 17%]', ' eau', 'sel', 'stabilisant : triphosphates', 'gélifiant : carraghénanes', 'carottes 18%', 'eau', 'vin rouge 8% ', 'contient sulfites', 'oignons 7%', 'huile de colza', 'amidon modifié de maïs', 'concentré de tomates', 'sel', 'colorant : caramel ordinaire', 'poudre de cacao maigre', 'gélifiants : gomme guar et gomme xanthane', 'arômes naturels ', 'contient : lait', 'sucre', 'poivre', 'conservateur : disulfite de soduim']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",4,8 g,en quantité modérée,2 g,en quantité modérée,4.8 g,en faible quantité,2.7 g,en quantité élevée,?,,264,+175%,1105 kj(264 kcal),+179%,8,+176%,2,+100%,26,+348%,"4,8",+224%,19,+88%,"2,7",+234%,"1,08",+234%,10,,C,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,"['Labels de distributeurs', 'Qualité Carrefour']",,,,"['Lait', 'Anhydride sulfureux et sulfites']",,,
26,"Vinaigrette Nature allégée en matières grasses 19,8% MG - Carrefour discount - 1l",3560070584338,D,1 l,"['Bouteille', 'Plastique']","['Carrefour discount', 'Carrefour']","['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Vinaigrettes allégées en matières grasses']","['Raismes', 'Nord', 'Nord-Pas-de-Calais', 'France']","['EMB 59491', 'Raismes (Nord, France)']",['Carrefour'],['France'],"['Eau', 'huile de colza 20%', ""vinaigres d'alcool et de vin blanc"", 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'sel', 'sucre', 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane', 'colorant : béta-carotène', 'jus de citron concentré', 'arôme', 'poivre blanc']","['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,19.8 g,en quantité modérée,1.26 g,en faible quantité,0.8 g,en faible quantité,1.95 g,en quantité élevée,814,-25%,197,-26%,814 kj(197 kcal),-27%,"19,8",-27%,"1,26",-49%,"2,1",-50%,"0,8",-67%,"1,9",+247%,"1,95",+7%,"0,78",+7%,11,-8%,D,-8%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,Sauce vinaigrette,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Point Vert', 'Eco-Emballages']",,,,['Moutarde'],,,
27,Gnocchi à poêler - Carrefour - 500g,3560070593743,B,500 g,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'en:Gnocchi-a-poeler']",,,['Carrefour'],['France'],"['Eau,flocons de pomme de terre déshydratés 16% [pommes de terre 15', '8%', ""émulsifiant : mono-diglycérides d'acides gras"", 'épices ', 'curcuma', 'extrait de paprika', 'extrait de carotte', 'antioxydant : disulfite de sodium]', 'semoule de blé dur 12%', 'fécule de pomme de terre 4%', 'enrobage:farines de riz', 'sel']","['E160c - Extrait de paprika', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",[],4,0.6 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,140,-20%,586 kj(140 kcal),-20%,"0,6",-69%,"0,4",-28%,30,-9%,"0,5",-62%,3,-35%,"1,3",+10%,"0,52",+10%,3,-24%,C,-24%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,,['Fabriqué en Italie'],,,,,,,
28,Sauce tomate aux légumes - Carrefour - 800g,3560070650187,A,800g,['Bocal'],['Carrefour'],"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate']",['France'],"['EMB 84080B', 'Monteux (Vaucluse, France)']",['Carrefour'],['France'],"['Purée de tomate 63%', 'pulpe de tomate 18,5%', 'oignons 7,5%', 'carottes 4%', 'huile de tournesol', 'sucre', 'sel', 'amidon modifié de pomme de terre', 'vin blanc', ""mélange d'épices et de plantes aromatiques "", 'contient du céleri', 'arôme naturel de basilic', 'acidifiant : acide citrique']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,2.8 g,en faible quantité,0.4 g,en faible quantité,5.8 g,en quantité modérée,0.9 g,en quantité modérée,?,,61,-55%,255 kj(61 kcal),-54%,"2,8",-70%,"0,4",-77%,"5,8",-12%,"5,8",+23%,"1,6",-52%,"0,9",-29%,"0,36",-29%,-4,-179%,A,-179%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,"['France', 'Non indiqué']",,['Céleri'],,,
29,Anchois marinés à l'ail - Carrefour - 150g (105g égoutté),3560070693436,B,150 g (105 g égoutté),"['Plastique', 'Frais']",['Carrefour'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,['Carrefour'],['France'],"[""Filets d'anchois marinés 67 % "", 'anchois', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'huile de tournesol 28 %', 'sauce ail et persil 5 % ', 'ail 2,8 %', 'huile de tournesol', 'persil 0,5 %', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Non végétalien', 'Non végétarien']",3,8.5 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,666,-28%,?,,666 kj(159 kcal),-23%,"8,5",-33%,"1,7",-30%,"0,8",-44%,"< 0,5",+89%,20,-4%,"2,1",-69%,"0,84",-69%,11,-12%,D,-12%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,Filets d'anchois marinés à l'ail,,,['Maroc'],,['Poisson'],,,
30,Huile d'olive vierge extra fruitée - Carrefour - 75cl,3560070698981,C,75 cl,"['Bouteille', 'Verre']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,"['EMB 13214', 'Marseille 14e  Arrondissement (Bouches-du-Rhône, France)']",['Carrefour'],['France'],"[""Huile d'olive vierge extra"", 'de catégorie supérieure', 'obtenue directement des olives et uniquement par procédés mécaniques']",,[],2,91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.01 g,en faible quantité,3378,-4%,822,-4%,3378 kj(822 kcal),-6%,91,-5%,14,0%,0,,0,,"0,5",,"0,01",+19741%,"0,004",+19741%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,Huile d'olive vierge extra. Huile de catégorie supérieure obtenue directement des olives et uniquement par des procédés mécaniques. Origine Espagne.,"['Bio', 'Catégorie “Extra”']",,,"Conditionné en Espagne par Sovena España S.A.U., R.S.I. 162398/SE pour Interdis.",,,,
31,Confiture de reines-claudes -30 % de sucres - Carrefour - 340g,3560070701766,D,340 g,"['Pot', 'Verre', 'Couvercle', 'métal']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de Reine-Claude', 'Confiture de fruits allégée en sucres']",,['EMB 00005'],['Carrefour'],['France'],"['Reines-claudes 50%', 'sucre', 'eau', 'gélifiant : pectines de fruits', 'acidifiants : acide citrique et lactate de calcium', ' Préparée avec 50 g de fruits pour 100 g de produit fini']","['E440 - Pectines', 'E330 - Acide citrique', 'E327 - Lactate de calcium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,0.03 g,en faible quantité,?,,164,-25%,686 kj(164 kcal),-24%,0,-100%,0,-100%,39,-26%,39,-25%,0,-100%,"0,03",+55%,"0,012",+55%,8,-21%,C,-21%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture de reines-claudes allégée,"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Moins 30% de sucre']",,,,,,,
32,Salade américaine au thon - Carrefour discount - 260,3560070704057,,260,['Conserve'],['Carrefour discount'],"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon', 'Salades de légumes']",,"['FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)', 'EMB 85222D', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']","['carrefour market', 'Carrefour']",['France'],"['Mais 20,1%', 'thon 20% ', 'Katsuwonus pelamis ou Thunnus albacares', 'eau', 'petits pois 8,9%', 'poivrons 8,3%', 'oignons 7,6%', 'carottes 6,6%', 'cornichons saumurés 5,7% ', 'cornichon', ""vinaigre d'alcool"", 'sel', 'affermissant : chlorure de calcium', 'huile de colza', ""vinaigre d'alcool"", 'sucre', 'olives noires salées 1%', 'sel', 'persil', 'amidon de riz', 'épaississant : gomme guar']","['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E412 - Gomme de guar']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3 g,en quantité modérée,0.2 g,en faible quantité,5.6 g,en quantité modérée,1.2 g,en quantité modérée,385,-31%,92,-39%,385 kj(92 kcal),-37%,3,-64%,"0,2",-78%,"7,1",-9%,"5,6",+179%,"8,1",+1%,"1,2",+24%,"0,48",+24%,0,-100%,B,-100%,,,,,,,,salade de thon aux légumes,['Fabriqué en France'],,,,['Poisson'],,,
33,Wrap Jambon Chèvre - Carrefour bon app' - 180g,3560070711901,,180 g,,"[""Carrefour bon app'""]","['Sandwichs', 'Wraps']",,,['Carrefour'],['France'],"['Galette de blé aux graines 50% ', 'farine de blé 31 ,5%', 'eau', 'huile de colza', 'graines de lin brun et lin jaune 1,2%', 'poudre à lever : diphosphate disodique et carbonate acide de sodium', 'dextrose', 'acidifiant : acide malique', 'sel', 'jambon cuit choix 16,7% ', 'jambon de porc', 'eau', 'sel', 'dextrose', 'sirop de glucose', 'arômes', 'stabilisants : diphosphates et triphosphate', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'sauce au yaourt et aux herbes ', 'huile de colza', 'eau', 'yaourt 2,9%', ""vinaigre d'alcool"", 'amidon modifié de pomme de terre', 'sucre', ""poudre de jaune d'œuf"", 'sel', 'herbes de Provence ', 'thym', 'romarin', 'marjolaine', 'basilic', ' 0,04%', 'stabilisants : farine de graines de caroube et gomme xanthane', 'conservateur : sorbate de potassium]', 'salade', 'spécialité fromagère fondue au fromage de chèvre râpée 6,7% ', 'fromage de chèvre 3,3%', 'fromages ', 'contient œuf', 'eau', 'beurre', 'amidons modifiés de maïs et de pomme de terre', 'protéines de lait', 'sels de fonte : citrate de sodium et polyphosphates', 'lait écrémé en poudre', 'lactosérum', 'gélifiant : carraghénanes', 'arôme', 'amidon modifié de pomme de terre,']","['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E296 - Acide malique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,10.5 g,en quantité modérée,2.2 g,en quantité modérée,1.8 g,en faible quantité,1.5 g,en quantité modérée,?,,242,+4%,1013 kj(242 kcal),+6%,"10,5",+16%,"2,2",-2%,"26,2",+1%,"1,8",-26%,"9,2",+5%,"1,5",+30%,"0,6",+30%,8,+99%,C,+99%,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'en:fromagère', 'Fromagère']",,,
34,Café moulu doux - Carrefour Bio - 250g,3560070712663,,250 g,['Sachet en plastique'],"['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus', 'Boissons sans sucre ajouté']","['SA MEO', 'FRANCE']","['EMB 59350F', 'Lille (Nord, France)', 'EMB 59368F', 'Madeleine (Nord, France)', 'SA MEO 112', ""QUAI DE L'OUEST BP 19 59008 LILLE CEDEX - FRANCE"", 'EMB 53388F']",['Carrefour'],['France'],['100% arabica'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'Fairtrade International', 'FR-BIO-01', 'Max Havelaar', 'AB Agriculture Biologique']",,,,,,,
35,Japanese Mix - Carrefour - 150g,3560070728596,,150 g,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']",,,['Carrefour'],"['France', 'Espagne']",[],,[],,8.8 g,en quantité modérée,2.4 g,en quantité modérée,12 g,en quantité modérée,1.2 g,en quantité modérée,?,,416,-34%,1741 kj(416 kcal),-34%,"8,8",-83%,"2,4",-48%,71,+438%,12,+178%,11,-44%,"1,2",+1528%,"0,48",+1528%,13,+656%,D,+656%,,,,,,,,,,,,,,,,
36,Pommes de terre façon Rôtissoire - Carrefour - 600g,3560070738014,,600 g,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Préparations à base de pommes de terre']",,"['FR 47.091.015 CE', 'Estillac (Lot-et-Garonne, France)', 'EMB 47091I', 'Estillac (Lot-et-Garonne, France)']",['Carrefour'],['France'],"['Pommes de terre 75%', 'graisse de canard 11%', 'ail en gousses 6%', 'eau', 'huile de tournesol', 'arôme naturel', 'ail en poudre', 'sel', 'dextrose', 'poivre', 'Peut contenir des traces de gluten', 'crustacé', 'œuf', 'poisson', 'soja', 'lait', 'fruits à coque', 'céleri', 'moutarde', 'mollusque et leurs dérivés']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,3.3 g,en quantité modérée,1.7 g,en faible quantité,0.6 g,en quantité modérée,818,-4%,196,-11%,818 kj(196 kcal),-11%,11,+175%,"3,3",+143%,21,-43%,"1,7",-3%,"2,4",-50%,"0,6",-13%,"0,24",-13%,5,+122%,C,+122%,,,,,,,,Pommes de terre préfrites cuisinées à la graisse de canard et accompagnées de gousses d'ail - Surgelé.,['Fabriqué en France'],"Ces pommes de terre façon rôtissoire sont fabriquées en France à partir de pommes de terre d'Union Européenne, de graisse de canard de France et d'ail issu de diverses origines.",,Fabriqué en France par EMB 47091I pour Interdis.,,,,
37,Filets de Maquereaux Espagnols Marinés au Vin Blanc et aux Aromates - Carrefour Discount - 176g,3560070739011,C,176 g,,['Carrefour Discount'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates', 'Maquereaux en conserve']",,,['Carrefour'],['France'],"['Filets de maquereaux espagnols ', 'Scomber japonicus', ' 64,2%', 'eau', ""vinaigre d'alcool"", 'vinaigre de vin blanc 1,7%', 'oignon 1,1%', 'poivron rouge 1,1%', 'carotte 1,1%', 'sel', ""arôme naturel d'oignon"", 'arômes naturels', 'arôme naturel de poivre avec autres arômes naturels', 'arôme naturel de limette avec autres arômes nature!s', 'arôme naturel de girofle']",,"['Non végétalien', 'Non végétarien']",4,4.1 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,?,,98,-42%,410 kj(98 kcal),-41%,"4,1",-64%,"1,2",-58%,0,-100%,0,-100%,15,+1%,1,+9%,"0,4",+9%,1,-60%,B,-60%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,,,,,,
