,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
10,Œuf au chocolat - Hema,8718537941346,,['France'],[],[],?,?,?,?,?,,,,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hema'],,,,,,,,,,,,,,
11,Vanille Jogurt,9740628000007470001209,,['France'],[],[],?,16.6,"3,4","16,6","3,6",69 kj(16 kcal),"2,2","16,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mini Crouton Huile D'olive Sel,8009280003710,,['France'],[],[],?,434,13,65,12,1816 kj(434 kcal),"1,2","5,4","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fraises rondes - Jardin des Papes - 500G,3760058080085,,['France'],['CLERY Origine France'],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jardin des Papes'],500G,,,,,,,,,,,,,
14,Chorizo chiffonnade,8433635000053,,['France'],[],[],?,301,21,"2,1",26,1259 kj(301 kcal),"7,4","1,8","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L’infini Fondant - Lindt,8003340093543,,['France'],[],[],?,626,48,43,"4,4",2619 kj(626 kcal),36,42,"0,18","0,072",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",48 g,en quantité élevée,36 g,en quantité élevée,42 g,en quantité élevée,0.18 g,en faible quantité,,+18%,+19%,+50%,+107%,-18%,-12%,-25%,+18%,+18%,26,+7%,E,+7%,,,,,,,,['Lindt'],,,,,,,,,,,,,,
16,Le Mignon Fumé,2289136069404,,['France'],[],[],?,139,"3,8","0,6",26,582 kj(139 kcal),"1,5","0,6","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Confture de feige,20240516,,['France'],[],[],?,248,"0,3","59,7","0,7",1038 kj(248 kcal),"0,1","57,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Filet mignon de porc,2209255006258,,['France'],[],[],?,128,4,0,23,536 kj(128 kcal),"1,3",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fines Herbes,3256228099648,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Spéculoos,3760243913556,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Moulu ground 100 %Arome,3760033350011,,['France'],[],[],?,1,0,"0,3","0,2",4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jambon en tranches,0245907024470,,['France'],[],[],?,589,"7,1","0,8","16,3",2464 kj(589 kcal),"2,4","0,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Papye cube deshydratee,2600127017516,,['France'],[],[],?,342,0,85,0,1431 kj(342 kcal),0,76,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Steak haché pur boeuf,4056489361961,,['France'],[],[],?,207,15,"0,5",18,866 kj(207 kcal),"6,2","0,5","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
