,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
1628,Brioche,,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Latte uht a lunga conservazione intero,8000212002023,,['France'],[],[],?,65,"3,6","4,9","3,2",272 kj(65 kcal),"2,5","4,9","0,1","0,04",D,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits entiers']",3.6 g,en quantité modérée,2.5 g,en quantité modérée,4.9 g,en faible quantité,0.1 g,en faible quantité,,-2%,-3%,-3%,+5%,+2%,+3%,-3%,-15%,-15%,2,+27%,B,+27%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,
1630,Blanc de poulet,3154230800965,,['France'],[],[],?,106,2,"0,9",21,444 kj(106 kcal),"0,7","0,5","1,5","0,6",,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches']",2 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-2%,-1%,-9%,+7%,-34%,-43%,+4%,-21%,-21%,2,-58%,B,-58%,,,,,,,,,,,,,,,,,,,,,,
1631,Sweetbird,5060175133885,,['France'],[],[],?,308,0,"75,8",0,1289 kj(308 kcal),0,"75,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,Préparation pain du Maroc,3770014816122,,['France'],[],[],?,335,"1,1",69,11,1402 kj(335 kcal),"0,2",1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Glace végétale au café - Picard,3270160739097,,['France'],[],[],?,135,"4,6",20,"1,1",565 kj(135 kcal),"4,1",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,,['Picard'],,,,,,,,
1634,Mignardise Chocolat Fleur de Sel - L'atelier Bernard Marot,3760280490744,,['France'],[],[],?,400,"24,1","38,7","5,6",1674 kj(400 kcal),15,"33,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,
1635,Cocciolette n,8007290130532,,['France'],[],[],?,355,"1,5",71,13,1485 kj(355 kcal),"0,5",3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Fleur de Sel de Guérande - L'atelier Bernard Marot,3760280490614,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'atelier Bernard Marot""]",,,,,,,,,,,,,,
1637,Pesto Marin Sauce Premium,3770004388776,,['France'],[],[],?,162,"15,2","2,8",2,678 kj(162 kcal),"1,1","1,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Aglio salato,8003240211931,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Paupiettes de veau,2672825086002,,['France'],[],[],?,127,"6,4",1,17,531 kj(127 kcal),"2,8","0,5","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Steak haché 100% poulet,3230890050800,,['France'],[],[],?,144,"1,5",0,19,602 kj(144 kcal),"1,5",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,
1641,Foie gras de canard du Sud-Ouest au Jurançon,3461950022264,,['France'],[],[],?,541,55,2,8,2264 kj(541 kcal),23,2,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Amandes,8437012886643,,['France'],[],[],?,626,"56,3","13,8","21,7",2619 kj(626 kcal),"6,3","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,Filet de merlan,3664335050481,"['FR 64.437.042 CE', 'Ostabat-Asme (Pyrénées-Atlantiques, France)']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Opercule en plastique']",,,,,,,,,,,,
1644,Le tisane regolarità con finocchio e prugna,8002355080791,,['France'],[],[],?,1,"0,1","0,1","0,1",4 kj(1 kcal),"0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Sfoglia oro tortelloni ricotta e spnaci,8006515001183,,['France'],[],[],?,201,"6,3",28,"6,8",841 kj(201 kcal),"3,1",2,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Croissants,,,['France'],[],[],?,361,20,37,"7,4",1510 kj(361 kcal),13,"6,3","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,"Sovita Active Trinkgelatine, Pulver",42264163,,['France'],[],[],?,368,0,0,92,1540 kj(368 kcal),0,0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,4 soft grain rolls,00035545,,['France'],[],[],?,254,"5,3","41,2","8,8",1063 kj(254 kcal),"0,7","2,9","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Biscuits à l'avoine noisettes & myrtilles,3760326221042,,['France'],[],[],?,474,"24,1","55,5","6,1",1983 kj(474 kcal),"14,8","22,7","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Jambon de Paris,2619000013019,,['France'],[],[],?,124,"3,7","0,7",22,519 kj(124 kcal),"1,8","0,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Gnocchetti,8033986410138,,['France'],[],[],?,347,1,71,13,1452 kj(347 kcal),"0,2","2,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Shampoing extra doux - Nature moi - 250ml,3286010022042,,['France'],[],[],?,?,?,?,?,,,,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nature moi'],250 ml,,,,,,,,,,,,,
1653,Perrier energize pamplemousse,7613287172396,,['France'],[],[],?,0,0,2,0,0 kj(0 kcal),0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Confiture extra ananas,3546940003048,,['France'],[],[],?,238,"0,1","58,5","0,2",996 kj(238 kcal),"0,002","52,4",19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Chocapic,4620015852690,,['France'],[],[],?,385,"4,6",73,"8,6",1611 kj(385 kcal),"1,3",25,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,
1656,CBD Gummies - Supmedi - 75g,7445923483425,,['France'],"['Glucose syrup', 'sugar', 'gelling agent: pectin', 'acidulant: citric acid', 'acidity regulator: tri potassium citrate', 'natural flavours', 'food colourants ', 'concentrates of carrot', 'safflower', 'spirulina', 'apple and black carrot', 'cannabidiol isolate', 'ascorbic acid ', 'vitamin C', 'glazing agent: carnauba wax']","['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,,,,,,,,,,,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Supmedi'],75g,['Plastic'],"['Végétarien', 'Végétalien']",,['Netherlands'],,,4,,"['E440 - Pectines', 'E330 - Acide citrique', 'E332ii - Citrate tripotassique', 'E300 - Acide ascorbique', 'E903 - Cire de carnauba']",,https://www.supmedi.com/en/product/supmedi-cbd-candy-gummies/,,
1657,3574661527055,3574661527055,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Taboulé,0202945013385,,['France'],[],[],?,108,"3,9",15,"2,9",452 kj(108 kcal),"0,4","1,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Geflugel,4002674242690,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Dessert de fruits,3469676612189,,['France'],[],[],?,112,"0,3","25,7","0,5",469 kj(112 kcal),"0,1","24,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bocal en verre', 'Capsule en métal']",,,,,,,,,,,,
1661,Pur Jus Citron Vert,3289196470157,,['France'],[],[],?,29,"0,1","6,2","0,7",121 kj(29 kcal),0,"1,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
1662,Lait pour nourrissons bio,3760269313088,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Liguine aux petites gambas,3248830000969,,['France'],[],[],?,100,"2,5",13,"5,8",418 kj(100 kcal),"0,3","1,3","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,
1664,Brassé à la poire,3564706657687,,['France'],[],[],?,61,"1,1","8,9","3,9",255 kj(61 kcal),"0,7",8,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Hot paprika,00569163,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Tablette,2010716007215,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Tomato Paste,6210701986518,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Focaccella,8023331047393,,['France'],[],[],?,307,15,8,22,1284 kj(307 kcal),2,1,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Chorizo frais,2235371031355,"['FR 66.172.001 CE', 'Saint-Estève (Pyrénées-Orientales, France)']",['France'],[],[],?,401,37,5,17,1678 kj(401 kcal),16,5,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Rigatoni all’ arrabbiata - Picard - 300g,3270160862153,,['France'],[],[],?,453,"7,8",15,4,1895 kj(453 kcal),"1,9","2,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],300 g,,"['Nutriscore', 'Nutriscore B']",,,['Picard'],,,,,,,,
1671,Latte ad fresco parzialmente scremato arborea,8002724001808,,['France'],[],[],?,47,"1,55","4,9","3,3",197 kj(47 kcal),"1,2","4,9","0,1","0,04",D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",1.55 g,en faible quantité,1.2 g,en faible quantité,4.9 g,en faible quantité,0.1 g,en faible quantité,,0%,+1%,-1%,+19%,+2%,+2%,+2%,-9%,-9%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,,,
1672,Blanquette de veau,3437340070566,,['France'],[],[],?,91,"5,3","4,4",6,381 kj(91 kcal),"3,2","1,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,"Cabillaud, purée lentilles corail et artichauts - Picard - 300g",3270160865819,"['FSC-C129128', 'FR 62.014.001 CE', 'Aire-sur-la-Lys (Pas-de-Calais, France)']",['France'],"['INGRÉDIENTS/ INGREDIËNTENI: FR Filet de cabillaud MSC qualité sans arête* ', 'poisson', ' 22,3%', ""cœur d'artichaut 19,3%"", 'lentille corail cuite 8,9% ', 'eau', 'lentille corail 4%', 'carotte 8,9%', 'eau', 'crème liquide ', 'lait', 'oignon', 'jus de citron à base de concentré ', 'eau', 'jus de citron concentré', 'amande hachée grillée 2,7%', 'beurre ', 'Ìait', 'huile de tournesol', 'câpre fine au vinaigre 2,5% ', 'câpre salée ', 'câpre', 'sel', 'eau', ""vinaigre d'alcool"", 'lait de coco 2,3% ', 'lait de coco', 'protéines de lait', 'purée de citron sucrée 1,8% ', 'citron', 'jus de citron', 'sucre', 'roquette 1,3%', ""huile d'olive vierge extra"", 'ail', 'noisette hachée grillée 0,8%', 'coriandre', 'échalote', 'gingembre', 'amidon de maïs', 'sel', 'cumin', 'persil', 'origan', 'mélange 5 baies', 'poivre blanc', ' *Malgré tout le soin apporté à la préparation de nos poissons qualité sans arête', ""la présence exceptionnelle d'arëte n'est pas exclue"", ' Produit élaboré dans un atelier qui utilise : gluten', 'crustacés', 'œuf', 'soja', 'autres fruits à coques', 'céleri', 'moutarde', 'sésame', 'mollusques NL Kabeljauwfilet MSC graatloze kwaliteit* ', 'vis', ' 22,3%', 'artisjokhart 19,3%', 'gekookte koraallinzen 8,9% ', 'water', 'koraallinzen 4%', 'wortel 8,9%', 'water', 'vloeibare citroensapconcentraat', 'geroosterde gehakte amandel 2,7%', 'boter ', 'melk', 'zonnebloemolie', 'fijne kappertjes met azijn 2,5% ', 'gezouten kappertjes ', 'kappertjes', 'zout', 'water', 'alcoholazijn', 'kokosroom 2,3% ', 'kokosroom', 'melkeiwitten', 'gezoete citroenpuree 1,8% ', 'citroen', 'citroensap', 'suiker', 'rucola 1,3%', 'extra vierge olijfolie', 'look', 'geroosterde gehakte hazelnoot 0,8%', 'koriander', 'sjalot', 'gember', 'maïszetmeel', 'zout', 'komijn', 'peterselie', 'oregano', 'vijfbessenpeper', 'witte peper', ' *Ondanks de zorgvuldigheid waarmee onze graatloze kwaliteitsvis werd bereid', 'kan het zijn dat er toch enkele graten in zitten', ' Product verwerkt in een bedrijf waar de volgende zaken worden gebruikt: gluten', 'schaaldieren', 'ei', 'soja', 'andere noten', 'selderij', 'mosterd', 'sesam', 'weekdieren room ', 'melk', 'citroensap uit concentraat ', 'water', 'FR Purée aux lentilles corail 40%', ""cœurs d'artichauts cuisinés 23,3%"", 'filet de cabillaud MSC 22,3%', 'sauce aux amandes', 'câpres et roquette 13,3%', 'noisette hachée grillée 0,8%', 'persil 0,1%', 'surgelés', ' NL Koraallinzenpuree 40%', 'bereide artisjokharten 23,3%', 'kabeljauwfilet MSC 22,3%', 'saus van amandel', 'kappertjes en rucola 13,3%', 'geroosterde gehakte hazelnoot 0,8%', 'peterselie 0,1 %', 'diepgevroren', ' 1 nortie - Poids net/ Nettogewicht: 300 C']","['Non végétalien', 'Non végétarien']",?,149,11,"4,7","7,4",623 kj(149 kcal),"4,4","1,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],300g,['Etui en carton'],"['Pêche durable', 'Pêche durable MSC']",,,['Picard'],"['Poisson', 'Lait']",4,,,,,,
1674,Abat de veau,0205628022247,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Sultan - Adana Kebap Harci,4260000936402,,['France'],[],[],?,339,5,59,9,1418 kj(339 kcal),"1,3",4,"9,6","3,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Avoca,4311532227053,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Chewing-gum,8720254244006,,['France'],[],[],?,167,0,69,0,699 kj(167 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Jambon à l'ancienne,2470522039624,,['France'],[],[],?,123,"3,1","0,5",23,515 kj(123 kcal),"1,4","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Écureuil noir garni,3700589979052,,['France'],[],[],?,550,37,45,"6,4",2301 kj(550 kcal),22,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Yoghurt from sheepmilk,554056489191506,,['France'],[],[],?,101,"6,7","4,7","5,5",423 kj(101 kcal),5,"4,7","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Floris Kriek,5412186000395,,['France'],[],[],?,?,?,?,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Fresh wrap chevre,3242272953753,,['France'],[],[],?,224,"9,1",27,"6,9",937 kj(224 kcal),"2,5","5,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,
1683,Sushi,3701292627469,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Glace chocolat sauce cacao,3770011298662,,['France'],[],[],?,194,"6,72","30,82","1,53",812 kj(194 kcal),"0,39","25,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Magret canard,3104544073524,,['France'],[],[],?,368,31,"2,3",20,1540 kj(368 kcal),10,1,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,"BLEDILAIT 2ème âge Bag in Box 1,2kg de 6 à 12 mois - Bledina - 1.2kg",3041091477149,,['France'],"['Lactose ', 'LAIT', ' - Huiles végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Lait écrémé ', 'LAIT', ' - Galacto-oligosaccharides ', 'LAIT', ' - Lactosérum déminéralisé ', 'LAIT', ' - Concentré de lactosérum ', 'LAIT', ' - Protéines de lactosérum ', 'LAIT', ' - Fructo-oligosaccharides - Huile de poisson ', 'POISSON', ' - Emulsifiant : Lécithine de soja ', 'SOJA', ' - Chlorure de choline - Taurine - Inositol - Nucléotides - L-Tryptophane - L-Carnitine - Vitamines ', 'A', 'B1', 'B2', 'B3', 'B5', 'B6', 'B8', 'B9', 'B12', 'C', 'D3', 'E', 'K1', ' - Minéraux ', ""sels de calcium et de magnésium de l'acide orthophosphorique"", 'chlorures de potassium et de magnésium', 'citrates de sodium et de potassium', 'sulfates de fer', 'de zinc', 'de cuivre et de manganèse', 'iodure de potassium', 'sélénite de sodium']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1959,468,22,"56,2","9,4",1959 kj(468 kcal),"9,8","55,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bledina', 'Bledilait']",1.2 kg,['Boîte en carton'],,,,,"['Poisson', 'Lait', 'Soja']",4,Lait de suite en poudre.,"['E322i - Lécithine', 'E1001 - Sels et esters de choline']",,,['Huile de palme'],
1687,Banane passion,3168930165101,,['France'],[],[],?,50,0,12,"0,2",209 kj(50 kcal),0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Sorbet fruits rouges et coulis de fraise,3770011298679,,['France'],[],[],?,116,"0,27","27,96","0,48",485 kj(116 kcal),0,"24,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Viande bovine à griller,2477392037132,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Mari caldIGParty gamberi in salamoia,8022813004473,,['France'],[],[],?,66,1,0,14,276 kj(66 kcal),"0,1",0,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Pied de cochon pané,2600477043692,,['France'],[],[],?,176,"10,7","3,3","16,4",736 kj(176 kcal),"3,2","1,1","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Glace vanille sauce caramel,3770011298686,,['France'],[],[],?,153,"5,59","24,56","2,64",640 kj(153 kcal),"0,69","16,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Bloc de foie gras,8436549499012,,['France'],[],[],?,496,52,"1,7","5,3",2075 kj(496 kcal),22,"1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Riz au lait bio caramel au beurre salé,3760293865041,,['France'],[],[],?,144.1,"7,36","25,86",3,603 kj(144 kcal),"5,07","18,36","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,sushi,3760275841810,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,Carpaccio,2434432019299,,['France'],[],[],?,211,15,0,19,883 kj(211 kcal),"2,9",0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Tubetti rigati,8033406265317,,['France'],[],[],?,350,1,73,13,1464 kj(350 kcal),"0,3","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Confirure,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Pois cassés,3155580620029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,Samoussa sauce aigre douce végétarien,3273220073537,,['France'],"['Samoussas ', '90%', ': Eau', 'enrobant 17% [jus de soja""10% ', 'eau', 'graines de soja""', 'farine de riz', 'fécule de pomme de terre', 'farine de mais', 'sel', 'poudres à lever ', 'E450', 'E500', 'ail en poudre', 'dextrose', ""extrait d'épice"", 'épaississant:gomme de xanthane]', 'farine protéique de sojaº 17%', 'oignon', 'carotte', 'poivron rouge', 'farine et gluten de blé 5,7%', 'huile detournesol', 'petit pois', 'sauce soja 2,9% ', 'eau', 'graines de soja""', 'blé', 'sel', 'fibres de soja""', 'épices 1,2% [curcuma', 'curry ', 'moutarde', 'gingembre', 'cumin]', 'blanc d\'ceuf"" en poudre', 'ail', 'coriandre', 'sel', 'menthe', ' Sauce ', '10%', ' : Eau', 'SUcre', ""vinaigre d'alcool"", 'ananas', 'amidon', 'poivron rouge', 'sel', 'huile de tournesol', 'jus concentré de citron', 'curry', 'gingembre', ' ""Soja fililère française', 'garanti sans 0GM', ' CEufs issus de poules élevées en plein air en France', ' Traces éventuelles de lupin', 'céleri', 'lait et amande', ' Produit conditionné sous atmosphère protectrice', ' Mele']",[],?,203,"7,4",17,12,849 kj(203 kcal),"0,8","7,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,"['Gluten', 'Moutarde', 'Soja']",4,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",,,,
1701,Confit de canard,3579260223902,,['France'],[],[],?,1269,23,"0,5",24,5309 kj(1269 kcal),"7,7","0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,Jambon de Paris 2 tranches,0259316017848,,['France'],[],[],?,124,"3,7","0,7",22,519 kj(124 kcal),"1,8","0,7","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Proscuitto Crudo,3375887106624,,['France'],[],[],?,224,12,1,28,937 kj(224 kcal),"4,5",1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Ricotta di bufala Campana D.O.P,8008120751187,,['France'],[],[],?,307,12,"38,5","9,5",1284 kj(307 kcal),"4,3","1,8","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,Pate de campagne,3505870000015,,['France'],[],[],?,1125,30,"1,3",15,4707 kj(1125 kcal),12,"0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Coco 100% vegetal,5038862930031,,['France'],[],[],?,46,"1,3","8,6","0,5",192 kj(46 kcal),"1,1",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,Aiguillettes de poulet,0215537021125,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",['France'],[],[],?,121,"4,1",0,21,506 kj(121 kcal),"0,9",0,"0,79","0,316",D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",4.1 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,0.79 g,en quantité modérée,,-4%,-3%,+122%,+89%,-100%,-100%,-7%,+81%,+81%,-1,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['Nutriscore', 'Nutriscore A', 'Nutriscore C']",,,,,,,,,,,
1708,Sovracosce pollo disossate aromatizzate,8034073850028,,['France'],[],[],?,215,16,"0,8",18,900 kj(215 kcal),"5,6","0,8","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Arachides grillées,3760195980019,"['EMB 59386', 'Marquette-lez-Lille (Nord, France)']",['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Pain complet,0201026009842,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Norma,8008120751194,,['France'],[],[],?,192,"5,6","27,2","6,9",803 kj(192 kcal),"1,6","3,3","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
