,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
1456,Mogette à la tomate,3760005220410,,['France'],[],[],?,95,"9,49","11,8","7,26",397 kj(95 kcal),0,0,"0,15","0,06",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes secs', 'Haricots', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Mogette de Vendée']",,9.49 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-38%,-38%,+795%,-100%,-36%,-100%,-28%,-70%,-70%,-8,,A,,,,,,,,,,,,,,,,,,
1457,Pralines artisanales - 125g,3000000027073,['en:gluten-free'],['France'],[],[],?,?,?,?,?,,,,,,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,Aceitunas Partidas La Masrojana 720G,8420642002453,,['France'],[],[],?,127,17,0,"1,3",531 kj(127 kcal),"2,8",0,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,Bollito Milka Cake and Choc,7622210271310,,['France'],[],[],?,0,21,"56,5","5,4",0 kj(0 kcal),"4,1",31,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Rillettes du mans - Maison Prunier,3350240454604,,['France'],[],[],?,392,36,0,18,1640 kj(392 kcal),14,0,"1,3","0,52",,,['Maison Prunier'],D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",,36 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-3%,-2%,-100%,-100%,+14%,+4%,+4%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,
1461,Escalopes de Dinde,2865525024607,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
1462,Roti de Porc Cuit Sup aux Herbes,0203019015359,,['France'],[],[],?,?,?,?,?,,,,,,,,,E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,,,,,,,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,
1463,Addax bactospray,3595897655749,,"['France', 'Maroc']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,Rhinolaya fort,3700366000580,,"['France', 'Maroc']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Naturally good vegan BBQ burger,7290004339784,,['France'],[],[],?,185,11,12,12,774 kj(185 kcal),1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,Stérimat bébé,10335017,,"['France', 'Maroc']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,Budena,6118001250127,,"['France', 'Maroc']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,Vinagre De Jerez Aop,8437008641584,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,Asda garlic mayonnaise,5054070201671,,"['France', 'Royaume-Uni']",[],[],?,?,?,?,?,,,,,,,,['Asda'],D,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,,,,,,,,,,,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
1470,Tip top squirt cream - nestle,5011546480442,,"['France', 'Royaume-Uni']",[],[],?,?,?,?,?,,,,,,,,['Nestle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,Fiery buffalo sauce,5032457712859,,"['France', 'Royaume-Uni']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,Poudre de coriandre - Terre exotique,3760063326642,,['France'],[],[],?,?,?,?,?,,,,,,,,['Terre exotique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,Hofmaier,4316268469289,,['France'],[],[],?,?,?,?,?,,,,,,,,['Hofmaier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,Tomaten Paprika Streifen - Nowka,4037700078561,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,['Glas'],['Nowka'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'en:Bell peppers', 'Poivrons', 'Poivrons rouges']",,,,,,,,,,,,,,,,,,,,,,,,67.3%,0.0%,0.0%,14.4%,14.9%,3.3%,96,,,,,,,,,,
1475,Hershey's,228113228113,,['France'],[],[],?,?,?,?,?,,,,,,,,"[""Hershey's"", 'Mars', 'Wrigley']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,Mexikanische Gemüseplatte,4334011184395,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Crème dessert - 100g,3770004323173,,['France'],[],[],?,?,?,?,?,,,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Thunfisch Natur real - 150g,4335718169913,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,150 g,"['Stück', 'Dose(n)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Premium Organic Extra Virgin Olive Oil - Goya,0041331011334,"['Bio', 'Bio européen', 'ES-ECO-001-AN']","['France', 'États-Unis']",['Organic extra virgin olive oil'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,800,"93,33",0,0,3347 kj(800 kcal),"13,33",0,0,0,,,['Goya'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,93.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-7%,-7%,-2%,-5%,,,,-100%,-100%,5,-19%,C,-19%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,2,,"Goya Foods, Inc.",,,,,
1480,Limited edition frosted toasted oat cereal with marshmallows,0016000127579,,['France'],[],[],?,40.74,"3,7","81,48","7,41",170 kj(40 kcal),0,"37,04","1,599","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Hébron,8711900012469,,['France'],[],[],?,1,"1,6",14,0,4 kj(1 kcal),"0,6",3,"7,8","3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,Assortiment fleur de Bourgogne,3503967067002,,['France'],[],[],?,484,39,5,28,2025 kj(484 kcal),20,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,Jacquet French Crêpes Plain - 10 CT,0850357004349,,['France'],[],[],?,440,9,81,10,1841 kj(440 kcal),6,39,"2,05","0,82",,,['Jacquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Nonfat yogurt plain,0688267011498,,['France'],[],[],?,47.058823529412,0,"6,471","4,706",197 kj(47 kcal),0,"6,471","0,169","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Chicken of the Sea Tuna Solid White,0048000000989,,['France'],[],[],?,107.14285714286,"0,893",0,"26,786",448 kj(107 kcal),0,,"0,625","0,25",,,['Chicken Of The Sea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,Assaisonnement grillades,3368750001898,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Potatoes - Baby Dutch,0045255118803,,"['France', 'États-Unis']",['Baby dutch yellow potatoes'],[],?,71,0,"15,93","1,77",297 kj(71 kcal),0,"0,88","0,04","0,016",,['mixed plastic-bag'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes']",,0 g,en faible quantité,0 g,en faible quantité,0.88 g,en faible quantité,0.04 g,en faible quantité,,-49%,-48%,-100%,-100%,-39%,-96%,+18%,-85%,-85%,-3,-378%,A,-378%,,,,,,,,,,,,"World Variety Produce, Inc.",,,,,
1488,Grahams cereal,0016000120242,,['France'],[],[],?,40,"2,5",85,5,167 kj(40 kcal),0,30,"1,905","0,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Progresso Vegetable Classics Vegetarian Vegetable with Barley Soup,0041196910742,,"['France', 'États-Unis']","['Water', 'tomato puree ', 'water', 'tomato paste', 'green beans', 'carrots', 'corn', 'tomatoes', 'barley', 'dried potatoes', ' contains less than 2% of: carrot puree', 'corn protein ', 'hydrolyzed', 'dried peas', 'salt', 'wheat flour bleached', 'potassium chloride', 'sugar', 'dried parsley', 'tomato extract', 'natural flavor', 'spice', 'dextrose', 'onion powder', 'garlic powder', 'citric acid', 'sodium citrate', 'calcium chloride', 'yeast extract', 'red wine']",[],?,37,0,"7,85","1,24",155 kj(37 kcal),0,"2,07","0,692","0,277",,,,,"['Plats préparés', 'Soupes']",,0 g,en faible quantité,0 g,en faible quantité,2.07 g,en faible quantité,0.693 g,en quantité modérée,,-35%,-35%,-100%,-100%,+37%,+20%,-44%,-20%,-20%,2,+22%,B,+22%,,,,,,,,,['E330 - Acide citrique'],4,,GENERAL MILLS SALES INC.,['Gluten'],,,,
1490,5609690914373,5609690914373,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Veggies made great blueberry oat muffins,0704863028132,,"['France', 'États-Unis']","['Zucchini', 'egg whites', 'sugar', 'whole eggs', 'blueberries', 'sorghum flour', 'brown rice flour', 'rolled oats ', 'certified gluten free', 'dried blueberries ', 'blueberries', 'sugar', 'sunflower oil', 'corn starch', 'carrots', 'soluble corn fiber', 'canola oil', 'leavening ', 'baking powder', 'flaxseed meal', 'blueberry flakes ', 'blueberries', 'cane sugar', 'natural blueberry flavor', 'salt']",['Non végétalien'],?,193,"3,51","36,84","5,26",808 kj(193 kcal),0,"17,54","0,548","0,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Classic Cooking Inc.,['Œufs'],,,,
1492,Gluten free oatmeal raisin cookies,0810291001910,,"['France', 'États-Unis']","['Butter', 'rice flour', 'oats', 'brown cane sugar', 'cane sugar', 'raisins', 'eggs', 'milk', 'salt', 'baking soda', 'vanilla extract', 'and cinnamon']",['Non végétalien'],?,464,"17,86","67,86","3,57",1941 kj(464 kcal),"10,71","39,29","1,16","0,464",,,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,17.9 g,en quantité modérée,10.7 g,en quantité élevée,39.3 g,en quantité élevée,1.16 g,en quantité modérée,,-2%,-2%,-14%,+6%,+6%,+33%,-45%,+97%,+97%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['E500ii - Carbonate acide de sodium'],3,,TATE'S BAKE SHOP,"['Œufs', 'Lait', 'Avoine']",,,,
1493,Rosenkohl,4005979011749,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Multigrain o's with banana,0060383194703,,['France'],[],[],?,400,"2,5",85,10,1674 kj(400 kcal),0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Sea salt popcorn,0085239047279,['en:gluten-free'],"['France', 'États-Unis']","['Organic popcorn', 'organic vegetable oil ', 'sunflower seed', 'safflower and/or canola', 'sea salt']",[],?,429,"17,86","78,57","7,14",1795 kj(429 kcal),"1,79",0,"0,982","0,393",,,,,['Snacks'],,17.9 g,en quantité modérée,1.79 g,en quantité modérée,0 g,en faible quantité,0.983 g,en quantité modérée,,-5%,-5%,-15%,-80%,+40%,-100%,+14%,+87%,+87%,1,-94%,B,-94%,,,,,,,,,,3,,GOOD & GATHER,,,,,
1496,Veggie Chips - Gold Emblem Abound,0050428250068,,['France'],[],[],?,560,24,4,4,2343 kj(560 kcal),2,4,"9,6","3,84",,,['Gold Emblem Abound'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Tomme Brebis - Monoprix,0200012024661,,['France'],[],[],?,377,31,"2,6",22,1577 kj(377 kcal),21,"0,5","2,1","0,84",,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,
1498,Pema,4000358051804,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['France'],[],[],?,?,?,?,?,,,,,,,,['Pema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Special K classic - kellogg-s,8690504271680,,['France'],[],[],?,378,"1,4",80,9,1582 kj(378 kcal),"0,2",18,"0,82","0,328",,,['Kellogg-s'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,1.4 g,en faible quantité,0.2 g,en faible quantité,18 g,en quantité élevée,0.82 g,en quantité modérée,,-5%,-5%,-84%,-91%,+20%,+8%,-4%,+130%,+130%,5,-7%,C,-7%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,,,
1500,Château Lescure. Grand vin de Bordeaux 2015,3760022570451,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Tamarind Puree,9556092280505,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Roblochon de savoie -,0200444043759,,['France'],[],[],1238,299,25,?,18,1238 kj(299 kcal),20,,"1,4","0,56",,,,,,"['FR 74.303.050 CE', 'Villaz (Haute-Savoie, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Biskotten - Bella,24014861,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,['Bella'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Brotbackmischung,24626071,,"['Autriche', 'France']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Cuisses de poulet jaune - Ronsard,3276722981164,,['France'],[],[],?,?,?,?,?,,,,,,,,['Ronsard'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
1506,Noix demi arlequin,3460424444649,,['France'],[],[],?,674,"65,4","12,5","16,2",2820 kj(674 kcal),"6,4","3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Poitrine de porc réunionnaise fumée,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Pommes Royal gala,3700737500145,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Pâté sur Fondue de poireaux,3428390011555,,['France'],[],[],?,282,"24,7","2,1","12,84",1180 kj(282 kcal),"8,9","0,5","1,16","0,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Manchons de canard aux haricots lingots,3113010131873,,['France'],[],[],?,147,"6,9","5,6",14,615 kj(147 kcal),"2,4","0,5","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Saucisson à cuire aux volets et cepes,0214617036080,,['France'],[],[],?,242,"18,6","2,1","16,5",1013 kj(242 kcal),"7,3",1,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Mélange vitalité,2609933053794,,['France'],[],[],?,328,"2,4","67,8","4,2",1372 kj(328 kcal),"0,3","59,4","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Pâté de nos campagnes,3428390011128,,['France'],[],[],?,345,"32,1","0,6","13,4",1443 kj(345 kcal),"11,2","0,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,Pâté sur son lit d'Oignons,3428390011302,,['France'],[],[],?,412,"36,4","9,5","10,5",1724 kj(412 kcal),"10,4","6,9","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Nonnettes au miel - Apidis,23062021,,['France'],[],[],?,345,"2,2",77,"4,4",1443 kj(345 kcal),"0,5",45,"0,47","0,188",,,['Apidis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Pâté à l'Ortie,3428390011265,,['France'],[],[],?,300,"25,4","2,8","15,4",1255 kj(300 kcal),"8,9","0,8","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Pomme cripps pink pink ladie,0205834016665,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Pâté au foie de Volaille,3428390011135,,['France'],[],[],?,374,"35,1","1,2","13,4",1565 kj(374 kcal),"11,9","0,6","1,76","0,704",,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,35.1 g,en quantité élevée,11.9 g,en quantité élevée,0.6 g,en faible quantité,1.76 g,en quantité élevée,,+27%,+29%,+43%,+29%,-31%,-23%,-11%,-10%,-10%,21,+12%,E,+12%,,,,,,,,,,,,,,,,,
1519,Habanero hot sauce - 5oz,0851769007171,,['France'],[],[],?,100,10,0,0,418 kj(100 kcal),0,0,1,"0,4",5 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Thai lemongrass chicken,8850554646450,['Sans conservateurs'],['France'],[],[],?,0,0,4,0,0 kj(0 kcal),0,4,38,"15,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Tri protein,3525722011471,,['France'],[],[],?,373,"3,54","4,89","79,24",1561 kj(373 kcal),"2,52","2,72","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Pâté aux Noisettes,3428390011562,,['France'],[],[],?,356,"34,2","0,5","13,7",1490 kj(356 kcal),"11,1","0,5","1,1","0,44",,,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,34.2 g,en quantité élevée,11.1 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,+21%,+23%,+40%,+20%,-71%,-36%,-9%,-44%,-44%,18,-4%,D,-4%,,,,,,,,,,,,,,,,,
1523,Ail - Bio Village - 50g,3564707138802,['Bio'],['France'],[],[],?,119,"0,5",22,"5,2",498 kj(119 kcal),"0,2","1,2",,,50 g,,"['Bio Village', 'Marque Repère']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,
1524,Bananinha Cremosa Paraibuna 36G,7896885500109,,['France'],[],[],?,440,0,60,4,1841 kj(440 kcal),0,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,"Terrine Végétale Lentilles, Épeautre et Cumin",3428390011784,,['France'],[],[],?,175.9,"10,5","13,8","4,8",736 kj(175 kcal),"1,49","0,7","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,"Terrine Végétale Lentilles, Tomate séchée et Piment d'Espelette",3428390011791,,['France'],[],[],?,176.6,10,"13,7","6,1",739 kj(176 kcal),"1,43","2,5","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Mélange de légumineuses soupe méditerranéenne - Moulin des moines,3347430022323,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],?,372,"7,01","43,13","23,47",1556 kj(372 kcal),"0,51","0,82",,,,,['Moulin des moines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Sardines à l'huile d'arachide - Jacques Gonidec,3365620210114,,['France'],[],[],?,389,35,"0,4","18,2",1628 kj(389 kcal),"5,6","0,2","1,35","0,54",,,"['Jacques Gonidec', ""Les Mouettes d'Arvor""]",,"[""Sardines à l'huile d'arachide""]","['FR 29.039.512 CE', 'Concarneau (Finistère, France)']",35 g,en quantité élevée,5.6 g,en quantité élevée,0.2 g,en faible quantité,1.35 g,en quantité modérée,,,,,,,,,,,14,,D,,,,,,,,,,,,,,,,,,
1529,Caramelos duros de café sin azúcar y sin gluten,8433329087704,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Tartinade Asperge Verte et Citron,3428390011630,,['France'],[],[],?,62,"4,2",3,"3,1",259 kj(62 kcal),"0,7","1,3","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Tartinade Tomate et ail des Ours,3428390011616,,['France'],[],[],?,196,"15,2","12,6","2,2",820 kj(196 kcal),"1,7",4,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Tartinade Tomate séchée et cantal,3428390011623,,['France'],[],[],?,225,16,"12,8","7,4",941 kj(225 kcal),5,"7,7","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Saucisse seche pur porc - Louis Auvergne,2688491030041,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",['France'],[],[],?,430,"33,5","6,7","25,4",1799 kj(430 kcal),"14,1","2,63","4,47","1,788",,,['Louis Auvergne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Tartinade Tomate et Olives Noires,3428390011609,,['France'],[],[],?,151,"8,3","15,1","3,9",632 kj(151 kcal),"3,1","7,9","1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Tartinade Carotte et Curry,3428390011593,,['France'],[],[],?,129,"10,3","8,2","0,9",540 kj(129 kcal),"1,7",4,"0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Escalope de Dinde - Loué,0217714028477,,['France'],[],[],?,109,"0,5","0,1",26,456 kj(109 kcal),"0,12","0,03",,,,,['Loué'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",0.5 g,en faible quantité,0.12 g,en faible quantité,0.03 g,en faible quantité,,,,-10%,-10%,-62%,-70%,-97%,-96%,+14%,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
1537,Crepes nature fabrication maison - Leclerc,2020002697341,,['France'],[],[],?,269,12,34,"5,9",1125 kj(269 kcal),"7,4",14,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Escalope de dinde,2800000012007,,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
1539,Tartinade Courgette et fromage de chèvre,3428390011579,,['France'],[],[],?,82,"4,7","4,5","5,3",343 kj(82 kcal),"3,4","1,9","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Pomme de table - 2kg,3000029047144,,['France'],[],[],?,?,?,?,?,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Juice Junkie - Brussels Beer Project - 33cl,5411283000215,['Déconseillé aux femmes enceintes'],['France'],"['Eau', "" Malt d'orge : Pilsner"", 'oat flakes', 'malted wheat', ' Houblons : hall', 'magnum', 'citra', 'mosaic', 'simcoe', ' Levure : S33']",[],?,?,?,?,?,,,,,,33 cl,"['Bouteille', 'Verre']",['Brussels Beer Project'],B,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières belges', 'Bières artisanales', 'Bières blondes', 'New England India Pale Ale']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,['Gluten'],['Belgique'],,,
1542,Taboulé André loussouarn,3449480007838,,['France'],[],[],?,227,"7,1","35,4","5,2",950 kj(227 kcal),"0,9","7,5","1,92","0,768",,,['André Loussouarn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
