,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
1492,Côtes de Thau -,3250392612566,,,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Poppies Pocket Wafer 54X36G,5411823603005,['Poppies'],,['France'],[],[],?,499,2088 kj(499 kcal),24,16,64,34,"6,2","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Brioche Nature 300G - Surgeles - 300g,8888003041211,,,['France'],[],[],?,274,1146 kj(274 kcal),"0,9","0,5","58,3","10,2",7,"0,064","0,026",,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Pz mini penne 5kg - Panzani - 5000g,3038359002434,['Panzani'],,['France'],"['100% semoule de BLE dur de qualité supérieure', "" Peut contenir des traces d'œufs"", ' Contient du GLUTEN']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1548,365,1548 kj(365 kcal),2,"0,4",72,"3,7",13,"0,01","0,004",Pâtes alimentaires de qualité supérieure,5000 g,['Sac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],,,,,,
1496,Wok Mix -  - 230g,5411361009369,,,"['France', 'Luxembourg']",[],[],?,31,130 kj(31 kcal),"0,3","0,1","4,1","3,5","1,8",,,,230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,triple-sec - 20g,3560070760077,,,['France'],[],[],?,?,,?,,?,,?,,,,20 g,['Bouteille'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,ALRIFAI - 450g,5281026500650,,,['France'],[],[],?,552,2310 kj(552 kcal),36,18,34,6,22,"0,9","0,36",,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,8 cannelés de Bordeaux,3760120535437,,,['France'],[],[],?,292,1222 kj(292 kcal),"3,1","0,8",60,43,"5,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 33448', ""Saint-Médard-d'Eyrans (Gironde, France)""]",,,,
1500,Rieg. sch. bonshom / Per. noel250g,4013900975510,,,['France'],[],[],?,545,2280 kj(545 kcal),32,20,57,57,"5,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Marjolaine -  - 25g,7610849716531,,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,25 g,['Gewürze'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Gélifiés avec biotine,0029537589208,,['en:gluten-free'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Choco tendresse,3367279990225,,,['France'],[],[],?,429,1795 kj(429 kcal),12,12,58,52,"4,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Choco Dinos -,5400265037394,,['Fabriqué en Allemagne'],['France'],"['Sucre', 'lait entier en poudre sucre', 'beurre de cacao', 'pâte de cacao', 'sucre de lait', 'lactosérum en poudre ', 'contient du lait', ' ', 'contient du lait', 'émulsifiant : lécithine de tournesol', 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,546,2284 kj(546 kcal),32,20,58,56,6,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,['E322i - Lécithine'],['Lait'],,,,,,
1505,Croutons à l'ail - Ametller Origen,8436551866659,['Ametller Origen'],,['France'],[],[],?,494,2067 kj(494 kcal),24,"2,2",58,"3,9",10,"2,5",1,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,24 g,en quantité élevée,2.2 g,en quantité modérée,3.9 g,en faible quantité,2.5 g,en quantité élevée,,+4%,+4%,+17%,-27%,-1%,+6%,+6%,+28%,+28%,18,+23%,D,+23%,D,,,,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,
1506,Blended Whisky Westerly - 70cl,3560071086855,"['Westerly', 'Carrefour']",,"['France', 'Italie', 'Espagne']",[],[],?,?,,?,,?,,?,,,Blended Whisky,70 cl,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,,,,,,,,,,,,,,,C,,['Carrefour'],,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,"['EMB 14400', 'Manoir (Calvados, France)']",,,Embouteillé en France par EMB 14400 pour Interdis -TSA 91431,
1507,Compote Fruit me up - Andros,3608580867982,['Andros'],,['France'],[],[],?,47,197 kj(47 kcal),"0,2",0,"9,7","9,7","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Yerba mate - Piporé - 1000g,7793750000019,['Piporé'],,"['Argentine', 'France', 'Espagne', 'Suisse']",[],[],?,40,167 kj(40 kcal),0,0,0,0,1,0,0,,1000 g,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'es:Yerba mate']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+471%,+596%,-100%,-100%,-100%,-100%,+462%,-100%,-100%,,,,,B,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
1509,Haricots verts - La Sélection des Comptoirs,3760239181327,['La Sélection des Comptoirs'],['Bio'],['France'],[],[],?,24,100 kj(24 kcal),"0,5","0,1","2,4","1,8","1,4","0,8","0,32",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",,0.5 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.8 g,en quantité modérée,,0%,+1%,+99%,+83%,-10%,+134%,-5%,+20%,+20%,-2,,A,,B,,,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,,,,,
1510,Salade Niçoise - Soulié Restauration - 220g,3299512015245,['Soulié Restauration'],,['France'],[],[],?,127,531 kj(127 kcal),"5,5","0,5","11,9","1,5","6,6","0,8","0,32",,220 g,,"['Plats préparés', 'Salades', 'Salades composées', 'Salades nicoises']",,5.5 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en faible quantité,0.8 g,en quantité modérée,,+46%,+42%,+27%,-1%,+110%,+12%,+0%,-23%,-23%,0,,B,,,,,,,,,,,,,,,,"['FR 12.202.001 CE', 'Rodez (Aveyron, France)']",,,,
1511,Foie gras,3513261210028,,,['France'],[],[],?,466,1950 kj(466 kcal),47,21,"2,7","1,6","2,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,Mini fripon chocolat,0204178015099,,,['France'],[],[],?,556,2326 kj(556 kcal),30,14,61,27,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Spinach Ricotta Totelloni - Sainsbury's,00336789,"[""Sainsbury's""]",,"['France', 'Royaume-Uni']","['fresh egg pasta ', 'durum wheat semolina', 'pasteurised egg ', '12%', 'water', 'ricotta cheese ', ""cows' milk"", ' ', '14%', 'spinach ', '11%', 'medium fat hard cheese ', ""cows' milk"", 'lysozyme ', 'egg', 'potato flakes', 'butter ', ""cows' milk"", 'vegetable fibre', 'breadcrumbs ', 'wheat flour', 'yeast', 'salt', 'whey powder ', ""cows' milk"", 'parsley', 'nutmeg', 'black pepper']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,181,757 kj(181 kcal),"5,7","3,6","24,8","0,9","6,5","0,83","0,332",,,['ps-tray'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes aux œufs', 'Pâtes fraîches', 'Pates farcies aux légumes', 'Pâtes fraîches aux œufs', 'Pâtes fraîches farcies aux légumes', 'Pâtes farcies au fromage', 'Tortellini', 'Pâtes fraîches farcies au fromage et aux légumes', 'Pâtes fraîches au fromage', 'Tortelloni', 'Tortellini ricotta & épinards']",,5.7 g,en quantité modérée,3.6 g,en quantité modérée,0.9 g,en faible quantité,0.83 g,en quantité modérée,,-26%,-26%,+13%,+107%,-35%,-49%,-27%,+20%,+20%,4,+119%,C,+119%,C,,,4,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,['E1105 - Lysozyme'],"['Œufs', 'Gluten', 'Lait']",,,,,,
1514,Arachides émondées salées - Sans nom,0060383014865,"['Sans nom', 'No Name']","['Sans arômes artificiels', 'Sans colorants']",['France'],[],[],?,580,2427 kj(580 kcal),48,10,25,"4,5",25,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Raisins golden -,3191220006211,,,['France'],[],[],?,226,946 kj(226 kcal),0,0,52,52,"2,8",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",,0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,,-28%,-28%,-100%,-100%,-28%,-17%,-1%,-100%,-100%,6,+7%,C,+7%,D,,,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,"['EMB 13213F', 'Marseille 13e  Arrondissement (Bouches-du-Rhône, France)']",,,,
1516,Delice aux grattons de canard confis - Maison Occitane,3443705057738,['Maison Occitane'],"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,203,849 kj(203 kcal),17,"6,1","0,6","0,6",12,"1,8","0,72",,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Grattons', 'Grattons de canard']",,17 g,en quantité modérée,6.1 g,en quantité élevée,0.6 g,en faible quantité,1.8 g,en quantité élevée,,-39%,-39%,-37%,-36%,-71%,+126%,-23%,+18%,+18%,15,-13%,D,-13%,,,,,,,,,,,,,,,,,,,
1517,Vendome Masemoiselle,5425030340936,,,['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,2","5,2",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Pâte d'amandes tricolore,3760093155953,,,['France'],[],[],?,454,1900 kj(454 kcal),13,1,77,71,"5,6","0,01","0,004",,,,"['Massepain', ""Pâtes d'amande""]",,13 g,en quantité modérée,1 g,en faible quantité,71 g,en quantité élevée,0.01 g,en faible quantité,,+3%,+3%,-22%,-44%,+18%,+17%,-10%,-74%,-74%,15,-3%,D,-3%,E,,,,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,,
1519,Divella Canneroni Rigati 1KG - 1kg,8005121010213,['Divella'],,['France'],[],[],?,355,1485 kj(355 kcal),"1,7","0,9",72,"3,9",13,0,0,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Colorant alimentaire vert liquide - 20ml,7610597023967,,,"['France', 'Suisse']","['Eau', 'colorant: E161b', 'conservateur: E202']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),?,,?,,?,,,,20 ml,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,4,,,,,,,,"['E161b - Lutéine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,
1521,Mayonnaise - Colona,5410803510722,['Colona'],,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,,,,,,,,,,,,,,,,,,,,D,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
1522,Saumon fumé le savoureux de Norvège - Labeyrie - 150g (130g+20g gratuit),3033610070764,['Labeyrie'],"['Aquaculture responsable', 'Aquaculture responsable ASC']",['France'],"['Saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,198,828 kj(198 kcal),12,"2,5","0,6","0,6",22,"2,9","1,16",,150 g (130g+20g gratuit),['Sous vide'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,,+4%,+4%,+8%,+16%,+21%,+69%,-0%,+0%,+0%,14,+4%,D,+4%,D,,,3,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['Norvège'],,,
1523,Spiruline Bio - Jolivia - 500gr,3760192460149,['Jolivia'],['Bio'],['France'],[],[],?,388,1623 kj(388 kcal),"7,72","2,65","20,3","3,1","57,5","2,62","1,048",,500gr,,"['Compléments alimentaires', 'Spiruline']",,7.72 g,en quantité modérée,2.65 g,en quantité modérée,3.1 g,en faible quantité,2.62 g,en quantité élevée,,+55%,+53%,+111%,+107%,+97%,+345%,+16%,+128%,+128%,16,+227%,D,+227%,E,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,
1524,Saumon fumé de Norvège - Carrefour,3560071190934,['Carrefour'],['Fabriqué en France'],['France'],[],[],?,241,1008 kj(241 kcal),17,"2,5","0,1","0,1",23,"2,2","0,88",,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,17 g,en quantité modérée,2.5 g,en quantité modérée,0.1 g,en faible quantité,2.2 g,en quantité élevée,,+30%,+30%,+62%,+21%,-80%,-70%,+4%,-22%,-22%,14,+7%,D,+7%,E,,['Carrefour'],,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,"['EMB 43074A', 'Cohade (Haute-Loire, France)', 'FR 43.074.001 CE', 'Cohade (Haute-Loire, France)']",,,,
1525,Concentré de tomates  bio - NaturéO - 200g,3701091789016,['NaturéO'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,112,469 kj(112 kcal),"0,5","0,1","19,2",11,"5,3","0,2","0,08",,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.2 g,en faible quantité,,+20%,+21%,-21%,-18%,+25%,-21%,+18%,-75%,-75%,-5,,A,,B,,,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,,,,
1526,Crumble aux Pommes - 400g,27080658,,['Fabriqué en Belgique'],['France'],[],[],?,171,715 kj(171 kcal),"5,6","1,5",27,17,"1,7","0,11","0,044",,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Sauce Pimentee Mangue Citron Lobo,8850030003111,,,['France'],[],[],?,710,2971 kj(710 kcal),"0,1",0,"46,4","42,8","0,2","7,43","2,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Munchies Cheese Fix - Doritos,0028400023573,['Doritos'],,['France'],"['Maïs', 'huile végétale ', 'maïs', 'soja', 'et/ou tournesol', 'sel cheedar', 'maltodextrine', 'farine de blé', 'lactosérum', 'glutamate de monosodium', 'babeurre', 'fromage romano', 'protéines de lait', 'oignon en poudre', 'huile de soja', 'et de coton partiellement hydrogénéés', 'farine de maïs', 'phosphate de sodium', 'lactose', 'arôme naturels et artificiels', 'dextrose', 'poudre de tomate', 'épices', 'acides lactiques', 'colorants artificiels : E110', 'E102', 'E129', 'acide citrique', 'sucre', 'ail en poudre', 'poivron rouge', 'et vert en poudre', 'caseinate de sodium', 'inosinate disodique', 'guanylate disodique', 'lait en poudre écrémé', 'sirop de maïs']",['Non végétalien'],?,560,2343 kj(560 kcal),28,4,4,4,8,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E110 - Jaune orangé S', 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E330 - Acide citrique', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']","['Gluten', 'Lait', 'Soja']",,,,,,
1529,Gemischte Brötchen - Korn Mühle - 540g,4316268588867,['Korn Mühle'],,"['France', 'Allemagne']",[],[],?,261,1092 kj(261 kcal),3,"0,6","47,6",3,"8,6","1,2","0,48",,540 g,['Tüte'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Buns (petits pains)']",,3 g,en quantité modérée,0.6 g,en faible quantité,3 g,en faible quantité,1.2 g,en quantité modérée,,-1%,+1%,-38%,-25%,+7%,-21%,-5%,+8%,+8%,3,+24%,C,+24%,,,,,,,,,,,,,,,,,,,
1530,Latte microfiltrato intero biologico,8002011001061,,['Bio'],['France'],[],[],?,65,272 kj(65 kcal),"3,6","2,6","4,8","4,8","3,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Rillettes de thon blanc - Fleurons de Lomagne - 90g,3700428481425,['Fleurons de Lomagne'],,['France'],[],[],?,232,971 kj(232 kcal),"18,3","1,8","1,3","0,3","15,7","1,1","0,44",,90 g,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon', 'en:preparations-made-from-fish-meat']",,18.3 g,en quantité modérée,1.8 g,en quantité modérée,0.3 g,en faible quantité,1.1 g,en quantité modérée,,+9%,+8%,+16%,-52%,-38%,-69%,+3%,+6%,+6%,2,-68%,B,-68%,D,,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,
1532,Terrine de canard au poivre vert - Le Vieux Chêne,3563480001389,['Le Vieux Chêne'],,['France'],[],[],?,305,1276 kj(305 kcal),"26,6",11,"0,6","0,2","15,4","1,63","0,652",,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,26.6 g,en quantité élevée,11 g,en quantité élevée,0.2 g,en faible quantité,1.63 g,en quantité élevée,,-0%,-0%,+1%,+16%,-65%,-68%,+8%,+7%,+7%,20,+12%,E,+12%,E,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,
1533,Oetker Blancmange Forest Fruit - Dr. Oetker - 206g,5900437037240,['Dr. Oetker'],,['France'],"['Cukier', 'skrobia ziemniaczana', '2,3% jagody suszone', '2,2%maliny suszone', 'regulator kwasowości ', 'kwas cytrynowy', 'aromaty', 'barwniki ', 'antocyjany', 'kurkumina', 'sól', 'witamina C']",[],249,59,249 kj(59 kcal),0,0,14,"8,8","0,1","0,03","0,012",,206 g,['Plastik'],,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,"['E330 - Acide citrique', 'E163 - Anthocyanes', 'E100 - Curcumine']",,,,,,,
1534,Abricocca confettura extra,8008571000018,,,['France'],[],[],?,1072,4485 kj(1072 kcal),"0,11","0,1","61,66","60,91","0,62","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Austern sauce - Lien Ying - 200ml,4013200881429,['Lien Ying'],,"['France', 'Allemagne']","['Wasser', 'Zucker', 'Speisesalz', 'Sojasauce ', 'Sojabohnen', 'Weizenmehl', 'Speisesalz', 'Wasser', 'modifizierte Tapiokastärke', 'Austernpulver ', '0,5%', 'Fischsauce ', 'Sardellen', 'Speisesalz', 'Hefeextrakt', 'Fischextrakt', 'Konservierungsstoff: Natriumbenzoat', ' Säureregulator: Milchsäure', 'Glucono-delta - Lacton', ' Stabilisator: Xanthan', ' Farbstoff: Ammoniak-Zuckerkulör', ' Geschmacksverstärker: E635 Kann Spuren von Krebstieren enthalten']","['Non végétalien', 'Non végétarien']",?,169,707 kj(169 kcal),0,0,41,15,1,"11,3","4,52",,200ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E415 - Gomme xanthane', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']","['Gluten', 'Soja']",,,,,,
1536,Papua Neuguinea Kaffee - Mount Hagen - 100g,4000799100130,['Mount Hagen'],"['Bio', 'Bio européen', 'DE-ÖKO-005']","['France', 'Suisse']",['INSTANT Single-Origin-Arabica Anbau auf Vulkan-Erde bis 1600m H handgepflückt sanft geröstet burschikoser Körper raffinierte Säure'],[],?,?,,?,,?,,?,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,MAGGI Bouillon KUB Volaille Dégraissé x12+3 cubes Offerts - 150g,7613036417495,['Maggi'],['Point Vert'],['France'],"['Sel de cuisine', 'sucre', 'fécule', 'arômes ', 'BLE', 'CELERI', 'huile de palme*', 'volaille 3% : extrait de poulet 1,8%', 'graisse de poulet ', ' extrait végétal aminé ', 'BLE', 'carotte', 'persil', 'curcuma', ""extraits de CELERI et d'ail "", ' antioxydant : extraits de romarin', ' *100% issue de plantations responsables', ' Peut contenir : œufs', 'lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",911,216,911 kj(216 kcal),"7,2",4,31,18,7,"50,3","20,12",Bouillon à la volaille déshydraté aromatisé,150 g,['Boite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,['E392 - Extrait de romarin'],"['Céleri', 'Gluten']",['Huile de palme'],,,,,
1538,Langoustines cuites,3760285101010,,['Sans colorants'],['France'],[],[],?,401,1678 kj(401 kcal),"0,92","0,24","1,98",0,"19,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Biscotti con tavoletta di cioccolato al latte,3173990026149,,,['France'],[],[],?,521,2180 kj(521 kcal),"26,7",16,"63,9","42,1","5,5","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Tarallini con olio,8032610801311,,,['France'],[],[],?,475,1987 kj(475 kcal),"20,1","2,9","62,88","1,9","9,81","2,66","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Annie's homegrown,0013562002252,"[""Annie's Homegrown""]",['Sans arômes artificiels'],['France'],"['pates biologiques ', 'farine de ble biologique', 'fromage cheddar biologique déshydrate ', 'lait biologique pasteurise', 'cultures bacteriennes', 'sel', 'enzymes microbiennes non animales', 'lactosérum biologique', 'sel', 'phosphate de sodium', 'extrait de rocou biologique pour la couleur', 'dioxyde de silicium ', 'agent anti-agglomerant', ' contient des ingrédients du ble et des substances laitieres', ' product of usa/']",[],?,210,879 kj(210 kcal),3,"1,5",38,3,8,"4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Twix spéculos minis - 206g,5000159512688,"['Twix', 'Mars Gmbh']","['Point Vert', 'Edition limitée', 'Tidy man']","['Belgique', 'France']",[],[],?,0,0 kj(0 kcal),24,14,65,49,"4,3","0,4","0,16",,206 g,"['Sachet', 'Plastique', 'Individuel']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres de céréales', 'Barres chocolatées', 'Barres de céréales au chocolat', 'Barres chocolatées biscuitées au caramel', 'Barres chocolatées au lait']",['Allemagne'],24 g,en quantité élevée,14 g,en quantité élevée,49 g,en quantité élevée,0.4 g,en quantité modérée,,-100%,-100%,-27%,-31%,+30%,+3%,-43%,+45%,+45%,21,-19%,E,-19%,D,,"['Géant', 'Delhaize']",,83.0%,11.4%,2.3%,2.6%,0.7%,0.0%,43,,,,,,,,
1543,Arachides grillées,2600117013054,,,['France'],[],[],?,532,2226 kj(532 kcal),28,19,55,44,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Infusion r{glisse menthe - Monoprix,3350033259058,['Monoprix'],,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,,,,,,,,
1545,Olives noires dénoyautées,3760048382069,,,['France'],[],[],?,319,1335 kj(319 kcal),30,4,10,"0,4","1,9",8,"3,2",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",,30 g,en quantité élevée,4 g,en quantité modérée,0.4 g,en faible quantité,8 g,en quantité élevée,,+48%,+48%,+42%,+43%,+308%,+33%,+52%,+123%,+123%,16,+31%,D,+31%,B,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,
1546,"Croc""Noix  La Noix Gourmande",3760019000282,,,['France'],[],[],?,525,2197 kj(525 kcal),31,0,54,46,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,12 tavuk burger,0609465363462,,['Halal'],['France'],[],[],?,2,8 kj(2 kcal),"4,9","4,9",8,"0,5","10,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
