,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
1188,Mini muffins traditionnel,8410722512507,['France'],[],[],?,447,1870 kj(447 kcal),"20,1","3,4","61,5",27,"4,9","0,76","0,304",,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,+13%,-0%,+26%,-6%,,,,,,,,,20.1 g,en quantité élevée,3.4 g,en quantité modérée,27 g,en quantité élevée,0.76 g,en quantité modérée,+13%,-9%,+0%,+3%,+3%,16,+4%,D,+4%,,,,,,,,,,,,
1189,Galette au 4 céréales,5413143018408,['France'],[],[],?,382,1598 kj(382 kcal),3,"0,5",76,"1,5",10,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Pâté de Foie,3463356804123,['France'],[],[],?,354,1481 kj(354 kcal),33,13,"3,3","1,5",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Thon a la tomate,8422470127148,['France'],[],[],?,213,891 kj(213 kcal),17,"2,1",0,0,15,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,"Les cueillettes, pur jus, Pomme",3123340448558,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,"9,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,FRAISE GLACIALE,3760271910480,['France'],[],[],?,80,335 kj(80 kcal),"0,5",0,18,15,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Poire desydratee,2600155027556,['France'],[],[],?,356,1490 kj(356 kcal),0,0,88,73,0,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Cranberries,8429417190845,['France'],[],[],?,350,1464 kj(350 kcal),"0,5","0,1",85,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,H2O energy watermelon flavor,5600961104509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Crevette decortiquees - Miti,3760070015843,['France'],[],[],?,78,326 kj(78 kcal),"0,7","0,1","0,5","0,5",18,"1,2","0,48",,,,,,,,,,,,,,,,['Miti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
