,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
1560,Sorbet fruits rouges,2012707,['France'],[],[],?,127,531 kj(127 kcal),"0,05","0,02",28,25,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Flan patissier,0228736013785,['France'],[],[],?,197,824 kj(197 kcal),"7,4","4,5",29,19,"3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Tangerine,50112227,['France'],[],[],?,30,126 kj(30 kcal),0,0,"7,1","7,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Filet de poulet flan de courgette champignons sautés,3700569021252,['France'],[],[],?,149,623 kj(149 kcal),"8,9","5,2","3,1","1,6",14,"0,7","0,28",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+14%,+209%,+547%,-39%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,8.9 g,en quantité modérée,5.2 g,en quantité élevée,1.6 g,en faible quantité,0.7 g,en quantité modérée,+15%,+597%,+558%,-7%,-7%,4,,C,,,,,,,,,,,,,
1564,Pêche jaune,0203235009255,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Escalope,2614143032606,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Blueberry,8431994001339,['France'],[],[],?,1,4 kj(1 kcal),2,0,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Prefou pain aperitif beurre ail congele,04419733,['France'],[],[],?,46,192 kj(46 kcal),27,16,33,4,"6,5","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Escalope extrafine de dinde,2201273026768,['France'],[],[],?,114,477 kj(114 kcal),2,"0,7",0,0,25,"0,1","0,04",D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,-6%,+52%,-100%,+9%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,-5%,+74%,-100%,-82%,-82%,-4,,A,,,,,,,,,,,,,
1569,Filets de poulet,2201270029199,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Mélange Provençal au thym de Provence,3368410000421,['France'],[],[],?,231,967 kj(231 kcal),"23,1","3,2","4,6","0,5","1,2","1,86","0,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Tartimiel,6554945333333,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Sole,8011087136546,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Émincé de filet de poulet à l'indienne,3477000017104,['France'],[],[],?,113,473 kj(113 kcal),"2,6","0,7",0,0,22,"1,3","0,52",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-14%,-10%,-100%,-4%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,2.6 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,1.3 g,en quantité modérée,-13%,-6%,-100%,+73%,+73%,1,,B,,,,,,,,,,,,,
1574,Mélange Japonais Grand Frais,2600153021327,['France'],[],[],?,399,1669 kj(399 kcal),"6,9","1,5","73,3","2,6","10,1","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Pita,7290002066736,['France'],[],[],?,221,925 kj(221 kcal),"1,2","0,3",43,"1,9","7,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Salade rustique de petit épeautre betterave & carotte bio,0748367063190,['France'],[],[],?,130,544 kj(130 kcal),6,2,14,3,3,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1577,maquis d'ete,3354130323452,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,A filetta,2693251073602,['France'],[],[],?,334,1397 kj(334 kcal),27,16,"1,7","0,5",21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Delícia gelada nata,5601009955411,['France'],[],[],?,244,1021 kj(244 kcal),"13,8","10,2","27,1","23,9","2,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Galettes de belle Isle - Biscuiterie des iles,3373030000614,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['Biscuiterie des iles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Fleur de sel de Guérande épices poisson,3760198323059,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']",,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Named Total Energy Hydra Gel Energetico,8054956340040,['France'],[],[],?,2.12,9 kj(2 kcal),0,0,53,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Sorbet au citron,3331480013042,['France'],[],[],?,453,1895 kj(453 kcal),"0,5","0,1",26,25,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Caffeine-free green Roobios tea,4550182144925,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,"0,13",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,chewing-gum,00786115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Pintxo,3770005048068,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Pain de maïs,0201017010505,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Carottes rapées,0201402014828,['France'],[],[],?,455,1904 kj(455 kcal),"8,9","0,9","5,6","4,7","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Chocolat au lait 41% cote d'ivoire,2010055590010,['France'],[],[],?,554,2318 kj(554 kcal),"36,7",22,"42,8",41,"10,3","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Nouille,8850987149139,['France'],[],[],?,75,314 kj(75 kcal),"2,8","1,5",11,"0,7","1,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Fruit mochi,4713072176981,['France'],[],[],?,50,209 kj(50 kcal),0,0,12,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Filetes de anchoas aceite de oliva virgen extra ecológico - Anxoves de l'Escala,8411909011004,['France'],[],[],?,223,933 kj(223 kcal),18,"3,4","0,5","0,5",22,"11,5","4,6",,,,,,,,,,,,,,,,"[""Anxoves de l'Escala""]",,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1593,Ail doux vrac,2202553027949,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Macglace,3760075727116,['France'],[],[],?,912,3816 kj(912 kcal),12,"9,3",23,22,"3,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Flan à l'ancienne,0200138024934,['France'],[],[],?,197,824 kj(197 kcal),"7,4","4,5",29,19,"3,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,barquuchoco - gullón - 150g,11158073,['France'],[],[],?,?,,?,,?,,?,,,,150g,,,,,,,,,,,,,,['gullón'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Marinades pour barbecue au chili,3760245510067,['France'],[],[],?,51,213 kj(51 kcal),3,"0,2","2,2","2,1","1,6",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Noix fumée,2228475065333,['France'],[],[],?,196,820 kj(196 kcal),"6,2","2,6","1,2","1,2",34,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Croûton Nature,3547350008937,['France'],[],[],?,412.29998779297,1725 kj(412 kcal),"6,2","0,9",72,"2,8",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Granola raisin cranberries 330g,3700749301860,['France'],[],[],?,408,1707 kj(408 kcal),17,13,53,19,7,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Café instantané latte mocha,53944757,['France'],[],[],?,384,1607 kj(384 kcal),"8,4","8,3",68,48,"8,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Evenos black lemon blossom,5214001222018,['France'],[],[],?,67,280 kj(67 kcal),"0,97","0,5","7,5","7,5","0,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Chorizo,8420962000061,['France'],[],[],?,408,1707 kj(408 kcal),35,1,3,2,20,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Coffret sucre. Garni de biscuits pur beurre,0654479263048,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Mini palets,3488433130117,['France'],[],[],?,678,2837 kj(678 kcal),27,16,61,40,"7,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Farine,8000786101108,['France'],[],[],?,323,1351 kj(323 kcal),"0,7",0,72,"1,7",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Good goût  banane,3770002327333,['France'],[],[],?,82,343 kj(82 kcal),"0,4","0,2","18,7","13,7","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Côté à griller spécial,0207627046446,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Ve-Tsin,4892936888212,['France'],[],[],?,47,197 kj(47 kcal),"1,6",1,"4,8","4,8","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Pesto di finocchietto selvatico,8027577000204,['France'],[],[],?,408,1707 kj(408 kcal),"42,2","3,1","4,1","2,9","0,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Glace fraise avec morceaux de fraises,3263859902292,['France'],[],[],?,154,644 kj(154 kcal),5,"4,3","25,5","22,6","1,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Miel d’Eucalyptus,3760190622464,['France'],[],[],?,327,1368 kj(327 kcal),0,0,81,80,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Petits œufs de chocolat supérieur au lait fourée noisettes,5413548020211,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,miel de romarin,3760190622457,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Rosé,3334861446446,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Idylle Framboise,3665147215037,['France'],[],[],?,34.700000762939,145 kj(34 kcal),"0,07","0,01","7,65","0,85","0,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Ezcalope de dinde extra fine,0289054023887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Smoothies Kiwi Ananas et Citron vert,3501361194393,['France'],[],[],?,62,259 kj(62 kcal),"0,4","0,1","12,7",12,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Beurre Demi-sel Microbeurrier,3155250002643,['France'],[],[],?,727,3042 kj(727 kcal),80,55,1,1,"0,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,Jus de pomme de rhuys,4436460000209,['France'],[],[],?,48,201 kj(48 kcal),"0,15","0,05","10,6","10,2","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Madeleine au citron,3333040011031,['France'],[],[],?,412,1724 kj(412 kcal),19,7,54,29,"5,6","0,71","0,284",B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines au citron']",,-7%,-17%,+2%,-1%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,19 g,en quantité modérée,7 g,en quantité élevée,29 g,en quantité élevée,0.71 g,en quantité modérée,-6%,+1%,+5%,-12%,-12%,20,+9%,E,+9%,,,,,,,,,,,,
1622,Lime,3458462098474,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Avocat,5060199510099,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,French Pale Ale,3760222501446,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Mini muffins coeur fondant chocolat-noisettes,,['France'],[],[],?,456,1908 kj(456 kcal),25,"5,4",52,40,"4,4","0,59","0,236",,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,+15%,+24%,+7%,-15%,,,,,,,,,25 g,en quantité élevée,5.4 g,en quantité élevée,40 g,en quantité élevée,0.59 g,en quantité modérée,+15%,+44%,+49%,-20%,-20%,20,+30%,E,+30%,,,,,,,,,,,,
1626,Rhubarbe fibres,3515450032473,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,Canapç Angle Fixe Rçversible 5 Places Varka Coloris Marron,,['France'],[],[],?,200,837 kj(200 kcal),1,0,3,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,Fili-tubs,3116740034490,['France'],[],[],?,359,1502 kj(359 kcal),"1,7","1,1",83,67,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,Naya Natural Spring Water,0057379101012,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Tendre gouter cacao,3175681248847,['France'],[],[],?,330,1381 kj(330 kcal),16,"6,4",48,"1,2","6,5","0,74","0,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Ribs de porc a la mexicaine,0211011033721,['France'],[],[],?,235,983 kj(235 kcal),18,"6,9","1,2","0,5",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,8717906004736,8717906004736,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Farce herbe,3274822364733,['France'],[],[],?,312,1305 kj(312 kcal),29,"9,8",1,"0,8",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Bio+ jong belegen,8717389316661,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,['Product'],,,,,['Bio'],,,,,,
1635,Eau de source de montagne,3257984346342,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,Maniok chips,4030254457158,['France'],[],[],?,533,2230 kj(533 kcal),32,29,59,4,1,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,Menz et gasser,8008660730444,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,Pouss.pouss citron X8,3475880128132,['France'],[],[],?,170,711 kj(170 kcal),"1,1","0,5","4,8","1,1","2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,Sappy water melon,39653819,['France'],[],[],?,21,88 kj(21 kcal),"0,02","0,003",5,"4,8","0,03",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,Chips Artisanales Saveur Truffe,3760133678121,['France'],[],[],?,497,2079 kj(497 kcal),27,4,"52,9","1,09","6,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,Whey isolate 90 vanille,8718836394157,['France'],[],[],?,378,1582 kj(378 kcal),1,"0,7","1,2","1,2",91,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Jus de pomme bio de Normandie,04393,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1643,Whey isolate 80 vanille,8718836394126,['France'],[],[],?,387,1619 kj(387 kcal),"6,1",4,"3,7","3,7","80,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,ribs de porc barbecue,2245063040015,['France'],[],[],?,249,1042 kj(249 kcal),17,"6,6","5,9","4,7",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,Teles,3760257020103,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Flipi Délicrog chocolat,3274664119027,['France'],[],[],?,299,1251 kj(299 kcal),"20,7","16,3","30,1","29,2","2,3","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Chocolatine,3770013667145,['France'],[],[],?,376,1573 kj(376 kcal),20,13,41,11,"7,9","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Nugget,3760116247023,['France'],[],[],?,246,1029 kj(246 kcal),"14,7","4,25","20,5","3,4",9,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Croissant + pain au chocolat,0215440026170,['France'],[],[],?,409,1711 kj(409 kcal),20,12,50,12,"7,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Lardon fume,3276230007035,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Tarte fine abricot - Carrefour - 140g,3276550822912,['France'],"['Abricots 46%', 'pâte feuilletée 42% [farine de BLE ', 'GLUTEN', 'BEURRE', 'eau', 'sucre', 'sel]', 'nappage ', 'eau', 'sirop de glucose de blé', 'sucre', 'gélifiant: pectine de fruit', 'acidifiant : acide citrique', ""poudre d'AMANDE"", ' sucre vergeoise']","['Sans huile de palme', 'Non végétalien']",?,?,,?,,?,,?,,,C,140 g,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes aux abricots', 'Biscuit sec nappé aux fruits']",,,,,,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,4,,"['Gluten', 'Lait', 'Fruits à coque']",['Carrefour'],"['E440 - Pectines', 'E330 - Acide citrique']",,,
1652,Compote Pomme Et Pêche Biologique,0055369902618,['France'],[],[],?,53.097345132743,222 kj(53 kcal),0,0,"12,389","10,619","0,265",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
1653,Pave de saumon,2869878046903,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Le pinson des gorges,3397590011125,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Saucisson,8426572026002,['France'],[],[],?,423,1770 kj(423 kcal),31,13,"2,9","1,9",32,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Tortilla de pomme de terre,0637913139079,['France'],[],[],?,157,657 kj(157 kcal),"9,8","1,7",11,1,"5,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Flan nature x4,2030000020768,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Beerscuit,3770014492111,['France'],[],[],?,446,1866 kj(446 kcal),15,"1,7",60,"2,5",13,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Tartinable de surimi & crabe tourteau saveur crabe,3164060098180,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,PANACHE RA,0243367034633,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Jambon blanc,72022054,['France'],[],[],?,112,469 kj(112 kcal),"3,5","1,3",0,0,20,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Tropeziennes nature,0202430021321,['France'],[],[],?,268,1121 kj(268 kcal),"8,2","6,3",44,25,4,"0,61","0,244",,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,-3%,-20%,+13%,-6%,,,,,,,,,8.2 g,en quantité modérée,6.3 g,en quantité élevée,25 g,en quantité élevée,0.61 g,en quantité modérée,-3%,-8%,+24%,+22%,+22%,16,+6%,D,+6%,,,,,,,,,,,,
1663,Rani Float Pêche,6261422503782,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Pâte d'olives vertes tomates séchées et basilic,3414480005047,['France'],[],[],?,163,682 kj(163 kcal),"16,1","1,9","2,7","0,2","1,7","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Piment d’espelette AOP,3527020023040,['France'],[],[],?,340,1423 kj(340 kcal),11,2,28,19,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Pain sportif,00009843,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Fondant de cul noir Limousin au poivre de Tasmanie,3760208140119,['France'],[],[],?,1255,5251 kj(1255 kcal),27,10,38,14,11,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,Crème glacée menthe-chocolat,06107505,['France'],[],[],?,197,824 kj(197 kcal),"9,3","6,3",25,20,"3,1","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Petit salé aux lentilles,3365476000105,['France'],[],[],?,189.5,793 kj(189 kcal),"10,9","0,3","8,5","1,1","13,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Aloe drink vera,0667888386444,['France'],[],[],?,20,84 kj(20 kcal),0,0,5,"4,583",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,Loukoumi Rose,5200124182254,['France'],[],[],?,353,1477 kj(353 kcal),0,0,"88,1","61,3","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
