,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,packaging,labels,manufacturing,allergens,palm_ingredients,generic_name,link,brand_owner,origin_detail,producer_info
1737,Amarillo de viña melocotón - Solevita,20946883,D,,['Solevita'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pêche']",,,,"['France', 'Espagne']",[],[],0.1 g,en faible quantité,0 g,en faible quantité,12.9 g,en quantité élevée,0.03 g,en faible quantité,?,,59,+28%,247 kj(59 kcal),+29%,"0,1",-22%,0,-100%,"13,8",+34%,"12,9",+34%,"0,4",+10%,"0,03",+223%,"0,012",+223%,8,+118%,D,+118%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
1738,Bio organic citricos - Lord Nelson,20955014,B,,['Lord Nelson'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions aux fruits']",,,,"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,?,,2,-33%,8 kj(2 kcal),-38%,0,-100%,0,-100%,"0,6",-29%,"0,2",-66%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,,,,,,,
1739,"Schokocrocant, Schokolade",22115249,,,,,,,,['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,0,,0,,64,,0,,0,,"0,525",,"0,21",,,,,,,,,,,,,,,,,,,,,,,,
1740,Ziegenfrischkäse Natur - Roi de Trefle - 150g,22162533,D,150 g,"['Roi de Trefle', '(Eigenmarke Aldi Süd)']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages à la crème']",['Allemagne'],['BE K432 EC'],"['Aldi Süd', 'Aldi']","['France', 'Allemagne']","['Pasteurisierte Ziegenmilch', 'pasteurisierte Ziegensahne', 'Salz', 'Milchsäurebakterien', 'mikrobieller Labaustauschstoff']",['Non végétalien'],17.3 g,en quantité modérée,12.1 g,en quantité élevée,1.4 g,en faible quantité,1.2 g,en quantité modérée,?,,203,-29%,849 kj(203 kcal),-28%,"17,3",-24%,"12,1",-24%,"1,4",-16%,"1,4",+44%,"10,5",-39%,"1,2",-11%,"0,48",-11%,12,-10%,D,-10%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,3,"['Becher', 'Plastik']",['Point Vert'],['Saarbrücken'],,,Ziegenkäse,,,,
1741,"Bio Konfitüre, Erdbeere - Natur aktiv",24037976,D,,['Natur aktiv'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,['France'],"['55 % Erdbeeren*', 'Rohrohrzucker*,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,45 g,en quantité élevée,0.2 g,en faible quantité,?,,193,-13%,808 kj(193 kcal),-13%,"0,5",+91%,"0,1",+101%,45,-16%,45,-12%,"0,5",-3%,"0,2",+762%,"0,08",+762%,10,+8%,C,+8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,3,,['Bio'],,,,,,,,
1742,Bio Fruchtsnack - 100g,24072885,,100 g,,,,,,"['France', 'Suisse']","['55% pomme', '27% banane', '18% fraises']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,265,,?,,265 kj(63 kcal),,"0,5",,"0,1",,13,,11,,"0,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AT-BIO-902', 'Agriculture UE/Non UE']",,,,,,,,
1743,Mélange de noix - Happy Harvest - 200g,24693943,,200 g,['Happy Harvest'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']","['États-Unis', 'Inde']",,['Aldi'],"['Autriche', 'France', 'Allemagne', 'Hongrie']","['30 % Noisettes', '30 % noix de cajou', '20 % noix', '20 % amandes blanchies']","['Sans huile de palme', 'Végétalien', 'Végétarien']",59 g,en quantité élevée,6.1 g,en quantité élevée,4.7 g,en faible quantité,0.03 g,en faible quantité,?,,647,+5%,2707 kj(647 kcal),+5%,59,+17%,"6,1",-3%,"5,8",-64%,"4,7",-13%,19,-2%,"0,03",-94%,"0,012",-94%,5,+2%,C,+2%,,,,,,,,,1,,,,,,,,,,
1744,Bavette d'aloyau - Boucherie St clement - 2,26006673,E,2,['Boucherie St clement'],"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,,,['France'],[],[],5.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,?,,131,0%,548 kj(131 kcal),0%,"5,7",0%,"2,2",0%,0,-100%,0,-100%,20,0%,0,-100%,0,-100%,-2,,A,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,
1745,Chewing-gum saveur menthe fraîche - Feel Free - 98g e,26038155,,98 g e,['Feel Free'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,,['France'],"['Édulcorants ', 'sorbitol', 'gomme base', 'édulcorant ', 'maltitol', 'sirop de maltiol', 'arômes', 'stabilisant ', 'gomme arabique', 'acidifiant ', 'acide ascorbique', 'colorants ', 'dioxyde de titane', 'carmins', 'bleu brillant FCF', 'édulcorant ', 'aspartame', 'acésulfame-k', 'émulsifiant ', 'lécithine de tournesol', ""agent d'enrobage "", 'cire de carnauba']","['Non végétalien', 'Non végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,163,+2%,682 kj(163 kcal),+2%,0,-100%,0,-100%,68,+8%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,"['E420 - Sorbitol', 'E965 - Maltitol', ""E414 - Gomme d'acacia"", 'E300 - Acide ascorbique', 'E171 - Oxyde de titane', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', 'E903 - Cire de carnauba']",4,"['Plastique', 'boîte']","['Peu ou pas de sucre', 'Contient une source de phénylalanine', 'Sans sucre', 'Avec édulcorants']",,,,,,,,
1746,Mandarines au sirop léger,26047096,,,,,,,,['France'],[],[],,,,,,,,,?,,71,,297 kj(71 kcal),,"0,5",,"0,1",,16,,16,,"0,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
1747,Menthe fraîche - Folidouss - 300g e,26052977,E,300 g e,"['Folidouss', 'Aldi']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons à la menthe']",,,['Aldi'],['France'],"['Sirop de glucose', 'sucre', 'arôme naturel de menthe', 'colorant: indigotine']",[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.03 g,en faible quantité,?,,384,+3%,1607 kj(384 kcal),+5%,0,-100%,0,-100%,96,+0%,70,+12%,0,-100%,"0,03",+144%,"0,012",+144%,14,+15%,D,+15%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"[""E132 - Indigotine carmin d'indigo""]",4,"['Sachet', 'Plastique']","['Point Vert', 'Arômes naturels']",,,,,,,,
1748,Tarte aux poires - Desserissimes - 500g e,26067490,B,500 g e,['Desserissimes'],"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",,"['EMB 14258C', 'Falaise (Calvados, France)']",,['France'],"['Poires au sirop 20,8% ', 'poires', 'eau', 'sucre', 'sirop de glucose-fructose', ""correcteur d'acidité : acide citrique"", 'farine de blé', 'eau', 'sucre', 'œufs frais', 'beurre 6,2% ', 'contient du lait', 'huile de colzą', 'sirop léger de poire 4,4% ', 'eau', 'sucre', 'sirop de glucose-fructose', 'poires', ""correcteur d'acidité : acide citrique"", 'semoule dé blé', 'poudre de lait entier', 'amidon de maïs', 'amidons modifiés de maïs et de manioc', 'conservateurs : sorbate de potassium et acide lactique', 'gélifiant : çarraghénanes', 'poudres à lever : diphosphates et carbonates de sodium', 'sel', 'arômes']","['Sans huile de palme', 'Non végétalien']",15 g,en quantité modérée,5.5 g,en quantité élevée,22 g,en quantité élevée,0.38 g,en quantité modérée,?,,335,+36%,1402 kj(335 kcal),+36%,15,+60%,"5,5",+2%,44,+22%,22,+7%,"5,5",+127%,"0,38",+50%,"0,152",+50%,13,+18%,D,+18%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,"['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",4,"['Frais', 'Plastique']","['Point Vert', 'en:palm-oil-free', 'Pur beurre', 'Triman']",,"['Œufs', 'Gluten', 'Lupin', 'Lait']",,Tartes aux pommes,,,,
1749,Madeleines,26074863,D,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,,['France'],[],[],2.1 g,en faible quantité,2.1 g,en quantité modérée,24 g,en quantité élevée,0.83 g,en quantité modérée,?,,450,+1%,1883 kj(450 kcal),+1%,"2,1",-91%,"2,1",-69%,24,-54%,24,-15%,"6,1",+7%,"0,83",+9%,"0,332",+9%,15,-18%,D,-18%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,,
1750,12 mini news - Asia  Green Garden,26079165,,,['Asia  Green Garden'],,,,,['France'],"['Mini-nems au porc ', '12 x 30 g', ' : eau', 'farine de riz', 'carotte', 'oignon', 'protéines de soja', 'gras de porc 5', '5%', 'huile de tournesol', 'gorge de porc ', 'origine: UE', ' 2', '5%', 'champignon noir', 'amidon de pois', 'viande de porc ', 'origine: UE', ' 1', '5%', 'sel', 'amidon de mais', 'poisson', 'menthe', 'sucre caramélisé', 'poivre', ' Pourcentages exprimés sur le mini-nem', ' Sauce nuoc-mâm ', '2 x 30 g', ' : eau', 'sucre', ""vinaigre d'alcool"", 'sel', 'nuoc-mâm 1,6% ', 'poisson', 'sel', 'eau', 'sauce soja ', 'eau', 'graines de soja', 'sel', 'farine de blé', ' Pourcentages exprimés sur la sauce', ' Traces éventuelles de crustacés', 'oeuf', 'lait', 'arachide']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,140,,586 kj(140 kcal),,12,,"2,4",,28,,"5,6",,11,,"2,5",,1,,,,,,,,,,,,,,,,,,"['Poisson', 'Gluten', 'Soja']",,,,,,
1751,Popcorn,27002902,B,,,"['Snacks', 'Snacks sucrés', 'Popcorn']",,,['Aldi'],"['Belgique', 'France']",[],[],5.1 g,en quantité modérée,0.7 g,en faible quantité,54.3 g,en quantité élevée,0.01 g,en faible quantité,?,,432,-2%,1807 kj(432 kcal),-2%,"5,1",-68%,"0,7",-85%,"90,9",+44%,"54,3",+178%,"3,6",-46%,"0,01",-99%,"0,004",-99%,15,+8%,D,+8%,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,,,,,,,,,,,
1752,Abricots seches - Aldi,27010358,D,,['Aldi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,['Aldi'],['France'],"['Abricots', 'acidifiants: acide malique - acide citrique', 'conservateurs: anhydride sulfureux-sorbate de potassium', "" Bien qu'un soin tout particulier ait été apporté au dénoyautage de ce produit"", 'ces abricots peuvent contenir exceptionnellement un noyau ou des brisures de noyaux']",[],0.6 g,en faible quantité,0 g,en faible quantité,37 g,en quantité élevée,0.04 g,en faible quantité,?,,180,-32%,753 kj(180 kcal),-32%,"0,6",+24%,0,-100%,37,-36%,37,-18%,4,+29%,"0,04",+14%,"0,016",+14%,-2,-158%,A,-158%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,"['E296 - Acide malique', 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",3,,,,,,,,,,
1753,Instant cup noodles: nouilles instantanées - 65g,27011324,,65 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,,,['France'],[],[],,,,,,,,,?,,79,-74%,331 kj(79 kcal),-74%,"2,4",-79%,"0,7",-87%,12,-70%,"0,9",-63%,"1,9",-70%,"1,1",-58%,"0,44",-58%,,,,,,,,,,,,,,,,,,,,,,,
1754,Iced tea - River - 33cl,27020289,,33cl,['River'],"['Boissons', 'Boissons sans alcool', 'Non-gazeuse']",,,['Aldi'],"['Belgique', 'France']","['eau', 'sucre', 'extrait de thé vert ', '0,24%', 'acidifiant acide citrique', 'arôme naturel', ""correcteur d' acidité: citrates de sodium"", 'antioxydant: acide ascorbique', 'édulcorant: glycosides de stéviol']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.5 g,en faible quantité,0.5 g,en faible quantité,5 g,en quantité modérée,0.025 g,en faible quantité,84,-53%,20,-47%,84 kj(20 kcal),-50%,"0,5",+268%,"0,5",+1759%,5,-42%,5,-32%,"0,5",+119%,"0,025",+20%,"0,01",+20%,7,-0%,D,-0%,,,,,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",4,['Canette'],,,,,"The vert, avec édulcorant d'origine naturelle",,,,
1755,Galette de riz gout fromage - Millville - 145g,27032404,,145g,['Millville'],,,,,"['Belgique', 'France']","['riz brun ', '3496', 'riz ', '25,4%', 'grains huile de colza', 'arôme naturel ', 'fromage', 'fromage', 'colorant ', 'extrait de paprika', ' Peut contenir des traces d e gluten', ' Conserver dansunendroitfraisetsec']",['Non végétalien'],,,,,,,,,?,,418,,1749 kj(418 kcal),,"9,8",,"1,3",,74,,5,,7,,"1,6",,"0,64",,,,,,,,,,,,,['E160c - Extrait de paprika'],4,,,,['Lait'],,,,,,
1756,Saucisse De Campagne - Delifin,27067598,,,['Delifin'],"['Viandes', 'Charcuteries', 'Saucisses']",,,,['France'],"['viande de porc', 'lard de porc', 'sel', 'dextrose', 'lactose', 'saccharose', 'arômes naturels', 'épices', 'conservateurs ', 'nitrite de sodium nitrate de potassium', 'antioxydants ', 'acide ascorbique', 'ascorbate de sodium', 'exhausteur de goût ', 'glutamate monosodique', 'betteraves rouges en poudre', 'ferments', 'boyau naturel de porc', '100 g de produit est préparé avec 150 g de viande,']","['Non végétalien', 'Non végétarien']",35 g,en quantité élevée,14 g,en quantité élevée,0.7 g,en faible quantité,3.5 g,en quantité élevée,?,,418,+64%,1749 kj(418 kcal),+63%,35,+68%,14,+77%,"0,7",-51%,"0,7",-7%,25,+66%,"3,5",+79%,"1,4",+79%,25,+43%,E,+43%,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,,['Lait'],,,,,,
1757,Le Thon Vapeur Lot De 2 x 130gr - Petit navire - 140g,3019082063503,,140 g,['Petit navire'],,,,,['France'],"['Thon ', '94%', 'eau', 'sel,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,112,,469 kj(112 kcal),,"0,9",,"0,3",,0,,0,,26,,1,,"0,4",,,,,,,,,,,,,,,,,,['Poisson'],,,,,,
1758,Filets maquereaux Vin blanc citron romarin - Petit Navire,3019083540140,C,,['Petit Navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates', 'Maquereaux en conserve']",,,,['France'],"['Filets de maquereaux ', '60%', 'eau', ""vinaigre d'alcool"", 'citron vinaigre de vin blanc', 'i Win blanc ', '1,3%', 'sel', 'amidon htransformé de maïs', 'romarin épaississant : gomme guar', 'poivre', 'ail', 'coriandre', 'persil', ' Traces éventuelles de moutarde']","['Non végétalien', 'Non végétarien']",11 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,154,-9%,644 kj(154 kcal),-7%,11,-4%,3,+4%,"0,8",+12%,0,-100%,13,-13%,"0,8",-13%,"0,32",-13%,1,-60%,B,-60%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,['E412 - Gomme de guar'],4,,,,,,,,,,
1759,Sauce aux tomates Provence Languedoc - Zapetti - 190g,3021690017700,A,190 g,"['Zapetti', 'Raynal et Roquelaure']","['Epicerie', 'Conserves', 'Sauces', 'Sauces tomate', 'Sauces provençales']","['France', 'Languedoc', 'Provence']","['FR 84.029.001 CE', 'Camaret-sur-Aigues (Vaucluse, France)', 'FR84029001', 'Camaret-sur-Aigues (Vaucluse, France)']","['Champion', 'Intermarché']",['France'],"['Purée de tomates de Provence et Languedoc à base de concentré ', '84,8 %', 'oignon', 'carotte', 'sucre', 'amidon de maïs', 'sel', 'plantes aromatiques', 'arômes naturels', 'huile de tournesol', ""extrait d'ail"", 'extrait de poivre', 'arôme naturel de sauge']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,6.5 g,en quantité modérée,1 g,en quantité modérée,227,-7%,?,,227 kj(54 kcal),-7%,"0,5",-76%,"0,1",-64%,11,+56%,"6,5",+27%,2,+42%,1,+6%,"0,4",+6%,3,+938%,C,+938%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,4,"['Boîte', 'Conserve', 'Métal']","['Sans conservateurs', 'Tomates de plein champ']","['Raynal et Roquelaure Provence - R&R (Filiale Cofigeo) - Chemin de Piolenc - 84850 Camaret-sur-Aigues', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']",,,Sauce aux tomates de Provence et Languedoc,http://www.zapetti.fr/index.php/zapetti/sauces/tomate/en-boite,,,
1760,Salade de pates - Zapetti,3021690028287,,,['Zapetti'],"['Plats préparés', 'Plats à base de pâtes', 'Salades', 'Salades composées', 'Salades de pâtes']",,,['Magasins U'],['France'],"['legumes 47,5% ', 'courgettes', 'oignons', 'carottes', 'concombres', 'purée de tomates mi-reduite à base de concentré', 'poivrons rouges', ' eau', 'huile d olive vierge extra 1,9%', 'soit 1,5% du poids net total', 'feuille de menthe de Provence émincé 1,2% ', 'vinaigre d alcool', 'sel', 'persil', 'sucre', 'arôme naturel', 'épice', 'extrait d ail', 'extrait de poivre']",[],1.24 g,en faible quantité,0.219 g,en faible quantité,2.34 g,en faible quantité,0.949 g,en quantité modérée,?,,81.8,-50%,342 kj(81 kcal),-50%,"1,24",-85%,"0,219",-85%,"14,6",+5%,"2,34",+13%,"2,48",-62%,"0,949",+23%,"0,38",+23%,2,+137%,B,+137%,,,,,,,,,4,,,,,,,,,,
1761,Pommes Framboises - Materne - 4x 90g,3021761203155,B,4 x 90g,['Materne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes framboise']",['Origine France'],,"['Auchan', 'Magasins U']","['France', 'Suisse']","['Pomme 75', '2%', 'framboise 20', '0%', 'sucre', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.5 g,en faible quantité,13.4 g,en quantité élevée,0.01 g,en faible quantité,292,+11%,?,,292 kj(70 kcal),+5%,"0,5",+34%,"0,5",+291%,"14,2",+1%,"13,4",+7%,"0,5",+13%,"0,01",+95%,"0,004",+95%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['E300 - Acide ascorbique'],3,"['Carton', 'Plastique']","['Sans arômes artificiels', 'Agriculture durable', 'Sans conservateurs']",['France'],,,Compote Pomme Framboise,,,,
1762,Pom Potes 36 + 12 - materne - 4320g,3021762448319,,4320 g,['Materne'],['Compote à boire sans sucres ajoutés'],,,['intermarché'],['France'],"['pomme 84,9 % ', 'purée et purée concentrée', 'framboise 15,0 %', 'antioxydant: acide ascorbique', ' Sans gluten', ' **Contient des sucre natureller présents Poids  48 gourdes vendues séparément']",[],0.7 g,en faible quantité,0.5 g,en faible quantité,11.6 g,en quantité modérée,0.01 g,en faible quantité,?,,63,,264 kj(63 kcal),,"0,7",,"0,5",,"12,5",,"11,6",,"0,5",,"0,01",,"0,004",,-3,,A,,,,,,,,,['E300 - Acide ascorbique'],1,['48x90g'],"['Sans gluten', 'Sans sucre ajouté', 'Sans conservateurs']",['Franc'],,,,,,,
1763,Compotes pomme nature pomme abricot Pom'Potes - Materne,3021762464043,,,['Materne'],,,,,['France'],"['pomme 96,2 0%', 'sucre', 'jus decit on? concentré ', 'si nécessaire pour réguler llaaitéW antioxydant ', ' acide ascorbique', ' Sansgtu em']",[],,,,,,,,,?,,69,,289 kj(69 kcal),,"0,6",,"0,5",,"14,8",,"13,7",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
1764,Fromage de brebis aromatisé aux herbes de provence au lait pasteurisé - Salakis,3023260022435,C,,"['Salakis', 'Lactalis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fromages pasteurisés', 'Fromages de brebis', 'en:Feta-type cheese']",['France'],,,['France'],"['Fromage de brebis aromatisé aux herbes de Provence au lait pasteurisé,']",[],22.9 g,en quantité élevée,16 g,en quantité élevée,0.7 g,en faible quantité,1 g,en quantité modérée,?,,269,-21%,1125 kj(269 kcal),-21%,"22,9",-27%,16,+24%,"0,8",+9%,"0,7",+5%,15,+17%,1,-50%,"0,4",-50%,12,-26%,D,-26%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,['Lait'],,Fromage de brebis aromatisé aux herbes de provence au lait pasteurisé,,,,
1765,Danio - Encas super consistant - Framboise,3033491277634,B,,['Danio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sur lit de fruits']",['France'],"['FR 76.260.001 CE', 'Ferrières-en-Bray (Seine-Maritime, France)']",['Magasins U'],['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,10.3 g,en quantité modérée,0.1 g,en faible quantité,?,,77,-27%,322 kj(77 kcal),-26%,"0,1",-97%,"0,1",-95%,"10,7",-20%,"10,3",-18%,8,+63%,"0,1",-9%,"0,04",-9%,-2,-188%,A,-188%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,"['Frais', 'Pot']","['Peu ou pas de matière grasse', 'Riche en protéines', 'Sans matière grasse']",['France'],['Lait'],,,,,,
1766,Saumon fumé dégustation - Labeyrie - 8découpes,3033610076438,E,8 découpes,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,['France'],"['SEL SAUMON PÊCHÉ AU FILET MAILLANT', 'AU FILET LA LIGNE', 'AU PIÈGE OU AU']",[],2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,2.9 g,en quantité élevée,?,,123,-34%,515 kj(123 kcal),-33%,"2,6",-75%,"0,6",-71%,"0,8",+62%,"0,8",+140%,24,+9%,"2,9",+3%,"1,16",+3%,11,-16%,D,-16%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['Frais', 'Sous vide']",['Certifié par Certiconfiance'],['France'],['Poisson'],,,,,,
1767,Gazpacho - Liebig - 1L,3036811360320,B,1 L,"['Liebig', 'Continental Foods', 'CVC Capital Partners']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho', 'Boissons avec sucre ajouté']",,,"['Auchan', 'Banque alimentaire']",['France'],"['Jus de tomates à base de concentré 33 %', 'eau', 'concombre 15 %', 'poivron rouge 14 %', 'oignon 5 %', ""huile d'olive vierge extra 1,2 %"", 'vinaigre de vin', 'sel', 'ail', 'sucre', 'jus concentré de citron', 'arôme', 'piment de Cayenne', 'lait écrémé']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.3 g,en faible quantité,0.2 g,en faible quantité,2.2 g,en faible quantité,0.75 g,en quantité modérée,?,,26,-37%,109 kj(26 kcal),-37%,"1,3",-47%,"0,2",-48%,"2,6",-23%,"2,2",-14%,"0,5",-36%,"0,75",+13%,"0,3",+13%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,73,,4,"['Brique carton à recycler', 'SIG']","['en:FSC', 'en:fsc-c020428', 'FSC Mix', 'Nouvelle recette', 'Triman', 'Info-Tri Point Vert']","['Continental Foods France - 1420 Route de Carpentras - 84130 Le Pontet', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']",['Lait'],,Gazpacho,http://www.liebig.fr/soupe/gazpacho/,,,
1768,Riz long grain - Lustucru - 900g,3038354526003,B,900 g,['Lustucru'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,,['France'],[],[],0.9 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,355,+6%,1485 kj(355 kcal),+5%,"0,9",-15%,"0,2",-16%,79,+8%,"0,5",+74%,7,-4%,"0,01",-47%,"0,004",-47%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,"['Boîte', 'Carton', 'boîte']",['Point Vert'],,,,riz long,,,,
