,name,bar_code,generic_name,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,eco_score,ingredients_origins,link,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,producer_info,origin_detail
1800,Saumon fumé atlantique - Auchan - 100g,3596710380404,,100 g,"['Barquette', 'Plastique', 'décongelé']",['Auchan'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['Pologne'],['PL 04031802 WE'],['France'],"['Saumon Atlantique ', 'salmo salar', ' ', 'poisson', ' élevé en Norvège 97%', 'sel 3%']",,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,9.4 g,en quantité modérée,1.5 g,en quantité modérée,0.4 g,en faible quantité,3 g,en quantité élevée,?,,179,-6%,749 kj(179 kcal),-6%,"9,4",-15%,"1,5",-30%,"0,6",+21%,"0,4",+12%,23,+4%,3,+4%,"1,2",+4%,13,-4%,D,-4%,['Élevé en Norvège'],"['Simply', 'Auchan']",D,['Norvège'],,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,
1801,Lomo séché - Auchan,3596710380657,,,,['Auchan'],,,,['France'],[],,,[],,,,,,,,,,?,,191,,799 kj(191 kcal),,8,,"3,2",,"0,8",,"0,8",,29,,"4,1",,"1,64",,,,,,,['Auchan'],,,,,,,,,,,,,
1802,Jambon entier avec os - Auchan - 6kg,3596710382552,,6 kg,,['Auchan'],,,,['France'],"['se Jambon de porc ', 'Origine Esp conservateurs : nitrite de d€ potassium ', ' sucre', 'antioxydant de sodium']",['E249 - Nitrite de potassium'],,[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,15,,"5,5",,"0,5",,"0,5",,29,,"4,9",,"1,96",,,,,,,['Auchan'],,,,,,,,,,,,,
1803,Préparation pour pâtisseries - Mieux Vivre sans Gluten - 1kg,3596710382866,,1 kg,"['Carton', 'Sachets']","['Mieux Vivre sans Gluten', 'Auchan']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Aides culinaires', 'Préparations pour desserts']",['France'],"['EMB 50109', 'Cérences (Manche, France)']","['France', 'Suisse']","['Amidon de pomme de terre', 'farine de maïs', 'amidon de maïs', 'épaississant : gomme de guar', 'huile de tournesol', 'anti-agglomérant : dioxyde de silicium']","['E412 - Gomme de guar', 'E551 - Dioxyde de silicium']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,1526,+1%,?,,1526 kj(365 kcal),+11%,1,-85%,0,-100%,82,+45%,0,-100%,2,-60%,0,-100%,0,-100%,,,,,"['en:gluten-free', 'Produit en braille']",['Auchan'],,,,,,,,,,,,,
1804,PAPILLOTE À L ANETH - Auchan - 18g,3596710383221,,18 g,['Sachet'],['Auchan'],"['Epicerie', 'Condiments', 'Assaisonnements']",,,['France'],[],,,[],,2.2 g,en faible quantité,0.3 g,en faible quantité,17 g,en quantité élevée,15.8 g,en quantité élevée,?,,301,+48%,1259 kj(301 kcal),+39%,"2,2",-76%,"0,3",-77%,61,+188%,17,+81%,"7,7",+84%,"15,75",+67%,"6,3",+67%,16,+44%,D,+44%,"['Sans colorants', 'Sans conservateurs', 'Nutriscore']",['Auchan'],,,,,,,,,,,,,
1805,Poulpes marinés à l'ail - Auchan,3596710384310,,,,['Auchan'],,,,['France'],"['Poulpes ', 'octopus vulgaris', ' ', 'mollusques', ' cuits marinés 62,5% ', 'poulpes', 'eau', ""vinaigre d'alcool"", 'sel', 'sucre', 'antioxydants : acide citrique', 'ascorbate de sodium', ""correcteur d'acidité : carbonates de potassium"", 'huile de colza', 'olives vertes 6,5% ', 'olives vertes', 'eau', 'sel', 'acidifiant : acide lactique', ""huile d'olive vierge"", 'ail déshydraté 0,9%', 'persil déshydraté 0,1%', ' Traces éventuelles de poissons et crustacés']","['E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E501 - Carbonates de potassium', 'E270 - Acide lactique']",['Mollusques'],"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,173,,724 kj(173 kcal),,11,,"1,1",,"4,2",,"0,5",,14,,"1,8",,"0,72",,,,,,,['Auchan'],,,,,,,,,,,,,
1806,Mâche roquette - Auchan - 175g,3596710385201,Mélange de salades - Prêtes à l'emploi,175g,"['Sachet plastique', 'Frais']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Mâches', 'Salades vertes']",,,['France'],"['Mâche', 'roquette', 'en proportions variables']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.4 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.06 g,en faible quantité,106,+20%,?,,106 kj(25 kcal),+26%,"0,4",+2%,"0,1",+18%,2,+12%,"0,8",+81%,"2,4",+24%,"0,06",+67%,"0,024",+67%,-8,,A,,['Sans conservateurs'],"['Simply Market', 'Auchan']",B,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,
1807,Jus de Raisin - Rik & Rok,3596710385881,,,,"['Rik & Rok', 'Auchan']","['Boissons', 'Boissons sans sucre ajouté']",,,['France'],['Jus de raisin Ingrédient : Jus de raisin'],,,[],1,0.5 g,en faible quantité,0 g,en faible quantité,16.1 g,en quantité élevée,0.01 g,en faible quantité,?,,66,+50%,276 kj(66 kcal),+40%,"0,5",+49%,0,-100%,"16,1",+86%,"16,1",+137%,"0,5",+0%,"0,01",-79%,"0,004",-79%,10,+81%,E,+81%,,['Auchan'],,,,,,,,,,,,,
1808,Pomme Cassis Framboise - Auchan - 25cl,3596710386154,,25 cl,,['Auchan'],"['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"['eau de source ', '83,6%', 'jus de fruit a base de concentrés 12% ', 'pomme 8,2%', 'cassis 2,8%', 'framboise 1%', 'sucre', 'acidifiant : acide citrique', 'arômes naturels']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,0 g,en faible quantité,?,,33,-61%,138 kj(33 kcal),-63%,"0,5",+33%,0,-100%,"7,8",-61%,7,-62%,"0,1",-81%,0,-100%,0,-100%,10,-16%,E,-16%,,['Auchan'],,,,,,,,,,,,,
1809,"Frites Surgelées Classic 2,5Kg - auchan - 2.5kg",3596710387236,,2.5 kg,['sac plastique'],['Auchan'],,,,['France'],[],,,[],,,,,,,,,,?,,999,,4180 kj(999 kcal),,"16,8",,15,,12,,"1,5",,"1,2",,"0,2",,"0,08",,,,,,,['Auchan'],,,,,,,,,,,,,
1810,Café moulu - Auchan Pur Arabica Dégustation - 250g e,3596710388011,,250 g e,"['Sachet', 'Plastique', 'sous vide']","['Auchan Pur Arabica Dégustation', 'Auchan']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,['France'],"['café torréfié moulu pur arabica - sous vide café molido de tueste natural 100 % arâbica café torrado moido 100 % arâbica - embalado a vàcuo ingrédient / ingrédiente inaredientes CD 100% cafe café muid', ' Aibica']",,,[],,,,,,,,,,?,,14,+367%,59 kj(14 kcal),+321%,"0,677",+188%,0,-100%,"0,508",+34%,0,-100%,"0,695",+70%,0,-100%,0,-100%,,,,,,['Auchan'],,,,,,,,,,,,,
1811,Diabolo pomme verte - Auchan,3596710388219,,,,['Auchan'],"['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"['boisson gazeuse aux extrail de fruits aromatisée pomme Vett - sans conservateur ifiée ', '94,1 %', 'sucre', 'Eau de source citrique', 'extraits de acidifiant : acit pomme verte arôme naturel', 'colorants : lutéine et complexes cuivre chlorophylles: Ilioxydant ascorbique']","['E161b - Lutéine', 'E141i - Complexes cuivriques de chlorophylles']",,[],4,0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0 g,en faible quantité,?,,7,-92%,29 kj(7 kcal),-92%,0,-100%,0,-100%,9,-55%,9,-51%,"0,5",-7%,0,-100%,0,-100%,7,-41%,D,-41%,['Sans conservateurs'],['Auchan'],,,,,,,,,,,,,
1812,Taboulé Mexicain - Auchan - 400g,3596710388592,Salade de boulgour (blé concassé) et semoule de blé dur aux haricots rouges et poivrons rouges assaisonnée,400 g,"['Frais', 'Barquette', 'Plastique', 'Sous atmosphère protectrice']","['Auchan', ""L'oiseau"", 'Auchan Production', 'Groupe Auchan']","['Plats préparés', 'Frais', 'Plats préparés frais', 'Entrées', 'Taboulés', 'Entrées froides', 'Taboulés frais', 'Taboulés mexicains']","['Bonduelle Traiteur International - BTI (Filiale Bonduelle) - 67 Route de Concarneau - 29140 Rosporden', 'Finistère', 'Bretagne', 'France']","['EMB 29241B', 'Rosporden (Finistère, France)']",['France'],"['Boulgour ', 'blé concassé', ' 25 %', 'semoule de blé dur 24 %', 'haricots rouges 11 % ', 'haricots rouges', 'eau', 'sel', 'double concentré de tomate', 'arômes', 'poivrons rouge 10 %', 'maïs doux', 'oignons dés surgelés', 'huile de colza', ""huile d'olive vierge extra 1,6 %"", 'ketchup ', 'purée de tomates', 'dextrose', 'sucre', ""vinaigre d'alcool"", 'sel', 'amidon transformé de maïs', 'arôme', ""vinaigre d'alcool"", 'jus concentré de citron', 'persil', 'purée de tomates', 'sucre', 'arôme', 'sel', 'épices', 'conservateur : sorbate de potassium', '\rTraces éventuelles de : lait', 'œuf', 'poisson', 'céleri', 'crustacé', 'mollusque', 'moutarde', 'graines de sésame']","['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,4 g,en quantité modérée,0.5 g,en faible quantité,3 g,en faible quantité,0.63 g,en quantité modérée,?,,150,-13%,628 kj(150 kcal),-13%,4,-38%,"0,5",-28%,22,-3%,3,-22%,5,+12%,"0,63",-33%,"0,252",-33%,-3,-262%,A,-262%,"['Point Vert', 'Eco-Emballages']",['Auchan'],B,,,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,
1813,Cabillaud meunière - Auchan,3596710389155,,,,['Auchan'],,,,['France'],"['préparation reconstituée à base de cabillaud façon meunière', 'sans arête*', 'cuite à coeur', 'réfrigérée']",,,[],,,,,,,,,,?,,159,,665 kj(159 kcal),,"7,6",,"0,9",,"9,7",,"0,9",,12,,1,,"0,4",,,,,,,['Auchan'],,,,,,,,,,,,,
1814,Fraises entières - Auchan,3596710389476,,,,['Auchan'],,,,['France'],[],,,[],,,,,,,,,,?,,26,,109 kj(26 kcal),,"0,5",,"0,1",,"5,2",,"4,7",,"0,7",,"0,01",,"0,004",,,,,,,['Auchan'],,,,,,,,,,,,,
1815,Haricots rouges - Auchan,3596710390007,,,,['Auchan'],,,,['France'],[],,,[],,,,,,,,,,?,,119,,498 kj(119 kcal),,"0,7",,"0,2",,"16,9",,"0,5",,"8,2",,"0,55",,"0,22",,,,,,,['Auchan'],,,,,,,,,,,,,
1816,Champignons Pieds Et Morceaux - Auchan - 115g,3596710390250,,115 g,,['Auchan'],,,,['France'],[],,,[],,,,,,,,,,?,,26,,109 kj(26 kcal),,"0,3",,0,,"2,7",,"2,3",,"1,9",,"0,75",,"0,3",,,,,,,['Auchan'],,,,,,,,,,,,,
1817,"Penne au Poulet sauce Champignons, Surgelé - Auchan - 400g",3596710390762,"Plat à base de pâtes, de poulet traité en salaison, de champignons, accompagné d'une sauce",400 g,"['Surgelé', 'Barquette', 'Plastique', 'Opercule', 'Film plastique']","['Auchan', ""L'oiseau""]","['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Penne au poulet', 'Penne au poulet sauce champignons']","['SAS Frial - 6 Route de Caen - 14400 Saint-Martin-des-Entrées', 'Calvados', 'Basse-Normandie', 'France']","['FR 14.630.043 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",['France'],"['Pâtes ""Penne"" cuites 43 % ', 'semoule de blé dur ', 'contient gluten', 'eau', 'huile végétale de tournesol', 'sel', 'amidon de riz', 'poulet saumuré 15 % ', 'filet de poulet', 'eau', 'sel', 'crème fraîche ', 'contient lait', 'eau', 'champignons de Paris 8 %', 'oignons', 'emmental fondu ', 'contient lait', ' ', 'emmental', 'eau', 'poudre de lactosérum', 'beurre', 'sels émulsifiants : citrates de sodium', 'arôme', 'sel', 'pleurotes 0,7 %', 'pholiotes 0,7 %', 'shiitake 0,7 %', 'amidon modifié de manioc ou de maïs ou de riz', 'beurre ', 'contient lait', 'sel', 'lait entier en poudre', 'cèpes déshydratées 0,3 %', 'persil', 'huile végétale de tournesol', 'cèpe en poudre 0,07 %', 'extrait de poivre']","['E331 - Citrates de sodium', 'E14XX - Amidons modifiés']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,6.4 g,en quantité modérée,3.9 g,en quantité modérée,1 g,en faible quantité,0.73 g,en quantité modérée,622,+7%,148,-1%,622 kj(148 kcal),+1%,"6,4",+8%,"3,9",+132%,16,+17%,1,-49%,"6,2",-23%,"0,73",-14%,"0,292",-14%,3,+110%,C,+110%,['Produit en braille'],['Auchan'],D,,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,
1818,Plaisir choco lait - Auchan - 135g,3596710390830,,135 g,,['Auchan'],,,,['France'],"['Chocolat au lait 40% ', 'sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'émulsifiant : lécithines de soja', 'arôme naturel', 'farine de blé ', 'contient gluten', 'sucre', 'huiles végétales ', 'palme', 'colza', 'lactosérum en poudre ', 'lait', 'poudres à lever : carbonates de sodium - tartrates de potassium ', ' œuf en poudre', 'sirop de sucre inverti', 'émulsifiant : lécithines de soja', 'sel', 'arôme', 'colorant : curcuma']","['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E336 - Tartrates de potassium']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,486,,2033 kj(486 kcal),,"23,6",,"13,1",,"60,4",,"35,7",,"6,9",,"0,65",,"0,26",,,,,,,['Auchan'],,,,,,,,,,,['Huile de palme'],,
1819,Steaks hachés pur bœuf - Auchan - 400g,3596710391035,,400 g,"['Carton', 'surgelé']",['Auchan'],"['Viandes', 'Surgelés', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes surgelées', 'Steaks hachés', 'Steaks surgelés', 'Steaks de bœuf hachés', 'Steaks hachés surgelés', 'Steaks hachés de bœuf surgelés']",['France'],"['EMB 71157D', 'Cuiseaux (Saône-et-Loire, France)', 'FR 71.157.028 CE', 'Cuiseaux (Saône-et-Loire, France)']",['France'],['100% viande bovine'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,15 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,0.3 g,en quantité modérée,878,+6%,211,+7%,878 kj(211 kcal),+5%,15,+9%,"6,2",+3%,0,-100%,0,-100%,19,+1%,"0,3",+52%,"0,12",+52%,4,+14%,C,+14%,"['Viande-francaise', '100% muscle', 'Produit en braille', 'Viande-bovine-francaise']","['Simply Market', 'Auchan']",D,['France'],,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,
1820,Frites Four Classic - Auchan - 450g,3596710391134,Pommes frites préfrites et surgelées,450 g,"['Carton', 'surgelé']",['Auchan'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']",,,['France'],"['Pommes de terre 94,5%', 'huile de tournesol 5%', 'sel', 'dextrose']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,5 g,en quantité modérée,0.7 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité modérée,584,-6%,139,-9%,584 kj(139 kcal),-9%,5,+1%,"0,7",+7%,20,-13%,"0,5",+1%,"2,5",0%,"0,8",+178%,"0,32",+178%,1,,B,,['Produit en braille'],['Auchan'],A,,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,
1821,Mini cheeseburgerx10 - Auchan,3596710391295,,,,['Auchan'],,,,['France'],"['Briochette 4120% : farine de blé ', 'contient gluten', 'eau', 'poudre au beurre ', 'contient lait', ' ', 'beurre', 'protéines de lait', 'perméat de lactosérum', 'levure', 'graines de sésame 2,8%', 'sucre', 'sel', 'gluten de blé', ""poudre de jaune d'oeuf"", ""émulsifiant : mono et diacétyltartriques des mono et diglycérides d'acides gras"", 'agent de traitement de la farine : acide ascorbique', 'colorant : bétacarotène', 'protéines de lait', 'levure désactivée', ' Garniture 58,8% : préparation de viande bovine cuite 58% ', 'viande bovine', 'sel', 'sirop de glucose', 'arôme', 'épices et plantes aromatiques', 'viande de b?uf déshydratée', 'colorant : caramel brun', 'ketchup 14,5% ', 'tomates', 'sucre', 'vinaigre', 'amidon modifié', 'sel', 'conservateur : sorbate de potassium', 'arômes', 'fromage fondu au cheddar ', 'contient lait', ' 12,9% ', 'cheddar', 'lait écrémé', 'beurre', 'sels de fonte : citrates de sodium', 'acide citrique ', ' protéines de lait', 'sel', 'colorant : extrait de paprika', 'oignons', 'cornichons aigre doux ', 'cornichons', 'eau', 'vinaigre', 'sucre', 'sel', 'aneth', 'graines de moutarde', ' Pourcentages exprimés sur le poids de chaque préparation', ' Traces éventuelles de céleri', 'poisson', 'fruits à coque']","['E300 - Acide ascorbique', 'E150 - Caramel', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E160c - Extrait de paprika']","['Gluten', 'Lait', 'Moutarde', 'Graines de sésame']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,265,,1109 kj(265 kcal),,"10,1",,"4,9",,"28,2",,"5,6",,"14,7",,"1,71",,"0,684",,,,,,,['Auchan'],,,,,,,,,,,,,
1822,Yaourt auchan fruit - Pouce - 125g,3596710391585,,125 g,,"['Pouce', 'Auchan']",,,,['France'],[],,,[],,,,,,,,,,?,,77,,322 kj(77 kcal),,1,,"0,6",,13,,13,,"3,7",,"0,13",,"0,052",,,,,,,['Auchan'],,,,,,,,,,,,,
1823,Yaourts arôme Banane - Fruits des Bois - Framboise - Abricot - Pouce - 4 * 125g (500g),3596710391592,Yaourts sucrés aromatisés,4 * 125 g (500 g),"['Pots', 'Plastique']","['Pouce', 'Auchan']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']",,"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",['France'],"['Lait partiellement écrémé', 'sucre ', '9%', 'lactose et protéines de lait ', 'contient lait', 'arôme', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.88 g,en faible quantité,0.6 g,en faible quantité,13 g,en quantité élevée,0.1 g,en faible quantité,?,,76,-16%,318 kj(76 kcal),-16%,"0,88",-68%,"0,6",-66%,13,+5%,13,+10%,"3,68",+3%,"0,1",-12%,"0,04",-12%,0,-100%,B,-100%,,['Auchan'],B,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,
1824,L'Oiseau - Morbier en tranchettes pour repas raclette - 200g,3596710391684,,200 g,"['Barquette', 'Plastique']","[""L'Oiseau"", 'Auchan']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages au lait cru', 'Raclettes', 'Fromages en tranches', 'Morbiers']","['Franche-Comté', 'France']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'EMB 25531', 'Santoche (Doubs, France)']",['France'],"['lait cru de vache', 'sel', 'ferments lactiques', 'présure', 'colorant : charbon végétal']",['E153 - Charbon végétal médicinal'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,29 g,en quantité élevée,18.3 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,1481,+4%,375,+8%,1481 kj(375 kcal),+3%,29,+5%,"18,3",-1%,1,+36%,1,+133%,23,-3%,1,-40%,"0,4",-40%,13,-17%,D,-17%,['AOP'],"['Simply Market', 'Auchan']",D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1825,Faisselle 0% - Auchan - 4x 100g,3596710392179,,4 x 100g,,['Auchan'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Faisselles']",,"['FR 18.194.050 CE', 'Rians (Cher, France)', 'EMB 18194J', 'Rians (Cher, France)']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0.1 g,en faible quantité,?,,34,-60%,142 kj(34 kcal),-60%,0,-100%,0,-100%,4,-9%,4,+17%,"4,5",+2%,"0,1",-10%,"0,04",-10%,-2,-236%,A,-236%,['Fabriqué en France'],['Auchan'],D,,,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,
1826,Pâtes d'Alsace Corolles - Mmm! - 250g,3596710393237,,250 g,"['Sachet', 'Plastique']","['Mmm!', 'Auchan']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', ""Pâtes d'Alsace""]",['France'],,['France'],"['Semoule de blé dur français de qualité supérieure ', 'contient gluten', 'oeufs frais 30 % ', 'origine UE', ' ', 'soit 320 g par kg de semoule']",,"['Œufs', 'Gluten']",['Non végétalien'],1,4.6 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,?,,363,-1%,1519 kj(363 kcal),-1%,"4,6",-3%,"1,2",-2%,64,0%,3,+6%,15,0%,"0,1",-6%,"0,04",-6%,-3,,A,,,['Auchan'],B,"['France', 'Union européenne']",,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,
1827,Pates d'alsace grands nids terroir - Auchan - 250g,3596710393244,,250 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",,,['France'],[],,,[],,3 g,en quantité modérée,0.7 g,en faible quantité,3 g,en faible quantité,,,?,,367,+1%,1536 kj(367 kcal),+0%,3,-37%,"0,7",-43%,64,0%,3,+6%,15,0%,,,,,,,,,,['Auchan'],,,,,,,,,,,,,
1828,Pâtes d'Alsace Papillons (7 Œufs Frais au kilo de semoule) - Auchan - 250g,3596710393268,Pâtes d'Alsace aux 7 œufs frais au kilo de semoule de blé dur,250 g,['Sachet plastique'],"['Auchan', ""L'oiseau"", 'Produit de Terroir', 'Auchan Production', 'Groupe Auchan']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes aux œufs', 'Pâtes sèches aux œufs']","['Valfleuri Pâtes Alimentaires (VPA) - 5 Rue de la Charente - Zone Industrielle - 68270 Wittenheim', 'Haut-Rhin', 'Alsace', 'France']","['EMB 68376A', 'Wittenheim (Haut-Rhin, France)']",['France'],"['Semoule de blé dur français de qualité supérieure ', 'contient gluten', 'œufs frais 30 % ', 'soit 320 g par kg de semoule']",,"['Œufs', 'Gluten']",['Non végétalien'],1,4.6 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,1537,+0%,363,-0%,1537 kj(363 kcal),+0%,"4,6",+9%,"1,2",+9%,64,-2%,3,+7%,15,+3%,"0,1",+4%,"0,04",+4%,-3,,A,,"['Fabriqué en France', '7 Œufs Frais au kilo de semoule']",['Auchan'],B,"['France', 'Blé dur']",,63.3%,21.1%,6.6%,5.4%,2.9%,0.8%,75,,,
1829,Champignons de Paris - Auchan - 200g,3596710394517,,200 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve']",,,['France'],"['Champignons de Paris', 'eau', 'sel', 'acide citrique', 'acidifiant antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",,[],3,0.4 g,en faible quantité,0.01 g,en faible quantité,0.1 g,en faible quantité,0.64 g,en quantité modérée,?,,18,-25%,75 kj(18 kcal),-22%,"0,4",-1%,"0,01",-88%,"0,2",-84%,"0,1",-74%,"2,1",-3%,"0,64",+48%,"0,256",+48%,-6,,A,,,['Auchan'],B,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,
1830,Champignon de Paris - Auchan,3596710394548,,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve']",,,['France'],"['Champignons de Paris', 'eau sel', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']",,[],1,0.4 g,en faible quantité,0.0001 g,en faible quantité,0.1 g,en faible quantité,0.64 g,en quantité modérée,?,,76,+217%,318 kj(76 kcal),+231%,"0,4",-1%,0,-100%,"0,2",-84%,"0,1",-74%,"2,1",-3%,"0,64",+48%,"0,256",+48%,-6,,A,,,['Auchan'],B,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,
