,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
1825,Sirop au sucre de canne,3760239182591,['France'],[],[],?,295,1234 kj(295 kcal),"0,1","0,1","73,5","71,9","0,3",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Sade Sosis,8711659067550,['France'],[],[],?,258,1079 kj(258 kcal),"21,4","6,7","4,4","0,1","11,9",3,"1,2",,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Parmentier de lentilles cuisinées,3220440179426,['France'],[],[],?,131,548 kj(131 kcal),"5,2","2,7",14,"2,8","5,3","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Chips de lentilles fines herbes - Vico,92533653,['France'],[],[],?,453,1895 kj(453 kcal),17,"1,5",60,"2,4",13,"2,3","0,92",,,['Vico'],['Chips de lentilles'],,,17 g,en quantité modérée,1.5 g,en quantité modérée,2.4 g,en faible quantité,2.3 g,en quantité élevée,,+8%,+10%,+38%,+7%,+8%,+23%,+2%,+31%,+31%,16,+74%,D,+74%,,,,,,,,,,,,,,,,,
1829,Vinaigre balsamique de Modène,8720500109264,['France'],[],[],?,82,343 kj(82 kcal),0,0,15,"14,1",1,"0,01","0,004",B,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,0 g,en faible quantité,0 g,en faible quantité,14.1 g,en quantité élevée,0.01 g,en faible quantité,,-44%,-44%,-100%,-100%,-53%,-52%,+50%,-86%,-86%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,['Italie'],,
1830,Baguette tradigraine,3289668231408,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,12 beignets chocolat-noisette,0214606023947,['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Tortilla chips - Leader Price,3263853009942,['France'],[],[],?,472,1975 kj(472 kcal),20,2,"64,4","1,5","6,6","1,6","0,64",B,,['Leader Price'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,['Leader Price'],20 g,en quantité modérée,2 g,en quantité modérée,1.5 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,-12%,-32%,+7%,-21%,+3%,+37%,+37%,13,+34%,D,+34%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,
1833,Baguette tradition,3760049736267,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Olives à la farce d'anchois,3489120010804,['France'],[],[],?,180,753 kj(180 kcal),"18,9","3,4","2,9","0,5",0,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
