,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,markets,manufacturing,generic_name,additives,link,origin_detail
1201,Rouleaux de reglisse,3518161004104,,['France'],[],[],?,321,"1,2",71,"5,9",1343 kj(321 kcal),"0,2","4,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Melange forme bio,3760092221284,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Cheddar,2441805027225,,['France'],[],[],?,427,37,1,23,1787 kj(427 kcal),25,"0,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Roller ball,6939495510449,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Bledina purée aubergines tomates agneau,3041091677570,,['France'],[],[],?,249,2,"6,9","2,6",1042 kj(249 kcal),"0,7","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Double plaisir façon poire amandine,3456770002121,,['France'],[],[],?,111,4,16,"2,4",464 kj(111 kcal),"2,4","13,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,Batonnets de glaces à la vanille,3263859892821,,['France'],[],[],?,301,19,30,"2,2",1259 kj(301 kcal),15,29,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Whey isolate,3525722017756,,['France'],[],[],?,359,"1,01","2,35","82,4",1502 kj(359 kcal),,"1,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Jambon serrano tranché,8436547210961,,['France'],[],[],?,182,"5,5",0,"30,6",761 kj(182 kcal),"2,2",0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Yaourt fraise sans lactose,05454509,,['France'],[],[],?,94,3,"12,9","3,9",393 kj(94 kcal),"1,8","12,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
