,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,packaging,brand,ingredients_origins,manufacturing,markets,additives,nova_score,generic_name,allergens,link,palm_ingredients
1705,Ma recré pomme - Daco Bello,3270720015371,['France'],[],[],?,299,1251 kj(299 kcal),"0,2",0,69,57,"0,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Daco Bello'],,,,,,,,,
1706,Sanguinella,8003068200575,['France'],[],[],?,0,0 kj(0 kcal),0,0,"12,1",0,"12,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,Black caviar total repair shampoo,7290015714549,['France'],[],[],?,?,,?,,?,,?,,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Les 2 Vaches,77455475,['France'],[],[],?,75,314 kj(75 kcal),2,1,10,10,3,0,0,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,lions,9365055544482,['France'],[],[],?,410,1715 kj(410 kcal),"7,7","1,3",74,25,"8,2","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Sardine à l'huile d'olive bio - Conserverie Courtin - 48g,3268260002029,['France'],[],[],?,?,,?,,?,,?,0,0,48 g,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,['Conserverie Courtin'],,,,,,,,,
1711,Sorbet poire Williams d'Ardèche,3509240009233,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 07.325.001 CE', 'Ucel (Ardèche, France)']",,,,,,,,,,,
1712,La galette Luzacaise,3380790000907,['France'],[],[],?,379,1586 kj(379 kcal),"7,7",5,75,63,"2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,
1713,Bière artisanale bio blonde,3760265171057,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,Tomme ardechoise de montagne,0220399032141,['France'],[],[],?,347,1452 kj(347 kcal),29,20,"1,4",0,20,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Brochette de crevettes Bio - Pescanova,3567891131819,['France'],[],[],?,254,1063 kj(254 kcal),"20,9","1,4","20,9","0,5","15,8",,,,,,"['Bio', 'Bio européen', 'Nutriscore']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pescanova'],,,,,,,,,
1716,Vins,3760117882018,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Hipp Kav.mama Prnc Tav125,9062300106296,['France'],[],[],?,65,272 kj(65 kcal),"2,7","2,5","6,9","1,5","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hipp'],,,,,,,,,
1718,Confit d'oignon doux des Cévennes (Nature),10009307,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés']",,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,Filets de poulet rôtis,0217437032010,['France'],[],[],?,146,611 kj(146 kcal),"5,6","1,5","0,7","0,6","23,3","1,3","0,52",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,5.6 g,en quantité modérée,1.5 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+0%,+4%,+10%,+21%,+39%,-1%,-3%,-3%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1720,Crème Glacée café au café robusta,3760318100188,['France'],[],[],?,215,900 kj(215 kcal),11,"7,2",26,22,0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Sauce Barbecue au vinaigre balsamique de modène IGP,3183811012343,['France'],[],[],?,134,561 kj(134 kcal),"4,5","0,5","20,4","14,4","1,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Abondance Fermier,0200164016927,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1723,Limonade - Gilbert,3439495406573,['France'],[],[],?,28,117 kj(28 kcal),0,0,7,7,0,,,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,0 g,en faible quantité,0 g,en faible quantité,7 g,en quantité élevée,,,,-10%,-7%,-100%,-100%,-6%,-4%,-100%,,,,,,,,,,,,,,,,['Gilbert'],,,,,,,,,
1724,Minestra anellini - Knorr,8711200453177,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1",7,1,"1,3","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,
1725,Chocolat au lait au riz souffle,3760134631071,['France'],[],[],?,526,2201 kj(526 kcal),31,19,54,51,"6,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Pomme,7539514861386,['France'],[],[],?,53,222 kj(53 kcal),"0,5","0,1",12,10,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,La mamma semoul - Hipp,15035059,['France'],[],[],?,355,1485 kj(355 kcal),"1,6","0,4","72,8",3,"10,8",,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hipp'],,,,,,,,,
1728,Boufun bassue,7141047202347,['France'],[],[],?,279,1167 kj(279 kcal),"23,1","20,1","0,8","0,7",17,"1,62","0,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Sappy pasteque,8606109589099,['France'],[],[],?,21,88 kj(21 kcal),"0,02","0,003",5,"4,8","0,03",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,Tahina,5281150001009,['France'],[],[],?,566,2368 kj(566 kcal),57,10,0,0,"0,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,Tagliatelles surimi,0209956026441,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Sweet moments,5774540923703,['France'],[],[],?,514,2151 kj(514 kcal),31,"9,2",48,41,"8,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,Pommes Chataignes,7539514861362,['France'],[],[],?,111,464 kj(111 kcal),"0,56","0,18","24,8","21,6","0,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Vin rouge Cotignac,3760203930203,['France'],[],[],?,?,,?,0,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,-100%,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,
1735,Steaks de thon albacore,3440432009115,['France'],[],[],?,123.80000305176,518 kj(123 kcal),"2,7","0,9","0,5","0,5",25,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Plant power,2737395956275,['France'],[],[],?,443,1854 kj(443 kcal),14,"4,2",62,13,14,"0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Pommes Bananes,4856954255234,['France'],[],[],?,66,276 kj(66 kcal),"0,42","0,15","15,1","12,6","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Cora carte,2093700762307,['France'],[],[],?,23,96 kj(23 kcal),8,8,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Spice impérial tea - Whittard,5022032100188,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,
1740,Queijo de Ovelha,5602934102956,['France'],[],[],?,1469,6146 kj(1469 kcal),"26,5","14,6","5,3","0,3","20,3","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Pommes,4856952367892,['France'],[],[],?,52,218 kj(52 kcal),"0,58","0,21","11,5","10,4","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Pinot noir,3267980003132,['France'],[],[],?,?,,?,0,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Test Pommes Bananes,4856954215238,['France'],[],[],?,66,276 kj(66 kcal),"0,42","0,15","15,1","12,6","0,66",,,,,"['Non alimentaire', 'en:Tests']",,0.42 g,en faible quantité,0.15 g,en faible quantité,12.6 g,en quantité élevée,,,,-68%,-68%,-95%,-95%,-27%,+58%,-90%,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Sel de guérande,3700457101196,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,['France'],,,,,,,,
1745,Éclairs X 6 café ou chocolat,0211987016070,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Cœur de blé - Alpina Savoie - 400g,3252970010528,['France'],['blé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,348,1456 kj(348 kcal),2,"0,3",70,"2,5",11,0,0,400 g,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Blés', 'Blés tendres']","['Nutriscore', 'Nutriscore A']",2 g,en faible quantité,0.3 g,en faible quantité,2.5 g,en faible quantité,0 g,en faible quantité,,+6%,+5%,-21%,-32%,+17%,+8%,-9%,-100%,-100%,-3,,A,,59.6%,0.0%,19.4%,10.0%,10.9%,0.0%,97,,['Carton'],['Alpina Savoie'],,,,,1,,['Gluten'],,
1747,Krakitos ail persil - Hadar,3324321284374,['France'],[],[],?,453,1895 kj(453 kcal),"14,1","1,2","75,8","1,9","9,9","2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hadar'],,,,,,,,,
1748,Fagioli cannellini,8010384067478,['France'],[],[],?,242,1013 kj(242 kcal),"0,2",0,"7,5",0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Préparation d épices fajita,2006050009336,['France'],[],[],?,300,1255 kj(300 kcal),"5,5","1,3","46,8","35,5","8,3","11,64","4,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Peperoni rossi,8017596103567,['France'],[],[],?,42,176 kj(42 kcal),0,0,"8,7","6,5","1,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Osram LED Base Par16 50 36 -350 lm 4.3 W = 50 W - Warm White - einzeln,4058075818392,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,,
1752,Snickers crisp,1301065735302,['France'],[],[],?,483,2021 kj(483 kcal),23,"9,2",61,44,"7,1","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,Cote echine a griller,0211650011814,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Noix du Bresil,2600134036609,['France'],[],[],?,719,3008 kj(719 kcal),"66,4","15,1","12,3","2,3","14,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Banana,0070801103255,['France'],[],[],?,340,1423 kj(340 kcal),35,6,54,51,11,"0,775","0,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Melange Gourmand,2868730019154,['France'],[],[],?,98,410 kj(98 kcal),"0,35","0,04","4,88","3,72","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Energy Crunch bar - Prozis,5600499599143,['France'],[],[],?,403,1686 kj(403 kcal),11,"5,7",57,36,19,"0,4","0,16",,,"['Snacks', 'Snacks sucrés', 'Barres']",,11 g,en quantité modérée,5.7 g,en quantité élevée,36 g,en quantité élevée,0.4 g,en quantité modérée,,-10%,-11%,-46%,-36%,+3%,+6%,+126%,+16%,+16%,18,+5%,D,+5%,,,,,,,,,,['Prozis'],,,,,,,,,
1758,Croustillantes Fruits Rouges,3604071107322,['France'],[],[],?,525,2197 kj(525 kcal),28,17,62,49,"5,8","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,Dark - Whittard,5022032114291,['France'],[],[],?,543,2272 kj(543 kcal),39,21,48,40,0,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,
1760,Le sable Chocolat Sesame,3770013887109,['France'],[],[],?,488,2042 kj(488 kcal),30,13,39,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Cafe le cinq,3760259315559,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Farce a tomate,0204505023636,['France'],[],[],?,141,590 kj(141 kcal),"6,8","2,4","0,9",0,19,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,Jus de pomme aux épices,3760024887953,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,11,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Coppa de l'île de beauté,2639605079630,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 13.042.001 CE', 'Gémenos (Bouches-du-Rhône, France)']",,,,,,,,,,,
1765,Les Coucougnettes - Maison Francis Miot,3700416202452,['France'],[],[],?,474,1983 kj(474 kcal),22,6,54,46,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Francis Miot'],,,,,,,,,
1766,Galette au pomme de terre,0200640026242,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Les Pitchounettes - Maison Francis Miot,3700416202339,['France'],[],[],?,604,2527 kj(604 kcal),47,18,31,25,"8,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Francis Miot'],,,,,,,,,
1768,Biscuits,5425019203214,['France'],[],[],?,411,1720 kj(411 kcal),"8,4","4,8",75,20,"8,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,Slim fast vitality,5055967500785,['France'],[],[],?,342,1431 kj(342 kcal),"1,3","0,3",2,1,25,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Le Trio des Coucougnettes - Maison Francis Miot,3700416202469,['France'],[],[],?,476,1992 kj(476 kcal),23,"6,6",54,46,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Francis Miot'],,,,,,,,,
1771,Sucette - Le Comptoir de Mathilde,3700961303468,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Le Comptoir de Mathilde'],,,,,,,,,
1772,"Boisson-repas, Sport, Légumes - Feed",3665069003095,['France'],[],[],?,391,1636 kj(391 kcal),"13,9","1,4","31,7","3,2","30,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Feed'],,,,,,,,,
1773,Gourdes pomme poire - Franprix,3263855400815,['France'],[],[],?,44,184 kj(44 kcal),0,0,"9,9","9,8",0,0,0,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Franprix'],,,['Franprix'],,,,,,
1774,Popüi chips lentil organic red pepper,8588007291017,['France'],[],[],?,394,1648 kj(394 kcal),"5,7","0,6",70,"3,3",17,"1,64","0,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Mini beignets fourrés aux chocolat noisette,3760008850355,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,16,"6,8","0,72","0,288",,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,24 g,en quantité élevée,8.5 g,en quantité élevée,16 g,en quantité élevée,0.72 g,en quantité modérée,,+21%,+20%,+52%,+145%,-0%,-2%,+7%,-2%,-2%,19,+58%,E,+58%,,,,,,,,,['Boîte en plastique'],,,,,,,,,,
1776,Molkosan original,7610313011315,['France'],[],[],?,20,84 kj(20 kcal),"0,5","0,5","0,5","0,5",0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,lay's,60410047835,['France'],"['specially selected potatoes', 'vegetable oil', 'seasoning ', 'sugar', 'corn maltodextrin', 'salt', 'modified corn starch', 'natural flavour', 'torula yeast', 'spice', 'onion powder', 'monosodium glutamate', 'yeast extract', 'colour', 'gluten-free']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,,,,['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,,
1778,Bonbons fourrés miel et gelée royale,3174208035557,['France'],[],[],?,383,1602 kj(383 kcal),"0,5","0,5",94,76,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Poitrine fumee,2281513025065,['France'],[],[],?,303,1268 kj(303 kcal),"24,9","9,9","0,5","0,5","19,9","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Douceurs framboise,3266051141063,['France'],[],[],?,389,1628 kj(389 kcal),"0,5","0,1",96,58,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Métal replacement shake,5060484780879,['France'],[],[],?,371,1552 kj(371 kcal),"5,4","1,2","49,8","3,9","29,9","0,494","0,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Beurre tendre doux,3516710333941,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",,,,,,,,,,,,,,,,,,,,,,,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,"['EMB 61096', ""Chapelle-d'Andaine (Orne, France)""]",,,,,,,,,,,
1783,Pépites de tournesol,8717973293392,['France'],[],[],?,410,1715 kj(410 kcal),"42,08","5,02",6,"3,1",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Smoothie mix daily boost,55051910,['France'],[],[],?,295,1234 kj(295 kcal),"3,2","0,6","36,5","14,8","17,5","0,1","0,04",,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Tarte brisee sans additif,9365055217157,['France'],[],[],?,325,1360 kj(325 kcal),14,"5,8",42,"1,5","6,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Nuscarobe,8710573498808,['France'],[],[],?,584,2443 kj(584 kcal),45,6,30,26,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Arôme naturel de fleur d'oranger - La Patelière - 250ml,17744775,['France'],"['Eau', ""eau de fleur d'oranger,arôme naturel""]",[],?,?,,?,,?,,?,,,250ml,,['en:Arome pour une utilisation dans les denrées alimentaires'],['en:Labels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['3278584143018'],['bouteille plastique'],['La Patelière'],,,,,4,,,,
1788,Jambon cuit tranche,2442589027357,['France'],[],[],?,109,456 kj(109 kcal),"2,9","1,2","0,3","0,2","0,5","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Dragibus soft avalancha,8412805112376,['France'],[],[],?,375,1569 kj(375 kcal),"0,5","0,1",93,59,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Jake original forest fruit,8719689212056,['France'],[],[],?,397,1661 kj(397 kcal),"13,2","1,37",45,"5,8","24,5","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Gorgonzola et mascarpone,0202405019421,['France'],[],[],?,375,1569 kj(375 kcal),35,24,0,0,16,"0,6","0,24",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",,35 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,,-2%,-2%,-4%,-6%,-100%,-100%,+33%,-25%,-25%,11,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Gorgonzola et mascarpone'],,,,,,,,,,
1792,Galette maïs,,['France'],[],[],?,?,,?,,?,1,8,87,"34,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Jake original banana,8719689212001,['France'],[],[],?,391,1636 kj(391 kcal),"12,4","1,3",45,"5,5","24,9","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Croquants cacahuètes,3256224458029,['France'],[],[],?,483,2021 kj(483 kcal),24,"3,1",50,"4,7",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Saucisson a l'ail,2223810039369,['France'],[],[],?,942,3941 kj(942 kcal),"19,1","7,59","0,3","0,3","13,5","2,39","0,956",,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","[""Saucisson à l'ail""]",19.1 g,en quantité modérée,7.59 g,en quantité élevée,0.3 g,en faible quantité,2.39 g,en quantité élevée,,+245%,+243%,-14%,-11%,-73%,-58%,-16%,+13%,+13%,27,+40%,E,+40%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,,,
1796,Capri Sonne Multivitamins x 5,4000177106600,['France'],[],[],?,34,142 kj(34 kcal),"0,5","0,1","8,1",8,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Gorgonzola Dop Bio,2803945025323,['France'],[],[],?,319,1335 kj(319 kcal),27,16,0,0,19,"1,5","0,6",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']","['Bio', 'AOP']",27 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-3%,-3%,-3%,-16%,-100%,-100%,+5%,0%,0%,14,-3%,D,-3%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,
1798,Escalope de dinde bio,2402735060546,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
1799,Mozzarella di Bufala Campana DOP,3664042003534,['France'],[],[],?,262,1096 kj(262 kcal),23,16,"0,8","0,8",13,"0,61","0,244",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne', 'Mozzarella di Bufala Campana']",,23 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en faible quantité,0.61 g,en quantité modérée,,-2%,-1%,+1%,+3%,+10%,+36%,-10%,-0%,-0%,10,-3%,C,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
1800,Soupe froide cartte orange,3760313530317,['France'],[],[],?,55,230 kj(55 kcal),"1,2","0,2","10,4","7,2","0,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Fromage de chèvre fermier au lait cru bio,3770015944046,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
