,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
1546,Dry mallow - Durra,6251136011314,['France'],[],[],?,400,1674 kj(400 kcal),3,0,80,43,7,"0,7","0,28",,,,,,,,,,,,,,,['Durra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Jardinière printanière,3760050902453,['France'],[],[],?,46,192 kj(46 kcal),"1,3","0,1","6,6",3,"1,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Yin yang digest édition prestige,3363795000080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Le foie gras de canard entier - Larnaudie,3113010144736,['France'],[],[],?,499,2088 kj(499 kcal),"49,9","21,1","4,5","2,9",8,"1,16","0,464",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,-6%,-8%,+89%,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Larnaudie'],49.9 g,en quantité élevée,21.1 g,en quantité élevée,2.9 g,en faible quantité,1.16 g,en quantité modérée,-6%,-9%,+120%,-3%,-3%,21,+1%,E,+1%,,,,,,,,,,,,,,
1550,Côté de porc cuire choix brunie,2629752017913,['France'],[],[],?,172,720 kj(172 kcal),"9,7","4,2","1,1","1,1",20,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Amandes crues,3700056711062,['France'],[],[],?,634,2653 kj(634 kcal),"53,4","4,19","18,05","4,4","25,4","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,8 crêpes gourmandes,3353703851576,['France'],[],[],?,272,1138 kj(272 kcal),"5,5","2,7","46,2","19,5","8,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Yaourt grecque laiterie du Périgord,3339256272044,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Grünteepulver - MyProtein,5055534303368,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Huile d'olive a la truffe,3330149300035,['France'],[],[],?,819,3427 kj(819 kcal),91,"12,8",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,3331941801676,3331941801676,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Infusion Thym Menthe,3456300006889,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
1558,Saucisson sec,2228222045854,['France'],[],[],?,301,1259 kj(301 kcal),"16,7","6,44","0,8","0,3","36,8","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Rillettes de porc,1234500001529,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
