,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
1377,Nectar d'abricot - Emmanuelle Baillard,3760125980713,D,,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",,['France'],"['Abricots de Haute Ardèche 61%', 'eau', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0.01 g,en faible quantité,?,,56,+6%,234 kj(56 kcal),+5%,"0,5",+159%,"0,1",+168%,14,+13%,14,+19%,"0,8",+114%,"0,01",-6%,"0,004",-6%,14,-8%,E,-8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1378,Coulis d'Abricots - Saveurs des Terroirs - 210g,3760125980720,,210 g,,"['Saveurs des Terroirs', 'Nectars de Bourgogne']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', ""Coulis d'abricot""]",['Produit pasteurisé'],['France'],"['Abricots de Haute Ardèche 88%', 'sucre', 'antioxydant : acide ascorbique', ' Produit Pasteurisé']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,20 g,en quantité élevée,0.01 g,en faible quantité,?,,80,-37%,335 kj(80 kcal),-37%,"0,5",+175%,"0,1",+196%,20,-32%,20,-30%,"0,5",-27%,"0,01",-52%,"0,004",-52%,-1,-123%,A,-123%,,,,,,,,,,,,,,
1379,Coulis de myrtille sauvage - Saveurs des Terroirs,3760125980737,,,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de myrtille']","['Sans colorants', 'Sans conservateurs']",['France'],[],,,[],,0.4 g,en faible quantité,0.1 g,en faible quantité,23.3 g,en quantité élevée,0.01 g,en faible quantité,?,,100,-35%,418 kj(100 kcal),-35%,"0,4",+86%,"0,1",+843%,"26,7",-27%,"23,3",-31%,"0,4",+23%,"0,01",-52%,"0,004",-52%,1,-78%,B,-78%,,,,,,,,,,,,,,
1380,Nectar de myrtille sauvage SAVEURS DES TERROIRS - Nectar De Bourgogne,3760125980751,,,,['Nectar De Bourgogne'],['Boissons'],,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,36 g,en quantité élevée,0.01 g,en faible quantité,?,,148,+164%,619 kj(148 kcal),+157%,"0,5",+44%,"0,1",-15%,"36,4",+222%,36,+281%,"0,5",+1%,"0,01",-76%,"0,004",-76%,20,+161%,E,+161%,,,,,,,,,,,,,,
1381,Nectar de mirabelle - Emmanuelle Baillard - 75cl,3760125980805,D,75 cl,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mirabelle', 'Nectars de prune']",,['France'],"['Mirabelles de Lorraine IGP 47%', 'eau', 'sucre', 'antioxydant : acide ascorbique', 'acidifiant : jus de citron concentré']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,48,0%,201 kj(48 kcal),-1%,"0,5",,"0,1",,12,0%,11,+1%,"0,5",+33%,"0,01",+5%,"0,004",+5%,13,,E,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['EMB 21405', ""Merceuil (Côte-d'Or, France)""]",,,,
1382,Pur jus de pomme - Saveurs Des Terroirs,3760125980843,C,,,['Saveurs Des Terroirs'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,47,+2%,197 kj(47 kcal),+3%,"0,5",+178%,"0,1",+197%,"11,7",+6%,11,+6%,"0,5",+128%,"0,01",-20%,"0,004",-20%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
1383,Pur jus de pomme - Emmanuelle Baillard,3760125980874,C,,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,47,+2%,197 kj(47 kcal),+3%,"0,5",+178%,"0,1",+197%,"11,7",+6%,11,+6%,"0,5",+128%,"0,01",-20%,"0,004",-20%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
1384,Jus de Pomme pur jus - Saveurs des Terroirs - 25cl,3760125980898,C,25 cl,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,?,,47,+2%,197 kj(47 kcal),+3%,"0,5",+178%,"0,1",+197%,"11,7",+6%,11,+6%,"0,5",+128%,"0,1",+700%,"0,04",+700%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,
1385,Nectar de mangue - Emmanuelle Baillard - 75cl,3760125980928,C,75 cl,"['Bouteille', 'Verre']",['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",,['France'],"['Mangues 51%', 'eau', 'sucre', 'acidifiant: jus de citron concentré', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,13.3 g,en quantité élevée,0.01 g,en faible quantité,?,,50,-4%,209 kj(50 kcal),-4%,"< 0,5",+184%,"< 0,1",+333%,"13,3",+7%,"13,3",+15%,"< 0,5",+85%,"< 0,01",-3%,"0,004",-3%,14,-10%,E,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['EMB 21405', ""Merceuil (Côte-d'Or, France)""]",,Nectar de mangue,,
1386,Nectar de mangue - Saveurs des Terroirs,3760125980973,D,,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",,['France'],"['Eau', 'mangue 46%', 'sucre', 'acidifiant : jus de citron concentré']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,13.3 g,en quantité élevée,0.01 g,en faible quantité,?,,50,-4%,209 kj(50 kcal),-4%,"0,5",+184%,"0,1",+333%,"13,3",+7%,"13,3",+15%,"0,5",+85%,"0,01",-3%,"0,004",-3%,14,-10%,E,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1387,Confiture de Mirabelle - Emmanuelle Baillard - 220g,3760125981116,B,220 g,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",,['France'],"['Mirabelle de Lorraine', ' sucre', 'jus de citron concentré ', 'gélifiant : pectine de fruit']",['E440 - Pectines'],,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.01 g,en faible quantité,?,,250,+12%,1046 kj(250 kcal),+12%,"0,5",+127%,"0,1",+107%,70,+29%,60,+16%,"0,5",+29%,"0,01",-51%,"0,004",-51%,11,+14%,D,+14%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,
1388,Nectar Griotte - Saveurs des Terroirs - 25cl,3760125981413,D,25 cl,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de cerise']",,['France'],"['Griottes 60%', 'eau', 'sucre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,?,,47,-15%,197 kj(47 kcal),-14%,"0,5",+95%,"0,1",+63%,"11,4",-14%,10,-15%,"0,5",+11%,"0,01",-39%,"0,004",-39%,12,-23%,E,-23%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1389,"la 10 Citron-Menthe - 27,5cl",3760125981598,B,"27,5 cl","['Verre', 'Bouteille']",['la 10'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Boissons avec sucre ajouté']","['100% naturel', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['France'],"['Eau', 'citron 30 %', 'sucre', 'arôme naturel de menthe', 'CO2']",,,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.01 g,en faible quantité,356,+252%,?,,356 kj(85 kcal),+242%,"< 0,5",+1129%,"< 0,1",+995%,23,+278%,21,+255%,"< 0,5",+823%,"< 0,01",-41%,"0,004",-41%,20,+143%,E,+143%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['France'],,,,,,
1390,Petillant au citron et à la menthe verte - Emmanuelle Baillard,3760125981604,,,,['Emmanuelle Baillard'],"['Boissons', 'Boissons avec sucre ajouté']",,['France'],"['Eau', 'citron 30%', 'sucre', 'arôme naturel de menthe verte', 'C02']",,,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0 g,en faible quantité,?,,85,0%,356 kj(85 kcal),-4%,"0,5",+33%,"0,1",-40%,23,+16%,21,+15%,"0,5",-7%,0,-100%,0,-100%,20,+68%,E,+68%,,,,,,,,,,,,,,
1391,Nectar De Poire Williams Et Gingembre - Bernard loiseau,3760125981819,D,,,['Bernard loiseau'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de poire']",['Produit pasteurisé'],['France'],"['Poires William des Coteaux Lyonnais 54%', 'eau', 'sucre', 'acidifiant : jus de citron concentré', 'arôme naturel Gingembre <1%', 'antioxydant : acide ascorbique', ' Produit pasteurisé,']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,11.2 g,en quantité élevée,0.01 g,en faible quantité,?,,56,+4%,234 kj(56 kcal),+3%,"0,5",+155%,"0,1",+188%,"14,4",+12%,"11,2",-7%,"0,5",+77%,"0,01",+39%,"0,004",+39%,16,+5%,E,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1392,Nectar de mirabelle bio - Emmanuelle Baillard - 75cl,3760125984025,C,75 cl,,"['Emmanuelle Baillard', 'Nectars de Bourgogne']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mirabelle', 'Nectars de prune']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['Mirabelles de Lorraines* 47%', 'eau', 'sucre de canne*', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,48,0%,201 kj(48 kcal),-1%,"0,5",,"0,1",,12,0%,11,+1%,"0,5",+33%,"0,01",+5%,"0,004",+5%,13,,E,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,"['EMB 21405', ""Merceuil (Côte-d'Or, France)""]",,,,
1393,Coulis de Cassis - Saveurs des Terroirs,3760125984094,,,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de cassis']",['Bio'],['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,26 g,en quantité élevée,0.01 g,en faible quantité,?,,120,-10%,502 kj(120 kcal),-11%,"0,5",+46%,"0,1",+129%,26,-15%,26,-11%,"0,5",-24%,"0,01",-46%,"0,004",-46%,4,-5%,C,-5%,,,,,,,,,,,,,,
1394,Coulis d'abricot - Saveurs des Terroirs,3760125984100,,,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', ""Coulis d'abricot""]",['Bio'],['France'],"['Abricots* 88%', 'sucre de canne*', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.2 g,en faible quantité,20 g,en quantité élevée,0.01 g,en faible quantité,?,,80,-37%,335 kj(80 kcal),-37%,"0,5",+175%,"0,2",+492%,20,-32%,20,-30%,"0,5",-27%,"0,01",-52%,"0,004",-52%,-1,-123%,A,-123%,,,,,,,,,,,,,,
1395,Coulis de Mirabelle - Saveurs des Terroirs - 210g,3760125984117,,210 g,,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de mirabelles']",['Bio'],['France'],"['Mirabelles de Lorraines 90%', 'sucre de canne', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,[],3,0.5 g,en faible quantité,0.1 g,en faible quantité,16.7 g,en quantité élevée,0.01 g,en faible quantité,?,,67,-47%,280 kj(67 kcal),-47%,"0,5",+91%,"0,1",+158%,"16,7",-41%,"16,7",-37%,"0,5",-25%,"0,01",-37%,"0,004",-37%,-2,-167%,A,-167%,,,,,,,,,,,,,,
1396,Nectar de pêche bio - Emmanuelle Baillard,3760125984155,C,,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de pêche']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Produit pasteurisé']",['France'],"['Pêches du Roussillon* 51%', 'eau', 'sucre do canne*', 'acidifiant : jus de citron concentré*', ' Produit pasteurisé']",,,[],1,0.5 g,en faible quantité,0.1 g,en faible quantité,13.6 g,en quantité élevée,0.01 g,en faible quantité,?,,52,+2%,218 kj(52 kcal),+1%,"0,5",+233%,"0,1",+258%,"13,6",+11%,"13,6",+19%,"0,5",+31%,"0,01",+43%,"0,004",+43%,16,+8%,E,+8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1397,Nectar de mangue bio - Emmanuelle Baillard - 75cl,3760125984179,C,75 cl,,['Emmanuelle Baillard'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Mangues 56%', 'eau', 'sucre de canne', 'acidifiant : jus de citron concentré']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,13.3 g,en quantité élevée,0.01 g,en faible quantité,?,,50,-4%,209 kj(50 kcal),-4%,"0,5",+184%,"0,1",+333%,"13,3",+7%,"13,3",+15%,"0,5",+85%,"0,01",-3%,"0,004",-3%,14,-10%,E,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
1398,Lentilles vertes bio de Lorraine - Probiolor,3760126021941,,,,['Probiolor'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],['lentilles vertes'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,315,,1318 kj(315 kcal),,"1,2",,"0,2",,"50,4",,1,,24,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,
1399,Jus de fruits,3760126050606,,,,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,"0,034",,"0,003",,"10,92",,"10,24",,"0,29",,0,,0,,,,,,,,,,,,,,,,,,,
1400,Rillettes au foie gras de canard,3760126060179,D,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
1401,Rillettes de canard,3760126060469,D,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
1402,Fromage blanc fermier -,3760126100035,C,,,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",,['France'],[],,,[],,8.1 g,en quantité modérée,5.2 g,en quantité élevée,3 g,en faible quantité,0.1 g,en faible quantité,?,,114,+39%,477 kj(114 kcal),+40%,"8,1",+104%,"5,2",+102%,"3,5",-16%,3,-23%,"6,8",-1%,"0,1",-3%,"0,04",-3%,2,,B,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,
1403,Abricots orangered (Calibre 35/40) - Petit Prix - 1kg,3760126741580,,1 kg,"['Barquette', 'Plastique', 'Film plastique']",['Petit Prix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Abricots', 'Abricots frais']",,['France'],"['Abricots orangered', 'cat II', 'calibre 35/40']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Coopérative Agricole Fruitière Maraîchère La Melba - La Melba - Rue du Levant - 66530 Claira', 'Pyrénées-Orientales', 'Languedoc-Roussillon', 'France']","['France', 'Abricots orangered']",,['Carrefour'],Abricots orangered,,
1404,Zéro - Coca-Cola - 1.5l,3760126830116,,1.5 l,"['Bouteille', 'Bouchon', 'Plastique']",['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
1405,L'original Soda cola - Coca-Cola,3760126830130,,,,['Coca-Cola'],"['Boissons', 'Boissons avec sucre ajouté']",,['France'],"['ingrédients : eau gazéifiée ', ' sucre ', ' colorant : E150d: acidifiant : acide phosphorique ', ' arômes naturels ', 'extraits végétaux', 'dont caféine']","[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",,[],4,0 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0 g,en faible quantité,?,,42,-51%,176 kj(42 kcal),-52%,0,-100%,0,-100%,"10,6",-46%,"10,6",-42%,0,-100%,0,-100%,0,-100%,14,+18%,E,+18%,,,,,,,,,,,,,,
1406,Coca light - Coca Cola,3760126830147,,,,['Coca Cola'],"['Boissons', 'Boissons édulcorées']",,['France'],"['—ngredlents : eau gazéifiée ', ' colorant : El 50d : acidifiants : acide phosphorique', ' acide citrique : édulcorants : aspartame', 'acésulfame-K : arômes naturels ', 'extraits végétaux', 'dont caféine', ' Contientunesourcedephénvlalanine,']","['E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E951 - Aspartame', 'E950 - Acésulfame K']",,[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,
1407,Gingembre morceaux,3760126860090,,,,,,,['France'],[],,,[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,89,,74,,0,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,
1408,Macarons congelés - Mag'm - 72g,3760126978429,D,72 g,"['Carton', 'congelé']","[""Mag'm""]","['Snacks', 'Desserts', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Macarons', 'Gâteaux et pâtisseries surgelés']",['Fabriqué en France'],['France'],"['sucre', 'amandes 17%', 'Sucre glace', ""blanc d'ceuf"", ""pâte d'amandes "", 'amandes', 'sucre', 'eau', 'sirop de sucre inverti', 'éthanol', 'beurre', 'purée de citron jaune 2', '6%', 'brisure de framboise 2', '4%', 'purée de mangue 2', '4% ', 'mangue 90%', 'sucre', 'chocolat noir 1', '7% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'extrait naturel de vanille', 'chocolat au lait 1', '2% ', 'sucre ', 'poudre de lait', 'beurre de cacao', 'pâte de cacao', 'émulsifiant: lécithine de soja', 'extrait naturel de vanille', 'lait', 'noisette', 'crème', 'praliné noisette ', 'noisettes', 'sucre', 'sirop de glucose', 'pistache 0', '47%', 'sirop de sucre inverti', 'gélifiant: pectine', 'colorants: E162 et E100', 'poudre de cacao maigre', 'poudre de cacao', 'zeste de citron', 'spiruline', 'arômes: pistache - citron et mangue', 'poudre de vanille 0', '05%']","['E1510 - Éthanol', 'E322i - Lécithine', 'E440 - Pectines', 'E162 - Rouge de betterave', 'E100 - Curcumine']","['Œufs', 'Lait', 'Fruits à coque', 'Soja', 'Cacao']",['Non végétalien'],4,18.3 g,en quantité modérée,4.4 g,en quantité modérée,55.7 g,en quantité élevée,0.146 g,en faible quantité,1931,+34%,431,+29%,1931 kj(431 kcal),+37%,"18,3",+6%,"4,4",-52%,56,+45%,"55,7",+119%,"8,7",+72%,"0,146",-47%,"0,058",-47%,15,-4%,D,-4%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,['France'],,"['EMB 44223B', 'Geneston (Loire-Atlantique, France)']",,,,
1409,Macarons framboise - Toupargel,3760126978559,D,,,['Toupargel'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],"['sucre', 'sucre glace', 'amandes blanchies ', '15%', ""blancs d'œufs liquides pasteurisés"", 'brisures de framboises ', '11%', 'purée de framboises sucrée ', '10%', ' ', 'framboises ', '90%', 'sucre', 'eau', 'amidon de maïs', 'colorant : rouge de betterave', 'arôme naturel de framboise', 'farine de blé jus de citron jaune', 'gélifiant : pectines', ' Contient : amandes', 'œufs et gluten', ' Traces éventuelles de soja', 'graines de sésame', 'lait et autres fruits à coques', "" Les allergènes à déclaration obligatoire sont soulignés dans la liste d'ingrédients""]","['E162 - Rouge de betterave', 'E440 - Pectines']","['Œufs', 'Gluten', 'Fruits à coque']",['Non végétalien'],4,15 g,en quantité modérée,1.2 g,en faible quantité,50 g,en quantité élevée,0.13 g,en faible quantité,?,,388,-9%,1623 kj(388 kcal),-9%,15,-16%,"1,2",-73%,54,-3%,50,-1%,"7,5",-12%,"0,13",-9%,"0,052",-9%,12,-32%,D,-32%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,
1410,Collection macarons,3760126979266,D,,,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],,,[],,23.1 g,en quantité élevée,6.3 g,en quantité élevée,50.8 g,en quantité élevée,0.16 g,en faible quantité,?,,474,+11%,1983 kj(474 kcal),+11%,"23,1",+30%,"6,3",+39%,"54,8",-1%,"50,8",+1%,"10,3",+20%,"0,16",+12%,"0,064",+12%,21,+19%,E,+19%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,
1411,Lamelles de jambon sec,3760127330370,E,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,['France'],[],,,[],,8.5 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,5 g,en quantité élevée,?,,203,-13%,849 kj(203 kcal),-14%,"8,5",-34%,3,-38%,"0,5",-15%,0,-100%,31,+7%,5,-0%,2,-0%,14,-16%,D,-16%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,
1412,Gratons grillés,3760127330509,,,,,,,['France'],[],,,[],,,,,,,,,,?,,589,,2464 kj(589 kcal),,"48,2",,"21,3",,"0,7",,"0,1",,38,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
1413,Jus de pomme framboise,3760127730057,,,,,,,['France'],[],,,[],,,,,,,,,,?,,85,,356 kj(85 kcal),,"0,3",,"0,1",,"16,6",,"16,6",,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
1414,Pur jus pomme-myrtille,3760127730101,,,,,,,['France'],[],,,[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"0,2",,"0,1",,"16,6",,"16,1",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
