,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,generic_name,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,packaging,traceability_code,ingredients_origins,manufacturing,markets,link,palm_ingredients,brand_owner
1660,Choco-pasta,4049321640102,,['France'],[],[],?,374,1565 kj(374 kcal),"3,4","1,6",70,"5,4",14,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Villa Cardini - 75cl e,4049366001234,['Villa Cardini'],['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['Anhydride sulfureux et sulfites'],,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl e,"['Point Vert', 'Fabriqué en Italie', 'Déconseillé aux femmes enceintes']",,3,"['Bouteille', 'Verre']",,"['Italie', 'IGP']",['Italie'],,,,
1662,Décors en sucre,4049583199264,,['France'],[],[],?,405,1695 kj(405 kcal),"3,4","0,7",93,70,"0,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,Bagels - Yummie Bakery - 270g e,4049921122978,['Yummie Bakery'],"['France', 'Allemagne']","['Farine de blé 50 % eau', 'mélange de graines 8 % ', 'flocons de seigle', 'graines de sésame', 'graines de tournesol 2 %', 'sucre', 'huiles végétales ', 'palme', 'palme', 'graisses végétales ', 'palme', 'extrait de malt ', 'orge', 'épeautre', ""farine d'épeautre"", 'Farine de soja', 'épaississant Gomme de guar: farine de maïs', 'levure', 'sel', ""émulsifiant Mono- et diglycérides d'acides gras"", 'lécithine de tournesol', 'lécithine de soja', 'conservateur', 'acide sorbique', 'amidon de blé', ""miettes d'extrait de malt d'orge""]",['Huile de palme'],?,287,1201 kj(287 kcal),"6,6","1,7","45,8","6,9","9,2","1,3","0,52","['Gluten', 'Graines de sésame', 'Soja']",Weizenkleingebäck mit Haferflocken,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bagel']",,+5%,+85%,-5%,-6%,54.4%,24.1%,13.6%,6.9%,1.0%,0.0%,94,6.6 g,en quantité modérée,1.7 g,en quantité modérée,6.9 g,en quantité modérée,1.3 g,en quantité modérée,+4%,+135%,+26%,+48%,+48%,1,-52%,B,-52%,270 g e,"['Point Vert', 'Fabriqué en Allemagne']","['E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,"['Kunststoff', 'Plastique']",,,['Allemagne'],,,,
1664,Mister drop cacaoté,40434841,,['France'],[],[],?,75,314 kj(75 kcal),"1,6","1,1","11,7","11,6","3,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
1665,Krauterquark,40467924,,['France'],[],[],?,141,590 kj(141 kcal),"10,8","6,8","3,5","3,3","7,2","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,Weizenbier alkoholfrei,40477169,,['France'],[],[],?,24,100 kj(24 kcal),0,0,"4,5","2,1","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Alpirsbacher Klosterbräu Barbecue Sauce Bio,40477299,,['France'],[],[],?,143,598 kj(143 kcal),"0,1","0,01","33,1",30,"1,1","2,83","1,132",,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,-8%,-90%,+6%,+23%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,0.1 g,en faible quantité,0.01 g,en faible quantité,30 g,en quantité élevée,2.83 g,en quantité élevée,-9%,-93%,+15%,+40%,+40%,17,+17%,D,+17%,,['Bio'],,,,,,,,,,
1668,Kas,40480503,,['France'],[],[],?,30,126 kj(30 kcal),0,0,"7,6","7,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,Choco Double - Prinzen,40493336,['Prinzen'],['France'],[],[],?,505,2113 kj(505 kcal),24,15,64,40,"6,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
1670,Schololaden CD - P:os - 45g e,4050285516594,['P:os'],['France'],"['Sucre ', '44 %', 'beurre de cacao ', '27 %', 'lait entier en poudre ', '17,5%', 'pâte de cacao ', '9 %', 'poudre de crème ', '2,5 %', 'émulsifiant: lécithine de soja ', '<1 %', ' ', ' Colorants dans la décoration : E100', 'E101', 'E120', 'E132', 'E171']","['Non végétalien', 'Non végétarien']",?,583,2439 kj(583 kcal),38,23,52,52,"6,2","0,18","0,072","['Lait', 'Soja']",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,+5%,+10%,+0%,-14%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,38 g,en quantité élevée,23 g,en quantité élevée,52 g,en quantité élevée,0.18 g,en faible quantité,+6%,+17%,+6%,-23%,-23%,27,+6%,E,+6%,45 g e,['Point Vert'],"['E322i - Lécithine', 'E100 - Curcumine', 'E101 - Riboflavine', 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo"", 'E171 - Oxyde de titane']",4,['Carton'],,,,,,,
1671,Bonjour,4050300517797,['Bonjour'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,Salade de lentilles,4051009017175,,['France'],[],[],?,102,427 kj(102 kcal),"1,5","0,2","15,5","5,6","5,4","1,47","0,588",,,,"['Plats préparés', 'Salades', 'Salades composées', 'Salades de lentilles']",,-32%,-77%,+17%,-23%,,,,,,,,1.5 g,en faible quantité,0.2 g,en faible quantité,5.6 g,en quantité modérée,1.47 g,en quantité modérée,-33%,-79%,+171%,+66%,+66%,5,,C,,,,,,,,,,,,,
1673,Bezaubernde Bohne - 200g,4051009017267,,['France'],[],[],?,302,1264 kj(302 kcal),"24,9","2,1",12,6,"6,1","2,07","0,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
1674,Chocolat - Depot,4051281305212,['Depot'],['France'],[],[],?,544,2276 kj(544 kcal),?,22,?,43,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Spalding Silver Outdoor,4051309623205,,['France'],[],[],?,1000,4184 kj(1000 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Graine de courge d'autriche Bio - Scot La Cigogne,4051579024009,['Scot La Cigogne'],['France'],"[""GRAINE DE COURGE D'Autriche poids net 250 GR Information nutritionnelle rnovenne pour 100 2""]",[],?,560,2343 kj(560 kcal),46,"9,4",14,"0,7",24,"0,07","0,028",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,-1%,+4%,+73%,-20%,,,,,,,,46 g,en quantité élevée,9.4 g,en quantité élevée,0.7 g,en faible quantité,0.07 g,en faible quantité,-1%,+24%,-40%,-87%,-87%,15,+42%,D,+42%,,"['Bio', 'Bio européen', 'DE-ÖKO-006', 'FR-BIO-01']",,1,,,,,,,,
1677,Proten plus - Fresenius Kabi,4051895001050,['Fresenius Kabi'],['France'],[],[],?,150,628 kj(150 kcal),"6,7","0,6","12,4","7,1",10,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Protenplus,4051895001104,,['France'],[],[],?,150,628 kj(150 kcal),"6,7","0,6","12,4","6,5",10,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Point Vert', 'Sans lactose']",,,,,,,,,,
1679,Fresubin eau gelifiee fruit rouge - Fresenius Kabi,4051895001142,"['Fresenius Kabi', 'Fresubin']",['France'],[],[],?,26,109 kj(26 kcal),0,0,6,6,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,Fresubin Eau Gelifiee Sans Sucre Orange 12X125G - Fresenius Kabi - 12x 125g,4051895001166,"['Fresenius Kabi', 'Fresubin']",['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 x 125 g,,,,,,,,,,,
1681,Fresubin DB Crème,4051895001692,['Fresubin'],['France'],[],[],?,150,628 kj(150 kcal),7,"1,6","13,1","7,1","7,5","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Framboise - Fresenius Kabi,4051895001784,"['Fresenius Kabi', 'Fresubin']",['France'],[],[],?,300,1255 kj(300 kcal),"4,7","0,6","19,3",3,"7,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Fresubin,4051895002675,['Fresubin'],['France'],[],[],?,200,837 kj(200 kcal),"7,8","0,6","22,5","5,8",10,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Fresubin 2 kcal Fibre Max,4051895002705,['Fresubin'],['France'],"['Eau', 'sirop de glucose', 'protéines de lait', 'huiles végétales ', 'tournesol', 'colza', 'saccharose', 'inuline de chicorée', 'maltodextrines', 'arôme', 'dextrine de blé', 'citrate de potassium', 'émulsifiants ', 'E 471', 'lécithine de soja', 'carbonate de potassium', ""correcteur d'acidité "", 'E 507', 'chlorure de sodium', 'carbonate de sodium', 'vit', ' C', 'oxyde de magnésium', 'pyrophosphate de fer', 'niacine', 'sulfate de zinc', 'chlorure de manganèse', 'acide pantothénique', 'vit', ' E', 'sulfate de cuivre', 'vit', ' B2', 'vit', ' B6', 'fluorure de sodium', 'vit', ' B1', 'Beta-carotène', 'vit A', 'acide folique', 'chlorure de chrome', 'molybdate de sodium', 'iodure de potassium', 'vit', ' K1', 'sélénite de sodium', 'biotine', 'vit D3', 'vit', ' B12']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,200,837 kj(200 kcal),"7,8","0,6","21,8","5,9",10,"0,15","0,06","['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],"['E1400 - Dextrines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E501i - Carbonate de potassium', 'E507 - Acide chlorhydrique', '', 'Risque modéré de sur-exposition']",4,,,,,,,,
1685,Fresubin db max - Fresenius Kabi,4051895003177,['Fresenius Kabi'],['France'],"['Eau', 'protéines de lait', 'amidon modifié de tapioca', 'maltodextrines', 'huiles végétales ', 'colza', 'tournesol', 'fructose', 'triglycérides à chaîne moyenne ', 'TCM', 'arômes', 'citrate de potassium', 'huile de poisson', 'émulsifiants ', 'lécithine de soja', 'E 471', 'chlorure de sodium', 'tartrate de choline', 'vit', ' C', ""correcteur d'acidité "", 'E 524', 'édulcorants ', 'E 954', 'E 952', 'oxyde de magnésium', 'pyrophosphate de fer', 'sulfate de zinc', 'niacine', 'vit', ' E', 'acide pantothénique', 'chlorure de manganèse', 'sulfate de cuivre', 'vit', ' B2', 'vit', ' B6', 'fluorure de sodium', 'vit', ' B1', 'β-carotène', 'vit', ' A', 'acide folique', 'chlorure de chrome', 'iodure de potassium', 'molybdate de sodium', 'sélénite de sodium', 'vit', ' K1', 'biotine', 'vit', ' D3', 'vit', ' B12']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,150,628 kj(150 kcal),7,"1,7","13,1","1,9","7,5","0,16","0,064","['Lait', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose', 'Entrepreneurs + Engagés']","['E14XX - Amidons modifiés', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E334 - Acide L-tartrique', 'E524 - Hydroxyde de sodium', 'E954 - Saccharine et ses sels', 'E952 - Acide cyclamique et ses sels']",4,,,,,,,,
1686,Fresubin,4051895003306,['Fresubin'],['France'],[],[],?,200,837 kj(200 kcal),"7,8","0,55","22,5","13,4",10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,
1687,FRESUBIN 2 Kcal Compact Cappuccino 4 X - Fresenius Kabi,4051895003436,"['Fresenius Kabi', 'Fresubin']",['France'],[],[],?,200,837 kj(200 kcal),"5,8","0,6","22,5","5,1",10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Protenplus arôme Cappuccino - Fresenius Kabi,4051895004358,['Fresenius Kabi'],['France'],[],[],?,150,628 kj(150 kcal),"6,7","0,6","12,4","6,5",10,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,Fresubin 2kcal Drink - Fresenius Kabi - 200ml,4051895004372,['Fresenius Kabi'],['France'],[],[],?,200,837 kj(200 kcal),"7,8",0,"22,5",0,10,0,0,,,,"['Boissons', 'Boissons sans alcool']",,+426%,+5635%,+160%,+4286%,,,,,,,,7.8 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+401%,-100%,-100%,-100%,-100%,5,-29%,C,-29%,200 ml,['Sans lactose'],,,"['Plastique', 'PET']",,,['Allemagne'],,,,
1690,Fresubin original,4051895004662,['Fresubin'],['France'],"['Ma IKKe Diandes med medisiner', ' hgredienser: Vand/Vam', 'maltodekstrin', 'vegetabilske olier/oljer ', 'rapsolje', ' solsikkeolje', ' melkeprotein/ melkeprotein', 'sojaprotein', 'katsiumkarbonat', ' kaliumklorid', 'emulqatorer ', 'sulggltb E 471', 'kaliumhydro• enfosfat', 'stabilisatorer ', 'E 460', '466', ' fiskeolie', 'magnesiumklorid', 'kolinhydroqentartrat', ' natriumsitrat', 'kals•', 'mfosfat', 'natriumklorid', 'vit', ' C', 'magnesiumoksid', 'kaliumsitrat', 'jernsulfat', ' sinksulfat', 'niacin', 'manganklorid', ' natriumfluorid', 'vit', ' Bi', 'vit', ' Ba vit', ' vit', ' E', ' kobbersulfat', 'vit', ' A', 'P•karoten', 'folsyre', 'kromklorid', 'kalium- natriumselenitt', ' biotine vit', ' Kie vit', ' D', 'vit', ' 812']",[],?,100,418 kj(100 kcal),"3,4","0,3","13,8","0,85","3,9","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],"['E460 - Cellulose', 'E466 - Carboxyméthylcellulose']",4,,,,,,,,
1691,Fresubin megareal fibre,4051895005119,['Fresubin'],['France'],[],[],?,140,586 kj(140 kcal),"5,3","1,8","14,6",1,"6,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1692,GI Control - Fresubin,4051895005133,['Fresubin'],['France'],[],[],?,106,444 kj(106 kcal),"3,5","0,98","13,2","0,5","4,1","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
1693,Fresubin,4051895010533,['Fresubin'],['France'],[],[],?,0,0 kj(0 kcal),63,6,12,11,3,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,
1694,"ACE Still  Orange, carotte, citron",4051913100222,,['France'],[],[],?,44,184 kj(44 kcal),0,0,10,10,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Sugar Free Syrup Blaubeer Flavor MyProtein - 400ml,4051946803831,['Myprotein'],['France'],[],[],?,?,,?,,?,,?,,,,,,['Sirops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ml,,,,,,,,,,,
1696,Viande hachee pur boeuf,4051979322859,,['France'],[],[],?,225,941 kj(225 kcal),15,"7,3","0,4","0,3",22,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,Pâtes chevaux,4052083998114,,['France'],[],[],?,282,1180 kj(282 kcal),"0,7","0,1","58,7","0,3","10,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Weissbier - Benediktiner - 5l,4052197000390,['Benediktiner'],['France'],"['Malt de blé', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Gluten'],,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,5 l,,,3,"['Fût', 'Fer']",,,['Allemagne'],['Noz'],,,
1699,Original - Benediktiner - 50cl,4052197002455,['Benediktiner'],['France'],"['Eau', ""malt d'orge"", 'houblons']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Gluten'],,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,50 cl,,,3,"['Canette', 'Aluminium']",,,['Allemagne'],,,,
1700,Original - Benediktiner - 50cl,4052197002455,['Benediktiner'],['France'],"['Eau', ""malt d'orge"", 'houblons']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Gluten'],,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,50 cl,,,3,"['Canette', 'Aluminium']",,,['Allemagne'],,,,
1701,Kreuzkümmel - hartkorn - 50g,4052600001389,['Hartkorn'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,,,,,,,,,,,
1702,Minze,4052600101584,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Chocolate Cup - Krüger - 250g,4052700007205,['Krüger'],['France'],"['Sucre', 'lactosérum en poudre ', '32,3 %', 'cacao en poudre ', '25,5%', 'poudre de_lait_ écrémé ', '6 %', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,372,1556 kj(372 kcal),"5,7","3,5","64,8","62,6","10,8","0,87","0,348",['Lait'],,C,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",,+12%,+33%,+2%,+71%,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,,+9%,+37%,+11%,+316%,+316%,,,,,250 g,"['en:gluten-free', 'Nouveau']",,4,"['boîte', 'Carton']",,,,,,,
1704,Krüger Schokotrunk Automatengerecht 1kg - 1kg,4052700040493,['Kruger'],['France'],"['Sucre', 'lactosérum en poudre ', 'lait', 'cacao maigre en poudre ', '14,9 0%', 'sirop de glucose', 'graisse végétale ', 'noix de coco', 'sel', 'anti-agglomérant E 341', 'stabilisant E 340', 'protéines de lait', 'émulsifiants ', 'E 471 | E colorant bêta-carotène']",['Non végétalien'],?,390,1632 kj(390 kcal),"7,2",6,70,61,7,"1,75","0,7",['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,
1705,Choco Quick - Kruger,4052700044163,['Kruger'],['France'],[],[],?,383,1602 kj(383 kcal),"3,1","1,4","80,6","78,7","4,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,Choco quick - Krüger - 150g,4052700054377,['Krüger'],['France'],[],[],?,381,1594 kj(381 kcal),"2,2","1,1",84,81,"3,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,
1707,cappuccino chocolat - Krüger,4052700071312,['Krüger'],['France'],[],[],?,421,1761 kj(421 kcal),"10,3","9,3","76,8","59,8","4,5","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,"Cappuccino,Schoko-goldnuss - Krüger",4052700083902,['Krüger'],['France'],[],[],?,390,1632 kj(390 kcal),"5,6",5,"79,1","74,7","4,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Krüger Einhorn Edition Typ Erdbeer-weisse-schokolade,4052700092850,['Krüger'],['France'],[],[],?,412,1724 kj(412 kcal),"8,2","7,2",75,55,"8,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,You,4052700201368,,['France'],[],[],?,398,1665 kj(398 kcal),0,0,"98,2","97,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,Edulcorant De Table Bon~suc,4052700622545,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants de table']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,Le Comptoir De Mathilde Outils En Chocolat,4052856002642,,['France'],[],[],?,597,2498 kj(597 kcal),42,26,45,42,"6,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Classic burger bbq sauce,4052932153770,,['France'],[],[],?,133,556 kj(133 kcal),"0,5","0,1","28,6","24,4","1,9","1,5","0,6",,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,-15%,-48%,-8%,+112%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,0.5 g,en faible quantité,0.1 g,en faible quantité,24.4 g,en quantité élevée,1.5 g,en quantité modérée,-16%,-26%,-7%,-26%,-26%,12,-17%,D,-17%,,,,,,,,,,,,
1714,Finest bbq sauce,4052932153794,,['France'],[],[],?,206,862 kj(206 kcal),"0,3","0,1","48,4","38,2",1,"2,1","0,84",,,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,+32%,-69%,+56%,+11%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,0.3 g,en faible quantité,0.1 g,en faible quantité,38.2 g,en quantité élevée,2.1 g,en quantité élevée,+31%,-26%,+46%,+4%,+4%,19,+31%,E,+31%,,,,,,,,,,,,
1715,Spicy BBQ Senf - Weber - 300ml,4052932297900,['Weber'],['France'],"['Moutarde ', '58 %', ' : [eau', ""graine de Moutarde ,vinaigre d'alcool"", 'sel', 'vinaigre de vin blanc', 'sucre', 'vinaigre de sherry épices', 'arômes', 'eau', 'purée de pomme', 'sucre', 'dextrose', 'amidon modifié', 'arôme', 'arôme fumé 0,5 %']",[],507,?,507 kj(121 kcal),"4,2","0,2","16,2","15,1","3,4","2,8","1,12",['Moutarde'],Préparation à la moutarde pour barbecue,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",-16%,,+339%,-48%,+279%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,4.2 g,en quantité modérée,0.2 g,en faible quantité,15.1 g,en quantité élevée,2.8 g,en quantité élevée,-23%,+47%,-42%,+39%,+39%,14,-3%,D,-3%,300 ml,,['E14XX - Amidons modifiés'],4,"['Squeezer', 'Plastique']",,,,,,,
1716,Bionade Citroen Bergamot Petfles,4053400200903,['Bionade'],['France'],[],[],?,21,88 kj(21 kcal),"0,5","0,1","5,2","5,2","0,5","0,01","0,004",,,,['Boissons'],,-62%,+44%,-54%,+1%,,,,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,5.2 g,en quantité modérée,0.01 g,en faible quantité,-63%,-15%,-45%,-76%,-76%,7,-9%,D,-9%,,['Bio'],,,,,,,,,,
1717,Capsulas Espresto Choco,4053528000867,,['France'],[],[],?,67,280 kj(67 kcal),"1,6","1,2",11,11,"1,3","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,Furioso Espresso,4053528000874,,['France'],[],[],?,8,33 kj(8 kcal),0,0,"1,4",0,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
1719,Capsule thé english breakfast,4053528006654,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
1720,Rouleau De Lebkuchen - Schmidt,4053598611024,['Schmidt'],['France'],"[""Rouleau de Lebkuchen Pain d'épices "", 'Oblaten-Lebkuchen', ' de Nuremberg avec 14 % min', ' de noix et cerneaux de noix farine de blé gratnes oléagineuses Ingrédients sucre', '{noiettes noix', 'amandes noix de cajou', 'chocolat [pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant lécithines de soja', ""ecorte d'orange"", 'perspan ', ""noyaux d'aoncot"", 'sucre', 'strop de sucre inverti', 'fécule de pomme de erre', ' Sirop de glucose-fructcse', ' strop de sucre inverti', 'Sirop de glucose', 'oeuf entier en poudre', 'humectant sorbitoll épices ', 'contient de la cannelle', 'fécule de pomme de terre', 'puree de de blé caséinate ', 'issu du lait', 'poudres à iever', ' bicarbonate de sodium', 'carbonates de pctasswm', 'Sirop de sucre caramél!Eé', ' amidon de mais cireux', ""ému'sflant lécithines de soja sel"", 'enatsslssant: pectine', 'actd:fiant acide cttrtque', ""blanc d'oeuf en poudre Peut des races de sésame""]",['Non végétalien'],?,383,1602 kj(383 kcal),"11,5","2,9","60,8","39,7","7,7","0,3","0,12",['Fruits à coque'],,B,"['Biscuits et gâteaux', ""Pains d'épices""]",,+14%,+230%,-14%,+77%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,11.5 g,en quantité modérée,2.9 g,en quantité modérée,39.7 g,en quantité élevée,0.3 g,en quantité modérée,+13%,+134%,-2%,-31%,-31%,11,-22%,D,-22%,,['Fabriqué en Allemagne'],"['E500ii - Carbonate acide de sodium', 'E502 - Carbonates', 'E440 - Pectines']",4,,,,,,,,
