,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
1219,Filetes de anchoas,8410102201991,,['France'],[],[],?,210,879 kj(210 kcal),"9,7","2,2",0,0,"28,9",,,,"9,2","3,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,filets d'anchois à l'huile de tournesol,8410102202004,,['France'],[],[],?,210,879 kj(210 kcal),"9,7","2,2",0,0,"28,9",,,,"9,2","3,68",B,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,9.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,9.2 g,en quantité élevée,,+3%,+1%,-23%,-9%,-100%,-100%,+39%,+35%,+35%,14,+12%,D,+12%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,
1221,Sobrassada de mallorca,8410107221000,,['France'],[],[],?,577,2414 kj(577 kcal),57,26,1,"0,2",15,,,,27,"10,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Chocolat au lait et gaufrette - Valor - 100g,8410109050974,['Fabriqué en Espagne'],['France'],"['Chocolat au lait [sucre', 'lait entier en poudre', 'beurre de cacao', ""chocolat traité à l'alcali"", 'lactosérum', 'émulsifiant : lécithine de soja', 'arômes artificiels]', 'gaufrette [farine de blé', 'sucre', 'beurre déshydraté', 'graisse végétale ', 'soja', 'palme', 'colza', 'lactose', 'protéines du lait', 'sel', ""farine de malt d'orge"", 'agent levant: bicarbonate de sodium]']","['Huile de palme', 'Non végétalien']",?,515,2150 kj(515 kcal),"30,3","21,2","57,6","51,5","6,06",['Valor'],"['Gluten', 'Lait', 'Soja']",4,"0,346","0,139",E,100 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,30.3 g,en quantité élevée,21.2 g,en quantité élevée,51.5 g,en quantité élevée,0.346 g,en quantité modérée,,-7%,-7%,-12%,+8%,+11%,+5%,-15%,+48%,+48%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Carton'],['Espagne'],,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",,,,['Huile de palme']
1223,"Valor, dark chocolate with almonds",8410109052596,,"['France', 'États-Unis']","['Sugar', 'butter chocolate', 'almonds', 'cocoa butter', 'soy lecithin - an emulsifier', 'natural flavor']",[],?,548,2293 kj(548 kcal),"40,48","16,67","47,62","35,71","9,52",['Valor'],"['Fruits à coque', 'Soja']",4,"0,06","0,024",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",,40.5 g,en quantité élevée,16.7 g,en quantité élevée,35.7 g,en quantité élevée,0.06 g,en faible quantité,,-1%,-1%,+6%,-15%,+18%,+2%,+13%,-5%,-5%,18,-16%,D,-16%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,['E322i - Lécithine'],CHOCOLATES VALOR S.A.,,,
1224,Chocolatium - Valor,8410109111149,,['France'],[],[],?,544,2276 kj(544 kcal),37,24,39,34,"8,2",['Valor'],,,"0,12","0,048",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']",,37 g,en quantité élevée,24 g,en quantité élevée,34 g,en quantité élevée,0.12 g,en faible quantité,,+3%,+3%,+13%,+32%,-21%,-22%,+45%,+103%,+103%,23,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
1225,Sardines à la tomate - Rex - 125g,8410111003197,"['en:gluten-free', 'Sans lactose']",['France'],"['Sardines', 'eau', 'concentré de tomate ', '7%', 'huile de tournesol', 'sel', 'sucre', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",650,?,650 kj(155 kcal),"8,7","1,8","2,4","1,9",17,['Rex'],['Poisson'],4,"1,2","0,48",D,125 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",,8.7 g,en quantité modérée,1.8 g,en quantité modérée,1.9 g,en faible quantité,1.2 g,en quantité modérée,-29%,,-28%,-37%,-45%,+293%,+634%,-21%,+32%,+32%,2,-46%,B,-46%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,['Conserve'],['Maroc'],['Auchan'],,,,,
1226,THON ISABEL,8410111005856,,['France'],[],[],?,155,649 kj(155 kcal),"8,5","1,5","2,7",2,17,['Isabel'],,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Ragout de thon - Isabel - 250g,8410111006471,,['France'],"['Mélange de légumes ', '46%', ' ', 'Pomme de terre', 'oignon', 'poivron', 'thon', '25%', 'bouillon végétal ', 'pomme de terre', 'eau', 'carottes', 'oignon', 'chou', 'sucre et sel', ""huile d'olive"", 'concentré de tomate et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",452,?,452 kj(108 kcal),"4,52","0,72","9,6","1,72","6,72",['Isabel'],['Poisson'],3,"1,52","0,61",,250 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,4.52 g,en quantité modérée,0.72 g,en faible quantité,1.72 g,en faible quantité,1.52 g,en quantité élevée,-48%,,-49%,-68%,-75%,+1079%,+331%,-67%,+52%,+52%,2,-54%,B,-54%,,,,,,,,,['Etui'],['Thaïlande'],,,,,,
1228,Filets de Sardines au Naturel - Carrefour,8410111007591,,['France'],"['Sardines', 'eau et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,164,686 kj(164 kcal),8,"2,4",0,0,23,['Carrefour'],['Poisson'],,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
1229,Sardine au naturel - Kim - 120g,8410111007607,,['France'],[],[],?,164,686 kj(164 kcal),8,"2,4",0,0,23,['Kim'],,,"1,2","0,48",,120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,8410111210007,8410111210007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Sardines à l'huile de tournesol - Rex - 125g (90g égoutté),8410111613037,"['en:gluten-free', 'Sans lactose']",['France'],"['Sardines', 'huile de tournesol', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",835,?,835 kj(200 kcal),12,"2,2",0,0,23,['Rex'],['Poisson'],3,"1,2","0,48",D,125 g (90 g égoutté),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,12 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,-8%,,-8%,-14%,-33%,-100%,-100%,+7%,+32%,+32%,4,+8%,C,+8%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,"['Conserve', 'Conserve']",['Maroc'],['Auchan'],,,,,
1232,Calamars à L'encre Isabel,8410111822200,,['France'],[],[],?,146,611 kj(146 kcal),"8,7","1,1","5,7","2,7",11,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Spanish Torres Campos Ibericos Rioja,8410113000880,,['France'],[],[],?,0,0 kj(0 kcal),"0,1","0,1","0,1","0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Chocolat noir - Lindt,8410117000084,,['France'],[],[],?,518,2167 kj(518 kcal),19,19,49,48,"5,5",['Lindt'],,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Lindor - Lindt,8410117618807,,['France'],[],[],?,623,2607 kj(623 kcal),47,35,44,43,"4,9",['Lindt'],,,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,"El Hostal Ensalada De Alubia Mini, Maíz y Zanahoria",8410125912218,,['France'],[],[],?,75,314 kj(75 kcal),"0,61","0,08",13,5,"4,29",,,,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Ensaladas - El Hostal,8410125912317,,['France'],"['haricot rouge 48% legumes en proportions variablés 48% ', 'haricots verts,carottes mais', ',eau,sel,antioxydantF3d5 Consommer de preférence avant le A/0ir emballage']",[],?,73,305 kj(73 kcal),"13,87","0,5","0,5","0,5","4,4",['El Hostal'],,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Pois chiches - El Hostal - 295g,8410125950500,,['France'],"['Pois chiches', 'eau', 'sel', 'antÌoxugène E-385', 'E-224 ', 'sulfite', ' Consumir preferentemente antes del fin VER TAPA']",[],?,111,464 kj(111 kcal),"2,26","0,36","14,67",0,"6,21",['El Hostal'],['Anhydride sulfureux et sulfites'],3,"0,625","0,25",B,295 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,2.26 g,en faible quantité,0.36 g,en faible quantité,0 g,en faible quantité,0.625 g,en quantité modérée,,-42%,-41%,-25%,-8%,-38%,-100%,-39%,+31%,+31%,-3,,A,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,,
1239,Spaghetti boloñesa - Knorr,8410127101900,,['France'],[],[],?,107,448 kj(107 kcal),"0,7","0,2",21,"2,3","4,1",['Knorr'],,,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Pascual Low Fat Strawberry Yogurt,8410128001186,,['France'],"['Nfftion Declaration per g/ Informacién EglValorenergéticolÉnergiel FatlGragslMatièresgrasseslLipidos Ofhhich/Delascuales/Dont/Dosquais/14i4 Saturates/Saturadas/Acidesgrassaturés/ Ados arb*ateIHidratosdeCarbono/Gluddesl HidratosdeCarbono/œJl»y', 'sll SaltiSallSellSal/']",[],?,89,372 kj(89 kcal),"1,1","0,7",17,15,"2,8",['Pascual'],,,"0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts allégés en matière grasse']",,1.1 g,en faible quantité,0.7 g,en faible quantité,15 g,en quantité élevée,0.1 g,en faible quantité,,+44%,+54%,+101%,+129%,+117%,+108%,-39%,-32%,-32%,3,,C,,,,,,,,,,,,,,,,,
1241,Pascual L / Fat Peach / Passion X4,8410128001209,['Sans conservateurs'],['France'],[],[],?,89,372 kj(89 kcal),"1,1","0,7",17,17,"2,8",,,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Digestive avena - Pascual,8410128002077,['Sans sucre ajouté'],['France'],[],[],?,433,1812 kj(433 kcal),18,3,64,1,"8,1",['Pascual'],,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,YOGUR PASCUAL SABOR NATURAL PACK-4,8410128110741,,['France'],[],[],?,59,247 kj(59 kcal),"2,3","1,6","6,4","4,5","3,3",['Pascual'],,,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Plain natural yoghourt - Pascual,8410128112790,,['France'],[],[],?,266,1113 kj(266 kcal),"2,4","1,7","6,6","4,7","3,8",['Pascual'],,,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Lemon/limon - Pascual,8410128112806,,"['France', 'Espagne']",[],[],?,91,381 kj(91 kcal),"2,1","1,4",15,13,3,['Pascual'],,,"0,11","0,044",B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés']",,2.1 g,en faible quantité,1.4 g,en faible quantité,13 g,en quantité élevée,0.11 g,en faible quantité,,0%,+0%,-24%,-20%,+21%,+10%,-16%,-4%,-4%,3,-11%,C,-11%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,,,
1246,Yaourt - Pascual,8410128112905,,['France'],"[""d noJ61cn'5""]",[],?,93,389 kj(93 kcal),"2,2","1,4",15,13,"3,4",['Pascual'],,,"0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,2.2 g,en faible quantité,1.4 g,en faible quantité,13 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,-33%,-32%,+36%,+29%,-10%,-13%,-13%,2,-35%,B,-35%,,,,,,,,,,,,,,,,
1247,Pascual Mango,8410128112974,,['France'],[],[],?,93,389 kj(93 kcal),"2,2","1,5",15,13,"3,4",['Pascual'],,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Fruit Yogurt PASCUAL 4X125G - Non-fat STRAWBERRIES,8410128121303,,['France'],"['Lait concentré entier reconstitue et crème ', '9,3%', ' pasteurisés', 'sucre ', '7,9%', ',amidon modifié ', 'E-1422', 'gélatine et ferments lactiques']","['Non végétalien', 'Non végétarien']",?,150,628 kj(150 kcal),8,6,16,15,4,['Pascual'],['Lait'],4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E428 - Gélatine']",,,,
1249,Yaourt lite 0% - Pascual,8410128121365,,['France'],[],[],?,5,21 kj(5 kcal),1,1,4,1,8,['Pascual'],,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Lite 0% Mélange de fruits - Pascual - 4 * 125g (500g),8410128121372,"['en:gluten-free', 'EAC']",['France'],[],[],?,?,,?,,?,,?,['Pascual'],,,,,B,4 * 125 g (500 g),"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts aux fruits avec morceaux', 'Yaourts allégés en matière grasse']",['ES 15.00220/BU CE'],,,,,,,,,,,,,,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,"['Carton', 'Pots']",['Espagne'],,,,,,
1251,Fruit Yogurt PASCUAL 4X125G - Low Fat Cherries & Berries,8410128121556,,['France'],[],[],?,120,502 kj(120 kcal),"1,5",1,22,19,4,,,,"0,5","0,2",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts allégés en matière grasse']",,1.5 g,en faible quantité,1 g,en faible quantité,19 g,en quantité élevée,0.5 g,en quantité modérée,,+94%,+107%,+175%,+227%,+181%,+164%,-13%,+240%,+240%,5,,C,,,,,,,,,,,,,,,,,
1252,Pascual greek,8410128121730,,['France'],[],[],?,150,628 kj(150 kcal),8,6,16,15,4,['Pascual'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Pascual Greek Yogurt Fruits of the Forest 4X125G - 125g,8410128166977,,['France'],[],[],?,126,527 kj(126 kcal),"5,9","4,1",15,13,"3,2",['Pascual'],,,"0,1","0,04",,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Original,8410128168834,,['France'],[],[],?,59,247 kj(59 kcal),"2,3","1,6","6,4","4,5","3,3",,,,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,PMI Original,8410128168841,,['France'],[],[],?,59,247 kj(59 kcal),"2,3","1,6","6,4","4,5","3,3",,,,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Leche Pascual SIN LACTOSA semidesnatada,8410128169848,['Sans lactose'],['France'],[],[],?,48,201 kj(48 kcal),"1,7","1,2","4,9","4,9","3,3",['Pascual'],,,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Bebida de arroz - Vive Soy,8410128169886,,['France'],"['Water', 'rice ', '12%', 'sunflower oil', 'tricalcium phosphate', 'stabiliser ', 'gellan gum', 'potassium chloride', 'salt', 'flavouring', 'anti-oxidant ', 'tocopherol-rich extract', 'Vitamin D', '\rMay contain gluten', 'soya and nuts']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,49,205 kj(49 kcal),1,"0,1","9,7","7,1","0,2",['Vive Soy'],,4,"0,06","0,024",,,['Boissons'],,1 g,en faible quantité,0.1 g,en faible quantité,7.1 g,en quantité élevée,0.06 g,en faible quantité,,-12%,-15%,+188%,-15%,-14%,-25%,-60%,+45%,+45%,12,+57%,E,+57%,,,,,,,,,,,,"['E418 - Gomme gellane', 'E306 - Extrait riche en tocophérols']",,,,
1258,Vive Soy De Pascual Bebida De Almendra - Vivesoy,8410128169916,,"['France', 'Espagne']","['esbbilizantes', 'gomagelana y goma garrofin', 't fosfato tricilcico', 'sal', 'ernulgente ', 'Htina de girasol', 'aroma', 'antioidante ', 'eftacto rico en tocoferoles', 'difosfato férrico y vitamina Dé Puede contener gluten y soja', ' Alérgenos en negrita', ' Agitar antes dé seryirq Una Vez abiertoconservarelenvasecerradoenneverayconsumirantesde3dias']",[],?,27,113 kj(27 kcal),"1,2","0,1","3,4","3,3","0,5",['Vivesoy'],,,"0,12","0,048",E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",,1.2 g,en faible quantité,0.1 g,en faible quantité,3.3 g,en quantité modérée,0.12 g,en faible quantité,,-29%,-29%,-44%,-60%,-9%,+20%,-42%,+37%,+37%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,['Spar'],,,,,
1259,Rianxeira Ventresca De Tonyina Amb Oli D'oliva,8410131012490,,['France'],[],[],?,205,858 kj(205 kcal),11,"2,6","0,7","0,5",25,['Rianxeira'],,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Sardines à l'huile de Tournesol -,8410131025841,,['France'],[],[],?,280,1172 kj(280 kcal),22,"4,6","1,6","0,5",19,,,,"0,68","0,272",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,22 g,en quantité élevée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.68 g,en quantité modérée,,+28%,+29%,+58%,+40%,+162%,+93%,-11%,-25%,-25%,5,+36%,C,+36%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,
1261,Coques,8410131028538,,['France'],[],[],?,79,331 kj(79 kcal),1,0,0,0,14,,,,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Sardines a la tomate - Voiles Au Vent,8410131028774,,['France'],"['Sardins sauce de tomate ', 'eau', 'concentré de tomate ', '7,696', 'huile de']","[""Pourrait contenir de l'huile de palme""]",?,139,582 kj(139 kcal),"7,3","2,2","1,2","0,5",17,['Voiles Au Vent'],,1,"0,78","0,312",D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol"", 'Sardines à la tomate']",,7.3 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,0.78 g,en quantité modérée,,-36%,-36%,-47%,-33%,+96%,+93%,-21%,-14%,-14%,1,-73%,B,-73%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,,,,,,
1263,Sardines à l'escabèche - Voiles au vent - 113g (80g),8410131048413,,['France'],"['Sardines', 'huile de tournesol', 'vinaigre de vin', 'eau', ""sel et arôme naturel d'escabèche""]","['Non végétalien', 'Non végétarien']",746,?,746 kj(178 kcal),10,"2,4","1,1","< 0,5",21,['Voiles au vent'],['Poisson'],3,"1,9","0,76",D,113 g (80 g),"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'escabèche""]",['ES 12.02821/C CE'],10 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,-24%,,-23%,-38%,-33%,+96%,+66%,+2%,+106%,+106%,12,+134%,D,+134%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,"['Carton', 'Conserve']",['Maroc'],['Noz'],,,,,
1264,Miette de thon - 80g,8410131052915,,['France'],[],[],?,382,1598 kj(382 kcal),36,4,7,7,13,,,,9,"3,6",D,80 g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Miettes de thon', 'Thon à la catalane']",,36 g,en quantité élevée,4 g,en quantité modérée,7 g,en quantité modérée,9 g,en quantité élevée,,+156%,+149%,+317%,+192%,+103%,+202%,-12%,+765%,+765%,18,+1084%,D,+1084%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,
1265,Miettes de thon a la sauce tomate,8410131052922,,['France'],[],[],?,382,1598 kj(382 kcal),36,"4,4","0,7","0,7",13,,,,"0,95","0,38",,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Miettes de thon à la tomate']",,36 g,en quantité élevée,4.4 g,en quantité modérée,0.7 g,en faible quantité,0.95 g,en quantité modérée,,+189%,+180%,+408%,+319%,-81%,-75%,-6%,-18%,-18%,12,+700%,D,+700%,,,,,,,,,,,,,,,,
1266,Ram Chocolatíssimo,8410132020449,,['France'],[],[],?,112,469 kj(112 kcal),"1,8","1,2",20,17,"3,2",,,,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Lenteja extrafina - La Asturiana,8410133110415,,['France'],[],[],?,320,1339 kj(320 kcal),1,"0,2",48,1,24,['La Asturiana'],,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,500G Lentille Seche - La Asturiana,8410133110729,,"['France', 'Espagne']",[],[],?,0,0 kj(0 kcal),?,,?,,?,['La Asturiana'],,,0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,
1269,Garbanzo lechoso extra - Asturiana,8410133132721,,['France'],[],[],?,370,1548 kj(370 kcal),"6,5",1,"57,8",1,20,['Asturiana'],,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Aceitunas en rodajas frasco 130 g - Fragata - 230g,8410134074358,,['France'],[],[],?,?,,?,,?,,?,['Fragata'],,,,,B,230 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives tranchées', 'en:Green chopped olives']",,,,,,,,,,,,,,,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,
1271,Fragata Garlic Cloves,8410134079407,,['France'],[],[],?,48,201 kj(48 kcal),"1,6","0,4","5,1",2,"2,2",,,,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Nueces en grano - Borges,8410148500317,,['France'],[],[],?,685,2866 kj(685 kcal),65,"6,4",4,"2,9",15,['Borges'],,,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Mezcla - Borges,8410148501659,,['France'],['en fibra i rasas Es importante mantener una'],[],?,528,2209 kj(528 kcal),34,"5,4",21,8,21,['Borges'],,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Orejones de albaricoque envase 200 g - Borges,8410148502373,,['France'],[],[],?,285,1192 kj(285 kcal),"0,5","0,1",63,53,"3,4",['Borges'],,,"0,03","0,012",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,0.5 g,en faible quantité,0.1 g,en faible quantité,53 g,en quantité élevée,0.03 g,en faible quantité,,+8%,+8%,+3%,+65%,+8%,+17%,+10%,-15%,-15%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,
1275,Popitas Palomitas Expansionadas Dulces,8410148503769,,"['France', 'Espagne']",[],[],?,411,1720 kj(411 kcal),"4,4","0,5",88,58,3,['Popitas'],,,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Palomitas caramelo - Popitas,8410148503783,,['France'],[],[],?,425,1778 kj(425 kcal),"6,3","0,8",86,57,"3,8",['Popitas'],,,"0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,Pipas tornado,8410148506579,['en:gluten-free'],['France'],[],[],?,367,1536 kj(367 kcal),23,"2,7","4,1",1,15,,,,11,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Western Corn maíz frito bolsa 130 g - Mr. B,8410148506593,,['France'],[],[],?,469,1962 kj(469 kcal),19,"2,4",67,"1,8",8,['Mr. B'],,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Mr.B,8410148506616,['en:gluten-free'],['France'],[],[],?,622,2602 kj(622 kcal),50,9,15,"4,8",0,,,,"0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
